"书名《信使》（巴尔扎克短篇小说）短简介《信使》这篇小小的作品，构思极为简单，但却成功地运用了白描手法，寥寥数笔就勾画出一对不相称的夫妻、一桩不如意的婚姻、一个品貌出众的女人难以明言的内心苦闷，以及她失去感情寄托后深沉的悲哀。长简介法国作家巴尔扎克对现实主义文学最大的贡献在于他对典型人物形象和社会风俗的细致刻画。其文章中对于人物性格在社会环境的描写无一不体现这种变化和发展。其短篇小说《信使》借一位报信人的口吻，讲述了一对伯爵夫妇貌合神离的婚姻悲剧。对于女主人公痛失所爱、之后的孤寂和憔悴的描写体现了作者的洞察力和刻画人物的功力。巴尔扎克作品中对于人物的塑造和描写都对以后的现实主义文学产生了深远的影响。关键字信使；巴尔扎克；外研社编译组；情人；伯爵；女儿；伯爵夫人；信使作者（法）巴尔扎克作者简介巴尔扎克（1799年5月20日—1850年8月18日），法国19世纪著名作家，法国现实主义文学成就最高者之一。他创作的《人间喜剧》共91部小说，写了两千四百多个人物，是人类文学史上罕见的文学丰碑，被称为法国社会的“百科全书”。"
"书评“要是我把扔到我身上的石头全都收集起来，足可建造一座最大的文学家纪念碑。……我获取别人的东西不是偷窃，而是征服，是合并。”——巴尔扎克是不是你还记得我，我的爱人？在我生命枯萎时，你会用眼泪浇灌我们的爱情？你会用憔悴祭奠我的灵魂？你会在心底的那个角落为我唱一首心灵的挽歌？"
"The Message","信使"
"by Honoré de Balzac","作者：巴尔扎克"
"I have always longed to tell a simple and true story, which should strike terror into two young lovers, and drive them to take refuge each in the other’s heart, as two children cling together at the sight of a snake by a woodside.","我一直想要讲一个简单而真实的故事，这个故事可能会让两个相爱的年轻人感到惊恐，可能会驱使他们躲在对方胸口寻求庇护，就像两个孩子在林中猛然看到蛇，会吓得紧紧抱在一起一样。"
"At the risk of spoiling my story and of being taken for a coxcomb, I state my intention at the outset.","我开宗明义地向你们陈述了我讲这个故事的目的，哪怕这样做会破坏了你对这个故事的兴趣，也有可能令读者将我看成一个妄自尊大的人。"
"I myself played a part in this almost commonplace tragedy; so if it fails to interest you, the failure will be in part my own fault, in part owing to historical veracity.","我也是这个可以说是很常见的悲剧中的一分子，因此，如果这个故事不能引起你们的兴趣，那不仅归咎于我自己，同时也得归咎于这个故事的事实本身。"
"Plenty of things in real life are superlatively uninteresting; so that it is one-half of art to select from realities those which contain possibilities of poetry.","真实生活中很多事是特别索然无味的。所以，小说家艺术才能的一部分就是从真实中选择具有诗意可能性的那些素材。"
"In 1819 I was traveling from Paris to Moulins.","1819年，我从巴黎前往穆兰旅行。"
"The state of my finances obliged me to take an outside place.","囊中羞涩的我不得不坐在公共马车顶层的位置上。"
"Englishmen, as you know, regard those airy perches on the top of the coach as the best seats; and for the first few miles I discovered abundance of excellent reasons for justifying the opinion of our neighbors.","你们知道，英国人认为马车顶层的位置最好。在旅途的最初阶段，我找到无数有力的理由，证明我们邻国人的这种看法是正确的。"
"A young fellow, apparently in somewhat better circumstances, who came to take the seat beside me from preference, listened to my reasoning with inoffensive smiles.","一位看上去比我境遇稍好的青年也爬了上来，挑了我旁边的位置坐下。他对我的种种论据都报以微微一笑，但并无讥讽之意。"
"An approximate nearness of age, a similarity in ways of thinking, a common love of fresh air, and of the rich landscape scenery through which the coach was lumbering along,—these things, together with an indescribable magnetic something, drew us before long into one of those short-lived traveller’s intimacies, in which we unbend with the more complacency because the intercourse is by its very nature transient, and makes no implicit demands upon the future.","我们两人年龄相近，思维方式很像，又都喜爱野外的新鲜空气，也喜欢那随着笨重的驿车向前滚动而展现在我们眼前的种种乡间美景——此外，还由于某种无法解释的磁铁般的吸引力，我们很快就建立起一种旅行者之间的短暂的亲密友情。我们很乐于享受这种友情，因为这种友情本质上而言很快就会终止，对未来不会有任何约束。"
