"书名地狱之火（欧·亨利经典短篇小说）短简介作为一个热爱写作的人，如何让自己的小说得到出版？小说《地狱之火》中热爱写作的佩蒂特向出版社投稿爱情小说被弃用，后经一位年轻姑娘对他疯狂追求激发了他灵感重写了爱情小说才得以录用，这让他困惑：写作不能靠墨水，不能靠自己的心血，而是要用别人心里的血？这就是出版业的潜规则？长简介小说《地狱之火》通过一个热爱写作的青年佩蒂特的遭遇揭露了出版行业的潜规则。佩蒂特想要在出版物上发表爱情小说，在经历了狂热的追求一位姑娘后，他将自己的情感挥洒在自己的小说里，这样的作品却没有得到认可。直到后来他又被另一位姑娘狂热追求，并且将这种体会描写在小说里时，他发现这样的作品得到了很高的评价。这样的反差让他感慨：写作不能靠自己的心血，而是要用别人心里的血。这样的不理解使他无奈放弃了钟爱的写作事业。作者借佩蒂特讽刺了出版业的现状。关键字地狱之火；欧·亨利；外研社编译组；短篇；批判；出版；成功作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家，世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性，做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评 “当我轻松地对待可笑的事物时，我也是严肃地对待它”。——马克思你得先做卑鄙小人，才可以成为艺术家：这是出版业的游戏规则？"
"The Plutonian Fire","地狱之火"
"by O. Henry","作者：欧·亨利"
"There are a few editor men with whom I am privileged to come in contact.","我有幸与一些编辑先生有过联络。"
"It has not been long since it was their habit to come in contact with me.","不久前，他们才开始习惯于主动跟我联系。"
"There is a difference.","这二者是不同的。"
"They tell me that with a large number of the manuscripts that are submitted to them come advices (in the way of a boost) from the author asseverating that the incidents in the story are true.","他们告诉我，寄给他们的许多稿件都附有作者声明（作为宣扬的手段），称文中的事件都是真实的。"
"The destination of such contributions depends wholly upon the question of the enclosure of stamps.","这类稿件的归宿全凭随信是否附有退稿邮票而定。"
"Some are returned, the rest are thrown on the floor in a corner on top of a pair of gum shoes, an overturned statuette of the Winged Victory, and a pile of old magazines containing a picture of the editor in the act of reading the latest copy of Le Petit Journal, right side up—you can tell by the illustrations.","有的给退回了，其余的则被扔到一个角落，角落里有一双胶鞋、一尊倒了的希腊胜利女神小塑像和一堆摞在一起的旧杂志，上面印着主编在翻阅最近一期法国《小报》的照片——你一眼就能认出。"
"It is only a legend that there are waste baskets in editors’ offices.","人们以为编辑办公室里是有废纸篓的，那顶多是个传说而已。"
"Thus is truth held in disrepute.","这样看来，真实性一说也就不堪一击了。"
"But in time truth and science and nature will adapt themselves to art.","但终有一天，真实、科学与自然会自我调整以适应艺术的需要。"
"Things will happen logically, and the villain be discomfited instead of being elected to the board of directors.","事物的发展会合乎逻辑，坏人会遭到恶报，而不是被选进董事会里。"
