"书名刎颈之交（欧·亨利经典短篇小说）短简介友谊遭遇了爱情，朋友变成了情敌，现实往往很残酷。爱情与友情并非水火不容，可想皆大欢喜总要付出一点儿代价。故事中，两个男人是多年的挚友，一天在一个火车站旁的小客栈吃饭时，双双为女老板的魅力所倾倒。当得知女老板是寡妇时，两个男人都展开了攻势。夹在真挚友情与纯真爱情间，主人公该如何做，才能将两者都保全呢？长简介友谊遭遇了爱情，朋友变成了情敌，尽管两者并非水火不容，可想做到皆大欢喜也是不易的。欧·亨利的短篇小说《刎颈之交》就讲述了这样一个在友情与爱情间进行两难抉择的故事。两个男人是多年的挚友，一天在一个火车站旁的小客栈吃饭时，双双为女老板的魅力所倾倒。当得知女老板是寡妇时，两个男人都展开了攻势。为了不伤害友谊，他们商定公平竞争，即求爱时谁也不可以单独行事，必须两人同时在场。两人都信守诺言。一个最终赢得了寡妇的芳心，但他仍对朋友忠心耿耿，洞房花烛夜仍习惯地坐在门外等着他的朋友。这可惹怒了新娘，她一气之下用扫帚打过去，竟使新郎失去一只耳朵。关键字刎颈之交；欧·亨利；外研社编译组；短篇；幽默；友情；爱情作者（美）欧·亨利作者简介欧·亨利，原名威廉·西德尼·波特。美国著名批判现实主义作家，世界三大短篇小说大师之一。曾被评论界誉为曼哈顿桂冠散文作家和美国现代短篇小说之父。欧·亨利善于描写美国社会尤其是纽约百姓的生活，其作品构思新颖，语言诙谐，结局往往出人意料，又因描写了众多人物，富于生活情趣，被誉为“美国生活的幽默百科全书”。书评友谊遭遇了爱情，朋友变成了情敌，这是一个在友情与爱情间进行两难抉择的故事。爱情与友情并非针锋相对水火不容，可要想做到恰到好处也是不易的，想皆大欢喜总要付出一点儿代价。"
"Telemachus, friend","刎颈之交"
"by O. Henry","作者：欧·亨利"
"Returning from a hunting trip, I waited at the little town of Los Pinos, in New Mexico, for the south-bound train, which was one hour late.","我狩猎回来，在新墨西哥州的洛斯皮诺斯小镇等南下的火车。列车晚点了一个小时。"
"I sat on the porch of the Summit House and discussed the functions of life with Telemachus Hicks, the hotel proprietor.","我坐在“顶峰”旅馆的门廊处，与旅馆老板忒勒玛科斯·希克斯聊起了生活的意义。"
"Perceiving that personalities were not out of order, I asked him what species of beast had long ago twisted and mutilated his left ear.","我觉得他性情不算暴躁，便问他是哪种野兽在很久以前扭残了他的左耳。"
"Being a hunter, I was concerned in the evils that may befall one in the pursuit of game.","作为猎人，我很关心在狩猎过程中可能会遭遇的不幸。"
"“That ear,” says Hicks, “is the relic of true friendship.”","“那只耳朵啊，”希克斯说，“是真正的友情的纪念品。”"
"“An accident?”","“一次意外吗？”"
"I persisted.","我追问道。"
"“No friendship is an accident,” said Telemachus; and I was silent.","“友情的世界里没有意外。”忒勒玛科斯说。我沉默了。"
"“The only perfect case of true friendship I ever knew,” went on my host, “was a cordial intent between a Connecticut man and a monkey.","“我所知道的真正友情的唯一完美例证，”旅馆老板继续说道，“是一位康涅狄格州人和一只猴子之间的那种热忱。"
"The monkey climbed palms in Barranquilla and threw down cocoanuts to the man.","猴子爬上巴兰基亚的棕榈树，把椰子扔下来给那个人。"
"The man sawed them in two and made dippers, which he sold for two reales each and bought rum.","那个人把椰子锯成两半，做成长柄勺，每只长柄勺卖两个雷阿尔，然后他就拿钱买朗姆酒。"
"The monkey drank the milk of the nuts.","那只猴子则喝到了椰子汁。"
"Through each being satisfied with his own share of the graft, they lived like brothers.","自始至终，他们各自满足于自己在这项工作中的所劳所得，像兄弟一样和睦生活。"
