书名拉里尔舞曲的小提琴手（哈代短篇小说）短简介小提琴曲，或者说拉曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？多愁善感的姑娘因偶然邂逅小提琴手及其充满魅惑的曲子，拒绝了一直仰慕他的男子，之后却又主动寻找、投靠他，命运又会如何捉弄他们？哈代的这篇短篇小说用压抑的笔调讲述了一个发生在南威塞克斯的悲剧故事。长简介哈代的短篇小说《拉里尔舞曲的小提琴手》讲述了一个发生在南威塞克斯的悲剧故事。女主人公偶然邂逅了会弹奏魅惑舞曲的小提琴手，不可自拔地陷入了对他的爱恋，因而拒绝了一直在追求她的机械师。机械师伤心地离开家乡去往伦敦，后来却意外收到了女主人公的来信，重归旧好，不想女主人公却带来了一位不速之客——她与小提琴手的孩子。之后三人返乡，在小旅馆中，小提琴手再次出现并带走了孩子，这让机械师痛苦不已。整篇小说笔调压抑，不管是景物描写、动作描写还是心理描写都带着挥之不去的悲剧色彩。关键字拉里尔舞曲的小提琴手；哈代；外研社编译组；短篇；悲剧；爱情作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1828），英国诗人、小说家。哈代早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。代表作有《韦塞克斯诗集》、《德伯家的苔丝》等。哈代的小说以他所生长生活的英格兰西南部地区为背景，富有浓重的地方色彩。他的小说大体分为3类：性格与环境的小说、罗曼史与幻想的小说和精于结构的小说。书评英国小说家中的最伟大的悲剧大师。——伍尔夫英国小说中的莎士比亚。 ——韦伯小提琴曲，或者说拉奏曲子的小提琴手究竟有何魔力，让一个女子为其抛夫弃女、离经叛道？
The Fiddler of the Reels	拉里尔舞曲的小提琴手		
by Thomas Hardy	作者：托马斯·哈代		
‘Talking of Exhibitions, World’s Fairs, and what not,’ said the old gentleman, ‘I would not go round the corner to see a dozen of them nowadays.	“说到展览会、世界博览会这类东西，”老绅士说，“现在就算一出门就能看见十来个，我也不会去看了。		
The only exhibition that ever made, or ever will make, any impression upon my imagination was the first of the series, the parent of them all, and now a thing of old times—the Great Exhibition of 1851, in Hyde Park, London.	唯一给我留下印象，或者说唯一会给我留下印象的，是第一次博览会，它可是博览会的鼻祖。现在看来，它已经算是旧时的事物了——那就是1851年在伦敦海德公园举办的万国工业博览会。		
None of the younger generation can realize the sense of novelty it produced in us who were then in our prime.	没有一个年轻人能体会到它给当时正值壮年的我们带来的那种新奇感。		
A noun substantive went so far as to become an adjective in honour of the occasion.	为了纪念那次盛会，‘博览’一词风行一时，由名词变成了形容词。		
It was “exhibition” hat, “exhibition” razor-strop, “exhibition” watch; nay, even “exhibition” weather, “exhibition” spirits, sweethearts, babies, wives—for the time.	当时有‘博览’帽、‘博览’磨剃刀皮带、‘博览’手表；不仅如此，甚至还有‘博览’天气、‘博览’烈酒、‘博览’情侣、‘博览’婴儿、‘博览’妻子等等。		
‘For South Wessex, the year formed in many ways an extraordinary chronological frontier or transit-line, at which there occurred what one might call a precipice in Time.	“对南威塞克斯来说，从很多方面讲，那一年成了一条显著的时代分界线，或者说是转折线，发生了所谓的时代断层现象。		
As in a geological “fault,” we had presented to us a sudden bringing of ancient and modern into absolute contact, such as probably in no other single year since the Conquest was ever witnessed in this part of the country.’	正如地质‘断层’一样，我们突然把古今紧密地衔接起来。可能自诺曼征服以来，没有哪一年能比这一年更能体现这种衔接了。”		
These observations led us onward to talk of the different personages, gentle and simple, who lived and moved within our narrow and peaceful horizon at that time; and of three people in particular, whose queer little history was oddly touched at points by the Exhibition, more concerned with it than that of anybody else who dwelt in those outlying shades of the world, Stickleford, Mellstock, and Egdon.	这些话题引领我们去谈论各种高低贵贱的人物，他们在当时狭窄、平静的领域中生活、奔波和忙碌。这里要特别谈到三个人，他们不寻常的生活经历和万国工业博览会有些奇妙的联系。而且，与斯蒂克福德、梅尔斯托克、埃格顿等偏远地区的其他人相比，他们的生活经历和万国工业博览会的联系要紧密得多。		
First in prominence among these three came Wat Ollamoor—if that were his real name—whom the seniors in our party had known well.	这三人中首要的一个是沃特·奥拉莫尔——如果那是他的真实姓名的话——我们这伙人中年长的都很熟悉他。		
He was a woman’s man, they said,—supremely so—externally little else.	他们说他是个招女人喜欢的人——特别擅长于此——外表上没什么特别的。		
To men he was not attractive; perhaps a little repulsive at times.	在男人们看来，他一点儿都不吸引人，有时还有点儿让人讨厌。		
Musician, dandy, and company-man in practice; veterinary surgeon in theory, he lodged awhile in Mellstock village, coming from nobody knew where; though some said his first appearance in this neighbourhood had been as fiddle-player in a show at Greenhill Fair.	他是乐师、花花公子，也是一名在职的公司雇员；他懂些兽医知识，在梅尔斯托克村住过一阵子，谁都不知道他家乡是哪里；不过有人说他第一次在这附近亮相就是在格林希尔博览会上，他在一次表演中担任小提琴手。		
Many a worthy villager envied him his power over unsophisticated maidenhood—a power which seemed sometimes to have a touch of the weird and wizardly in it.	很多正派的村民都很羡慕他，因为他对不谙世事的女孩有着一种吸引力——这种吸引力有时似乎带有一丝怪异而神奇的色彩。		
Personally he was not ill-favoured, though rather un-English, his complexion being a rich olive, his rank hair dark and rather clammy—made still clammier by secret ointments, which, when he came fresh to a party, caused him to smell like ‘boys’-love’ (southernwood) steeped in lamp-oil.	就其个人而言，他长得并不难看，尽管他不太像英国人。他的肤色是深橄榄色的，头发很多，又黑又油腻——抹了神秘的油膏后就更加油腻了，这使得他刚出现在聚会时，闻起来像浸在灯油中的青蒿似的。		
On occasion he wore curls—a double row—running almost horizontally around his head.	有时他留卷发——卷成两层——几乎在他的脑袋上水平地绕一周。		
But as these were sometimes noticeably absent, it was concluded that they were not altogether of Nature’s making.	但是，有时这些卷发明显不见了，所以大家认定那卷发并非全是天生的。		
By girls whose love for him had turned to hatred he had been nicknamed ‘Mop,’ from this abundance of hair, which was long enough to rest upon his shoulders; as time passed the name more and more prevailed.	由于他的头发非常浓密，长及肩膀，那些对他由爱生恨的女孩们给他起了个绰号“大拖把”。时间一长，这绰号就流传开了。		
His fiddling possibly had the most to do with the fascination he exercised, for, to speak fairly, it could claim for itself a most peculiar and personal quality, like that in a moving preacher.	他的魅力可能与其琴技关系最大。因为平心而论，他的琴技本身极其特别，很有个性，正如牧师那令人感动的布道一样。		
There were tones in it which bred the immediate conviction that indolence and averseness to systematic application were all that lay between ‘Mop’ and the career of a second Paganini.	他拉出的曲调让人立刻相信，若不是懒惰成性，反感系统训练，“大拖把”就能成为帕格尼尼第二了。		
While playing he invariably closed his eyes; using no notes, and, as it were, allowing the violin to wander on at will into the most plaintive passages ever heard by rustic man.	演奏时，他总是闭着眼睛。他不用谱子，似乎在让小提琴任意发挥，奏出乡下人从未听过的哀伤乐曲。		
There was a certain lingual character in the supplicatory expressions he produced, which would well nigh have drawn an ache from the heart of a gate-post.	他奏出的曲子有一种类似人声的特质，诉说着心中的祈求，就连门柱听了都会心痛难安。		
He could make any child in the parish, who was at all sensitive to music, burst into tears in a few minutes by simply fiddling one of the old dance-tunes he almost entirely affected—country jigs, reels, and ‘Favourite Quick Steps’ of the last century—some mutilated remains of which even now reappear as nameless phantoms in new quadrilles and gallops, where they are recognized only by the curious, or by such old-fashioned and far-between people as have been thrown with men like Wat Ollamoor in their early life.	仅需拉一首古老的舞曲，他就可以使教区里稍有音乐天赋的孩子在几分钟内大哭起来。他喜欢几乎所有古老的舞曲——上世纪的乡村吉格舞曲、里尔舞曲以及“流行快步舞曲”。现在，其中一些残缺不全的乐曲片段甚至像无名的幽灵一样，重新出现在新的四对方舞曲和加洛普舞曲中。而只有那些有好奇心的人，或者那些早年和沃特·奥拉莫尔之类的人交往过的因循守旧的少数人才会辨认得出。		
His date was a little later than that of the old Mellstock quire-band which comprised the Dewys, Mail, and the rest—in fact, he did not rise above the horizon thereabout till those well-known musicians were disbanded as ecclesiastical functionaries.	他所处的年代比梅尔斯托克的老唱诗班乐团要晚一点儿，其成员包括德维兄弟、梅尔等人。实际上，直到那些著名乐师们不再为教会供职后，他才开始崭露头角。		
In their honest love of thoroughness they despised the new man’s style.	那些乐师挚爱严谨，因而他们瞧不上这个新来的人的风格。		
Theophilus Dewy (Reuben the tranter’s younger brother) used to say there was no ‘plumness’ in it—no bowing, no solidity—it was all fantastical.	西奥菲勒斯·德维（流动商贩鲁本的弟弟）曾经说他的琴技毫不“体面”——不运弓法、连续性差——完全荒诞不稽。		
And probably this was true.	这话也许不假。		
Anyhow, Mop had, very obviously, never bowed a note of church-music from his birth; he never once sat in the gallery of Mellstock church where the others had tuned their venerable psalmody so many hundreds of times; had never, in all likelihood, entered a church at all.	无论如何，显然，“大拖把”从出生起就从未演奏过一次教堂音乐；他从未坐在梅尔斯托克教堂的边座上，而其他人曾在那里把庄严的赞美诗奏唱过几百次。他很可能根本没进过教堂。		 
All were devil’s tunes in his repertory.	他的曲目全是恶魔之曲。		
‘He could no more play the Wold Hundredth to his true time than he could play the brazen serpent,’ the tranter would say.	“他连《赞美诗第一百首》都拉不好，就像他吹蛇形铜管一样差劲。”流动商贩会这么说。		
(The brazen serpent was supposed in Mellstock to be a musical instrument particularly hard to blow.)	（在梅尔斯托克，蛇形铜管是一种非常难吹奏的乐器。）		
Occasionally Mop could produce the aforesaid moving effect upon the souls of grown-up persons, especially young women of fragile and responsive organization.	有时，“大拖把”也能打动成年人的心，产生如前所述的效果，心思细腻敏感的年轻女子尤其如此。		
Such an one was Car’line Aspent.	卡罗琳·阿斯彭特就是这样的一个女人。		
Though she was already engaged to be married before she met him, Car’line, of them all, was the most influenced by Mop Ollamoor’s heart-stealing melodies, to her discomfort, nay, positive pain and ultimate injury.	尽管在遇到“大拖把”之前，卡罗琳已经订了婚，但是在所有这些女人中，她是受“大拖把”奥拉莫尔那勾魂的旋律影响最深的人。那旋律不仅使她不安，还给她带来极大的痛苦和致命的伤害。		
She was a pretty, invocating, weak-mouthed girl, whose chief defect as a companion with her sex was a tendency to peevishness now and then.	她漂亮，惹人怜爱，不善言辞。跟同性伴侣在一起时，她唯一的缺点是偶尔爱发发牢骚。		
At this time she was not a resident in Mellstock parish where Mop lodged, but lived some miles off at Stickleford, farther down the river.	那时，她并不是“大拖把”所在的梅尔斯托克教区的居民，她住在河流下游几英里外的斯蒂克福德。		
How and where she first made acquaintance with him and his fiddling is not truly known, but the story was that it either began or was developed on one spring evening, when, in passing through Lower Mellstock, she chanced to pause on the bridge near his house to rest herself, and languidly leaned over the parapet.	关于她是在何地如何结识他及其琴技的，实际上并不为人所知，但是据说这一切始于或源于一个春天的夜晚。当时，她经过下梅尔斯托克，恰好在他寓所附近的桥上停留歇息，无精打采地靠在栏杆上。		
Mop was standing on his door-step, as was his custom, spinning the insidious thread of semi- and demi-semi-quavers from the E string of his fiddle for the benefit of passers-by, and laughing as the tears rolled down the cheeks of the little children hanging around him.	像往常一样，“大拖把”站在门阶上，用小提琴的E弦为过路人拉奏出让人沉醉的十六分音符和三十二分音符的乐曲。当围在他身边久久不愿离去的小孩子们泪流满面时，他便欢笑起来。		
Car’line pretended to be engrossed with the rippling of the stream under the arches, but in reality she was listening, as he knew.	卡罗琳假装被桥洞下泛着涟漪的溪水吸引，其实却在聆听他奏出的音乐，这一点他很清楚。		
Presently the aching of the heart seized her simultaneously with a wild desire to glide airily in the mazes of an infinite dance.	不久，伴随着心的痛楚，她产生了一种强烈的欲望，想要在无尽的舞蹈迷宫中翩然起舞。		
To shake off the fascination she resolved to go on, although it would be necessary to pass him as he played.	为了摆脱这种诱惑，她决定继续向前走，尽管必须经过他的面前。		
On stealthily glancing ahead at the performer, she found to her relief that his eyes were closed in abandonment to instrumentation, and she strode on boldly.	她悄悄地瞥了一眼小提琴手，发现他闭着眼睛，沉浸在演奏中，便安下心来，大胆地大步向前走。		
