"书名牧羊人之所见：四个月夜的故事（哈代经典短篇小说）短简介圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，对年轻的牧羊小孩米尔斯来说并非如此。在圣诞的这一周，在三个月黑风高的夜晚，他见证了公爵、公爵夫人及公爵夫人表弟弗雷德上尉之间的爱恨情仇，并且亲眼目睹了公爵对弗雷德上尉的残酷杀戮。应公爵的要求，米尔斯始终守口如瓶，直到二十二年之后同样一个月黑风高的夜晚，真相才最终揭晓，此时这位昔日的毛头牧羊人已是人到中年。长简介哈代的短篇小说《牧羊人之所见：四个月夜的故事》借主人公之口娓娓道来，讲述了发生在四个月夜的悬疑故事。小说伊始，作者便介绍了第一位主人公：小小牧羊人。这位小小牧羊人，看似微不足道，实则是贯穿文章的主线，因为正是他那双眼眸见证了发生在公爵、公爵夫人、弗雷德上尉之间的故事。小说情节看似随兴所至、未加刻意雕琢，其实经过多处铺垫、烘托，营造了整个文章的悬疑气氛，这种气氛贯穿全文，直到二十二年之后的第四个夜晚，谜底才最后解开。小说语言简洁流畅、耐人品读。关键字牧羊人之所见；托马斯·哈代；外研社编译组；爱恨情仇；圣诞节；杀戮作者（英）托马斯·哈代作者简介托马斯·哈代（1840—1928），英国诗人、小说家。他是横跨两个世纪的作家，早期和中期的创作以小说为主，继承和发扬了维多利亚时代的文学传统；晚年以其出色的诗歌开拓了英国20世纪的文学。书评圣诞节本是万人欢庆的节日，圣诞夜本是欢乐祥和的夜晚。然而，事实并非总是如此，因为圣诞夜也见证了残酷无情的杀戮事件。"
"What the Shepherd Saw: A Tale of Four Moonlight Nights","牧羊人之所见：四个月夜的故事"
"by Thomas Hardy","作者：托马斯·哈代"
"FIRST NIGHT","第一夜"
"The genial Justice of the Peace—now, alas, no more—who made himself responsible for the facts of this story, used to begin in the good old-fashioned way with a bright moonlight night and a mysterious figure, an excellent stroke for an opening, even to this day, if well followed up.","那位和蔼可亲的治安官——唉，现在已不在人世了——对这个故事的真实性负责。他过去常用一个月光皎洁的夜晚和一位神秘的人物那种老式的套路为开头来讲述故事。这是一种极佳的故事开场手法，如果下文能展开得好的话，这种手法时至今日仍是不错的。"
"The Christmas moon (he would say) was showing her cold face to the upland, the upland reflecting the radiance in frost-sparkles so minute as only to be discernible by an eye near at hand.","圣诞的月亮（他会这么说）正冷冰冰地面向高地，高地反射出的闪闪寒光如此细微，只有附近的一只眼睛才能辨别得清。"
"This eye, he said, was the eye of a shepherd lad, young for his occupation, who stood within a wheeled hut of the kind commonly in use among sheep-keepers during the early lambing season, and was abstractedly looking through the loophole at the scene without.","这眼睛，他说，是一个年轻牧羊人的眼睛，对这一行来说，他真的是太年轻了。他站在一个带轮子的小棚子里，通过小棚子的孔洞，茫然地看着外面的景色。在产羔季节早期，牧羊人基本上都用这种小棚子。"
"The spot was called Lambing Corner, and it was a sheltered portion of that wide expanse of rough pastureland known as the Marlbury Downs, which you directly traverse when following the turnpike-road across Mid-Wessex from London, through Aldbrickham, in the direction of Bath and Bristol.","这个地方叫做产羔角，人们在这片区域盖起棚子。这里是马尔伯里丘陵地这块无边无际、高低起伏的牧场的一部分。沿着从伦敦出发、穿过威塞克斯中部的主干道，穿过阿尔德布里坎，朝着巴斯和布里斯托尔的方向前行，便会横贯马尔伯里丘陵地。"
"Here, where the hut stood, the land was high and dry, open, except to the north, and commanding an undulating view for miles.","棚子所在的地方既高又干燥，除了北边，地势很开阔，连绵起伏，无边无际。"
"On the north side grew a tall belt of coarse furze, with enormous stalks, a clump of the same standing detached in front of the general mass.","北边长着一大片粗荆豆，茎秆又高又粗大。还有一丛荆豆，与前面那一大片并不相连。"
"The clump was hollow, and the interior had been ingeniously taken advantage of as a position for the before-mentioned hut, which was thus completely screened from winds, and almost invisible, except through the narrow approach.","这一荆豆丛的中间是空的，里面得到了巧妙的利用，前面提到的那个棚子就在这里。这样，棚子不但可以避风，还很隐蔽，除非沿着狭窄的小路，否则很难看得到。"
"But the furze twigs had been cut away from the two little windows of the hut, that the occupier might keep his eye on his sheep.","但是，棚子两个小窗户旁的荆豆的细枝都被砍掉了，这样牧羊人就能盯着他的羊群。"
"In the rear, the shelter afforded by the belt of furze bushes was artificially improved by an inclosure of upright stakes, interwoven with boughs of the same prickly vegetation, and within the inclosure lay a renowned Marlbury-Down breeding flock of eight hundred ewes.","在后方，荆豆丛提供的遮蔽被人为地改进，用笔直的茎秆围了起来，与荆豆多刺的枝条相缠绕。就在这围起来的地方，圈养着由八百只著名的马尔伯里丘陵母羊组成的种羊群。"
"To the south, in the direction of the young shepherd’s idle gaze, there rose one conspicuous object above the uniform moonlit plateau, and only one.","在南面，也就是年轻的牧羊人茫然望去的方向，月光下平展的高原上耸立着一个显著的物体，仅此一个。"
"It was a Druidical trilithon, consisting of three oblong stones in the form of a doorway, two on end, and one across as a lintel.","那是一个德鲁伊教巨石牌坊，由三块长方形的石头构成了一个门的形状：两块竖着，一块横着作门楣。"
"Each stone had been worn, scratched, washed, nibbled, split, and otherwise attacked by ten thousand different weathers; but now the blocks looked shapely and little the worse for wear, so beautifully were they silvered over by the light of the moon.","每块石头都有许多磨痕、划痕和裂痕以及冲刷等逐渐受损的痕迹，此外，它们也经历了成千上万种天气地侵袭。但是现在，这几块大石头看起来外形优美，一点儿都不显得破旧不堪，银色的月光照在上面，它们显得十分漂亮。"
"The ruin was locally called the Devil’s Door.","当地人把这处遗迹称为“魔鬼门”。"
"An old shepherd presently entered the hut from the direction of the ewes, and looked around in the gloom.","不一会儿，一位老牧羊人从羊群的方向走过来，进了棚子，在阴暗中环顾四周。"
"‘Be ye sleepy?’ he asked in cross accents of the boy.","“你困了吗？”他用一种生气的语调问年轻牧羊人。"
"The lad replied rather timidly in the negative.","年轻牧羊人怯生生地作出了否定回应。"
"‘Then,’ said the shepherd, ‘I’ll get me home-along, and rest for a few hours.","“那么，”老牧羊人说，“我就回家去了，回去休息几个小时。"
"There’s nothing to be done here now as I can see.","我看这里也没什么事了。"
"The ewes can want no more tending till daybreak—’tis beyond the bounds of reason that they can.","天亮前，羊群不需要照顾，它们根本不需要照顾。"
"But as the order is that one of us must bide, I’ll leave ’ee, d’ye hear.","但是既然要求我们中有一个留在这里，那我就回去了，你听到了吧。"
"You can sleep by day, and I can’t.","你白天可以睡觉，可我不行。"
"And you can be down to my house in ten minutes if anything should happen.","如果有什么事，只要十分钟就到我家了。"
"I can’t afford ’ee candle; but, as ’tis Christmas week, and the time that folks have hollerdays, you can enjoy yerself by falling asleep a bit in the chair instead of biding awake all the time.","我可给你买不起蜡烛；但是，现在是圣诞节，人们都在过节，你可以放松一下，在椅子上睡一会儿，不用一直醒着。"
"But mind, not longer at once than while the shade of the Devil’s Door moves a couple of spans, for you must keep an eye upon the ewes.’","但是记住：你睡着的时间不要超过‘魔鬼门’的阴影移动几拃宽的时间，因为你必须看好母羊。”"
"The boy made no definite reply, and the old man, stirring the fire in the stove with his crook-stem, closed the door upon his companion and vanished.","男孩没有给出明确回答，老牧羊人用手杖拨了拨炉子里的火，为他的伙伴关上门，然后消失在了夜幕中。"
"As this had been more or less the course of events every night since the season’s lambing had set in, the boy was not at all surprised at the charge, and amused himself for some time by lighting straws at the stove.","自产羔季来临以来，这基本上成了每晚的习惯做法。要他负责看管羊群，男孩一点儿都不觉得意外，有时候他就用炉子里的火点燃稻草来自娱自乐。"
"He then went out to the ewes and new-born lambs, re-entered, sat down, and finally fell asleep.","然后，他出去看看母羊和新生的小羊羔，再回来坐下，直到最后睡着。"
"This was his customary manner of performing his watch, for though special permission for naps had this week been accorded, he had, as a matter of fact, done the same thing on every preceding night, sleeping often till awakened by a smack on the shoulder at three or four in the morning from the crook-stem of the old man.","这是他守夜时的习惯做法，尽管这周他得到特别许可，在夜里可以打几个盹，其实，之前每个晚上他都已经这么做了，每次都睡着，直到凌晨三四点老牧羊人用手杖敲打他的肩膀时才醒来。"
"It might have been about eleven o’clock when he awoke.","他这次醒来时，大概已是十一点了。"
"He was so surprised at awaking without, apparently, being called or struck, that on second thoughts he assumed that somebody must have called him in spite of appearances, and looked out of the hut window towards the sheep.","他很意外，很明显没人叫他或敲他，他竟然自己醒了。但再一想，他觉得肯定有人已经叫过他，虽然没看着人，他通过棚子的窗子向羊群望去。"
"They all lay as quiet as when he had visited them, very little bleating being audible, and no human soul disturbing the scene.","跟之前他去看的时候一样，它们都静静地卧着，几乎听不到咩咩叫的声音，也没有任何人出现打破这一安静的场面。"
"He next looked from the opposite window, and here the case was different.","接着，他从对面的窗口向外看去，这边的景象则大不相同。"
"The frost-facets glistened under the moon as before; an occasional furze bush showed as a dark spot on the same; and in the foreground stood the ghostly form of the trilithon.","和以往一样，地上的霜层在月光下晶莹发亮；一个荆豆丛在同样的地方间或投下一个黑影，幽灵般的巨石牌坊立在最显眼的地方。"
"But in front of the trilithon stood a man.","但是，巨石牌坊前站着一个男子。"
"That he was not the shepherd or any one of the farm labourers was apparent in a moment’s observation,—his dress being a dark suit, and his figure of slender build and graceful carriage.","稍加观察就会发现他明显不是老牧羊人，也不是农场工人。他身着深色外套，身形高瘦，举止优雅。"
"He walked backwards and forwards in front of the trilithon.","他在巨石牌坊前来回踱步。"
