书名乔治·费希尔案件 （马克·吐温经典短篇小说）短简介19世纪，美国佛罗里达州的一个普通农场为何能产出133323.18美元的现金？费希尔家族在半个多世纪，一次又一次地包围美国国会，执著不懈地为祖先“遭到美国军队破坏”的财产进行索赔，屡屡取得成功，其中又有着怎样的故事？长简介《乔治·费希尔案件》将一个看似荒谬的故事娓娓道来：1813年9月1日，佛罗里达州公民乔治·费希尔先生的财产被印第安人和美国军队摧毁。二十年过去了，费希尔遗孀的新丈夫向国会提出了赔偿当年财产损失的要求，声称是美国军队毁掉了费希尔先生的财产，这一请愿遭到了国会的拒绝。十六年之后，费希尔家族继承人又一次向美国国会索赔，得到8873美元的赔偿。自此以后，在几十年间，费希尔家族便时常向国会索赔，国会审理通过的赔偿金额也一路扶摇直上，竟然达到了133323.18美元！马克·吐温在这篇小说中一如既往地广泛运用了反讽的笔法，文章短小精悍，读来妙趣横生。关键字乔治·费希尔案件；马克·吐温；外研社编译组；诈骗；美国国会；赔偿；贪婪作者（美）马克·吐温作者简介马克·吐温（1835—1910），19世纪后期美国批判现实主义文学的杰出代表，美国著名的幽默大师、小说家、作家及演说家。马克·吐温出身贫寒，从小历经诸多家庭不幸，幼年起就开始打工生涯，但这些都为他以后的文学创作累积了素材。他幽默、机智，擅长写讽刺小说。作品融幽默与讽刺于一体，既富于独特的个人机智与妙语，又不乏深刻的社会洞察与剖析，被誉为文学史上的林肯。书评海伦·凯勒曾言：“我喜欢马克·吐温——谁会不喜欢他呢？即使是上帝，亦会钟爱他，赋予其智慧，并于其心灵里绘画出一道爱与信仰的彩虹。”威廉·福克纳称马克·吐温为“第一位真正的美国作家，我们都是继承他而来”。
The Case of George Fisher	乔治·费希尔案
by Mark Twain	作者：马克·吐温
This is history.	这是一个真实的故事。
It is not a wild extravaganza, like “John Wilson Mackenzie’s Great Beef Contract,” but is a plain statement of facts and circumstances with which the Congress of the United States has interested itself from time to time during the long period of half a century.	这不是一篇像《约翰·威尔逊·麦肯齐的大宗牛肉合同》那样异想天开的故事，而是朴实无华地叙述了在长达半个世纪的时间里，时不时将美国国会卷入其中的一起真实案件。
I will not call this matter of George Fisher’s a great deathless and unrelenting swindle upon the government and people of the United States—for it has never been so decided, and I hold that it is a grave and solemn wrong for a writer to cast slurs or call names when such is the case—but will simply present the evidence and let the reader deduce his own verdict.	我不会称乔治·费希尔一案是对美国政府及其民众没完没了的无情诈骗——因为从未有人对此案作出过如此判决。我认为身为一名作家，在这种情况下就对此横加诽谤和谩骂，实在是重大而严肃的错误——我只会给出证据，让读者自行判断去吧。
Then we shall do nobody injustice, and our consciences shall be clear.	这样我们就不会冤枉任何人，也不会良心不安了。
1.On or about the 1st day of September, 1813, the Creek war being then in progress in Florida, the crops, herds, and houses of Mr. George Fisher, a citizen, were destroyed, either by the Indians or by the United States troops in pursuit of them.	1.大约是在1813年9月1日，佛罗里达州正进行着克里克战争，美国公民乔治·费希尔先生的庄稼、牲口、房屋都在战争中被摧毁了，要么是印第安人干的，要么是围追他们的美国军队干的。
By the terms of the law, if the Indians destroyed the property, there was no relief for Fisher; but if the troops destroyed it, the Government of the United States was debtor to Fisher for the amount involved.	按照法律条款，如果财产是被印第安人毁掉的，费希尔就得不到任何补偿；如果是美国军队摧毁的，美国政府就是债务人，要赔偿费希尔因此战所蒙受的损失。
George Fisher must have considered that the Indians destroyed the property, because, although he lived several years afterward, he does not appear to have ever made any claim upon the government.	乔治·费希尔应该认为是印第安人毁掉了他的财产，因为虽然战后他又活了好些年，却从未向政府索要任何赔偿。
In the course of time Fisher died, and his widow married again.	时光飞逝，费希尔去世，他的遗孀再婚。
And by and by, nearly twenty years after that dimly remembered raid upon Fisher’s corn-fields, the widow Fisher’s new husband petitioned Congress for pay for the property, and backed up the petition with many depositions and affidavits which purported to prove that the troops, and not the Indians, destroyed the property; that the troops, for some inscrutable reason, deliberately burned down “houses” (or cabins) valued at $600, the same belonging to a peaceable private citizen, and also destroyed various other property belonging to the same citizen.	年复一年，近20年过去了，人们渐渐淡忘了费希尔家的玉米田被毁一事，这时费希尔遗孀的新丈夫却向国会提交了请愿书，要求赔偿财产损失，还在请愿书后附上许多口供和宣誓书，证明是军队毁坏了财产，而非印第安人；证明军队是出于某些难以理解的原因，故意放火烧毁了价值600美元的“房屋”（或棚屋），他们还毁掉了这位公民的其他财产，而这些财产原本都属于这个温顺而寡言的公民。
But Congress declined to believe that the troops were such idiots (after overtaking and scattering a band of Indians proved to have been found destroying Fisher’s property) as to calmly continue the work of destruction themselves; and make a complete job of what the Indians had only commenced.	但国会不愿相信军队是这样的傻子，（在追上并驱散了一帮正在毁坏费希尔财产的印第安人之后）居然会自己动手，继续从容地进行破坏，把印第安人刚刚开了个头的事做完。
So Congress denied the petition of the heirs of George Fisher in 1832, and did not pay them a cent.	所以1832年，国会拒绝了乔治·费希尔继承人的请愿，没有赔偿他们一分钱。
We hear no more from them officially until 1848, sixteen years after their first attempt on the Treasury, and a full generation after the death of the man whose fields were destroyed.	直到1848年，我们才又从官方渠道听到一些消息。那时距费希尔一家第一次索赔已有16年之久，而距离被毁田地的主人去世也整整隔了一代人了。
The new generation of Fisher heirs then came forward and put in a bill for damages.	新一代费希尔继承人站了出来，并提交了一份损失账单。
The Second Auditor awarded them $8,873, being half the damage sustained by Fisher.	第二审计师批给他们8873美元，这是费希尔所蒙受损失的一半。
The Auditor said the testimony showed that at least half the destruction was done by the Indians “before the troops started in pursuit,” and of course the government was not responsible for that half.	审计师说，证词表明“在军队开始围追前”，印第安人就毁掉了至少一半财产，政府当然不应为那一半负责。
2. That was in April, 1848.	2.那时是1848年4月。
In December, 1848, the heirs of George Fisher, deceased, came forward and pleaded for a “revision” of their bill of damages.	1848年12月，已故的乔治·费希尔的继承人又站了出来，请求“修订”他们的损失账单。
The revision was made, but nothing new could be found in their favor except an error of $100 in the former calculation.	修订后，除了发现之前的计算中有100美元的误差，并没有什么对他们有利的新发现。
However, in order to keep up the spirits of the Fisher family, the Auditor concluded to go back and allow interest from the date of the first petition (1832) to the date when the bill of damages was awarded.	然而，为了振奋费希尔家族的士气，审计师决定从头算过，再给他们一笔利息，日期从第一次提交请愿书算起（1832年），到损失账单得到赔偿之日为止。
This sent the Fishers home happy with sixteen years’ interest on $8,873—the same amounting to $8,997.94.	这让费希尔一家高高兴兴地回去了，带着8873美元16年的利息——利息高达8997.94美元。
Total, $17,870.94.	连本带利一共是17870.94美元。
3. For an entire year the suffering Fisher family remained quiet—even satisfied, after a fashion.	3.整整一年，饱受苦难的费希尔一家保持沉默——甚至可以说，勉强还算满意。
Then they swooped down upon the government with their wrongs once more.	接着，他们再一次用自己的不幸突袭了政府。
That old patriot, Attorney-General Toucey, burrowed through the musty papers of the Fishers and discovered one more chance for the desolate orphans—interest on that original award of $8,873 from date of destruction of the property (1813) up to 1832!	司法部长托西是一名老爱国者，他翻出了费希尔家发霉的文件，又为这些凄惨的孤儿掘出了一线机会——最初偿付的8873美元的利息应从财产被毁之日（1813年）算起，至1832年为止。
Result, $10,004.89 for the indigent Fishers.	结果，贫穷的费希尔一家又得到10004.89美元。
So now we have: First, $8,873 damages; second, interest on it from 1832 to 1848, $8997.94; third, interest on it dated back to 1813, $10,004.89.	所以现在我们有：第一笔，8873美元赔偿费；第二笔，从1832年到1848年的利息，8997.94美元；第三笔，从1813年算起的利息，10004.89美元。
Total, $27,875.83!	总计：27875.83美元！
What better investment for a great-grandchild than to get the Indians to burn a corn-field for him sixty or seventy years before his birth, and plausibly lay it on lunatic United States troops?	在曾孙出生前六七十年，让印第安人一把火烧了玉米地，然后把这笔账巧妙地算在疯狂愚蠢的美国军队头上，还有什么投资比这更划算？
4. Strange as it may seem, the Fishers let Congress alone for five years—or, what is perhaps more likely, failed to make themselves heard by Congress for that length of time.	4.虽然看似奇怪，但费希尔一家竟然五年没有理会国会——或者，更有可能的是，他们在这段时间内没能让国会听到他们的声音。
But at last, in 1854, they got a hearing.	但最后，1854年，他们申请到了一场听证会。
They persuaded Congress to pass an act requiring the Auditor to re-examine their case.	他们说服国会通过了一项法案，要求审计师重审他们的案件。
