书名	质检
汉塞尔与格莱特	
短简介	
一对可怜的兄妹遭到了继母的抛弃，流落荒林，最后来到了一座糖果屋，饥饿难忍的兄妹俩迫不及待地吃了起来。但是糖果屋的主人是一个吃人的女巫，她把兄妹俩抓了起来，想要把哥哥养得胖胖的，然后吃了哥哥。但兄妹俩凭借着自己的智慧战胜了女巫，并且找到了回家的路。	
长简介	
汉塞尔与格莱特兄妹与父亲和继母生活在一起，父亲是贫穷的樵夫，由于饥荒，继母狠心地抛弃了兄妹俩，汉塞尔与格莱特听到了他们的计划，于是他们将收集的石头撒在路上，于是他们沿小石头找到回家的路。回来后，继母再度说服木工将他们丢在森林；不过这次他们撒的是面包屑，不幸的是，面包屑被乌鸦吃掉了，于是俩人迷路了。在森林中，他们发现了一个用面包做的房屋，窗户是糖果做的。房子的主人是一个老妇人，她邀请他们进去屋内并盛宴款待他们。不过，那老妇人其实是一个吃人的巫婆，她把汉塞尔关起来，并要格莱特为她服务。机智的格莱特设计将巫婆活活烫死。拿走所有的珠宝后，他们回到家中，与父亲重聚，这时继母已经死了，他们从此过着幸福快乐的生活。	
关键字	
汉塞尔与格莱特；安德鲁·朗格；外研社编译组；格林兄弟；儿童读物；糖果屋；奇幻；历险；机智；兄妹情 	
作者	
（英）安德鲁·朗格	
作者简介	
安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。	
书评	
这篇童话短小精彩，故事情节引人入胜，让人印象深刻，同时糖果屋这一情节充满想象力，通话中的主人公机智勇敢。	
童话故事中的汉赛尔很聪明、勇敢，汉赛尔与格莱特遇到各种困境都不畏惧并与之抗衡，最终凭借聪明的才智获得了成功。告诉了小朋友一个道理，在现实生活中，要学习这种不怕困难的精神，面对困难和危险要开动脑筋想办法。	

Hansel and Grettel	汉塞尔与格莱特
by Andrew Lang	作者：安德鲁·朗格
