"书名牧鹅姑娘短简介侍女叛变，婚嫁途中夺走真公主的坐骑和服饰，并威逼其扮成侍女。到异国时，假公主横行霸道，真公主沦为卑微的牧鹅姑娘，然而正义的力量最终战胜邪恶，善良的“牧鹅姑娘”最终夺回属于自己的幸福。《牧鹅姑娘》给我们讲述了一个普通但又发人深省的真假公主的故事。长简介《牧鹅姑娘》给我们讲述了一个普通但发人深省的真假公主的故事。年迈的老王后在女儿长大成人远嫁他乡时送给她一位侍女，陪同她远嫁异国。歹毒的侍女在途中威逼真公主换上自己的衣服并夺走了公主那会说话的马儿。善良软弱的公主只得屈服。远到异国后，侍女——假公主嫁给王子，真公主被打发做牧鹅女。然而，善良的品质使得牧鹅女备受老国王的关注。最终，真相被揭露，善良的牧鹅姑娘找回了本该属于自己的幸福。整篇故事语言流畅，用词准确，朴实中带有令人回味的哲理。关键字牧鹅姑娘；安德鲁·朗格；外研社编译组；短篇；牧鹅女；真公主；假公主作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评这是一个讲述婢女为公主送嫁，结果趁着公主失去保护的时候粗鲁地辱骂使唤公主，并且拿走公主的一切想在王子面前取代公主终被发现而受罚的故事。              "
"真、善、美中，首先就是真。真实、真纯。弄虚作假的人应引以为戒。"
"The Goose Girl","牧鹅姑娘"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time an old queen, whose husband had been dead for many years, had a beautiful daughter.","从前，有一位老王后，她的丈夫已经去世很多年了，她有一个漂亮的女儿。"
"When she grew up she was betrothed to a prince who lived a great way off.","女儿长大后，与很远的一个国家的王子订了婚。"
"Now, when the time drew near for her to be married and to depart into a foreign kingdom, her old mother gave her much costly baggage, and many ornaments, gold and silver, trinkets and knicknacks, and, in fact, everything that belonged to a royal trousseau, for she loved her daughter very dearly.","如今，当婚期将近，她快要启程去异国时，她的老母亲送给她许多非常昂贵的行李，以及许多饰品，金银、小饰品和小摆设。事实上，包括了王室嫁妆该有的所有东西。因为，她深爱着她的女儿。"
"She gave her a waiting-maid also, who was to ride with her and hand her over to the bridegroom, and she provided each of them with a horse for the journey.","她还送给女儿一个侍女，陪女儿一起骑马前往并将她亲手交给新郎，而且她为这次行程给每人配了一匹马。"
"Now the Princess’s horse was called Falada, and could speak.","公主的马叫法拉达，可以和人讲话。"
"When the hour for departure drew near the old mother went to her bedroom, and taking a small knife she cut her fingers till they bled; then she held a white rag under them, and letting three drops of blood fall into it, she gave it to her daughter, and said: “Dear child, take great care of this rag: it may be of use to you on the journey.”","就要启程的时候，老母亲到她的卧室里，拿起一把小刀割破了她的手指；然后，她在下面托着一块白色的布，滴了三滴血在上面，并将它交给女儿，说：“亲爱的孩子，一定要保管好这块布，它可能会在途中帮到你。”"
"So they took a sad farewell of each other, and the Princess stuck the rag in front of her dress, mounted her horse, and set forth on the journey to her bridegroom’s kingdom.","于是，她们伤心地告别彼此，公主把布塞在她衣服的前面，骑上马，踏上了前往新郎王国的旅程。"
"After they had ridden for about an hour the Princess began to feel very thirsty, and said to her waiting-maid: “Pray get down and fetch me some water in my golden cup out of yonder stream: I would like a drink.”","她们大约骑了一个小时，公主开始觉得口干舌燥，便对她的侍女说：“请下马用我的金杯从那边的小溪为我舀些水来，我想喝水了。”"
"“If you’re thirsty,” said the maid, “dismount yourself, and lie down by the water and drink; I don’t mean to be your servant any longer.”","“如果你口渴了，”侍女道，“自己下马趴在水边喝就是了，我不愿再当你的仆人了。”"
"The Princess was so thirsty that she got down, bent over the stream, and drank, for she wasn’t allowed to drink out of the golden goblet.","公主太渴了，便下了马弯腰从小溪里喝水，因为侍女不许她用自己的金杯。"
"As she drank she murmured: “Oh! heaven, what am I to do?” and the three drops of blood replied:","喝水的时候，她喃喃地说：“哦！天啊，我该怎么办呢？”那三滴血答道："
"“If your mother only knew,","“要是你的母亲知道了，"
"Her heart would surely break in two.”","她的心肯定会碎成两半。”"
"But the Princess was meek, and said nothing about her maid’s rude behavior, and quietly mounted her horse again.","但是公主很温顺，对侍女的无礼行为没有说什么，便不声不响地又上了马。"
"They rode on their way for several miles, but the day was hot, and the sun’s rays smote fiercely on them, so that the Princess was soon overcome by thirst again.","她们一路上骑了几英里，但天很热，阳光火辣辣地照在她们身上，所以，很快公主又渴了起来。"
"And as they passed a brook she called once more to her waiting-maid: “Pray get down and give me a drink from my golden cup,” for she had long ago forgotten her maid’s rude words.","当她们经过一条小溪时，公主又一次喊了她的侍女：“请下马用我的金杯给我舀些水来。”因为她早就忘记了侍女无礼的话语。"
"But the waiting-maid replied, more haughtily even than before: “If you want a drink, you can dismount and get it; I don’t mean to be your servant.”","但是侍女甚至比以前更傲慢地说道：“如果你想喝水，你可以自己下马去喝，我可不愿意当你的仆人。”"
"Then the Princess was compelled by her thirst to get down, and bending over the flowing water she cried and said: “Oh! heaven, what am I to do?” and the three drops of blood replied:","公主因干渴被迫下了马，她弯腰在流水旁哭着说：“哦！天啊，我该怎么办？”那三滴血答道："
"“If your mother only knew,","“要是你的母亲知道了，"
"Her heart would surely break in two.”","她的心肯定会碎成两半。”"
"And as she drank thus, and leaned right over the water, the rag containing the three drops of blood fell from her bosom and floated down the stream, and she in her anxiety never even noticed her loss.","当公主就这样伏在水面上喝水时，上面有三滴血的布从怀中掉了出来，顺着溪流漂走了。公主如此忧虑，以至于没有注意到她丢失了那块布。"
"But the waiting-maid had observed it with delight, as she knew it gave her power over the bride, for in losing the drops of blood the Princess had become weak and powerless.","但是侍女却开心地看着这一切，因为她知道这给了她凌驾于新娘之上的力量，因为失去血滴，公主已变得软弱无权。"
"When she wished to get on her horse Falada again, the waiting-maid called out: “I mean to ride Falada: you must mount my beast”; and this too she had to submit to.","当公主想再跨上她的马法拉达时，侍女喊道：“我想骑法拉达，你必须上我的马。”公主这次也不得不屈服。"
"Then the waiting-maid commanded her harshly to take off her royal robes, and to put on her common ones, and finally she made her swear by heaven not to say a word about the matter when they reached the palace; and if she hadn’t taken this oath she would have been killed on the spot.","于是侍女严厉地命令她脱去王室长袍，换上侍女的普通衣服，最后，命令她对天发誓，她们到王宫时，对这件事情不能泄露半句。如果她不发誓的话，就会马上被杀死。"
"But Falada observed everything, and laid it all to heart.","但是法拉达看到了这一切，并记在心上。"
