"书名巨人杀手杰克传奇（中世纪奇幻之作）短简介雄心勃勃的少年如何打败众多巨人从魔堡救出公主？故事的主人公杰克，聪明、勇敢，并立志要打败巨人，维护国家的和平。他凭借自己过人的胆识，以及几件法宝：快马、宝剑、飞鞋、隐形衣、一次又一次的斩杀可怕的巨人，他最终救出美丽的公主，与其过上幸福富足的生活。长简介巨人杀手杰克传奇是中世纪奇幻之作。讲述了一个小人物多次打败巨人的英雄事迹。跌宕起伏的故事情节，死里逃生的精彩逆转一方面丰富了整个短篇故事的内容，使之生动、惊险；另一方面突出体现了故事主人公杰克过人的胆识和超凡的智慧。历险中出现的几件宝物：快马、宝剑、飞鞋、隐形衣也使得整个故事的传奇色彩更浓重。最后公主与英雄幸福生活的结局也延续了童话小说一贯的浪漫主义情结，给故事画上了一个圆满的句号。人类与巨人的这场较量，人类的最后胜出歌颂了人类的智慧和无穷力量。本篇不失为一篇别具匠心的童话故事。关键字巨人杀手；安德鲁·朗格；杰克；外研社编译组；短篇；中世纪；传奇作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），生于苏格兰，兼有诗人、小说家、文学评论家和民俗学家等多重身份，以收集和整理世界各地的民间传说及故事而闻名。由他编纂并分别以十二种颜色命名的《彩色童话集》（又称《朗格童话》）中，汇集了许多著名的童话故事与来自欧洲、亚洲、美洲、非洲各地的民间传说，为孩子们创造了一个色彩瑰丽的童话世界。书评童话中饱含的爱与善的主题、积极向上的乐观精神、绚丽多姿的幻想品格，其中所蕴涵的人性美、艺术美、幻想美，温暖和照亮了全世界一代又一代儿童以及大人的心灵。人类的智慧和力量是无穷的。"
"The History of Jack the Giant Killer ","巨人杀手杰克传奇"
"by Andrew Lang","作者：安德鲁·朗格"
"In the reign of the famous King Arthur there lived in Cornwall a lad named Jack, who was a boy of a bold temper, and took delight in hearing or reading of conjurers, giants, and fairies; and used to listen eagerly to the deeds of the knights of King Arthur’s Round Table.","在著名的亚瑟王执政时期，在康沃尔郡住着一位名叫杰克的小伙子，他生性大胆，乐于听人讲诉或者阅读关于魔术师、巨人和精灵的故事；并且曾十分痴迷于倾听亚瑟王圆桌会议中那些骑士的英雄事迹。"
"In those days there lived on St. Michael’s Mount, off Cornwall, a huge giant, eighteen feet high and nine feet round; his fierce and savage looks were the terror of all who beheld him.","那个时代，在康沃尔郡外的圣迈克尔山上住着一个身高十八英尺、腰围九英尺的巨人；凡是见过他的人都会被他那凶残野蛮的相貌吓到。"
"He dwelt in a gloomy cavern on the top of the mountain, and used to wade over to the mainland in search of prey; when he would throw half a dozen oxen upon his back, and tie three times as many sheep and hogs round his waist, and march back to his own abode.","他居住在山顶一个阴暗的洞穴里，经常下山寻觅猎物；狩猎时他会背驮六头公牛，腰上再拴三倍多的猪羊，迈步回到自己的老窝。"
"The giant had done this for many years when Jack resolved to destroy him.","这巨人已经这样作恶多年，杰克下定决心来铲除他。"
"Jack took a horn, a shovel, a pickaxe, his armor, and a dark lantern, and one winter’s evening he went to the mount.","杰克带上一只号角、一把铲子、一只鹤嘴锄、他的盔甲、一盏黑皮灯，在一个冬天的夜晚向山顶进发。"
"There he dug a pit twenty-two feet deep and twenty broad.","他在山顶上挖了一个二十二英尺深、二十英尺宽的大坑。"
"He covered the top over so as to make it look like solid ground.","他把上头掩盖起来，让它看上去像坚实的平地一样。"
"He then blew his horn so loudly that the giant awoke and came out of his den crying out: “You saucy villain! you shall pay for this I’ll broil you for my breakfast!”","然后他奋力吹响他的号角，直到巨人被吵醒，走出洞穴大声叫喊道：“你这个下流的小坏蛋！你将为此付出代价，我要烤了你做我的早餐！”"
"He had just finished, when, taking one step further, he tumbled headlong into the pit, and Jack struck him a blow on the head with his pickaxe which killed him.","他刚说完这些，向前迈出一步的时候，他倒栽葱摔在了坑里，杰克抡起鹤嘴锄往他头上一砸，把他杀死了。"
"Jack then returned home to cheer his friends with the news.","然后杰克回到家告诉朋友们这个消息，大家都欢呼喝彩。"
"Another giant, called Blunderbore, vowed to be revenged on Jack if ever he should have him in his power.","另一个叫做布拉格登堡的巨人发誓，一旦杰克落到他手上，一定要向他报仇雪恨。"
