书名忠贞的公牛（海明威经典短篇小说）短简介农场里酷爱搏斗的公牛爱上了一头母牛，对其他母牛不屑一顾。农场主对此很不满，于是将它送上斗牛场。虽然公牛最终死在斗牛场上，但它的勇猛和忠贞赢得了所有人的钦佩。长简介农场里有一头酷爱搏斗的公牛，它与所有的牛都斗，并且总能斗赢。农场主人不忍心将这头了不起的公牛送到斗牛场，于是将它留下来配种。让人意想不到的是这头公牛竟然死心塌地地爱着一头年轻俏丽的母牛，对其他母牛一眼都不瞧。农场主人一气之下将它送上斗牛场。虽然这头公牛很勇猛，但最终还是死在斗牛士的剑下。尽管如此，公牛的英勇和忠贞赢得了所有人的钦佩。关键字忠贞的公牛；欧内斯特·海明威；外研社编译组；短篇；忠诚；死亡作者（美）欧内斯特·海明威作者简介欧内斯特·海明威（1899—1961），美国小说家。海明威是美国“迷失的一代”（Lost Generation）作家中的代表人物，作品中对人生、世界、社会都表现出了迷茫和彷徨。海明威代表作有《老人与海》、《太阳照样升起》、《永别了，武器》、《丧钟为谁而鸣》等，凭借《老人与海》获得1953年普利策奖及1954年诺贝尔文学奖。海明威被誉为美利坚民族的精神丰碑，并且是“新闻体”小说的创始人，他的笔锋一向以“文坛硬汉”著称。海明威的写作风格以简洁著称，对美国文学及20世纪文学的发展有极深远的影响。书评“我以模仿海明威来学习……直至我发现自己并没能模仿他对生命的态度。我并没有像他那般对自己或任何事都存认真的态度。”——艾尔莫·雷纳德英勇的公牛死心塌地地爱着一头母牛，他的忠诚会给他带来怎样的结局，是幸福快乐地与母牛生活在一起，还是要被迫分开？
The Faithful Bull	忠贞的公牛	
by Ernest Hemingway	作者：欧内斯特·海明威	
One time there was a bull and his name was not Ferdinand and he cared nothing for flowers.	从前有一头公牛，它的名字不叫费迪南德，它对什么鲜花都不喜欢。	译者注：“Ferdinand”引用美国动画片《公牛费迪南德》的翻译名。
He loved to fight and he fought with all the other bulls of his own age, or any age, and he was a champion.	它酷爱搏斗，跟其他所有与自己同龄或任何年龄的牛都斗，并且它总是能赢。	
His horns were as solid as wood and they were as sharply pointed as the quill of a porcupine.	它的角像木头一样结实，像豪猪身上的刺一样尖利。	
They hurt him, at the base, when he fought and he did not care at all.	一旦斗起来，其他牛顶得它的角根生疼，它却毫不在意。	
His neck muscles lifted in a great lump that is called in Spanish the morillo and this morillolifted like a hill when he was ready to fight.	它的脖颈上隆起一大块肌肉，在西班牙语中，这叫“莫里略”；当它准备搏斗时，它的“莫里略”便拱得像一座小山似的。	
He was always ready to fight and his coat was black and shining and his eyes were clear.	它随时准备搏斗，它的皮毛乌黑而光亮，目光明净。	
Anything made him want to fight and he would fight with deadly seriousness exactly as some people eat or read or go to church.	一旦有什么事激起它搏斗的欲望，它便会极其认真地搏斗，就像一些人吃饭、读书、做礼拜一样认真。	
Each time he fought he fought to kill and the other bulls were not afraid of him because they came of good blood and were not afraid.	每次搏斗，它都要置对方于死地，其他的牛倒也不怕它，因为它们都是良种牛，是不会害怕的。	
But they had no wish to provoke him.	但是它们并不想去激怒它。	
Nor did they wish to fight him.	也不想同它斗。	
He was not a bully nor was he wicked, but he liked to fight as men might like to sing or to be the King or the President.	它并不蛮横霸道，也不爱使坏心眼，可它就是喜欢斗，就像人可能喜欢唱歌，或是想当国王、总统一样。	
He never thought at all.	它从来都不思考。	
Fighting was his obligation and his duty and his joy.	搏斗是它的天职、它的本分和乐趣。	
He fought on the stony, high ground.	在多石的高地上，它斗。	
He fought under the cork-oak trees and he fought in the good pasture by the river.	在栓皮栎下和河边丰茂的草地上，它也斗。	
He walked fifteen miles each day from the river to the high, stony ground and he would fight any bull that looked at him.	它每天从河边走十五英里到多石的高地上。有哪头牛敢看它一眼，它就要找哪头牛斗。	
Still he was never angry.	尽管如此，它从来也不发火。	
That is not really true, for he was angry inside himself.	这其实也没说对，因为它的心里还是愤怒的。	
