"书名      阳阳和月月短简介    阳阳和月月是两个小家伙，一天晚上，家里忙着准备晚宴，厨娘带着他们欣赏了她和助手亲手准备的晚餐，这些食物不仅非常丰盛，而且非常漂亮，它们被做成各种形状，其中最漂亮的是做成一座粉红色小房子形状的冰激凌。阳阳看到这些食物，问道，客人们会吃这些食物吗？那么，晚宴结束后，客人们吃掉这些食物了吗？阳阳看到晚宴后的情形会是怎么样呢？长简介    凯瑟琳·曼斯菲尔德的短篇小说《阳阳和月月》主要描写了孩子的幻灭感。小说开头，家里的仆人们忙进忙出准备着一场盛大的晚宴，没有人顾得上阳阳和月月这两个小家伙。厨娘和助手高兴地向阳阳和月月展示着她的作品，一顿不仅丰盛而且更精美的晚餐，这些食物都被做成了各式各样的图案，其中阳阳最喜欢的是做成粉红色小房子形状的冰激凌。晚宴结束之后，当阳阳看到餐厅里一片狼藉，他最心爱的小房子冰激凌被毁掉之后，不禁大哭，他觉得太可怕了，无法接受自己想象中的美好的事物被毁掉的现实。关键字阳阳和月月；曼斯菲尔德；外研社编译组；短篇；儿童；幻想；毁灭作者（英）凯瑟琳·曼斯菲尔德作者简介凯瑟琳·曼斯菲尔德（1888—1923），英国作家。她的创作有短篇小说、诗和文学评论，并与人合译过契诃夫和高尔基的作品。凯瑟琳·曼斯菲尔德的小说大多揭露社会的黑暗，但也有少数作品表现了生的欣悦。她在艺术上深受契诃夫的启发，不设奇局，不求曲折的情节，注重从看似平凡的小处发掘人物情绪的变化。文笔简洁优美流畅，表达细腻含蓄，富有诗意。书评曼斯菲尔德本人非常喜爱俄罗斯文化，她的写作风格深受俄国作家的影响。她刻画人物细腻入微，时常在情节上精雕细琢，被称为“英国的契诃夫”。是什么毁灭了阳阳的幻想呢？"
"Sun and Moon","阳阳和月月 "
"by Katherine Mansfield","作者：凯瑟琳·曼斯菲尔德"
"In the afternoon the chairs came, a whole big cart full of little gold ones with their legs in the air.","下午很多椅子运来了，一辆大卡车上装满了金色的小椅子，全都倒放着。"
"And then the flowers came.","接着花也运到了。"
"When you stared down from the balcony at the people carrying them the flower pots looked like funny awfully nice hats nodding up the path.","站在阳台上往下看，看着人们运送着一盆盆花，这些花就像一顶顶非常有趣的帽子，头一点一点地沿着小路往房子里走。"
"Moon thought they were hats.","月月还以为它们就是帽子。"
"She said: “Look.","她说：“看啊，"
"There’s a man wearing a palm on his head.”","有一个人头上戴着棕榈呢。”"
"But she never knew the difference between real things and not real ones.","但是，她从来也没弄清真东西和假东西之间的区别。"
"There was nobody to look after Sun and Moon.","没有人来照顾阳阳和月月。"
"Nurse was helping Annie alter Mother’s dress which was much-too-long-and-tight-under-the-arms and Mother was running all over the house and telephoning Father to be sure not to forget things.","保姆在帮助安妮改做妈妈的衣服，那件衣服太长，胳肢窝下面又太紧了；妈妈在整个房子里跑来跑去，打电话给爸爸，让他确认不要忘了东西。"
"She only had time to say: “Out of my way, children!”","她只有时间说：“别来烦我，孩子们！”"
"They kept out of her way—at any rate Sun did.","两个孩子没有去烦妈妈——至少阳阳是这样。"
"He did so hate being sent stumping back to the nursery.","他只是很讨厌被打发回儿童房，连他的步子也是气鼓鼓的。"
"It didn’t matter about Moon.","月月就没什么要紧的了。"
"If she got tangled in people’s legs they only threw her up and shook her till she squeaked.","如果她在大人腿边绊着了，他们只会把她往空中一举，晃得她连连尖叫。"
"But Sun was too heavy for that.","但是阳阳太重了，人们都举不动他。"
