"This Flower ","花朵"
"by Katherine Mansfield","作者：凯瑟琳·曼斯菲尔德"
"“But I tell you, my lord fool, out of this nettle danger, we pluck this flower, safety.”","“可是我告诉你吧，我的傻瓜老爷子，我们要安全地从危险的荆棘里采下花朵。”"
"As she lay there, looking up at the ceiling, she had her moment—yes, she had her moment!","她躺在那里，眼睛望着天花板，这一刻是属于她的了——是的，这一会儿时间是属于她的！"
"And it was not connected with anything she had thought or felt before, not even with those words the doctor had scarcely ceased speaking.","这一刻，跟她以前的所想所感一点儿关系也没有，甚至和医生刚刚说过的话一点儿关系也没有。"
"It was single, glowing, perfect; it was like—a pearl, too flawless to match with another...Could she describe what happened?","这一刻是独一无二的，是闪闪发光的，是完美的，它就像——一颗珍珠，一颗完美无瑕的珍珠，没有其他任何珠子可以与之相配……她能不能把刚才发生的事说一遍呢？"
"Impossible.","她做不到。"
"It was as though, even if she had not been conscious (and she certainly had not been conscious all the time) that she was fighting against the stream of life—the stream of life indeed!—she had suddenly ceased to struggle.","即使她没有意识到（其实她一直都没有意识到），她好像正在跟生命的激流作斗争——的确是生命的激流！——突然她停止斗争了。"
"Oh, more than that!","噢，还不止这样！"
"She had yielded, yielded absolutely, down to every minutest pulse and nerve, and she had fallen into the bright bosom of the stream and it had borne her...","她屈服了，完完全全屈服了，连她那最细微的脉搏、最纤弱的神经都屈服了，现在她沉溺在激流的明亮的怀抱里，任由激流将她带走……"
"She was part of her room—part of the great bouquet of southern anemones, of the white net curtains that blew in stiff against the light breeze, of the mirrors, the white silky rugs; she was part of the high, shaking, quivering clamour, broken with little bells and crying voices that went streaming by outside,—part of the leaves and the light.","她是她房间的一部分——是那一大束南方银莲花的一部分，是被微风吹起的白色网眼窗帘的一部分，是那镜子、那白色丝绒般的毛毯的一部分，是那一片高昂的、震撼的、颤抖的喧嚣声的一部分，只有外面流过的轻轻的铃声和喊叫声才打破了这喧闹声——她是那树叶和光线的一部分。"
"Over.","结束了。"
"She sat up.","她坐起来了。"
"The doctor had reappeared.","医生又出现了。"
"This strange little figure with his stethoscope still strung round his neck—for she had asked him to examine her heart—squeezing and kneading his freshly washed hands, had told her...","这个奇怪的小个子，脖子上还挂着个听诊器——因为她要求他给自己检查一下心脏——他不停地搓着揉着他那双洗干净的手，他曾经跟她说……"
"It was the first time she had ever seen him.","那还是她第一次见到他。"
"Roy, unable, of course, to miss the smallest dramatic opportunity, had obtained his rather shady Bloomsbury address from the man in whom he always confided everything, who, although he’d never met her, knew “all about them.”","罗伊，当然了，是不会错过最小的一次富于戏剧性意味的机会的；他从他那个无话不谈的好朋友那里获得了医生在绿树成阴的布卢姆斯伯里街的地址；尽管那位朋友从来没有见过她，但是“他们的那些事”，他全都知道。"
"“My darling,” Roy had said, “we’d better have an absolutely unknown man just in case it’s—well, what we don’t either of us want it to be.","“亲爱的，”罗伊说，“我们最好找一个完全不认识的人，为了以防万一——如果，碰到了我们都不希望遇到的那种情况呢。"
"One can’t be too careful in affairs of this sort.","碰到这种事，小心一点儿总是不会错的。"
"Doctors do talk.","医生的嘴是靠不住的。"
"It’s all damned rot to say they don’t.”","说医生的嘴很严，都不过是些骗人的鬼话罢了。”"
"Then, “Not that I care a straw who on earth knows.","然后又加了一句：“并不是说我怕让世界上的哪个人知道。"
"Not that I wouldn’t—if you’d have me—blazon it on the skies, or take the front page of the Daily Mirror and have our two names on it, in a heart, you know—pierced by an arrow.”","并不是说我不愿意——如果你愿意让我——把这事到处宣扬的话，或者是把我们俩的名字在《每日镜报》的第一版上刊登出来，把两个名字圈在一颗心上，你知道的——两颗心被一支箭穿过。”"
"Nevertheless, of course, his love of mystery and intrigue, his passion for “keeping our secret beautifully” (his phrase!) had won the day, and off he’d gone in a taxi to fetch this rather sodden-looking little man.","当然，话虽然是这么说的，他还是抑制不住他对于神秘和隐瞒的爱好，他充满了热情，一心只想“把我们俩的秘密守护得严严实实的”（他是这么说的！），因此他雇了辆出租车把这个呆头呆脑的小个子接了来。"
"She heard her untroubled voice saying, “Do you mind not mentioning anything of this to Mr. King?","她听到自己平静地跟他说：“我的情况你什么都不要跟金先生说，可以吗？"
"If you’d tell him that I’m a little run down and that my heart wants a rest.","如果你要说的话，就说我有点儿虚弱，我的心脏需要一些休息。"
"For I’ve been complaining about my heart.”","因为这一阵子，我的心脏就一直有些不舒服。”"
"Roy had been really too right about the kind of man the doctor was.","这个医生是个什么样的人，罗伊果然看得很准。"
"He gave her a strange, quick, leering look, and taking off the stethoscope with shaking fingers he folded it into his bag that looked somehow like a broken old canvas shoe.","他斜着眼睛，快速地看了她一眼，眼神有点儿怪；他一边拿下听诊器，手指有些发抖，再把听诊器收好，塞进包里，那个包有些像是一只破旧的帆布鞋。"
"“Don’t you worry, my dear,” he said huskily.","“别担心，亲爱的，”他声音有些嘶哑，"
"“I’ll see you through.”","“我会帮忙的。”"
"Odious little toad to have asked a favour of!","竟然得向一只讨人嫌的小癞蛤蟆求情！"
"She sprang to her feet, and picking up her purple cloth jacket, went over to the mirror.","她站了起来，把她那件紫色布料上衣捡了起来，走到镜子面前。"
"There was a soft knock at the door, and Roy—he really did look pale, smiling his half-smile—came in and asked the doctor what he had to say.","有一个轻轻的叩门声，罗伊走了进来——他看上去脸色苍白，只露出一半笑容——他想听听医生怎么说。"
"“Well,” said the doctor, taking up his hat, holding it against his chest and beating a tattoo on it, “all I’ve got to say is that Mrs.—h’m—Madam wants a bit of a rest.","“好吧，”医生说，拿起他的帽子按在胸口，手指在帽子上不停地轻叩着，“我要说的就是这位夫人，——嗯——这位女士需要一些休息。"
"She’s a bit run down.","她有点儿虚弱。"
"Her heart’s a bit strained.","她心脏有点儿疲劳过度了。"
"Nothing else wrong.”","除此之外，没有什么其他的问题。”"
"In the street a barrel-organ struck up something gay, laughing, mocking, gushing, with little trills, shakes, jumbles of notes.","街上，手摇风琴奏出了一支轻快的曲子，听起来像是在发笑，在嘲弄，感情奔放，中间夹杂着一串串颤抖的声音。"
"That’s all I got to say, to say,","这就是所有我要说的，所有要说的，"
"That’s all I got to say,","这就是我要说的所有的话。"
"it mocked.","手摇风琴嘲弄着。"
