书名“美中不足”（欧·亨利经典短篇小说）短简介新娘是世界上最幸福的人，她是受上帝眷顾的。她可以让自己的丈夫唯命是从，只要悄悄说出自己的小愿望，他就会全力以赴。小说中的主人公小麦克是一位拳击选手。而这样一位铁汉，面对自己的新娘也充满了柔情。他为了新娘“一个桃子”的要求，经历了种种故事，小说最终以幽默的方式结尾，体现了小人物的幸福生活。长简介小说《“美中不足”》讲述了一对夫妻蜜月里经历的趣事。小麦克是一位拳击运动员，对新婚的妻子百依百顺。那天新娘想吃桃子，小麦克决定出去找找。可是初春的时候很少有桃子，他找了水果店、餐馆，都没有找到。最后他不得不找警察出面，查抄了一个赌场才找到了几个桃子，还为此受了轻伤。可是当他把桃子交到新娘手中时，新娘玩笑似的一句话和他之前的大费周章形成了鲜明的对比。文章以幽默的方式结局，让人们不禁感受到了小人物平凡生活中的幸福，也体会到了爱情的伟大。关键字“美中不足”；欧·亨利；外研社编译组；短篇；蜜月；爱情；桃子作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国著名批判现实主义作家、世界三大短篇小说大师之一，被誉为“曼哈顿桂冠散文作家”和“美国现代短篇小说之父”。他的一生富于传奇性：做过药房学徒、会计、新闻记者、银行出纳等多个工作。其作品构思新颖，语言诙谐，人物众多，富于生活情趣，尤以出人意料的结尾闻名，被誉为“美国生活的幽默百科全书”。书评当我轻松地对待可笑的事物时，我也是严肃地对待它。——马克思摇动摇篮的手统治世界。
“Little Speck in Garnered Fruit”	“美中不足”	
by O. Henry	作者：欧·亨利	
The honeymoon was at its full.	那是蜜月中的最美满的时候。	
There was a flat with the reddest of new carpets, tasselled portières and six steins with pewter lids arranged on a ledge above the wainscoting of the dining-room.	房间里铺着红彤彤的新地毯，门上挂着流苏帘子，餐厅护墙板的架子上摆放着六个有白镴盖的啤酒杯。	
The wonder of it was yet upon them.	美妙的感觉依然还在。	
Neither of them had ever seen a yellow primrose by the river’s brim; but if such a sight had met their eyes at that time it would have seemed like—well, whatever the poet expected the right kind of people to see in it besides a primrose.	他们俩谁也没有见过河畔的黄樱草，可即便那个时候黄樱草呈现在他们眼前，那也只是——嗯，除了黄樱草，他们还会看到诗人指望他们从中看到的一切。	
The bride sat in the rocker with her feet resting upon the world.	新娘坐在摇椅上，她的两只脚像是放在整个世界之上。	
She was wrapt in rosy dreams and a kimono of the same hue.	她裹着玫瑰色的睡衣，沉浸在同样颜色的美梦中。	
She wondered what the people in Greenland and Tasmania and Beloochistan were saying one to another about her marriage to Kid McGarry.	她想象着格陵兰、塔斯马尼亚和俾路支斯坦的人会怎样彼此谈论她和小麦加里的婚事。	
Not that it made any difference.	其实那也没多大关系。	
There was no welter-weight from London to the Southern Cross that could stand up four hours—no; four rounds—with her bridegroom.	从伦敦到南十字星，没有哪个重量级拳手能在她的新郎面前坚持四个小时——不，应该说四个回合。	
And he had been hers for three weeks; and the crook of her little finger could sway him more than the fist of any 142-pounder in the world.	三周前他就成了她的人。她的小指头一勾就可以摆布他，比世界上任何一个一百四十二磅级的拳击手的拳头还要好使。	
Love, when it is ours, is the other name for self-abnegation and sacrifice.	当爱情属于我们自己时，它就是克己和牺牲的别称。	
