"书名牧场上的博皮普夫人（欧·亨利经典短篇小说）短简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，也厌倦了这座让她迷失的都市。她来到她唯一拥有的牧场，重新开始了生活。返回了大自然，她的天性得到了自由和新鲜空气。在这里，她不仅找到了爱情，也得到了人生的幸福。长简介欧·亨利短篇小说《牧场上的博皮普夫人》中的奥克塔维亚，失去了可能获得的遗产，一文不名。她并不是拜金女，也不艳羡浮华的生活。她终于明白自己已经厌倦了这座让她迷失的都市。于是她来到乡下她唯一拥有的牧场，重新开始了生活，还遇到了自小认识，曾擦肩而过的男子。返回了大自然，她的天性得到了自由和新鲜空气。她不仅找回了爱情，也得到了人生的幸福。关键字牧场上的博皮普夫人；欧·亨利；外研社编译组；短篇；牧场；爱情；自由；手套；自然作者（美）欧·亨利作者简介欧·亨利（1862—1910），美国最著名的短篇小说家之一，曾被评论界誉为曼哈顿桂冠散文作家和美国现代短篇小说之父。善于描写美国社会尤其是纽约百姓的生活。他的作品构思新颖，语言诙谐，结局常常出人意料；他又因描写了众多的人物，富于生活情趣，被誉为“美国生活的幽默百科全书”。书评他用这“含泪的微笑”给我们带来生活的启迪。"
"Madame Bo-Peep, of the Ranches ","牧场上的博皮普夫人"
"by O. Henry","作者：欧·亨利"
"“Aunt Ellen,” said Octavia, cheerfully, as she threw her black kid gloves carefully at the dignified Persian cat on the window-seat, “I’m a pauper.”","“埃伦姑妈，”奥克塔维亚将自己的黑色小山羊皮手套小心地扔到窗边那只名贵的波斯猫身上，轻快地说道，“我是个穷光蛋！”"
"“You are so extreme in your statements, Octavia, dear,” said Aunt Ellen, mildly, looking up from her paper.","“你说得太过啦，我亲爱的奥克塔维亚。”埃伦姑妈不再看报纸，抬起眼睛温和地对她说道，"
"“If you find yourself temporarily in need of some small change for bonbons, you will find my purse in the drawer of the writing desk.”","“如果你暂时想要些零钱去买糖果，就自己去写字台的抽屉里找找我的钱包。”"
"Octavia Beaupree removed her hat and seated herself on a footstool near her aunt’s chair, clasping her hands about her knees.","奥克塔维亚•博普雷摘下帽子，在她姑妈椅子旁边的脚凳上坐下，双手环抱住膝盖。"
"Her slim and flexible figure, clad in a modish mourning costume, accommodated itself easily and gracefully to the trying position.","她身材苗条柔软，穿着时髦的丧服，轻松而优雅地适应了这种费劲的姿势。"
"Her bright and youthful face, with its pair of sparkling, life-enamoured eyes, tried to compose itself to the seriousness that the occasion seemed to demand.","她的容貌耀眼而又青春，她的眼睛闪闪发光而又充满生命力。她极力装出与这个场合相适应的严肃表情。"
"“You good auntie, it isn’t a case of bonbons; it is abject, staring, unpicturesque poverty, with ready-made clothes, gasolined gloves, and probably one o’clock dinners all waiting with the traditional wolf at the door.","“我的好姑妈，这不是买不买糖果的问题。这是一种绝望无助、招人注目而又毫不独特的赤贫。你只能穿现成的衣服，手套也是用汽油除过污的，晚餐可能要到凌晨一点才能吃到，门外还有等待的饿狼。"
"I’ve just come from my lawyer, auntie, and, ‘Please, ma’am, I ain’t got nothink ’t all.","我刚从律师那儿回来，姑妈。‘行行好吧，夫人，我什么都没有。"
"Flowers, lady?","女士，买花吗？"
