书名四不像（爱伦·坡经典幽默短篇小说）短简介这个城市到处都是奇观异景，国王竟是一只“长颈鹿”？“他”混在人群中，作诗高歌自己的伟大，遇到野兽攻击时飞奔在人群之首，臣民们都为他的奇装异服、诗歌才华和逃跑的机智勇猛高声喝彩。爱伦·坡幽默短篇小说《四不像》带领我们回到公元前的叙利亚安条克城，那里的国王和他的臣民合演了一出荒唐的闹剧。长简介幽默小说《四不像》中，两个现代人带我们回到公元前的叙利亚，参观安条克城。这座城市到处都是奇观异景。庆典上，国王把自己打扮成长颈鹿——简直就是四不像，还亲自作诗高歌自己的伟大，臣民们为他的装扮和歌声喝彩。当人声鼎沸时，平日里温顺的猛兽恢复兽性，扑向人群，当然也不放过“长颈鹿”。人们四下逃窜，跑在最前面的就是国王，他尖叫飞奔着平安地逃进了竞技场大门。人们再一次为他喝彩，赞美他的机智勇猛，并决定提前把奥林匹克的桂冠颁给他。小说标题源于《旧约·但以理书》，主人公也取材于圣经中的“暴君”安条克·伊皮法尼斯。作者通过对圣经故事的异类解读，用诙谐怪诞的笔法，讽刺统治者的丑恶用心以及民众的愚昧和盲目。关键字四不像；爱伦·坡；外研社编译组；国王；怪诞；反讽；作者（美）爱伦·坡作者简介爱伦·坡（1809—1849），19世纪美国诗人、小说家和文学评论家。侦探小说鼻祖、科幻小说先驱之一、恐怖小说大师、短篇哥特小说巅峰、象征主义先驱之一、唯美主义者。爱伦·坡一生穷愁潦倒，生前死后都受到外界褒贬不一的评价，其最著名的文艺理论是“效果论”。他和安布鲁斯·布尔斯、H. P. 洛夫克拉夫特并称为美国三大恐怖小说家。书评美国出了两个伟大的作家：爱伦·坡和马克·吐温。——萧伯纳
Four Beasts In One—The Homo-Cameleopard	四不像	
by Edgar Allan Poe	作者：爱伦·坡	
Chacun a ses vertus.	每个人都有优点。	
—Crebillon’s Xerxes.	——克雷比永《薛西斯》	
Antiochus Epihanes is very generally looked upon as the Gog of the prophet Ezekiel.	安条克·伊皮法尼斯被普遍认为是先知以西结所预言的歌革。	译者注：歌革在先知的预言中是人类反抗基督的领袖。
This honor is, however, more properly attributable to Cambyses, the son of Cyrus.	然而，这一荣耀更适合归功于居鲁士大帝之子冈比西斯。	
And, indeed, the character of the Syrian monarch does by no means stand in need of any adventitious embellishment.	事实上，这位叙利亚王的威望根本无需任何外在的点缀。	
His accession to the throne, or rather his usurpation of the sovereignty, a hundred and seventy-one years before the coming of Christ; his attempt to plunder the temple of Diana at Ephesus; his implacable hostility to the Jews; his pollution of the Holy of Holies; and his miserable death at Taba, after a tumultuous reign of eleven years, are circumstances of a prominent kind, and therefore more generally noticed by the historians of his time than the impious, dastardly, cruel, silly, and whimsical achievements which make up the sum total of his private life and reputation.	他在基督降世前171年继承王位，确切地说，是篡夺王权；他欲洗劫以弗所的狄安娜神庙的意图、他同犹太人势不两立的敌意、他对圣殿至圣所的亵渎以及他在动荡不安的11年统治后于塔巴的凄惨离世，这些都是令其名声大噪之事，他也因此备受同时代的历史学家们的关注，相比之下，构成他私生活和名声之和的那些邪恶的、卑鄙的、残酷的、愚蠢的以及荒唐的成就便被置之一旁了。	
Let us suppose, gentle reader, that it is now the year of the world three thousand eight hundred and thirty, and let us, for a few minutes, imagine ourselves at that most grotesque habitation of man, the remarkable city of Antioch.	亲爱的读者，让我们假设现在是3830年前的世界，并暂且一起想象，此时此刻我们正置身于那最奇特的人类居住地——大名鼎鼎的安条克城。	
To be sure there were, in Syria and other countries, sixteen cities of that appellation, besides the one to which I more particularly allude.	的确，除了我特别提及的这座城，在叙利亚和其他国家还有十六个城市也叫这个名字。	
But ours is that which went by the name of Antiochia Epidaphne, from its vicinity to the little village of Daphne, where stood a temple to that divinity.	但我们的这座城被唤作安条克·伊皮达夫尼，因它邻近达夫妮小村，那里耸立着一座崇奉那位达夫妮女神的庙宇。	
