"书名皮维和卡博（安德鲁•朗格经典童话故事）短简介一正一邪，贪婪邪恶注定不得善终。皮维是正义的代表，卡博是邪恶的代表，他非常贪婪，出卖朋友，这也为他的下场埋下了伏笔。长简介安德鲁•朗格整理的童话故事《皮维和卡博》给我们讲述了卡博因背叛朋友而致使下场可悲的故事。自私与贪婪的个性让卡博走进了一条深渊，他背叛自己的好朋友皮维，并因妒忌而对他加以陷害，还将皮维的妻子占为己有。不过善有善报，恶有恶报，最终卡博还是死在了皮维的手上。整个故事简洁易懂，揭露人性的丑恶以及“善有善报，恶有恶报”亘古不变的真理。关键字皮维和卡博；安德鲁•朗格；外研社编译组；棕色童话；自私；贪婪作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），英国著名的文学家、历史学家、诗人、民俗学家，以研究神话、民间传说闻名于世，由他编纂并分别以十二种颜色命名的“世界童话集”自1898年问世以来，历久不衰，备受世界各国儿童们的喜爱。书评“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁•朗格所编写的童话，他们的童心就得不到完美的塑造”。 ——一位西方教育家"
"Pivi and Kabo","皮维和卡博"
"by Andrew Lang","作者：安德鲁·朗格"
"When birds were men, and men were birds, Pivi and Kabo lived in an island far away, called New Claledonia.","很久以前，那还是人鸟不分的时代。皮维和卡博住在一个遥远的岛上，那个岛叫克莱勒得尼亚。"
"Pivi was a cheery little bird that chirps at sunset; Kabo was an ugly black fowl that croaks in the darkness.","皮维是一只欢乐的小鸟，他在日落时分欢唱；卡博是一只丑陋的黑鸟，他总在夜里发出嘶哑的声音。"
"One day Pivi and Kabo thought that they would make slings, and practice slinging, as the people of the island still do.","一天，皮维和卡博心血来潮，要做投石器并练习投石，正如岛上的人们仍然做的那样。"
"So they went to a banyan tree, and stripped the bark to make strings for their slings, and next they repaired to the river bank to find stones.","于是他们来到一棵榕树前，剥下树皮为他们的投石器做绳子，接下来又去河边找石头。"
"Kabo stood on the bank of the river, and Pivi went into the water.","卡博站在岸边，而皮维则走到河里。"
"The game was for Kabo to sling at Pivi, and for Pivi to dodge the stones, if he could.","这个游戏就是卡博朝皮维投石，皮维则要尽可能躲过石头。"
"For some time he dodged them cleverly, but at last a stone from Kabo’s sling hit poor Pivi on the leg and broke it.","有一段时间，皮维巧妙地躲过石头，但最后可怜的皮维被卡博投来的石头击中了腿并受了伤。"
"Down went Pivi into the stream, and floated along it, till he floated into a big hollow bamboo, which a woman used for washing her sweet potatoes.","皮维倒在河流里，顺流而下。最后他漂进一个大竹筒里，这个竹筒是一个妇人用来洗番茄的。"
"‘What is that in my bamboo?’ said the woman.","“我的竹筒里是什么？”那个妇人说道。"
"And she blew in at one end, and blew little Pivi out at the other, like a pea from a pea-shooter.","于是她吹了吹竹筒的一头。小皮维从另一头被吹出来，就像一颗豌豆从射豆枪里射出来一样。"
"‘Oh!’ cried the woman, ‘what a state you are in!","“啊！”妇人惊呼道，“你的情况真是糟糕！"
"What have you been doing?’","你都做了些什么？”"
"‘It was Kabo who broke my leg at the slinging game,’ said Pivi.","“在投石游戏中，卡博弄伤了我的腿。”皮维说道。"
"‘Well, I am sorry for you,’ said the woman; ‘will you come with me, and do what I tell you?’","“噢，我真为你难过。”妇人说，“你愿意跟我走，并照我的吩咐做吗？”"
"‘I will!’ said Pivi, for the woman was very kind and pretty.","“我愿意！”皮维答道。他觉得妇人非常善良和美丽。"
"She took Pivi into a shed where she kept her fruit laid him on a bed of mats, and made him as comfortable as she could, and attended to his broken leg without cutting off the flesh round the bone, as these people usually do.","妇人把皮维带到她用来放水果的棚子里面，让他躺在铺着垫子的床上，尽可能让他舒服。在护理皮维受伤的腿时，妇女并有像常人经常做的那样切掉骨头周边的肉。"
"‘You will be still, won’t you, Pivi?’ she said.","“你会安静地呆着，对吧，皮维？”她说，"
"‘If you hear a little noise you will pretend to be dead.","“如果你听到小动静就要装死。"
"It is the Black Ant who will come and creep from your feet up to your head.","那是黑蚁来了。他会从你的腿上爬到你的头上。"
"Say nothing, and keep quiet, won’t you, Pivi?’","这时什么都不要讲，保持安静，可以吗，皮维？”"
"‘Certainly, kind lady,’ said Pivi, ‘I will lie as still as can be.’","“当然可以，善良的女士，”皮维说，“我会尽量躺着不动。”"
"‘Next will come the big Red Ant—you know him?’","“接下来要来的是大红蚁，你知道他吗？”"
"‘Yes, I know him, with his feet like a grasshopper’s.’","“是的，我知道他。他有像蝗虫一样的脚。”"
"‘He will walk over your body up to your head.","“他会走过你的身体直到你的头部。"
"Then you must shake all your body.","这时你必须晃动你的全身。"
"Do you understand, Pivi?’","明白了吗，皮维？”"
"‘Yes, dear lady, I shall do just as you say.’","“是的，女士，我会照你说的去做。”"
"‘Very good,’ said the woman, going out and shutting the door.","“很好。”妇女说完，走了出去，同时将门带上。"
"Pivi lay still under his coverings, then a tiny noise was heard, and the Black Ant began to march over Pivi, who lay quite still.","皮维身上盖着东西，一动不动地躺在床上。过了一会儿他听到细小的声音，然后黑蚁爬过了一动不动的皮维。"
"Then came the big Red Ant skipping along his body, and then Pivi shook himself all over.","接着大红蚁爬过他的身体，这时皮维拼命晃动自己的身体。"
"He jumped up quite well again, he ran to the river, he looked into the water and saw that he was changed from a bird into a fine young man!","他又可以健康地跳起来了。他跑到了河边，朝水里一看，发现自己由一只鸟变成了一个帅气的年轻人。"
"‘Oh, lady,’ he cried, ‘look at me now!","“啊，女士！”他惊呼道，“你看看我！"
"I am changed into a man, and so handsome!’","我变成了一个人，还如此英俊！”"
"‘Will you obey me again?’ said the woman.","“你愿意再次服从我吗？”妇人问。"
"‘Always; whatever you command I will do it,’ said Pivi, politely.","“一直都愿意。我会做你要求的任何事。”皮维礼貌地回答。"
"‘Then climb up that cocoa-nut tree, with your legs only, not using your hands,’ said the woman.","“那你就爬上那棵椰子树，只能用你的双腿，不能用你的双手。”妇人说道。"
"Now the natives can run up cocoa-nut trees like squirrels, some using only one hand; the girls can do that.","当时，当地人可以像松鼠一样爬上椰树，他们中的一些人甚至只用一只手便可做到；女孩子也可以那样做。"
"But few can climb without using their hands at all.","但是还没有人可以做到完全不用手爬上树。"
