书名魔法人头（安德鲁·朗格经典童话故事）短简介当一位老妇人在桥上遇到一个没有身体的人头时，她吓得落荒而逃，而一个没有身体的人头又会带来怎样的神奇？《神奇的人头》是《彩色童话》当中《褐色童话》中的一篇，主要讲述了一个人头，虽然没有身体，却能赐给老妇人财富，完成国王接连提出的三个无法完成的要求，最终娶得公主的神奇故事。长简介《魔法人头》作为《彩色童话》当中《褐色童话》中的一篇，讲述了一个人头的神奇故事。故事一开始通过老妇人的经历引出了人头的出现。随后通过两次赐予老妇人一家财富展现出人头的神奇。而这只是在为描写人头的神奇作铺垫。接下来人头却提出要娶公主，而他必须完成国王提出的三个不可能完成的要求，最终他神奇地完成要求并娶得了公主。整篇童话语言简洁明了，故事奇妙，充分展现了童话的神奇和魅力，给读者呈现了一个妙趣横生的童话故事。关键字魔法人头；安德鲁•朗格；《彩色童话》；外研社编译组；童话；人头；国王；公主作者（英）安德鲁•朗格作者简介安德鲁•朗格（1844—1912），出生于苏格兰靠近英格兰大森林的塞尔卡克地区。英国著名文学家、历史学家、诗人、民俗学家。朗格在其妻子里奥诺拉•布朗歇的协助下，把一些著名的童话加以编写，终于完成了著名的世界童话集——《朗格童话》（又称《彩色童话集》）。书评（2条）西方一位著名教育家曾这样评价安德鲁•朗格编辑的童话：“如果孩子们的世界里没有那神奇美丽的童话，他们的生活将不可想象；如果这座童话乐园里没有安德鲁•朗格所编写的童话，他们的童心就得不到完美的塑造”。“安德鲁的生活和作品中最大的讽刺是尽管他在人类学、神话、历史等文章，小说，诗歌，文学批评上是一个专业人员，他最出名的却不是他写的。（即他整理的童话）”——安妮塔·西尔维
The Enchanted Head	魔法人头	
by Andrew Lang	作者：安德鲁·朗格	
Once upon a time an old woman lived in a small cottage near the sea with her two daughters.	很久很久以前，在大海附近的一座小农舍里，住着一位老妇人和她的两个女儿。	
They were very poor, and the girls seldom left the house, as they worked all day long making veils for the ladies to wear over their faces, and every morning, when the veils were finished, the other took them over the bridge and sold them in the city.	她们很穷，女孩们很少离开屋子，因为她们要整天制作戴在女士们脸上的面纱。每天早上，当面纱做好后，老妇人就会带着它们从桥上走过，到城里去卖掉。	
Then she bought the food that they needed for the day, and returned home to do her share of veil-making.	然后，她会购买她们当天所需的食物，接着返回家里继续制作面纱，完成自己的工作。	
One morning the old woman rose even earlier than usual, and set off for the city with her wares.	一天早上，老妇人比往常起得早了一点儿，带着她的商品就向城里出发了。	
She was just crossing the bridge when, suddenly, she knocked up against a human head, which she had never seen there before.	就在她过桥的时候，突然，她碰见了一个人头，她以前在那里从没有见过。	
The woman started back in horror; but what was her surprise when the head spoke, exactly as if it had a body joined on to it.	妇人惊吓得往后退，但是让她惊讶的是，当人头说话时完全就好像有一个身体和它结合在一起。	
‘Take me with you, good mother!’ it said imploringly; ‘take me with you back to your house.’	“带上我吧，好心的母亲！”它恳求地说，“把我带回你的家吧。”	
At the sound of these words the poor woman nearly went mad with terror.	听到这些话，可怜的妇人几乎害怕得发疯了。	
Have that horrible thing always at home?	让那个可怕的东西一直呆在家里？	
Never! never!	绝不！绝不！	
And she turned and ran back as fast as she could, not knowing that the head was jumping, dancing, and rolling after her.	于是她转身尽可能快地往回跑，却不知道人头正蹦着、跳着、滚着跟在她后面。	
But when she reached her own door it bounded in before her, and stopped in front of the fire, begging and praying to be allowed to stay.	当她到达门口时，人头在她之前跳了进去，然后在火炉前停了下来，恳求妇人把它留下来。	
All that day there was no food in the house, for the veils had not been sold, and they had no money to buy anything with.	那一整天，屋子里都没有食物，因为面纱没有卖出去，她们没有钱去买任何东西。	
So they all sat silent at their work, inwardly cursing the head which was the cause of their misfortunes.	因此她们都沉默地坐在那里工作，内心诅咒着这个导致她们不幸的人头。	
When evening came, and there was no sign of supper, the head spoke, for the first time that day:	当夜幕降临时，依然没有晚餐的迹象，人头那天第一次说话了。	
‘Good mother, does no one ever eat here?	“好心的母亲，这里从来没有人吃饭吗？	
During all the hours I have spent in your house not a creature has touched anything.’	我在您屋子里的这几个小时里，没有一个人吃任何东西。”	
‘No,’ answered the old woman, ‘we are not eating anything.’	“是的，”老妇人回答说，“我们什么都没吃。”	
‘And why not, good mother?’	“好心的母亲，那是为什么呢？”	
‘Because we have no money to buy any food.’	“因为我们没有钱去买任何食物。”	
‘Is it your custom never to eat?’	“从来不吃是你们的习惯吗？”	
‘No, for every morning I go into the city to sell my veils, and with the few shillings I get for them I buy all we want.	“不，因为每天早上我到城里去卖面纱，用卖得的几先令去买我们所需要的食物。	
To-day I did not cross the bridge, so of course I had nothing for food.’	今天我没有过桥，当然也就没有钱买食物了。”	
‘Then I am the cause of your having gone hungry all day?’ asked the head.	“那么我就是你们一整天挨饿的原因吗？”人头问道。	
‘Yes, you are,’ answered the old woman.	“是的，你就是。”老妇人回答说。	
‘Well, then, I will give you money and plenty of it, if you will only do as I tell you.	“好吧，那么只要你按照我告诉你的做，我就会给你钱，充足的钱。	
In an hour, as the clock strikes twelve, you must be on the bridge at the place where you met me.	一小时后，当时钟敲响第十二下时，你必须到桥上那个你遇见我的地方。	
When you get there call out “Ahmed,” three times, as loud as you can.	当你到那里时，大声喊三次‘艾哈迈德’。	
Then a negro will appear, and you must say to him: “The head, your master, desires you to open the trunk, and to give me the green purse which you will find in it.”’	然后一个黑人就会出现，你必须对他说：‘你的人头主人要求你打开箱子，把在里面找到的绿色钱包给我。’”	
‘Very well, my lord,’ said the old woman, ‘I will set off at once for the bridge.’	“好的，我的主人，”老妇人说，“我这就出发去桥上。”	
And wrapping her veil round her she went out.	她围上面纱就出去了。	
Midnight was striking as she reached the spot where she had met the head so many hours before.	等她到达几个小时前与人头相遇的地方时，午夜的钟声敲响了。	
‘Ahmed!	“艾哈迈德！	
Ahmed!	艾哈迈德！	
Ahmed!’ cried she, and immediately a huge negro, as tall as a giant, stood on the bridge before her.	艾哈迈德！”她叫喊着，一个和巨人一样高大的黑人立即出现在桥上，站在她面前。	
‘What do you want?’ asked he.	“你想要什么？”他问道。	
‘The head, your master, desires you to open the trunk, and to give me the green purse which you will find in it.’	“你的人头主人要求你打开箱子，把在里面找到的绿色钱包给我。”	
‘I will be back in a moment, good mother,’ said he.	“我一会儿就回来，好心的母亲。”他说。	
And three minutes later he placed a purse full of sequins in the old woman’s hand.	三分钟之后，他将一个满是亮片的钱包交到了老妇人手上。	
No one can imagine the joy of the whole family at the sight of all this wealth.	没人能想象全家人看到这笔财富时的喜悦。	
The tiny, tumble-down cottage was rebuilt, the girls had new dresses, and their mother ceased selling veils.	又小又破的农舍得到了重建，女孩子们有了新衣服，她们的母亲也不再卖面纱。	
It was such a new thing to them to have money to spend, that they were not as careful as they might have been, and by-and-by there was not a single coin left in the purse.	对她们来说，有钱花是一件如此新鲜的事情，以至于她们没有尽可能地精打细算，不久钱包里一个硬币都不剩了。	
When this happened their hearts sank within them, and their faces fell.	当这种情况发生时，她们的心都沉了，脸也拉长了。	
‘Have you spent your fortune?’ asked the head from its corner, when it saw how sad they looked.	看到她们如此悲伤，角落里的人头就问道：“你们花完了你们所有的财富了吗？	
‘Well, then, go at midnight, good mother, to the bridge, and call out “Mahomet!” three times, as loud as you can.	好吧，好心的母亲，午夜到桥上去，尽可能大声地叫三次‘穆罕默德’。	
A negro will appear in answer, and you must tell him to open the trunk, and to give you the red purse which he will find there.’	一个黑人将会回应你，你必须告诉他打开箱子，并把他在里面找到的红色钱包给你。”	
