书名四份特别的礼物（安德鲁·朗格经典童话故事）短简介一位渴望爱情的平凡女子、一位神秘的老人、四份奇幻的礼物，他们之间有着怎样的联系呢？法国作家梭维斯特的《四份特别的礼物》将一步步揭秘所有疑问，泰法妮是否能够凭借神秘老人赐予的四份礼物守护爱情，抑或适得其反？长简介安德鲁·朗格的短篇小说《四份特别的礼物》简述了在农场工作的泰法妮爱上了养鸟场的穷鬼丹尼斯，却遭到视财如命的姑妈的阻挠。正在泰法妮手足无措之际，一位神秘的老人出现了，先后赋予她铜片、羽毛、项链、药膏四份礼物。这些礼物全部拥有神奇的魔法：铜片让泰法妮随时都可以见到她喜欢的男孩，羽毛赋予了她非凡的智慧，项链使她成为了世上最美的女子，药膏让她获得了无穷的财富。然而，得到礼物的泰法妮并非一帆风顺，追求爱情的途中她屡屡因这些意外的礼物而饱经挫折。直到最后，她领悟到真谛。作者运用生动笔触状写了主人公曲折离奇的经历，于文末将真理娓娓道出，传达了真我的力量，鼓励我们守住自身的美好品质。关键字四份特别的礼物；安德鲁·朗格；外研社编译组；短篇；童话；爱情；礼物；魔法作者（英）安德鲁·朗格作者简介安德鲁·朗格（1844—1912），英国著名文学家、历史学家、诗人、民俗学家。朗格以研究神话、民间传说闻名于世。他认为通过民间传说中的惊异和恐怖的故事可以看到人类过去真实的痕迹。由他编纂并分别以十二种颜色命名的童话集，自问世以来，历久不衰，备受世界各国儿童们的喜爱。书评伟大的儿童经典，都是用爱谱写。童话、寓言、魔幻……展现了人类最丰富的想象力，启发了儿童未来改变世界的创造力。美丽的故事，给孩子们带来温暖，带来阅读的享受。为爱情放弃真我？
The Four Gifts	四份特别的礼物
by Andrew Lang	作者：安德鲁·朗格
In the old land of Brittany, once called Cornwall, there lived a woman named Barbaik Bourhis, who spent all her days in looking after her farm with the help of her niece Tephany.	在布列塔尼这片曾被叫做康沃尔的古老土地上，住着一位名叫巴贝尔·布里的妇女。她把所有的时间和精力都放在照看农场上。侄女泰法妮一直在她那里帮忙。
Early and late the two might be seen in the fields or in the dairy, milking cows, making butter, feeding fowls; working hard themselves and taking care that others worked too.	她们俩一天到晚不是在田地里就是在牛奶房里，挤牛奶、制黄油、喂家禽……她俩自己没日没夜地干活，也时刻监督着身边的人努力干活。
Perhaps it might have been better for Barbaik if she had left herself a little time to rest and to think about other things, for soon she grew to love money for its own sake, and only gave herself and Tephany the food and clothes they absolutely needed.	如果巴尔贝还有点儿时间来休息或者想点儿其他事情的话，情况可能会稍好些，可她并没有。这样一来，没过多久，她就深深地爱上了钱这个东西，而且她只舍得把钱花在她和泰法妮的生活必需品上，例如食物和衣服。
And as for poor people she positively hated them, and declared that such lazy creatures had no business in the world.	正因为巴尔贝迷恋金钱，致使她极度厌恶那些穷人，甚至还常说这样懒惰的家伙活在世上毫无用处。
Well, this being the sort of person Barbaik was, it is easy to guess at her anger when one day she found Tephany talking outside the cowhouse to young Denis, who was nothing more than a day labourer from the village of Plover.	巴尔贝其实就是这样的人。因此，我们可以轻易地想象出，当她发现泰法妮居然在牛舍外和那个一无所有的穷鬼丹尼斯聊天时，她是多么怒不可遏。要知道，那个丹尼斯不过是养鸟场雇的一个日工而已。
Seizing her niece by the arm, she pulled her sharply away, exclaiming:	巴尔贝一把抓住了侄女的胳膊，猛地把她拽走，嘴里还大声叫嚷着：
‘Are you not ashamed, girl, to waste your time over a man who is as poor as a rat, when there are a dozen more who would be only too happy to buy you rings of silver, if you would let them?’	“你把时间浪费在这种人身上，难道不觉得羞耻吗？他是个一无所有的穷鬼。而你呢，有一打的人排着队要给你买银戒指，要是你愿意的话，他们高兴还来不及。”
‘Denis is a good workman, as you know very well,’ answered Tephany, red with anger, ‘and he puts by money too, and soon he will be able to take a farm for himself.’	“你也知道的，丹尼斯工作很卖力，”泰法妮反驳道，气得满脸通红，“他正在攒钱，再过不久就能自己开个农场了。”
‘Nonsense,’ cried Barbaik, ‘he will never save enough for a farm till he is a hundred.	“鬼话连篇！”巴尔贝叫道，“他开农场，等到一百岁吧。
