"zh","en"
"有伤疤的人","The Man with the Gash"
"有伤疤的人","The Man with the Gash"
"作者：杰克·伦敦","by Jack London"
"雅各布·肯特一生都为贪念所累。他转而逐渐产生了不信任人的心理，想法和性格都变得十分乖张，而他也成了一个极难相处的人。他还有梦游的毛病，脾气也很固执。他打小就是一个织布工人，直到前往克朗代克淘金的狂热渗入了他的血液，他才同织布机分离开来。他有间小屋坐落在六十英里驿和斯图亚特河之间；经常往来于这条通往道森路上的人们把肯特比作雄踞在山上，并向通过他这条保养极差的道路的商队勒索过路费的强盗大王。这样描绘他多少需要一点历史知识，而那些从斯图亚特河过来的大字不识几个的旅人们，往往用更原始的方法形容他，用的多是一些粗鲁的字眼。","Jacob Kent had suffered from cupidity all the days of his life.This, in turn, had engendered a chronic distrustfulness, and his mind and character had become so warped that he was a very disagreeable man to deal with.He was also a victim to somnambulic propensities, and very set in his ideas.He had been a weaver of cloth from the cradle, until the fever of Klondike had entered his blood and torn him away from his loom.His cabin stood midway between Sixty Mile Post and the Stuart River; and men who made it a custom to travel the trail to Dawson, likened him to a robber baron, perched in his fortress and exacting toll from the caravans that used his ill-kept roads.Since a certain amount of history was required in the construction of this figure, the less cultured wayfarers from Stuart River were prone to describe him after a still more primordial fashion, in which a command of strong adjectives was to be chiefly noted."
"其实，小屋也不是他的。那是好些年前几个探矿的人为了储存粮食，顺水放来一堆原木搭起来的。他们很热情好客，来者不拒；他们不要这间屋子后，认得这条路的过往旅人就把这里当成过夜的地方。这里很方便，省去了他们搭帐篷的时间和气力；只有一条不成文的规矩：最后一个离开的人，必须给后来的人留下一堆整整齐齐的木柴。几乎每一夜都有六七个甚至二十几个人挤进来躲避风霜雨雪。雅各布·肯特看到了这些情况，于是擅自霸占了这个屋子，自己搬了进去。从此以后，疲乏的旅人们不得不每人给一美元，才能享受睡地板的待遇；雅各布·肯特在称金砂的时候，也从来不忘做点手脚昧下一星半点。此外，他还总能找到理由让过路的客人们给他劈柴打水。这简直就是强盗行径，但是被他欺负的人们都是忠厚之辈，他们虽然憎恶他，却也由着他靠这种罪恶的勾当赚得盆满钵满。","This cabin was not his, by the way, having been built several years previously by a couple of miners who had got out a raft of logs at that point for a grub-stake.They had been most hospitable lads, and, after they abandoned it, travelers who knew the route made it an object to arrive there at nightfall.It was very handy, saving them all the time and toil of pitching camp; and it was an unwritten rule that the last man left a neat pile of firewood for the next comer.Rarely a night passed but from half a dozen to a score of men crowded into its shelter.Jacob Kent noted these things, exercised squatter sovereignty, and moved in.Thenceforth, the weary travelers were mulcted a dollar per head for the privilege of sleeping on the floor, Jacob Kent weighing the dust and never failing to steal the down-weight.Besides, he so contrived that his transient guests chopped his wood for him and carried his water.This was rank piracy, but his victims were an easy-going breed, and while they detested him, they yet permitted him to flourish in his sins."
"四月的一天下午，他坐在自家门口——怎么看都像一只等着捕食的蜘蛛——他一边惊讶于春天的阳光居然这样温暖，一边盯着路上，期待下一个他可以盘剥的苍蝇出现。育空河就在他脚下，像一大片冰的海洋，冰块铺满两岸之间足足两英里宽的空间，在南北两个拐弯处才消失不见。在并不平坦的冰面上，有一条雪橇犁出来的路，只是一条细长的、凹进去的痕迹，十八英寸宽，两千英里长；沿路每一英尺路上人们因道路艰险而吐出的咒骂，比世界上任何地方都多。","One afternoon in April he sat by his door,—for all the world like a predatory spider,—marvelling at the heat of the returning sun, and keeping an eye on the trail for prospective flies.The Yukon lay at his feet, a sea of ice, disappearing around two great bends to the north and south, and stretching an honest two miles from bank to bank.Over its rough breast ran the sled-trail, a slender sunken line, eighteen inches wide and two thousand miles in length, with more curses distributed to the linear foot than any other road in or out of all Christendom."
"那天下午，雅各布·肯特感觉好极了。昨夜，他打破了记录，一共接待了二十八位来客。这夜他固然是睡得不好，因为四个人在他床下打了一夜的呼噜，但是他那个装金砂的袋子也增添了可观的分量。那个装着闪闪发光的黄金的袋子，是他存在的主要乐趣所在，也是主要痛苦所在。袋子的小口里面的，即是天堂，也是地狱。他的房子只有一间屋子，自然也就谈不上私密性了，因此他总是害怕金子遭窃，为此备受煎熬。那些胡子拉茬、看起来就像亡命徒的陌生人可以毫不费劲地偷走金子。他常常梦见金子被偷，也总是从噩梦中惊醒。在梦中惊扰他的总是那么几个强盗，他简直都能记清楚他们的样子了，尤其是那个古铜色皮肤、右脸上有一道伤疤的强盗头子。几个人中，他梦见这个强盗的次数最多；因为他，肯特在醒着的时候，在房子里里外外造了好几十个藏金子的地方。每藏到一个新的地方，他就能松口气，或许能有几夜安睡，然后又梦见那个脸上带着伤疤的家伙正挖出他的钱袋，而他一把抓住那人的领子。这里照例有一番争斗，他也会惊醒，然后马上翻身起床，把袋子藏到一个更巧妙的地方去。他其实并不是直接受到幻觉的蛊惑，只不过他相信预兆，相信心灵可通；他认为梦里的强盗都是真人的灵魂投影，这些人，不管他们身在何处，都恰巧在他做梦的时候，在心里觊觎他的财富。因此，他继续盘剥每一个跨进他门槛的倒霉蛋；他的口袋里每多一盎司金子，他的烦恼也增添一分。","Jacob Kent was feeling particularly good that afternoon.The record had been broken the previous night, and he had sold his hospitality to no less than twenty-eight visitors.True, it had been quite uncomfortable, and four had snored beneath his bunk all night; but then it had added appreciable weight to the sack in which he kept his gold dust.That sack, with its glittering yellow treasure, was at once the chief delight and the chief bane of his existence.Heaven and hell lay within its slender mouth.In the nature of things, there being no privacy to his one-roomed dwelling, he was tortured by a constant fear of theft.It would be very easy for these bearded, desperate-looking strangers to make away with it.Often he dreamed that such was the case, and awoke in the grip of nightmare.A select number of these robbers haunted him through his dreams, and he came to know them quite well, especially the bronzed leader with the gash on his right cheek.This fellow was the most persistent of the lot, and, because of him, he had, in his waking moments, constructed several score of hiding-places in and about the cabin.After a concealment he would breathe freely again, perhaps for several nights, only to collar the Man with the Gash in the very act of unearthing the sack.Then, on awakening in the midst of the usual struggle, he would at once get up and transfer the bag to a new and more ingenious crypt.It was not that he was the direct victim of these phantasms; but he believed in omens and thought-transference, and he deemed these dream-robbers to be the astral projection of real personages who happened at those particular moments, no matter where they were in the flesh, to be harboring designs, in the spirit, upon his wealth.So he continued to bleed the unfortunates who crossed his threshold, and at the same time to add to his trouble with every ounce that went into the sack."
"他正在晒着太阳，突然想到一个点子，他激动得猛地跳了起来。他平生最大的乐趣，就是反反复复称金砂；不过有个问题很扫他的兴，他一直没有找到办法解决。他那架称金子的天平很小，最多只能称一磅半，也就是十八盎司，而他的积财差不多是这个限度的三点三倍。他从来没能一次称完所有的金砂，于是总觉得自己无缘看到这种极为启发慧根的全新景象。由于总是无法实现，他简直失去了一半占有金子的乐趣；不，他感到这种令人伤心的障碍不仅使他的财产规模显得小了，而且还在实际上减少了他事实占有的金子。他刚才之所以跳起来，就是因为他猛然间想到了解决的办法。他朝路的两头都仔细地看了看。什么都没有，于是他就进了屋。","As he sat sunning himself, a thought came to Jacob Kent that brought him to his feet with a jerk.The pleasures of life had culminated in the continual weighing and reweighing of his dust; but a shadow had been thrown upon this pleasant avocation, which he had hitherto failed to brush aside.His gold-scales were quite small; in fact, their maximum was a pound and a half,—eighteen ounces,—while his hoard mounted up to something like three and a third times that.He had never been able to weigh it all at one operation, and hence considered himself to have been shut out from a new and most edifying coign of contemplation.Being denied this, half the pleasure of possession had been lost; nay, he felt that this miserable obstacle actually minimized the fact, as it did the strength, of possession.It was the solution of this problem flashing across his mind that had just brought him to his feet.He searched the trail carefully in either direction.There was nothing in sight, so he went inside."
"一转眼的工夫，他就收拾好了桌子，摆上了天平。他在天平一头放上十五盎司重的砝码，在另一头放上等重的金砂。把那头的砝码换成金砂，他就称出了刚好三十盎司的金砂。接下来，他把金砂并到一头，在另一头再装上金砂使天平重新平衡。等到金子都放上去了，他已经是满头大汗了。他欢喜得发抖，那种畅快感简直难以言表。不过，当他把袋子倒空，一粒金砂都不剩的时候，平衡打破了，天平的一头垂下来，落到桌子上。他在另一头加上一便士零五喱的重量，平衡就又恢复了。他昂着头，呆呆地杵在那儿。袋子倒空了，但天平可挖的潜力简直不可估量。照这样弄多少重量都能称出来，从最轻的喱到许多许多磅。财神已经把他热切的手指按到他的心上了。夕阳西沉，阳光照进敞开的大门，笼罩在满载黄金的天平上。这两堆金砂就像埃及艳后铜像上的金色乳房一样，放射出柔和的光晕。时间和空间都不存在了。","In a few seconds he had the table cleared away and the scales set up.On one side he placed the stamped disks to the equivalent of fifteen ounces, and balanced it with dust on the other.Replacing the weights with dust, he then had thirty ounces precisely balanced.These, in turn, he placed together on one side and again balanced with more dust.By this time the gold was exhausted, and he was sweating liberally.He trembled with ecstasy, ravished beyond measure.Nevertheless he dusted the sack thoroughly, to the last least grain, till the balance was overcome and one side of the scales sank to the table.Equilibrium, however, was restored by the addition of a pennyweight and five grains to the opposite side.He stood, head thrown back, transfixed.The sack was empty, but the potentiality of the scales had become immeasurable.Upon them he could weigh any amount, from the tiniest grain to pounds upon pounds.Mammon laid hot fingers on his heart.The sun swung on its westering way till it flashed through the open doorway, full upon the yellow-burdened scales.The precious heaps, like the golden breasts of a bronze Cleopatra, flung back the light in a mellow glow.Time and space were not."
"“俺的老天啊！你可搞了好几磅金子啊，是不？”","“Gawd blime me! but you ’aye the makin’ of several quid there, ’aven’t you?”"
"雅各布·肯特转过身去，同时抓起那支就放在旁边的双筒猎枪。但当他的目光扫到这个闯进来的人的脸上时，他错愕地倒退了好几步。正是那个脸上带着伤疤的人！","Jacob Kent wheeled about, at the same time reaching for his double-barrelled shot-gun, which stood handy.But when his eyes lit on the intruder’s face, he staggered back dizzily.It was the face of the man with the gash!"
"那人好奇地看着他。","The man looked at him curiously."
"“哎，安心啦。”他一边说着，一边挥挥手，责怪肯特大惊小怪。“别觉着俺会害你，俺也不会抢你他妈的这些金砂。”","“Oh, that’s all right,” he said, waving his hand deprecatingly.“You needn’t think as I’ll ’arm you or your blasted dust."
"“你还挺怪的，挺怪的。”他看着肯特满脸是汗、两膝打颤的样子，想了想又说。","“You’re a rum ’un, you are,” he added reflectively, as he watched the sweat pouring from off Kent’s face and the quavering of his knees."
"“你为什么不能张嘴说两句话呢？”他接着说，而肯特正努力地想喘口气。“你这是什么毛病啊？要紧不？”","“W’y don’t you pipe up an’ say somethin’?” he went on, as the other struggled for breath.“Wot’s gone wrong o’ your gaff?Anythink the matter?”"
