"en","zh"
"Little Thumb","","小拇指"
"by Andrew Lang","","作者：安德鲁•朗格"
"There was, once upon a time, a man and his wife fagot-makers by trade, who had several children, all boys.","","从前，有一对夫妻以砍柴为生，他们有几个孩子，全是男孩。"
"The eldest was but ten years old, and the youngest only seven.","","最大的孩子不过十岁，最小的一个也只有七岁。"
"They were very poor, and their seven children incommoded them greatly, because not one of them was able to earn his bread.","","他们家里很穷，七个孩子更是让他们的生活雪上加霜，因为没有一个孩子能够自己养活自己。"
"That which gave them yet more uneasiness was that the youngest was of a very puny constitution, and scarce ever spoke a word, which made them take that for stupidity which was a sign of good sense.","","不过，更让他们发愁的是那个最小的孩子。他体格很瘦弱，几乎不怎么说话，这让他们认为这孩子脑袋笨，而这正是他聪明的表现。"
"He was very little, and when born no bigger than one’s thumb, which made him be called Little Thumb.","","他长得十分矮小，出生时还没有人的拇指大，于是人们叫他“小拇指”。"
"The poor child bore the blame of whatsoever was done amiss in the house, and, guilty or not, was always in the wrong; he was, notwithstanding, more cunning and had a far greater share of wisdom than all his brothers put together; and, if he spake little, he heard and thought the more.","","这个可怜的孩子要承担家里所有的过错，而且不管是不是他的错，他都得承担。尽管如此，他比哥哥们都机敏，他的智慧甚至比所有哥哥们的智慧加起来还要多得多。此外，虽然他说的少，但他听的和想的多。"
"There happened now to come a very bad year, and the famine was so great that these poor people resolved to rid themselves of their children.","","恰逢荒年来到，饥荒很严重，逼得那些穷人们决定抛弃自己的孩子。"
"One evening, when they were all in bed and the fagot-maker was sitting with his wife at the fire, he said to her, with his heart ready to burst with grief:","","一天晚上，孩子们都上床后，樵夫和妻子坐到炉火旁。他怀着极其悲伤的心情对妻子说："
"“Thou seest plainly that we are not able to keep our children, and I cannot see them starve to death before my face; I am resolved to lose them in the wood to-morrow, which may very easily be done; for, while they are busy in tying up fagots, we may run away, and leave them, without their taking any notice.”","","“你也明白，我们没有能力养活自己的孩子，但我不能眼睁睁看着他们饿死。我决定明天把他们扔在树林里，这应该不难办到，因为我们可以在他们忙着捆柴火时跑开，趁他们不注意的时候把他们留在那里。”"
"“Ah!” cried his wife; “and canst thou thyself have the heart to take thy children out along with thee on purpose to lose them?”","","“啊！”他的妻子大声嚷道，“你怎么忍心故意把自己的孩子们带出去扔掉呢？”"
"In vain did her husband represent to her their extreme poverty: she would not consent to it; she was indeed poor, but she was their mother.","","不管丈夫如何向她解释家里多么贫困，都是白费口舌，她仍不同意抛弃孩子。她确实很穷，但她是孩子们的妈妈呀。"
"However, having considered what a grief it would be to her to see them perish with hunger, she at last consented, and went to bed all in tears.","","然而，想到看着孩子们饿死该是多么痛苦，她最终还是同意了，然后泪水涟涟地上床睡觉去了。"
"Little Thumb heard every word that had been spoken; for observing, as he lay in his bed, that they were talking very busily, he got up softly, and hid himself under his father’s stool, that he might hear what they said without being seen.","","小拇指听到了他们说的每一句话。当时他躺在床上，而父母正谈得起劲。为了便于偷听，他轻轻从床上起身，躲在爸爸坐的凳子下面，好听到父母的谈话，还不被他们发现。"
"He went to bed again, but did not sleep a wink all the rest of the night, thinking on what he had to do.","","他重新回到床上，可剩下的大半夜他睡意全无，满脑子只想着自己该怎么办。"
"He got up early in the morning, and went to the river-side, where he filled his pockets full of small white pebbles, and then returned home.","","第二天早上，他早早起床后便去了河边，捡了些白色的小鹅卵石装满了他的口袋，之后返回家里。"
"They all went abroad, but Little Thumb never told his brothers one syllable of what he knew.","","全家人都出了门，但关于他所知道的秘密，小拇指一个字也没告诉哥哥们。"
"They went into a very thick forest, where they could not another at ten paces distance.","","他们走进一片十分茂密的森林，在那里，人们只要相隔十步就看不见对方了。"
"The fagot-maker began to cut wood, and the children to gather up the sticks to make fagots.","","樵夫开始砍柴，孩子们则捡树枝来当柴火。"
"Their father and mother, seeing them busy at their work, got away from them insensibly, and ran away from them all at once, along a by-way through the winding bushes.","","爸爸妈妈见他们忙着拾柴火，就慢慢地从他们身边走开，然后立马丢下他们，穿过婆娑的灌木丛，沿着一条小道跑去。"
"When the children saw they were left alone, they began to cry as loud as they could.","","当孩子们发现自己被扔下后，开始扯着嗓子哭了起来。"
"Little Thumb let them cry on, knowing very well how to get home again, for, as he came, he took care to drop all along the way the little white pebbles he had in his pockets.","","小拇指任凭他们一直哭，因为他知道怎样找到重新回家的路。在来的路上，他沿路细心地丢下了他口袋里装的白色小鹅卵石。"
"Then he said to them:","","于是他对哥哥们说："
"“Be not afraid, brothers; father and mother have left us here, but I will lead you home again, only follow me.”","","“哥哥们，不要害怕。虽然爸爸妈妈把我们留在了这里，但我会重新带你们回家的，你们只要跟着我就行了。”"
"They did so, and he brought them home by the very same way they came into the forest.","","哥哥们听从了他的话。小拇指带着他们顺着来到森林的那条路回到了家。"
"They dared not go in, but sat themselves down at the door, listening to what their father and mother were saying.","","他们不敢进家门，只是坐在家门口，听爸爸妈妈在说什么。"
"The very moment the fagot-maker and his wife reached home the lord of the manor sent them ten crowns, which he had owed them a long while, and which they never expected.","","就在樵夫和妻子回到家的时候，庄园主给他们送来了十克朗。那是庄园主欠了他们很久的钱，他们从没想到能收回来。"
"This gave them new life, for the poor people were almost famished.","","在这对贫苦的夫妻快要饿死的时候，这笔钱又让他们活过来了。"
"The fagot-maker sent his wife immediately to the butcher’s.","","樵夫马上就吩咐妻子去肉店。"
"As it was a long while since they had eaten a bit, she bought thrice as much meat as would sup two people.","","他们好长时间都没吃过一口肉了，所以她买的肉是两个人食量的三倍。"
"When they had eaten, the woman said:","","他们吃完后，女人说道："
"“Alas! where are now our poor children? they would make a good feast of what we have left here; but it was you, William, who had a mind to lose them: I told you we should repent of it.","","“啊！我可怜的孩子们现在在哪里？我们剩下的食物能让他们美美吃上一顿了。不过，这都怪你，威廉，是你要扔掉他们的。我跟你说过，我们会后悔的。"
"What are they now doing in the forest?","","他们现在在森林里做什么呢？"
"Alas! dear God, the wolves have perhaps already eaten them up; thou art very inhuman thus to have lost thy children.”","","哦！亲爱的上帝，也许他们已经全被狼吃掉了。你真是狠心啊，居然扔掉自己的亲生孩子。”"
"The fagot-maker grew at last quite out of patience, for she repeated it above twenty times, that they should repent of it, and that she was in the right of it for so saying.","","樵夫最终变得很不耐烦了，因为她一遍又一遍地说他们会为此而后悔的。那些话她重复说了20多遍，而且她说的确实有理。"
"He threatened to beat her if she did not hold her tongue.","","他威胁她说，如果她再不住口，就要揍她。"
"It was not that the fagot-maker was not, perhaps, more vexed than his wife, but that she teased him, and that he was of the humor of a great many others, who love wives to speak well, but think those very importunate who are continually doing so.","","这并不是因为樵夫不懊恼，也许他比妻子更为懊恼，而是因为妻子惹恼了他。他和许多人一样，喜欢口才好的妻子，但如果像她这样唠叨个不停，他就觉得十分讨厌了。"
"She was half-drowned in tears, crying out:","","她眼泪汪汪地大声喊道："
"“Alas! where are now my children, my poor children?”","","“哎呀！我可怜的孩子们，你们现在在哪里？”"
"She spoke this so very loud that the children, who were at the gate, began to cry out all together:","","她说得非常大声，门口的孩子们听见了。于是他们开始一起大叫了起来："
"“Here we are!","","“我们在这里！"
"Here we are!”","","我们在这里！”"
"She ran immediately to open the door, and said, hugging them:","","她立刻跑去开门，一边拥抱孩子们，一边说："
"“I am glad to see you, my dear children; you are very hungry and weary; and my poor Peter, thou art horribly bemired; come in and let me clean thee.”","","“很高兴能重新见到你们，我亲爱的孩子们。你们饿了吧？累了吧？我可怜的彼得，你看你浑身脏兮兮的。过来，我来给你洗洗。”"
"Now, you must know that Peter was her eldest son, whom she loved above all the rest, because he was somewhat carroty, as she herself was.","","现在你一定知道了，彼得是她的长子，也是所有孩子中她最宠爱的一个，因为彼得的头发和她的一样，泛着红棕色。"
"They sat down to supper, and ate with such a good appetite as pleased both father and mother, whom they acquainted how frightened they were in the forest, speaking almost always all together.","","他们坐下来吃晚饭，爸爸妈妈看见他们吃得那么香，感到心满意足。他们几乎异口同声地告诉父母他们在森林里的时候有多害怕。"
"The good folks were extremely glad to see their children once more at home, and this joy continued while the ten crowns lasted; but, when the money was all gone, they fell again into their former uneasiness, and resolved to lose them again; and, that they might be the surer of doing it, to carry them to a much greater distance than before.","","这对夫妇看到自己的孩子重新回到家中，特别开心。在十克朗花光之前，这种快乐都一直持续着。但是，当这些钱全花光的时候，他们又陷入了往日的惴惴不安中，于是他们决定再次将孩子们抛弃。为了让计划万无一失，他们打算把孩子送到比上次远得多的地方。"
"They could not talk of this so secretly but they were overheard by Little Thumb, who made account to get out of this difficulty as well as the former; but, though he got up very early in the morning to go and pick up some little pebbles, he was disappointed, for he found the house-door double-locked, and was at a stand what to do.","","他们悄悄地商量着这件事，但被小拇指偷听到了。他打算像上次一样脱离困境。但是，尽管他早上起了个大早，准备去捡些鹅卵石，计划还是落空了，因为他发现家门被锁了两道，这让他一时不知所措。"
"When their father had given each of them a piece of bread for their breakfast, Little Thumb fancied he might make use of this instead of the pebbles by throwing it in little bits all along the way they should pass; and so he put the bread in his pocket.","","爸爸分给他们一人一片面包当早饭，这时小拇指想着可以用面包屑来代替鹅卵石，沿路撒在他们走过的路上。于是他把面包放进了自己的口袋。"
"Their father and mother brought them into the thickest and most obscure part of the forest, when, stealing away into a by-path, they there left them.","","爸爸妈妈把他们带到森林里一处树木最茂密、光线最昏暗的地方，然后从一条岔道溜走了，只留下他们在那里。"
"Little Thumb was not very uneasy at it, for he thought he could easily find the way again by means of his bread, which he had scattered all along as he came; but he was very much surprised when he could not find so much as one crumb; the birds had come and had eaten it up, every bit.","","小拇指并没有为此而太担心。他认为自己能再次轻松地找到回家的路，因为他沿路撒了面包屑。但让他非常惊讶的是，他连一点儿面包屑也没找到。鸟儿飞来把面包屑统统给吃光了。"
"They were now in great affliction, for the farther they went the more they were out of their way, and were more and more bewildered in the forest.","","此时他们极度苦恼，因为他们越往前走，就越找不到路，在森林里就越不知道该怎么办。"
"Night now came on, and there arose a terribly high wind, which made them dreadfully afraid.","","此时夜幕降临，一阵狂风猛袭过来，孩子们恐惧极了。"
"They fancied they heard on every side of them the howling of wolves coming to eat them up.","","他们想象着四周传来了狼的嗷叫声，像是要来把他们吃光似的。"
"They scarce dared to speak or turn their heads.","","他们几乎不敢说话，也不敢转头。"
