"en","zh"
"Fortune and the Wood-Cutter","樵夫的命运"
"by Andrew Lang","作者：安德鲁·朗格"
"Several hundreds of years ago there lived in a forest a wood-cutter and his wife and children.","几百年前，森林里住着一位樵夫，还有他的妻子和孩子。"
"He was very poor, having only his axe to depend upon, and two mules to carry the wood he cut to the neighbouring town; but he worked hard, and was always out of bed by five o’clock, summer and winter.","樵夫家里很穷，仅靠着一把斧子为生，两头骡子驮着他砍下的木柴拉到邻镇上去卖。樵夫的工作十分辛苦，不论冬天还是夏天，他每天早上五点钟就要起床。"
"This went on for twenty years, and though his sons were now grown up, and went with their father to the forest, everything seemed to go against them, and they remained as poor as ever.","这种生活持续了二十年，尽管现在他的儿子们已经长大成人了，并且和他们的父亲一起去森林砍柴，但是所有的事情好像都在和他们作对，他们还是跟以前一样穷。"
"In the end the wood-cutter lost heart, and said to himself:","最终樵夫失望了，自言自语地说："
"‘What is the good of working like this if I never am a penny the richer at the end?","“如果到最后连一个便士都不能多挣，那这种活儿还有什么好干的？"
"I shall go to the forest no more!","我再也不想去森林里干活了！"
"And perhaps, if I take to my bed, and do not run after Fortune, one day she may come to me.’","如果我躺着睡觉，不再去追逐命运女神，或许哪一天，命运女神会反过来找我。”"
"So the next morning he did not get up, and when six o’clock struck, his wife, who had been cleaning the house, went to see what was the matter.","所以第二天早上，樵夫就没有起床，当六点的钟声敲响时，正在打扫屋子的妻子去看他出了什么事。"
"‘Are you ill?’ she asked wonderingly, surprised at not finding him dressed.","“你生病了？”妻子很诧异地问道，惊奇地发现他还没穿好衣服，"
"‘The cock has crowed ever so often.","“公鸡都叫了好几遍。"
"It is high time for you to get up.’","是时候起床了。”"
"‘Why should I get up?’ asked the man, without moving.","“我为什么要起床？”樵夫一动不动地问道。"
"‘Why? to go to the forest, of course.’","“为什么？当然是去森林里干活啊。”"
"‘Yes; and when I have toiled all day I hardly earn enough to give us one meal.’","“对，我辛辛苦苦干一天活，却连一顿饭的钱都挣不够。”"
"‘But what can we do, my poor husband?’ said she.","“我可怜的丈夫，可是我们又能做什么呢？”妻子说道，"
"‘It is just a trick of Fortune’s, who would never smile upon us.’","“这只是命运女神和我们开的玩笑，她还未曾光顾我们呢。”"
"‘Well, I have had my fill of Fortune’s tricks,’ cried he.","“唉，我已经受够了命运女神的捉弄了，”樵夫喊道，"
