"The Red Etin","红色的埃廷"
"by Andrew Lang","作者：安德鲁·朗格"
"There were ance twa widows that lived on a small bit o’ ground, which they rented from a farmer.","从前，有两个寡妇，她们住在一小块从某个农场主那里租来的田地里。"
"Ane of them had twa sons, and the other had ane; and by-and-by it was time for the wife that had twa sons to send them away to seeke their fortune.","一个寡妇有两个儿子，而另一个寡妇只有一个；过了不久，到那位有两个儿子的寡妇送他们出门去寻找自己财富的时候了。"
"So she told her eldest son ae day to take a can and bring her water from the well, that she might bake a cake for him; and however much or however little water he might bring, the cake would be great or sma’ accordingly; and that cake was to be a’ that she could gie him when he went on his travels.","于是这天，她让大儿子拿一个罐子去井边打水，好让她为他做一块蛋糕；他打来水的多少，将相应地决定蛋糕的大小；而这个蛋糕是她在他上路时能够给他的全部东西。"
"The lad gaed away wi’ the can to the well, and filled it wi’ water, and then came away hame again; but the can being broken the maist part of the water had run out before he got back.","这位小伙子拿着罐子来到井边，把它灌满后带回了家；但罐子是漏的，在他到家之前水已经流走了一大半。"
"So his cake was very sma’; yet sma’ as it was, his mother asked if he was willing to take the half of it with her blessing, telling him that, if he chose rather to have the hale, he would only get it wi’ her curse.","因此他的蛋糕很小；尽管这块蛋糕小得可怜，他的母亲却问他愿不愿意只带走一半，并加上她的祝福，如果他执意要拿走整个蛋糕，将只能得到她的诅咒。"
"The young man, thinking he might hae to travel a far way, and not knowing when or how he might get other provisions, said he would like to hae the hale cake, com of his mother’s malison what like; so she gave him the hale cake, and her malison alang wi’t.","这位年轻人想到自己可能要走很长的路，不知何时以及怎样才能得到其他食物，于是他选择拿走整块带有他母亲诅咒的蛋糕；于是她就将带着自己诅咒的蛋糕给了他。"
"Then he took his brither aside, and gave him a knife to keep till he should come back, desiring him to look at it every morning, and as lang as it continued to be clear, then he might be sure that the owner of it was well; but if it grew dim and rusty, then for certain some ill had befallen him.","接着这位年轻人把他的弟弟叫到一边，给了他一把刀子，让他好好保存直到自己回来，并嘱咐他要每天早晨观察一下，只要刀子是干净明亮的，就说明自己是健康的；但是如果它变得生锈而暗淡了，那么他肯定就是出事了。"
"So the young man set out to seek his fortune.","于是这位年轻人就出发寻找自己的财富去了。"
"And he gaed a’ that day, and a’ the next day; and on the third day, in the afternoon, he came up to where a shepherd was sitting with a flock o’ sheep.","他走了一整天，又走了一整天。第三天下午，他遇到一个牧羊人正赶着一群绵羊。"
"And he gaed up to the shepherd and asked him wha the sheep belanged to; and the man answered:","他走上前去问这位牧羊人，这些绵羊属于谁，这个牧羊人答道："
"“The Red Etin of Ireland","“爱尔兰的红色埃廷，"
"Ance lived in Bellygan,","曾经住在贝利干，"
"And stole King Malcolm’s daughter,","他偷了麦尔肯国王的女儿，"
"The King of fair Scotland.","那可是美丽的苏格兰的国王。"
"He beats her, he binds her,","他将公主毒打，他将公主囚禁，"
"He lays her on a band;","他用绳子将公主捆绑；"
"And every day he dings her","他日日夜夜对着公主念咒，"
"With a bright silver wand","用的是一根闪闪发光的银质魔杖，"
"Like Julian the Roman","就像罗马人朱利安那样，"
"He’s one that fears no man.","他谁也不怕。"
"It’s said there’s ane predestinate","据说他命中注定，"
"To be his mortal foe;","有一个不共戴天的敌人；"
"But that man is yet unborn","但那个人还没出生呢，"
"And lang may it be so.”","这要等到很久以后了。”"
"The young man then went on his journey; and he had not gone far when he espied an old man with white locks herding a flock of swine; and he gaed up to him and asked whose swine these were, when the man answered:","于是这位年轻人继续踏上旅程；他走了没多远，便遇上一个满头白发的老头在放牧一群猪；他走上前去，问那个老头这群猪是谁的，老头答道："
"“The Red Etin of Ireland”—","“爱尔兰的红色埃廷”——"
"(Repeat the verses above.)","（重复上面的诗句。）"
"Then the young man gaed on a bit farther, and came to another very old man herding goats; and when he asked whose goats they were, the answer was:","接着这位年轻人又向前走了一段，他又碰到一个年纪很大的老人在放牧山羊；当他问到它们是谁的山羊时，老人答道："
"“The Red Etin of Ireland”—","“爱尔兰的红色埃廷”——"
"(Repeat the verses again.)","（再次重复上面的诗句。）"
"This old man also told him to beware of the next beasts that he should meet, for they were of a very different kind from any he had yet seen.","老人还提醒他要留心接下来可能遇到的野兽，因为它们与他曾经见过的任何其他野兽都不同。"
"So the young man went on, and by-and-by he saw a multitude of very dreadfu’ beasts, ilk ane o’ them wi’ twa heads, and on every head four horns.","于是这位年轻人继续向前走，不久他便看到了一群非常可怕的野兽，它们每一只都有两个脑袋，每个脑袋上长了四只角。"
"And he was sore frightened, and ran away from them as fast as he could; and glad was he when he came to a castle that stood on a hillock, wi’ the door standing wide to the wa’.","他害怕极了，拼命地跑开；值得高兴的是，他跑到了一座小山上的城堡前，城堡的大门敞开着。"
"And he gaed into the castle for shelter, and there he saw an auld wife sitting beside the kitchen fire.","他躲进了城堡，在城堡里面，他看到了一个老妇坐在厨房的火炉边。"
"He asked the wife if he might stay there for the night, as he was tired wi’ a lang journey; and the wife said he might, but it was not a good place for him to be in, as it belanged to the Red Etin, who was a very terrible beast, wi’ three heads, that spared no living man he could get hold of.","他问那个老妇自己可不可以留下来过夜，因为他走了太远的路，实在是累坏了；老妇说他可以留下来，但这里并不安全，因为这儿是红色埃廷的地盘，他是个非常恐怖的怪兽，长着三个脑袋，落到他手上的人都要丧命。"
"The young man would have gone away, but he was afraid of the beasts on the outside of the castle; so he beseeched the old woman to conceal him as well as she could, and not to tell the Etin that he was there.","年轻人本来想要离开，但他又惧怕城堡外面的那些野兽。于是他求老妇将他藏起来，藏得尽量隐蔽，并且不要告诉埃廷他在城堡里。"
"He thought, if he could put over the night, he might get away in the morning without meeting wi’ the beasts, and so escape.","他觉得如果自己可以熬过这一晚，那么第二天一早就可以躲过那些怪兽逃走了。"
"But he had not been long in his hidy-hole before the awful Etin came in; and nae sooner was he in than he was heard crying:","但是他藏了没多久，可怕的埃廷就进来了；一进门，他就吼了起来："
"“Snouk but and snouk ben,","“闻闻外屋，闻闻里屋，"
"I find the smell of an earthly man;","我闻到了人类的味道；"
"Be he living, or be he dead,","不管他是活还是死，"
"His heart shall be kitchen to my bread.”","今晚我都要拿他的心脏给我的面包调调味儿。”"
"The monster soon found the poor young man, and pulled him from his hole.","怪兽很快就发现了这位可怜的年轻人，并把他从藏身洞里拖了出来。"
"And when he had got him out he told him that if he could answer him three questions his life should be spared.","他把年轻人拽出来以后对他说，如果能够回答三个问题，就饶他一命。"
