"Trusty John","忠实的约翰","质检"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there was an old king who was so ill that he thought to himself, “I am most likely on my death-bed.”","从前，有一位老国王得了重病，于是他暗自思忖：“我很可能时日不多了。”"
"Then he said, “Send Trusty John to me.”","然后他说，“传忠实的约翰来我这儿。”"
"Now Trusty John was his favorite servant, and was so called because all his life he had served him so faithfully.","忠实的约翰是他最喜爱的仆人，之所以这么称呼他是因为他一生都非常忠诚地服侍着老国王。"
"When he approached the bed the King spake to him: “Most trusty John, I feel my end is drawing near, and I could face it without a care were it not for my son.","当他走近床前时，老国王对他说道：“我最忠实的约翰啊，我感觉我的大限就快到了，我本可以毫无顾虑地面对它，可我唯一放心不下的就是我的儿子。"
"He is still too young to decide everything for himself, and unless you promise me to instruct him in all he should know, and to be to him as a father, I shall not close my eyes in peace.”","他还太年轻，不能自己作决定，除非你答应我教会他所有应该了解的东西，就像他父亲那样，否则我无法安心瞑目。”"
"Then Trusty John answered: “I will never desert him, and will serve him faithfully, even though it should cost me my life.”","于是，忠实的约翰答道：“我决不会离他而去，我会忠诚地服侍他，即使以我的性命为代价。”"
"Then the old King said: “Now I die comforted and in peace”; and then he went on: “After my death you must show him the whole castle, all the rooms and apartments and vaults, and all the treasures that lie in them; but you must not show him the last room in the long passage, where the picture of the Princess of the Golden Roof is hidden.","然后，老国王说：“现在我可以安心平静地离去了。”然后，他接着说道：“我死后，你必须带他看一看整个城堡里的所有房间、套房和地下室，以及房子里的全部财宝。但是你不能让他看长廊尽头的最后一个房间，那儿藏着金屋顶公主的画像。"
"When he beholds that picture he will fall violently in love with it and go off into a dead faint, and for her sake he will encounter many dangers; you must guard him from this.”","当他看见画像时，会深深地爱上她，并且会突然昏倒，不省人事，也会因她身陷险境，你必须保护他免受危险。”"
"And when Trusty John had again given the King his hand upon it the old man became silent, laid his head on the pillow, and died.","当忠实的约翰再次就此向老国王发誓后，老人一言不发，将头靠在枕头上死去了。"
"When the old King had been carried to his grave Trusty John told the young King what he had promised his father on his death-bed, and added: “And I shall assuredly keep my word, and shall be faithful to you as I have been to him, even though it should cost me my life.”","等老国王下葬后，忠实的约翰告诉了年轻的国王自己在他父亲临终前的允诺，并补充道：“我一定会信守诺言，对你就像对老国王一样忠心，即使以牺牲自己的生命为代价。”"
"Now when the time of mourning was over, Trusty John said to him: “It is time you should see your inheritance.","等丧礼办完后，忠实的约翰对他说：“现在你该看看你继承的财产了。"
"I will show you your ancestral castle.”","我会带你去看你祖传的城堡。”"
"So he took him over everything, and let him see all the riches and splendid apartments, only the one room where the picture was he did not open.","于是，他带着年轻的国王将所有的东西都看了个遍，让他看了全部的财富和华丽的套房，唯独没有打开那间挂着画像的房子。"
"But the picture was placed so that if the door opened you gazed straight upon it, and it was so beautifully painted that you imagined it lived and moved, and that it was the most lovable and beautiful thing in the whole world.","但是，那幅画挂的位置使你一打开门就能一眼看见它。而且那幅画像画得如此之美，以至于你会幻想它是有生命的，它是全世界最可爱、最美丽的东西。"
"But the young King noticed that Trusty John always missed one door, and said: “Why do you never open this one for me?”","然而，年轻的国王发现忠实的约翰总是漏掉一间屋子，便说道：“为什么你从不为我打开这间屋子？”"
"“There is something inside that would appall you,” he answered.","“这里面有会使你感到恐惧的东西。”他答道。"
"But the King replied: “I have seen the whole castle, and shall find out what is in there”; and with these words he approached the door and wanted to force it open.","但国王回答道：“我已经看过整个城堡了，也要看看这里面究竟有什么。”说着，他走近那扇房门，想用力打开它。"
"But Trusty John held him back, and said: “I promised your father before his death that you shouldn’t see what that room contains.","可忠实的约翰阻止了他，说道：“在你父亲临终前我发过誓，你不能看这间房子里的东西。"
"It might bring both you and me to great grief.”","这可能会给你和我招致最大的不幸。”"
"“Ah! no,” answered the young King; “if I don’t get in, it will be my certain destruction; I should have no peace night or day till I had seen what was in the room with my own eyes.","“啊！不，”年轻的国王答道，“如果我不进去，才一定会毁了我，我会日夜不得安宁，直到我亲眼看见房间有什么东西为止。"
"Now I don’t budge from the spot till you have opened the door.”","现在，如果你不开门，我就寸步不移地站在这儿。”"
"Then Trusty John saw there was no way out of it, so with a heavy heart and many sighs he took the key from the big bunch.","于是，忠实的约翰见已经无计可施了，便忧心忡忡、唉声叹气地从一大串钥匙中拿出那一把。"
"When he had opened the door he stepped in first, and thought to cover the likeness so that the King might not perceive it; but it was hopeless: the King stood on tiptoe and looked over his shoulder.","当他打开门后，他先走了进去，希望能挡住画像，这样也许国王就看不到它，但这并不管用：国王踮起脚尖从他的肩头看了过去。"
"And when he saw the picture of the maid, so beautiful and glittering with gold and precious stones, he fell swooning to the ground.","当他看到少女的画像时，发现她是如此美丽动人，在金饰宝石的衬托下显得明艳夺目，他倒在地上昏了过去。"
"Trusty John lifted him up, carried him to bed, and thought sorrowfully: “The curse has come upon us; gracious heaven! what will be the end of it all?”","忠实的约翰把他扶了起来，将他抱到床上，痛苦地想着：“诅咒已经降临在我们身上了，仁慈的上帝啊！这一切将如何收场呢？”"
"Then he poured wine down his throat till he came to himself again.","然后他把酒灌给国王喝，直到他再次恢复意识。"
