id,zh,en
"1","一个陌生女人的来信","Letter from an Unknown Woman"
"2","觉醒","The Awakening"
"3","小城畸人","Winesburg\, Ohio"
"4","都柏林人","Dubliners"
"5","鲁滨孙漂流记","Robinson Crusoe"
"6","走投无路","End of the Tether"
"7","水仙号上的黑鬼","The Nigger of the Narcissus"
"8","苹果树","The Apple Tree"
"9","劝导","Persuasion"
"10","鼠疫","The Plague"
"11","简 爱","Jane Eyre"
"12","远大前程","Great Expectations"
"13","雾都孤儿","Oliver Twist"
"14","了不起的盖茨比","The Great Gatsby"
"15","戴西 米勒","Daisy Miller"
"16","伊凡 伊里奇之死","The Death of Ivan Ilych"
"17","童年","Childhood　　"
"18","吝啬鬼","The Miser"
"19","卡门","Carmen"
"20","科隆巴","Colomba"
"21","双重人格","The Double"
"22","黑郁金香","The Black Tulip"
"23","变形记","The Metamorphosis"
"24","秘密花园","The Secret Garden"
"25","教师","The Professor"
"26","地下城","The Underground City"
"27","神秘岛","The Mysterious Island"
"28","从地球到月球","From the Earth to the Moon"
"29","水晶蛋","The Crystal Egg"
"30","新型加速剂","The New Accelerator"
"31","时光机器","Time Machine"
"32","三人同舟","Three Men in a Boat"
"33","懒人闲思录","Idle Thoughts of an Idle Fellow"
"34","海浪","The Waves"
"35","小人物日记","The Diary of a Nobody"
"36","雅各布哥哥","Brother Jacob"
"37","卡特里奥娜","Catriona"
"38","金银岛","Treasure Island"
"39","英国的文艺复兴","The English Renaissance of Art"
"40","石榴屋童话集","A House of Pomegranates"
"41","平凡人和他的妻子","The Plain Man and His Wife"
"42","悠游度过一天的24小时","How to Live on Twenty-Four Hours a Day"
"43","寻找精神家园","Letters to a Spiritual Seeker"
"44","琐事集","All Trivia"
"45","芝麻与百合","Sesame and Lilies"
"46","文艺复兴","The Renaissance"
"47","漫游东西世界","Roving East and Roving West"
"48","四季随笔","The Private Papers of Henry Ryecroft"
"49","塞文山驴伴之旅","Travels with a Donkey in the Cevennes"
"50","我的知识之路","Autobiography of John Stuart Mill"
"51","我的童年","My Childhood"
"52","凯尔特的薄暮","The Celtic Twilight"
"53","小王子","The Little Prince"
"54","鞋","Shoes"
"55","迷人的侧影","The Enchanted Profile"
"56","生活的陀螺","The Whirligig Of Life"
"57","新婚的姊妹们","Sisters of the Golden Circle"
"58","城市佬","Man about Town"
"59","华而不实","Lost on Dress Parade"
"60","二十年后","After Twenty Years"
"61","自然调节","An Adjustment of Nature"
"62","回合之间","Between Rounds"
"63","口信","By Courier"
"64","托宾的手相","Tobin’s Palm"
"65","三叶草和棕榈树","Shamrock and the Palm"
"66","爱的牺牲","A Service of Love"
"67","一千美元","One Thousand Dollars"
"68","闪锌矿的卖主","A Blackjack Bargainer"
"69","黄狗自传","Memoirs of a Yellow Dog"
"70","红酋长的赎金","The Ransom of Red Chief"
"71","绿门","The Green Door"
"72","带家具出租的房间","The Furnished Room"
"73","钟摆","The Pendulum"
"74","警察与赞美诗","The Cop and the Anthem"
"75","圣贤的礼物","The Gift of The Magi"
"76","失语漫游","A Ramble in Aphasia"
"77","丛林中的孩子","Babies in the Jungle"
"78","第五个车轮","The Fifth Wheel"
"79","姑娘和骗局","The Girl and the Graft"
"80","闪光的金子","The Gold That Glittered"
"81","诗人与乡巴佬","The Poet and the Peasant"
"82","安宁的长袍","The Robe of Peace"
"83","哈里发、丘比特和时钟","The Caliph\, Cupid and the Clock"
"84","带天窗的房间","The Skylight Room"
"85","一个离奇的故事","A Strange Story"
"86","与睡神抗争","At Arms with Morpheus"
"87","恭贺佳节","Compliments of the Season"
"88","同病相怜","Makes the Whole World Kin"
"89","决斗","The Duel"
"90","最后的行吟诗人","The Last of the Troubadours"
"91","最后的处方","Let Me Feel Your Pulse"
"92","沙姆罗克 乔尔摩斯历险记","The Adventures of Shamrock Jolnes"
"93","“干谷”约翰逊的小阳春","The Indian Summer of Dry Valley Johnson"
"94","公主与美洲狮","The Princess and the Puma"
"95","麦克的赎金","The Ransom of Mack"
"96","巴格达之鸡","A Bird of Bagdad"
"97","哈里发和莽汉","The Caliph and the Cad"
"98","带磨坊的教堂","The Church with an Overshot-Wheel"
"99","复活日那天","The Day Resurgent"
"100","姑娘与习惯","The Girl and the Habit"
"101","灵魂和摩天大楼","Psyche and the Pskyscraper"
"102","新天方夜谭","A Night in New Arabia"
"103","风险家","The Ventures"
"104","篝火旁的纽约","New York by Campfire Light"
"105","最后一片藤叶","The Last Leaf"
"106","瓶中手稿","Ms. Found in a Bottle"
"107","绝境","A Predicament"
"108","言语的力量","The Power of Words"
"109","骗术","Diddling"
"110","跳蛙","Hop-Frog"
"111","同木乃伊对话","Some Words with a Mummy"
"112","焦油博士和羽毛教授的疗法","The System of Dr. Tarr and Prof. Fether"
"113","眼镜","The Spectacles"
"114","生意人","The Business Man"
"115","斯芬克司","The Sphinx"
"116","钟楼里的魔鬼","The Devil in the Belfry"
"117","气球骗局","The Balloon-Hoax"
"118","一桶白葡萄酒","The Cask of Amontillado"
"119","辛格姆 鲍勃先生的文学生涯","Literary Life of Thingum Bob"
"120","红死病魔的面具","The Masque of the Red Death"
"121","一次电话交谈","A Telephonic Conversation"
"122","威廉三世的肖像","Portrait of King William III"
"123","躺在床上的危险","The Danger of Lying in Bed"
"124","第一台打字机","The First Writing-Machines"
"125","时尚一例","A Fashion Item"
"126","历史重现","History Repeats Itself"
"127","尊为奇人","Honored as a Curiosity"
"128","中国人约翰在纽约","John Chinaman in New York"
"129","一只狗的故事","A Dog’s Tale"
"130","运气","Luck"
"131","竞选州长","Running for Governor"
"132","科学对阵运气","The Science vs Luck"
"133","殡仪员的闲谈","The Undertaker’s Chat"
"134","办公室里的讨厌鬼","The Office Bore"
"135","饲养家禽","To Raise Poultry"
"136","“两岁婴孩”的妙语","Wit Inspirations of the “Two-Year-Olds”"
"137","我的前参议员秘书生涯","My Late Senatorial Secretaryship"
"138","圣经故事全景画家","The Scriptural Panoramist"
"139","经过修订的讣告","Amended Obituaries"
"140","猎捕狡猾的火鸡","Hunting the Deceitful Turkey"
"141","已故的本杰明 富兰克林","The Late Benjamin Franklin"
"142","爱尔兰的“教派口号”","“Party Cries” In Ireland"
"143","一位健康的老人","A Fine Old Man"
"144","一次神秘的拜访","A Mysterious Visit"
"145","漫谈理发师","About Barbers"
"146","给小女孩的忠告","Advice to Little Girls"
"147","餐后致辞","After-Dinner Speech"
"148","一篇有趣的文章","An Entertaining Article"
"149","诙谐自传","Burleque Biography"
"150","人生的五种恩赐","The Five Boons of Life"
"151","王子与贫儿","The Prince and the Pauper"
"152","汤姆 索耶在国外","Tom Sawyer Abroad"
"153","汤姆 索耶探案","Tom Sawyer\, Detective"
"154","棕色的沃尔夫","Brown Wolf"
"155","有伤疤的人","The Man with the Gash"
"156","疑犯从宽","The Benefit of the Doubt"
"157","意外","The Unexpected"
"158","在甲板的天棚下","Under the Deck Awnings"
"159","强者的力量","The Strength of the Strong"
"160","太多金子","Too Much Gold"
"161","黄金谷","All Gold Canon"
"162","故事的结局","The End of the Story"
"163","为赶路的人干杯","To the Man on the Trail"
"164","老头子同盟","The League of the Old Men"
"165","克里斯 法林顿  一等水手","Chris Farrington\, Able Seaman"
"166","陈阿春","Chun Ah Chun"
"167","圆脸","Moon-Face"
"168","老秃子","Old Baldy"
"169","带翅膀的勒索信","Winged Blackmail"
"170","终结","Fins"
