"How Geirald the Coward was Punished","懦夫盖拉尔德受惩记"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there lived a poor knight who had a great many children, and found it very hard to get enough for them to eat.","很久以前，有一位贫穷的骑士，他有很多小孩，却很难让每一个孩子都吃饱。"
"One day he sent his eldest son, Rosald, a brave and honest youth, to the neighbouring town to do some business, and here Rosald met a young man named Geirald, with whom he made friends.","他的大儿子罗萨德是一个勇敢诚实的年轻人。一天，父亲让他去邻近的小镇上做点儿小生意，在那里，罗萨德认识了一个名叫盖拉尔德的年轻人，并与他成了朋友。"
"Now Geirald was the son of a rich man, who was proud of the boy, and had all his life allowed him to do whatever he fancied, and, luckily for the father, he was prudent and sensible, and did not waste money, as many other rich young men might have done.","盖拉尔德的父亲很有钱，而且为他儿子感到自豪，在他一生中，无论盖拉尔德想要什么，他统统都会满足他。令父亲感到幸运的是，盖拉尔德是一个谨慎、懂事的人，跟大多数有钱的年轻人不一样，他并不浪费钱财。"
"For some time he had set his heart on travelling into foreign countries, and after he had been talking for a little while to Rosald, he asked if his new friend would be his companion on his journey.","有一段时间，盖拉尔德迷上了出国旅游，在与罗萨德聊了一会儿之后，他问这位新结识的朋友是否愿意跟他一起旅行。"
"‘There is nothing I should like better,’ answered Rosald, shaking his head sorrowfully; ‘but my father is very poor, and he could never give me the money.’","“没有比这更愿意的事了，”罗萨德回答说，却又难过地摇了摇头，“但是我的父亲很穷，他没有钱给我去旅行。”"
"‘Oh, if that is your only difficulty, it is all right,’ cried Geirald.","盖拉尔德大叫道：“哦，如果这是你唯一的困难，这很好办。"
"‘My father has more money than he knows what to do with, and he will give me as much as I want for both of us; only, there is one thing you must promise me, Rosald, that, supposing we have any adventures, you will let the honour and glory of them fall to me.’","我的父亲有很多很多钱，多得不知道该拿去做些什么，我们想要多少，他就会给多少；但是罗萨德，你得答应我一件事，假设我们历经许多冒险，你得把冒险中所得的荣誉都给我。”"
"‘Yes, of course, that is only fair,’ answered Rosald, who never cared about putting himself forward.","“好的，当然，这绝对公平，”罗萨德回答道，他从不计较谁出风头，"
"‘But I cannot go without telling my parents.","“但是出发之前我必须告诉我的父母。"
"I am sure they will think me lucky to get such a chance.’","他们肯定会认为我是多么幸运才能得到这次机会。”"
"As soon as the business was finished, Rosald hastened home.","一做完生意，罗萨德就急忙回了家。"
"His parents were delighted to hear of his good fortune, and his father gave him his own sword, which was growing rusty for want of use, while his mother saw that his leather jerkin was in order.","听到他遇到这么好的机会，他的父母感到非常高兴，父亲把自己的剑送给了他，由于长时间不用，这把剑渐渐生了锈，而母亲让他整理好穿在身上的紧身皮上衣。"
"‘Be sure you keep the promise you made to Geirald,’ said she, as she bade him good-bye, ‘and, come what may, see that you never betray him.’","“一定要信守对盖拉尔德的诺言，”母亲在告别的时候叮嘱道，“不管怎样，你都不能背叛他。”"
"Full of joy Rosald rode off, and the next day he and Geirald started off to seek adventures.","罗萨德满怀欢喜，骑上马离开了家。第二天，他与盖拉尔德开始了探险之旅。"
"To their disappointment their own land was so well governed that nothing out of the common was very likely to happen, but directly they crossed the border into another kingdom all seemed lawlessness and confusion.","令他们失望的是，自己的王国被治理得井井有条，不像会发生什么不寻常的事，但是当他们一越过边界，进入另一个王国时，一切看起来都乱无法纪。"
"They had not gone very far, when, riding across a mountain, they caught a glimpse of several armed men hiding amongst some trees in their path, and remembered suddenly some talk they had heard of a band of twelve robbers who lay in wait for rich travellers.","他们骑着马翻过了一座山，并没有走多远，这时，他们瞥见树丛里面藏着几个带着武器的人，他们突然记起一些关于12个强盗的传说，听说这12个人总是埋伏在路上，抢劫有钱的游客们。"
"The robbers were more like savage beasts than men, and lived somewhere at the top of the mountain in caves and holes in the ground.","这些强盗不像人，更像是残暴的野兽。他们住在山顶的某个山洞里和地上的某个洞穴中。"
"They were all called ‘Hankur,’ and were distinguished one from another by the name of a colour—blue, grey, red, and so on, except their chief, who was known as Hankur the Tall.","他们都被叫做“汉克”，通过名字中的颜色——蓝色、灰色、红色等，把他们一一区别开来，但他们的强盗头除外，他的名字叫做高个子汉克。"
"All this and more rushed into the minds of the two young men as they saw the flash of their swords in the moonlight.","在他们思绪万千的时候，他们看见盗贼的剑在月光下闪着寒光。"
"‘It is impossible to fight them—they are twelve to two,’ whispered Geirald, stopping his horse in the path.","“跟他们硬拼肯定不行——他们有12个人，我们才有2个，”盖拉尔德停下了马，小声嘀咕着，"
"‘We had much better ride back and take the lower road.","“我们最好往回骑，走低一点儿的那条路。"
"It would be stupid to throw away our lives like this.’","要是像这样丢掉性命就太愚蠢了。”"
"‘Oh, we can’t turn back,’ answered Rosald, ‘we should be ashamed to look anyone in the face again!","“不，我们不能回去，”罗萨德回答道，“否则，我们就没脸再见任何人了！"
"And, besides, it is a grand opportunity to show what we are made of.","而且除此之外，这是一个展示我们自己的大好机会啊！"
"Let us tie up our horses here, and climb up the rocks so that we can roll stones down on them.’","我们把马拴在这儿，然后爬到有岩石块的高处，这样我们就能够滚下石头砸他们。”"
"‘Well, we might try that, and then we shall always have our horses,’ said Geirald.","“好吧，我们或许可以试试，接着我们总是应该牵回我们的马。”盖拉尔德说。"
"So they went up the rocks silently and carefully.","于是他们悄悄地、小心翼翼地爬到那些岩石顶上。"
"The robbers were lying all ready, expecting every moment to see their victims coming round the corner a few yards away, when a shower of huge stones fell on their heads, killing half the band.","这些盗贼都已经埋伏好了，时时刻刻期待着看见他们的目标物从几米外的那个拐角过来。就在这时候，巨大的石块如雨一般倾泻而下，砸中了他们的头，有一半的强盗被砸死了。"
"The others sprang up the rock, but as they reached the top the sword of Rosald swung round, and one man after another rolled down into the valley.","其他的强盗则往罗萨德他们所在的地方赶去，然而当他们逼近顶处时，只见罗萨德挥舞着剑，强盗们一个接一个地滚进了山谷。"
"At last the chief managed to spring up, and, grasping Rosald by the waist, flung away his sword, and the two fought desperately, their bodies swaying always nearer the edge.","最后，强盗头出现了，他抓住了罗萨德的腰，设法打掉了他手中的剑，两人拼命厮打起来，身体一直在靠近山崖边缘的地方移动。"
"It seemed as if Rosald, being the smaller of the two, MUST fall over, when, with his left hand, he drew the robber’s sword out of its sheath and plunged it into his heart.","罗萨德个头不如那个强盗头，看起来似乎必定会滚下山崖，突然，他左手从强盗头的剑鞘中抽出了剑，然后刺进了强盗头的心脏。"
"Then he took from the dead man a beautiful ring set with a large stone, and put it on his own finger.","强盗头被杀死了，罗萨德取下了他的戒指，上面嵌着一颗大宝石，非常漂亮，他把它戴在了自己的手上。"
"The fame of this wonderful deed soon spread through the country, and people would often stop Geirald’s horse, and ask leave to see the robber’s ring, which was said to have been stolen from the father of the reigning king.","这件令人赞叹不已的英雄事迹迅速传遍了全国，王国里的百姓经常拦住盖拉尔德的马，请求盖拉尔德让他们看看那个强盗头的戒指，据说这枚戒指是从现任国王的父亲那里偷来的。"
"And Geirald showed them the ring with pride, and listened to their words of praise, and no one would ever have guessed anyone else had destroyed the robbers.","盖拉尔德自豪地把戒指展示给他们看，享受着他们的赞美之词，没有人会去怀疑是别人消灭了盗贼团伙。"
"In a few days they left the kingdom and rode on to another, where they thought they would stop through the remainder of the winter, for Geirald liked to be comfortable, and did not care about travelling through ice and snow.","几天后，他们离开了王国，骑马前往下一个国家，他们想自己可能会在下一个地方呆到冬天结束，因为盖拉尔德更愿意舒舒服服的，并不喜欢在冰雪中穿行。"
"But the king would only grant them leave to stop on condition that, before the winter was ended, they should give him some fresh proof of the courage of which he had heard so much.","国王允许他们留下来，但有一个条件，那就是在冬天结束之前，他们应该拿出新的证据来证明他们的胆量，而关于他们胆量的事国王已经听过很多了。"
"Rosald’s heart was glad at the king’s message, and as for Geirald, he felt that as long as Rosald was there all would go well.","罗萨德听到国王的要求后非常开心，而盖拉尔德感觉只要有罗萨德在，一切就会很顺利。"
"So they both bowed low and replied that it was the king’s place to command and theirs to obey.","于是他们都深鞠了一躬，回答说，他们会听从国王的吩咐。"
"‘Well, then,’ said his Majesty, ‘this is what I want you to do: In the north-east part of my kingdom there dwells a giant, who has an iron staff twenty yards long, and he is so quick in using it, that even fifty knights have no chance against him.","“很好，那么，”国王陛下说，“有件事我想让你们去做：在王国的东北部住着一个巨人，他有一个铁制的武器，长度超过20码，他使起它来动作非常迅速，即使50个骑士加起来也不是他的对手。"
"The bravest and strongest young men of my court have fallen under the blows of that staff; but, as you overcame the twelve robbers so easily, I feel that I have reason to hope that you may be able to conquer the giant.","在我宫廷中最为勇猛、强壮的年轻人都曾被他的武器重击在地。既然你们如此轻易地消灭了12个盗贼，我想我有理由对你们抱有希望，你们或许可以打败那个巨人。"
"In three days from this you will set out.’","三天后你们就出发。”"
"‘We will be ready, your Majesty,’ answered Rosald; but Geirald remained silent.","罗萨德回答说：“陛下，我们会做好准备的。”然而盖拉尔德却不说话。"
"‘How can we possibly fight against a giant that has killed fifty knights?’ cried Geirald, when they were outside the castle.","当他们走出城堡，盖拉尔德喊道：“我们怎么可能打败巨人呢？他可曾经杀了50个骑士啊。"
"‘The king only wants to get rid of us!","国王只是想摆脱我们！"
"He won’t think about us for the next three days—that is one comfort—so we shall have plenty of time to cross the borders of the kingdom and be out of reach.’","接下来的三天，他不会管我们的死活了——我有一个解决方法——我们有足够时间越过这个王国的边界，他们抓不到我们的。”"
"‘We mayn’t be able to kill the giant, but we certainly can’t run away till we have tried,’ answered Rosald.","罗萨德说：“我们有可能杀不死巨人，但在还没尝试之前，我们绝对不能逃跑。"
"‘Besides, think how glorious it will be if we DO manage to kill him!","而且想想，如果我们确实想办法杀死了巨人，对于我们来说，那是一件多么荣耀的事啊！"
"I know what sort of weapon I shall use.","我知道我应该使用什么样的武器。"
"Come with me now, and I will see about it.’","现在跟我来，我会安排的。”"
" And, taking his friend by the arm, he led him into a shop where he bought a huge lump of solid iron, so big that they could hardly lift it between them.","然后，罗萨德挽着他朋友的胳膊，带他进了一家商铺，在那里他买了一坚固的大铁块，大得几乎他们两人都抬不起来。"
"However, they just managed to carry it to a blacksmith’s where Rosald directed that it should be beaten into a thick club, with a sharp spike at one end.","然而，他们想方设法地把它抬进了一家铁匠铺，在罗萨德的指导下，铁块被打造成一根粗铁棒，铁棒的一端是锋利的尖头。"
"When this was done to his liking he took it home under his arm.","等武器按照罗萨德所说的那样打造完成之后，他就用一条胳膊夹着铁棒，把它带回了家。"
"Very early on the third morning the two young men started on their journey, and on the fourth day they reached the giant’s cave before he was out of bed.","第三天一大清早，这两个年轻人就出发了，第四天还没等巨人醒来，他们就赶到了他的洞穴。"
"Hearing the sound of footsteps, the giant got up and went to the entrance to see who was coming, and Rosald, expecting something of the sort, struck him such a blow on the forehead that he fell to the ground.","一切如罗萨德所料，巨人听到脚步声后起床走到洞口，想看看是谁来了，这时他用之前打造的武器狠狠地朝巨人的前额刺去，巨人倒在了地上。"
"Then, before he could rise to his feet again, Rosald drew out his sword and cut off his head.","然后，在巨人再次站起来之前，罗萨德就拔出了剑，砍掉了巨人的脑袋。"
