"Habogi","哈博基"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there lived two peasants who had three daughters, and, as generally happens, the youngest was the most beautiful and the best tempered, and when her sisters wanted to go out she was always ready to stay at home and do their work.","从前，有一对农民夫妇，他们有三个女儿。一般来说，最小的女儿是最美丽、最乖巧的，这家也不例外。当她的姐姐们想要出去玩时，小女儿总是甘愿留在家里，替她们干活。"
"Years passed quickly with the whole family, and one day the parents suddenly perceived that all three girls were grown up, and that very soon they would be thinking of marriage.","一年年飞快地过去了，有一天，夫妇俩忽然意识到，三个女儿都已经长大成人，并且很快就该谈婚论嫁了。"
"‘Have you decided what your husband’s name is to be?’ said the father, laughingly, to his eldest daughter, one evening when they were all sitting at the door of their cottage.","一天傍晚，当全家人都坐在屋门口时，父亲笑着问大女儿：“你想好你未来丈夫的名字了吗？"
"‘You know that is a very important point!’","你知道这可是相当重要的！”"
"‘Yes; I will never wed any man who is not called Sigmund,’ answered she.","“我已经想好了，我只嫁给叫西格蒙德的人。”大女儿回答。"
"‘Well, it is lucky for you that there are a great many Sigmunds in this part of the world,’ replied her father, ‘so that you can take your choice!","“嗯，那你很幸运，咱们这儿有很多叫西格蒙德的，”父亲回答道，“所以你可以随便挑！"
"And what do YOU say?’ he added, turning to the second.","那你呢？”他转向二女儿，又接着问道。"
"‘Oh, I think that there is no name so beautiful as Sigurd,’ cried she.","“噢，我认为再没有比西格德更美的名字了。”她喊道。"
"‘Then you won’t be an old maid either,’ answered he.","“那么你也不用担心嫁不出去，”他回答，"
"‘There are seven Sigurds in the next village alone!","“光邻村就有七个叫西格德的！"
"And you, Helga?’","那么你呢，赫尔格？”"
"Helga, who was still the prettiest of the three, looked up.","赫尔格抬起头来，她现在仍然是三姐妹中最漂亮的一个。"
"She also had her favourite name, but, just as she was going to say it, she seemed to hear a voice whisper: ‘Marry no one who is not called Habogi.’","她也有自己最喜欢的名字，但是，正当她准备说出来时，她似乎听到一个声音低声说：“非哈博基不嫁。”"
