"While the Auto Waits","汽车等待的时候"
"by O. Henry","作者：欧·亨利"
"Promptly at the beginning of twilight, came again to that quiet corner of that quiet, small park the girl in gray.","黄昏刚刚来临，穿灰衣服的女孩又来到了那个安静的小公园的那个安静的角落。"
"She sat upon a bench and read a book, for there was yet to come a half hour in which print could be accomplished.","她坐在长椅上看着书，再过半个小时，书上的字就看不清了。"
"To repeat: Her dress was gray, and plain enough to mask its impeccancy of style and fit.","重申一遍：她的衣服是灰色的，而且非常普通，使得其完美的风格和剪裁完全不能得以彰显。"
"A large-meshed veil imprisoned her turban hat and a face that shone through it with a calm and unconscious beauty.","一块大网眼的面纱罩住了她的头巾帽，面纱后那张充满平静和自然之美的脸庞也被遮住了。"
"She had come there at the same hour on the day previous, and on the day before that; and there was one who knew it.","昨天的同一时间，她也来到这里，前天也是如此；有个人知道这个情况。"
"The young man who knew it hovered near, relying upon burnt sacrifices to the great joss, Luck.","那个知晓这个情况的年轻人在附近徘徊着，寄希望于幸运之神的眷顾。"
"His piety was rewarded, for, in turning a page, her book slipped from her fingers and bounded from the bench a full yard away.","他的虔诚得到了回报，因为女孩翻书时，书从她的指尖滑落，又在长椅上一磕，落到了足足一码以外的地方。"
"The young man pounced upon it with instant avidity, returning it to its owner with that air that seems to flourish in parks and public places—a compound of gallantry and hope, tempered with respect for the policeman on the beat.","年轻人急不可待地扑过去捡起书来，然后还给了它的主人，脸上带着那种公园和公共场所司空见惯的神情——那神情既殷勤又充满希望，还间杂着对巡逻警察的那种忌惮。"
"In a pleasant voice, he risked an inconsequent remark upon the weather—that introductory topic responsible for so much of the world’s unhappiness—and stood poised for a moment, awaiting his fate.","他用悦耳的声音冒险说了句有关天气的毫不搭界的话——那种造成了人间诸多不幸的开场白——他镇定地站了一会儿，等待着命运对他的安排。"
