"风险家","The Venturers"
"作者：欧·亨利","by O. Henry"
"如果非得如此，那就让这短篇小说在“毫无逻辑性可言”蜿蜒而去的铁轨上飞驰而失事吧，首先你得在“存在的理由”观景车里呆上那么一会儿。不会很长时间，只要欣赏一篇短文的时间就够了——我们称这篇散文为：《附近所闻》。","Let the story wreck itself on the spreading rails of the Non Sequitur Limited, if it will; first you must take your seat in the observation car “Raison d’être” for one moment.It is for no longer than to consider a brief essay on the subject—let us call it: “What’s Around the Corner.”"
"世界上有两种人：一种是穿着橡胶套鞋支付人头税的人，另一种是发现新大陆的人。然而迄今为止仍没有新的大陆被发现；但是等到套鞋过时、人头税发展成为个人所得税的时候，另外一半人将使火星上的运河与镭铁轨保持平行。","Omne mundus in duas partes divisum est—men who wear rubbers and pay poll-taxes, and men who discover new continents.There are no more continents to discover; but by the time overshoes are out of date and the poll has developed into an income tax, the other half will be paralleling the canals of Mars with radium railways."
"运气、机遇和冒险在字典中是同义词。但对于有学问的人来说，每个词又有着不同的意义。运气是值得夺取的嘉奖。","Fortune, Chance, and Adventure are given as synonymous in the dictionaries.To the knowing each has a different meaning.Fortune is a prize to be won."
"机遇是可能潜藏在路边阴暗处的东西。运气有着光芒四射且诱人的面孔；冒险有着激动不已且英勇的面孔。机遇的面孔是漂亮的——因朦胧和梦幻而显得完美——早餐时，当我们对着牛排和烤面包发牢骚时，我们可以在茶杯里看到它。","Chance is what may lurk in the shadows at the roadside.The face of Fortune is radiant and alluring; that of Adventure is flushed and heroic.The face of Chance is the beautiful countenance—perfect because vague and dream-born—that we see in our tea-cups at breakfast while we growl over our chops and toast."
"所谓的风险家就是在通往运气的大道上一直留心路边的矮树篱、果园和牧场的人。这就是他和冒险家的区别之所在。偷吃禁果是风险家所创的最佳纪录。而试图证明此事确实发生过则是冒险界的最高成就。成为两者任意一种都会搅乱天地万物的宇宙起源论。因此，作为能在地址录上找到姓名的普通老百姓，我们不妨点燃烟斗，训斥孩子和小猫，坐在凉爽的窗下的柳枝摇椅上，在闪烁的煤油灯下仔细审视这篇关于两个现代人寻找机遇的小故事吧。","The Venturer is one who keeps his eye on the hedgerows and wayside groves and meadows while he travels the road to Fortune.That is the difference between him and the Adventurer.Eating the forbidden fruit was the best record ever made by a Venturer.Trying to prove that it happened is the highest work of the Adventuresome.To be either is disturbing to the cosmogony of creation.So, as bracket-sawed and city-directoried citizens, let us light our pipes, chide the children and the cat, arrange ourselves in the willow rocker under the flickering gas jet at the coolest window and scan this little tale of two modern followers of Chance."
"“你听说过那个西部人的故事吗？”当你进入保厄坦俱乐部时，比林格在你左边的深色栎木质的小屋子里问道。","“Did you ever hear that story about the man from the West?” asked Billinger, in the little dark-oak room to your left as you penetrate the interior of the Powhatan Club."
"“那是当然的啦。”约翰·雷金纳德·福斯特说完，便起身准备离开房间。","“Doubtless,” said John Reginald Forster, rising and leaving the room."
"福斯特从衣帽间的服务员手里拿了他的草帽（在这篇小说出版之前，这种草帽可能还很流行，也可能早已过时了），然后就消失了（正如哈姆雷特所说）。比林格已经习惯他的小说备受打击，他不会在意的。福斯特现在心情很好，不愿在任何一个地方呆太长时间。一个人如果想拥有好心情，他的观点必须得到他人的证实，而且别人的心情必须跟他的心情相似。（我本来是想写“某人”，但是有一次，一个男孩发了份电报告诉我，如果我使用复合词的话可以为自己省下一些钱。如果我是在写稿子，那最好是多几个字了。）","Forster got his straw hat (straws will be in and maybe out again long before this is printed) from the checkroom boy, and walked out of the air (as Hamlet says).Billinger was used to having his stories insulted and would not mind.Forster was in his favorite mood and wanted to go away from anywhere.A man, in order to get on good terms with himself, must have his opinions corroborated and his moods matched by some one else.(I had written that “somebody”; but an A. D. T. boy who once took a telegram for me pointed out that I could save money by using the compound word.This is a vice versa case.)"
"福斯特最好的心情就是当他迫切想要成为机遇的追随者。他生性爱冒风险，但是习俗、出身、传统和曼哈顿部落逐渐萎缩的影响力使他不能享有所有的特权。他几乎周游了所有的大街小巷，据说这些街巷可以消除生活的枯燥和单调。但是丝毫不见效。因为他知道在每个街道的尽头都会发现什么。根据多年的经验和逻辑，他几乎清楚地知道脱离惯常生活会是什么后果。他发现他圈子里的音乐嫁接到生活的主旋律后，产生的变调也依旧令人丧气且千篇一律。他不了解，即使地球变成圆的，而现在这个圆又变方了，也只有在《附近所闻》里才能找到真正的趣味。","Forster’s favorite mood was that of greatly desiring to be a follower of Chance.He was a Venturer by nature, but convention, birth, tradition and the narrowing influences of the tribe of Manhattan had denied him full privilege.He had trodden all the main-traveled thoroughfares and many of the side roads that are supposed to relieve the tedium of life.But none had sufficed.The reason was that he knew what was to be found at the end of every street.He knew from experience and logic almost precisely to what end each digression from routine must lead.He found a depressing monotony in all the variations that the music of his sphere had grafted upon the tune of life.He had not learned that, although the world was made round, the circle has been squared, and that it’s true interest is to be in “What’s Around the Corner.”"
"福斯特离开了保厄坦，漫无目的地走着，既不费心判断也不在意自己走在哪条街上。如果可能的话他倒情愿迷路，但是对此他是不抱任何希望了。在大城市里，冒险和运气无处不在，召之即来；而机遇却有着东方意蕴。她是一个坐在轿子里受特殊交通卫队保护的蒙面夫人。不管是在商业区还是在住宅区，你都很少有机会看到她。","Forster walked abroad aimlessly from the Powhatan, trying not to tax either his judgment or his desire as to what streets he traveled.He would have been glad to lose his way if it were possible; but he had no hope of that.Adventure and Fortune move at your beck and call in the Greater City; but Chance is oriental.She is a veiled lady in a sedan chair, protected by a special traffic squad of dragonians.Crosstown, uptown, and downtown you may move without seeing her."
"一小时的闲逛之后，福斯特站在宽阔平坦的大街角落里，闷闷不乐地看着虽不显眼却灯光明亮、别致的老饭店。要在这样一家毫无冒险意义可言的饭店用餐使他极为郁闷，但他又不得不用餐。这是他喜欢的大旅社之一，因为这家饭店的环境相当安静，服务效率相当高，餐点也十分精致可口，用这家“无与伦比”的菜肴裹腹使他感到遗憾。连那里的音乐甚至都是一成不变的。","At the end of an hour’s stroll, Forster stood on a corner of a broad, smooth avenue, looking disconsolately across it at a picturesque old hotel softly but brilliantly lit.Disconsolately, because he knew that he must dine; and dining in that hotel was no venture.It was one of his favorite caravansaries, and so silent and swift would be the service and so delicately choice the food, that he regretted the hunger that must be appeased by the “dead perfection” of the place’s cuisine.Even the music there seemed to be always playing da capo."
"于是他开始幻想自己在城里饭菜便宜但信用度却不高的饭店里用餐，那里有来自世界各地的古怪厨师，他们将本国的烹饪技术带给了什么食物都吃的美国人。那里可能会有非同寻常的事情发生——他可能遇到没有谓语的主语、没有尽头的大路、没有答案的问题、没有结果的起因，以及生活的咸水海洋中的一泓清溪。他没有穿晚礼服，以一身简单的深色商业套装代之，即使是在服务员穿着短袖衬衫的意式餐厅，他的穿着也不会引人质疑。","Fancy came to him that he would dine at some cheap, even dubious, restaurant lower down in the city, where the erratic chefs from all countries of the world spread their national cookery for the omnivorous American.Something might happen there out of the routine—he might come upon a subject without a predicate, a road without an end, a question without an answer, a cause without an effect, a gulf stream in life’s salt ocean.He had not dressed for evening; he wore a dark business suit that would not be questioned even where the waiters served the spaghetti in their shirt sleeves."
"所以约翰·雷金纳德·福斯特开始在口袋里到处找钱；因为越是在便宜的饭店用餐，你越是应当付钱。他仔细地摸遍了商业套装大大小小十三个口袋，可是一分钱都没有找到。他的存折显示他在老艾恩赛德信托公司的存款可是有五位数的，但是——","So John Reginald Forster began to search his clothes for money; because the more cheaply you dine, the more surely must you pay.All of the thirteen pockets, large and small, of his business suit he explored carefully and found not a penny.His bank book showed a balance of five figures to his credit in the Old Ironsides Trust Company, but—"
"福斯特开始注意到他左手边有个人正饶有兴致地看着他。他看起来三十岁左右，像是位商人，穿着整洁，正站在那里等电车。但是那条街是没有电车线路的。因此，他靠得这么近，又不加掩饰他的好奇心，这福斯特觉得他的举止不免带有几分侵犯他私事的性质。但是作为“附近所闻”始终如一的探索者，他没有显示出任何的怒意，而是冲那个对他极为感兴趣的人尴尬地笑了笑。","Forster became aware of a man nearby at his left hand who was really regarding him with some amusement.He looked like any business man of thirty or so, neatly dressed and standing in the attitude of one waiting for a street car.But there was no car line on that avenue.So his proximity and unconcealed curiosity seemed to Forster to partake of the nature of a personal intrusion.But, as he was a consistent seeker after “What’s Around the Corner,” instead of manifesting resentment he only turned a half-embarrassed smile upon the other’s grin of amusement."
