"眼镜","The Spectacles"
"作者：埃德加·爱伦·坡","By Edgar Allan Poe"
"许多年前，嘲笑“一见钟情”是一种潮流，但是和那些对此有着深切体验的人一样，善于思考的人总是一直在宣扬它的存在。现代在所谓的情感磁力学或者叫磁性审美学上的发现表明：人类最自然，因而也是最真实、最强烈的情感很可能就是那些像电流感应一样从心底油然而生的情感。简而言之，最快乐、最持久的心理情结就是一见倾心。有无数事例可以证明这个观点的真实性，下面我要坦白的故事将为其再增添一个事例。","MANY years ago, it was the fashion to ridicule the idea of “love at first sight”, but those who think, not less than those who feel deeply, have always advocated its existence.Modern discoveries, indeed, in what may be termed ethical magnetism or magnetoesthetics, render it probable that the most natural, and, consequently, the truest and most intense of the human affections are those which arise in the heart as if by electric sympathy—in a word, that the brightest and most enduring of the psychal fetters are those which are riveted by a glance.The confession I am about to make will add another to the already almost innumerable instances of the truth of the position."
"我的故事需要我叙述得稍微详细一些。我现在仍然非常年轻——还不到二十二岁。我目前的姓氏非常普通，甚至可以说是相当庸俗的——辛普森。我之所以说“目前”，是因为我只是最近才被人这么叫的。为了继承一个远房男性亲戚阿道弗斯·辛普森先生留下的一大笔遗产，在过去的一年里我通过法律程序‎接受了这个姓氏。遗嘱规定的条件是我必须采用立遗嘱人的姓氏——而不是教名。我的教名是拿破仑·波拿巴——或者，更恰当地说，它们是我的首名和中间名。","My story requires that I should be somewhat minute.I am still a very young man—not yet twenty-two years of age.My name, at present, is a very usual and rather plebeian one—Simpson.I say “at present;” for it is only lately that I have been so called—having legislatively adopted this surname within the last year in order to receive a large inheritance left me by a distant male relative, Adolphus Simpson, Esq.The bequest was conditioned upon my taking the name of the testator,—the family, not the Christian name; my Christian name is Napoleon Bonaparte—or, more properly, these are my first and middle appellations."
"我不太情愿地采用了辛普森这个姓氏，因为从祖先那里流传下来的真实姓氏是弗鲁瓦萨尔，我为自己拥有这个姓氏感到自豪。这是可以理解的，因为我相信我的祖先可以追溯到流传千古的《编年史》的作者。关于姓氏问题，我顺便提一下，我的一些直系前辈的姓氏在发音方面存在着惊人的巧合。我的父亲是巴黎的弗鲁瓦萨尔先生。他的妻子——即我的母亲，在十五岁的时候嫁给了他——是银行家克鲁瓦萨尔的长女克鲁瓦萨尔小姐。而银行家的妻子也是仅仅十六岁就结婚了，她是某位维克托·瓦萨尔的长女。非常奇怪的是，瓦萨尔先生娶了一位姓氏和他相似的女士——穆瓦萨尔小姐。她结婚的时候也还只是个孩子，而她的母亲，穆瓦萨尔夫人，在教堂举行婚礼时也只有十四岁。这种早婚现象在法国很普遍。这些穆瓦萨尔、瓦萨尔、克鲁瓦萨尔和弗鲁瓦萨尔都是直系血亲。尽管正如我所说的，我的姓氏通过法律程序变成了辛普森，但是我对此却是充满反感，因此有一段时间我在犹豫，面对这条多余而又烦人的附加条款，我还要不要接受这笔遗产。","I assumed the name, Simpson, with some reluctance, as in my true patronym, Froissart, I felt a very pardonable pride—believing that I could trace a descent from the immortal author of the “Chronicles.”While on the subject of names, by the by, I may mention a singular coincidence of sound attending the names of some of my immediate predecessors.My father was a Monsieur Froissart, of Paris.His wife—my mother, whom he married at fifteen—was a Mademoiselle Croissart, eldest daughter of Croissart the banker, whose wife, again, being only sixteen when married, was the eldest daughter of one Victor Voissart.Monsieur Voissart, very singularly, had married a lady of similar name—a Mademoiselle Moissart.She, too, was quite a child when married; and her mother, also, Madame Moissart, was only fourteen when led to the altar.These early marriages are usual in France.Here, however, are Moissart, Voissart, Croissart, and Froissart, all in the direct line of descent.My own name, though, as I say, became Simpson, by act of Legislature, and with so much repugnance on my part, that, at one period, I actually hesitated about accepting the legacy with the useless and annoying proviso attached."
"就个人天资而言，我没有任何缺陷。相反，我自认为长相无可挑剔，世人所说的英俊脸庞，我没有十分也有九分。我身高五英尺十一英寸。我的头发乌黑、卷曲。我的鼻子也相当漂亮。我的眼睛很大，是灰色的，尽管它们近视到了很不方便的程度，但从外观来看，人们不会看出它们有任何缺陷。尽管如此，近视总是令我很烦恼，除了戴眼镜之外，我已经试过了所有的补救方法。我年轻英俊，自然不喜欢戴眼镜，而且坚决不肯使用它。事实上，我不知道还有什么东西比眼镜更能丑化一个年轻人的相貌：就算不让你的整个容貌变得十足的伪善和苍老，也会让它透着一股严肃。另一方面，戴上眼镜有一种玩世不恭和矫揉造作的味道。到目前为止，我竭尽全力地对付着，没有戴过任何眼镜。但是这些纯属个人小节问题，毕竟不太重要。另外，我可以非常得意地说，我性格乐观、自信，做事雷厉风行，富有朝气和激情，而且我一直以来都深深爱慕着女性。","As to personal endowments, I am by no means deficient.On the contrary, I believe that I am well made, and possess what nine tenths of the world would call a handsome face.In height I am five feet eleven.My hair is black and curling.My nose is sufficiently good.My eyes are large and gray; and although, in fact they are weak a very inconvenient degree, still no defect in this regard would be suspected from their appearance.The weakness itself, however, has always much annoyed me, and I have resorted to every remedy—short of wearing glasses.Being youthful and good-looking, I naturally dislike these, and have resolutely refused to employ them.I know nothing, indeed, which so disfigures the countenance of a young person, or so impresses every feature with an air of demureness, if not altogether of sanctimoniousness and of age.An eyeglass, on the other hand, has a savor of downright foppery and affectation.I have hitherto managed as well as I could without either.But something too much of these merely personal details, which, after all, are of little importance.I will content myself with saying, in addition, that my temperament is sanguine, rash, ardent, enthusiastic—and that all my life I have been a devoted admirer of the women."
"去年冬天的一个晚上，在一个朋友——塔尔博特先生的陪同下，我走进了P剧院的一个包厢。那天晚上演的是歌剧，海报非常有吸引力，因此剧院里人山人海。但是我们还是及时地坐到了已经预订好的前排座位上。我们是费了点力气用胳膊肘推搡着才挤过去的。","One night last winter I entered a box at the P-Theatre, in company with a friend, Mr. Talbot.It was an opera night, and the bills presented a very rare attraction, so that the house was excessively crowded.We were in time, however, to obtain the front seats which had been reserved for us, and into which, with some little difficulty, we elbowed our way."
"我的朋友是一个音乐狂，一连两个小时他都一直在聚精会神地盯着舞台。与此同时，我则在通过观察观众来自娱自乐，大部分观众都是这个城市的上层人士。我这样玩够了，正打算把目光转向台上那位女主角，这时，我的目光却被一间私人包厢里的一个身影吸引了过去，并被牢牢地定格在那里，之前我一直没有注意到她。","For two hours my companion, who was a musical fanatico, gave his undivided attention to the stage; and, in the meantime, I amused myself by observing the audience, which consisted, in chief part, of the very elite of the city.Having satisfied myself upon this point, I was about turning my eyes to the prima donna, when they were arrested and riveted by a figure in one of the private boxes which had escaped my observation."
"即使我活上一千岁，也无法忘记我看到那个身影时的那种着迷的感觉。那是一个女性的身影，我从未见过那么婀娜多姿的体态。那张脸离我很远，朝向舞台，所以有几分钟我看不到她的容貌——但那轮廓美若天仙，任何别的词语都无法充分形容出它那绝美的比例——但即使在我写下“天仙”的时候，这个词也显得极度无力。","If I live a thousand years, I can never forget the intense emotion with which I regarded this figure.It was that of a female, the most exquisite I had ever beheld.The face was so far turned toward the stage that, for some minutes, I could not obtain a view of it—but the form was divine; no other word can sufficiently express its magnificent proportion—and even the term “divine” seems ridiculously feeble as I write it."
"我发现，美丽女子的魅力——优雅女子的魔力——永远是无法抗拒的。但眼前的女子却正是优雅的化身和体现，是我最狂野、最活跃的想象力的完美典范。包厢的结构使我差不多能够看到她的整个身影，只见她身高中等偏上，虽然气质还算不上高贵，却也十分接近了。她完美、丰腴的体态是那么诱人。我只能看到她的后脑勺，其轮廓堪比古希腊的普绪客，轻纱织成的雅致的女帽不仅没有掩盖头部的优美，反而将这种美凸显了出来。这顶帽子不禁使我想起阿普列乌斯说的“用风编织的衣服”。她的右臂搭在包厢的栏杆上，它的优美、匀称令我的每一根神经都兴奋了起来。时下流行的宽松开口的半袖衫从她的上臂垂了下来。袖口刚过胳膊肘。衬衫里面是一件面料柔软的紧身衣，袖口绣有华丽的蕾丝花边。花边优雅地垂到了手上，只露出纤细的手指。手指上戴着一枚闪闪发光的钻戒。我一眼就看出它价值不菲。那令人赞不绝口的圆润手腕上戴着手镯，显得更加迷人。手镯上镶有珠宝做成的、华丽的羽毛状饰品，能立刻准确无误地体现主人的富有和品味。","The magic of a lovely form in woman—the necromancy of female gracefulness—was always a power which I had found it impossible to resist, but here was grace personified, incarnate, the beau ideal of my wildest and most enthusiastic visions.The figure, almost all of which the construction of the box permitted to be seen, was somewhat above the medium height, and nearly approached, without positively reaching, the majestic.Its perfect fullness and tournure were delicious.The head of which only the back was visible, rivalled in outline that of the Greek Psyche, and was rather displayed than concealed by an elegant cap of gaze aerienne, which put me in mind of the ventum textile of Apuleius.The right arm hung over the balustrade of the box, and thrilled every nerve of my frame with its exquisite symmetry.Its upper portion was draperied by one of the loose open sleeves now in fashion.This extended but little below the elbow.Beneath it was worn an under one of some frail material, close-fitting, and terminated by a cuff of rich lace, which fell gracefully over the top of the hand, revealing only the delicate fingers, upon one of which sparkled a diamond ring, which I at once saw was of extraordinary value.The admirable roundness of the wrist was well set off by a bracelet which encircled it, and which also was ornamented and clasped by a magnificent aigrette of jewels—telling, in words that could not be mistaken, at once of the wealth and fastidious taste of the wearer."
"我至少凝视了这个优雅、高贵的身影半小时之久，就仿佛我突然变成了一个石人。这期间，我充分体会到了人们所颂扬和吟唱的“一见钟情”的魅力和真实性。我从没有体验过这种感觉，就算面对最为著名的、极其美丽的女子时也没有过。一种莫名其妙的心灵感应——我不得不承认这是一种磁力——似乎不仅把我的目光，还把我全部的思想和情感都吸引到了眼前的这位令人赞叹的尤物身上。我看到，我感到，我也知道我深深地、疯狂地、不可救药地爱上了她，尽管我还没有看到她的容颜。这种感情如此强烈地吞噬着我，以至于我相信即使她长相平凡，我对她的爱慕之情也不会消减多少。真爱，尤其是一见钟情的本质是如此不同寻常，它不依赖外部条件而存在，外部条件似乎只能催生或抑制它。","I gazed at this queenly apparition for at least half an hour, as if I had been suddenly converted to stone; and, during this period, I felt the full force and truth of all that has been said or sung concerning “love at first sight.”My feelings were totally different from any which I had hitherto experienced, in the presence of even the most celebrated specimens of female loveliness.An unaccountable, and what I am compelled to consider a magnetic, sympathy of soul for soul, seemed to rivet, not only my vision, but my whole powers of thought and feeling, upon the admirable object before me.I saw—I felt—I knew that I was deeply, madly, irrevocably in love—and this even before seeing the face of the person beloved.So intense, indeed, was the passion that consumed me, that I really believe it would have received little if any abatement had the features, yet unseen, proved of merely ordinary character, so anomalous is the nature of the only true love—of the love at first sight—and so little really dependent is it upon the external conditions which only seem to create and control it."
