"第一章","Chapter 1"
"我父亲姓皮利普，我的教名是菲利普。然而在我年幼时，对于这两个名字的音，我却只能发出“皮普”，再长或是再清晰一点，我都无法做到。因此，我就叫我自己皮普，最后人们也就都叫我皮普了。","My father’s family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip.So, I called myself Pip, and came to be called Pip."
"我说我父亲姓皮利普是有根据的，一来父亲的墓碑上是这么刻的，二来我的姐姐——乔·格雷戈里太太也是这么说的。我姐姐她嫁给了铁匠乔·格雷戈里。因为我没有见过我的父母亲，也没有看到过他们任何一位的相片（因为他们那个时代距照相发明的时代还远着呢），所以我最初对他们长相的想象还是毫无根据地基于他们墓碑上字体的形状而来的。我父亲墓碑上字母的形状让我对他产生一个奇怪的想法——他是个方方正正、强壮结实、皮肤黝黑的男人，还有一头黑色的卷发。而根据碑文那几个字——“及上述者之妻乔治亚娜”的笔体和写法,我得出了一个很幼稚的结论：我的母亲脸上有雀斑，而且体弱多病。在我父母亲的坟墓旁，整整齐齐地排列着五座小小的菱形墓碑。每一座都大概有一英尺半那么高，这是用来纪念我五位小兄长的墓碑。他们五位早早地便放弃了世人为了生存而进行的奋斗——怀着一种宗教般的信念，我坚信他们出生时都是面朝天，两手插在裤袋里，而且永远没有拿出来过，就像现在一样。","I give Pirrip as my father’s family name, on the authority of his tombstone and my sister—Mrs. Joe Gregory, who married the blacksmith.As I never saw my father or my mother, and never saw any likeness of either of them (for their days were long before the days of photographs), my first fancies regarding what they were like, were unreasonably derived from their tombstones.The shape of the letters on my father’s, gave me an odd idea that he was a square, stout, dark man, with curly black hair.From the character and turn of the inscription, ‘ALSO GEORGIANA WIFE OF THE ABOVE,’ I drew a childish conclusion that my mother was freckled and sickly.To five little stone lozenges, each about a foot and a half long, which were arranged in a neat row beside their grave, and were sacred to the memory of five little brothers of mine—who gave up trying to get a living, exceedingly early in that universal struggle—I am indebted for a belief I religiously entertained that they had all been born on their backs with their hands in their trousers-pockets, and had never taken them out in this state of existence."
"我们家住在河边，位于一片乡村沼泽地区。小河蜿蜒而下，在距此不到二十英里处注入大海。似乎是在一个难忘的、阴冷的傍晚，我才第一次对周遭事物的特征有了生动而全面的印象。那时我才确切地发现，这个荨麻丛生的惨淡之地正是教堂墓地；已故的本教区居民菲利普·皮利普及其亡妻乔治亚娜都埋葬在此处；而他们年幼的孩子们，亚历山大、巴塞洛缪、亚伯拉罕、托拜厄斯和罗杰，也都已经故去并埋葬于此。我才明白，在墓地之外的那片幽暗而平坦的荒芜之地是沼泽。那里交错分布着沟渠、土堤和闸门，还有零星的牛群在四处觅食；远处那条低洼的、深灰色的线正是那条河流；更远处那荒芜的洞穴就是大海，风从那里不断地吹来；而那个因为惧怕这一切而浑身发抖，并哇哇大哭起来的小孩子正是我，皮普。","Ours was the marsh country, down by the river, within, as the river wound, twenty miles of the sea.My first most vivid and broad impression of the identity of things seems to me to have been gained on a memorable raw afternoon towards evening.At such a time I found out for certain, that this bleak place overgrown with nettles was the churchyard; and that Philip Pirrip, late of this parish, and also Georgiana wife of the above, were dead and buried; and that Alexander, Bartholomew, Abraham, Tobias, and Roger, infant children of the aforesaid, were also dead and buried;and that the dark flat wilderness beyond the churchyard, intersected with dykes and mounds and gates, with scattered cattle feeding on it, was the marshes; and that the low leaden line beyond, was the river; and that the distant savage lair from which the wind was rushing, was the sea; and that the small bundle of shivers growing afraid of it all and beginning to cry, was Pip."
"“别吵了！”一个恐怖的声音吼道，这时一个男人从教堂门廊旁边的坟墓堆中蹿了出来。“消停点，你这个小鬼！不然我就割破你的喉咙！”","“Hold your noise!” cried a terrible voice, as a man started up from among the graves at the side of the church porch.“Keep still, you little devil, or I’ll cut your throat!”"
"这是个让人不寒而栗的男人。他全身上下穿着粗糙的灰布衣服，腿上绑着一条大铁镣。他没有戴帽子，只是在头上裹了一圈破布，脚上穿着一双破旧的鞋。他曾在水中浸泡过，在泥潭中挣扎过。他的腿被石头弄伤，成了跛子，身上也被火石割破，被荨麻刺到，被荆棘划伤。他一瘸一拐地走着，全身发抖，瞪大眼睛怒吼着。当他一把抓住我的下巴时，他的牙齿还在打战。","A fearful man, all in coarse grey, with a great iron on his leg.A man with no hat, and with broken shoes, and with an old rag tied round his head.A man who had been soaked in water, and smothered in mud, and lamed by stones, and cut by flints, and stung by nettles, and torn by briars; who limped, and shivered, and glared and growled; and whose teeth chattered in his head as he seized me by the chin."
"“噢！请不要割破我的喉咙，先生。”我哀求着，声音里充满了恐惧。“先生，求求您不要这么做。”","“O!Don’t cut my throat, sir,” I pleaded in terror.“Pray don’t do it, sir.”"
"“告诉我们你的名字。”那个男人说，","“Tell us your name!”said the man."
"“快说！”","“Quick!”"
"“皮普，先生。”","“Pip, sir.”"
"“再说一遍。”那人两眼盯着我说道，“张开嘴，说清楚一点！”","“Once more,” said the man, staring at me.“Give it mouth!”"
