"一次电话交谈","A Telephonic Conversation"
"作者：马克·吐温","by Mark Twain "
"我认为电话交谈——你只是坐在旁边却根本没有参与谈话——是现代生活中最严肃的奇事之一。昨天在我写一篇关于崇高哲学主题的深奥文章时，有人在房间里进行了这样一次交谈。我发现有人在旁边打电话时，文章总能写得最好。嗯，事情就这样开始了。一位家里的人走进来，要我用家里的电话接通住在闹市区的巴格利先生家。我发现，在很多城市，女性总是不愿意自己给电话总机打电话。不知道为什么，但她们总是这样。所以我拿起了电话，谈话就这样开始了：","Consider that a conversation by telephone—when you are simply siting by and not taking any part in that conversation—is one of the solemnest curiosities of modern life.Yesterday I was writing a deep article on a sublime philosophical subject while such a conversation was going on in the room.I notice that one can always write best when somebody is talking through a telephone close by.Well, the thing began in this way.A member of our household came in and asked me to have our house put into communication with Mr. Bagley’s downtown.I have observed, in many cities, that the sex always shrink from calling up the central office themselves.I don’t know why, but they do.So I touched the bell, and this talk ensued:"
"电话总机：（粗鲁地）喂！","CENTRAL OFFICE. (GRUFFY.) Hello!"
"我：是总机吗？","I. Is it the Central Office?"
"电话总机：当然是了。你要转接到哪里？","C. O. Of course it is.What do you want?"
"我：您能帮我转接到巴格利家吗？","I. Will you switch me on to the Bagleys, please?"
"电话总机。好的。别挂断。","C. O. All right.Just keep your ear to the telephone."
"接着我听到一连串“咔嗒咔嗒咔嗒”的声音！然后听到讨厌的“磨”牙声，最后是一个很尖的女声：喂？（升调）是你找我吗？","Then I heard K-LOOK, K-LOOK, K’LOOK—KLOOK-KLOOK-KLOOK-LOOK-LOOK! then a horrible “gritting” of teeth, and finally a piping female voice: Y-e-s?(RISING INFLECTION.) Did you wish to speak to me?"
"我没有回答，把电话给了要我打电话的人，然后坐了下来。接下来世界上最奇怪的事情发生了——只能听到一端在说话。你能听得到有人问问题，但是听不到回答。你听得到有人发出邀请，但听不到相应的感谢。停顿时你会听到死一般的寂静，然后不知是由于惊喜、悲伤还是沮丧而发出的明显不相干甚至莫名其妙的惊叫。你无法弄清楚他们在谈什么，因为你根本听不到电话线另一端的那个人在说什么。嗯，我听到下面一连串不寻常的谈话，都是一个人说的，并且一直在大呼小叫——因为你从来都不可能劝女性对着电话温柔地讲话：","Without answering, I handed the telephone to the applicant, and sat down.Then followed that queerest of all the queer things in this world—a conversation with only one end of it.You hear questions asked; you don’t hear the answer.You hear invitations given; you hear no thanks in return.You have listening pauses of dead silence, followed by apparently irrelevant and unjustifiable exclamations of glad surprise or sorrow or dismay.You can’t make head or tail of the talk, because you never hear anything that the person at the other end of the wire says.Well, I heard the following remarkable series of observations, all from the one tongue, and all shouted—for you can’t ever persuade the sex to speak gently into a telephone:"
"喂？啊，怎么会发生那种事？","Yes?Why, how did THAT happen?"
"间断。","Pause."
"你说什么？","What did you say?"
"间断。","Pause."
"哦不，我不认为是那样的。","Oh no, I don’t think it was."
"间断。","Pause."
"不！哦不，我不是那个意思。我的意思是，在煮沸的时候放进去——或者要煮沸之前放进去。","NO!Oh no, I didn’t mean THAT.I meant, put it in while it is still boiling—or just before it COMES to a boil."
"间断。","Pause."
"什么？","WHAT?"
"间断。","Pause."
"我把它翻过来，在镶边的边缘倒着缝了一下。","I turned it over with a backstitch on the selvage edge."
"间断。","Pause."
"是的，我也喜欢那样，但我觉得最好用长针缝，缝在瓦朗谢讷花边或者斜纹布上，或者类似的布料上。这样的话特别好看——而且还会吸引别人注意。","Yes, I like that way, too; but I think it’s better to baste it on with Valenciennes or bombazine, or something of that sort.It gives it such an air—and attracts so much noise."
"间断。","Pause."
"那是《申命记》第49章，包括从第64节到97节之间的部分。我觉得我们应该经常读一读。","It’s forty-ninth Deuteronomy, sixty-forth to ninety-seventh inclusive.I think we ought all to read it often."
"间断。","Pause."
"或许吧，我一般用发夹。","Perhaps so; I generally use a hair pin."
"间断。","Pause."
"你说什么？（向一边）孩子们，安静点！","What did you say?(ASIDE.) Children, do be quiet!"
"间断。","Pause"
"哎呀！B栋公寓！天，我以为你说的是猫！","OH!B FLAT!Dear me, I thought you said it was the cat!"
"间断。","Pause."
"从什么时候？","Since WHEN?"
"间断。","Pause."
"哦，我从没听说过。","Why, I never heard of it."
"间断。","Pause."
"你太让我吃惊了！这好像完全不可能！","You astound me!It seems utterly impossible!"
"间断。","Pause."
"谁干的？","WHO did?"
"间断。","Pause."
"天哪！","Good-ness gracious!"
"间断。","Pause."
