"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"在十六世纪上半叶后期的某个秋天，古城伦敦里，有一户姓坎蒂的贫穷人家生下了一个男婴，但这家人并不想要他。同一天，在一户姓都铎的富裕人家里诞生了另一个英国婴儿，这家人确实想要他。所有英国人也都盼着他呢。英国人早已盼着他的诞生，期待着他的诞生，为他向上帝祷告。如今, 他真的诞生了，人们高兴得几近疯狂。仅仅是泛泛之交的人也相互拥抱、亲吻，大声欢呼着。不管高低贵贱，不论富裕贫穷，人人都放假了。大家举行宴会，跳舞唱歌，喝得醉醺醺的，不分昼夜地聚会狂欢。白天的伦敦蔚为奇观，家家户户的阳台和屋顶上飘舞着色彩鲜艳的国旗，还有壮观的游行队伍沿街而过。夜晚，伦敦仍是一番胜景，每个角落里都燃着熊熊篝火，狂欢的人群围着火堆尽情欢乐。整个英国都在谈论这个新生的婴儿——威尔士王子爱德华·都铎。他被裹在绫罗绸缎里，没有觉察到这些大惊小怪，也不知道尊贵的贵族老爷和太太们在照料和看守着他，而他对此也并不在意。但是，除了在那个穷人的家里，没人会谈论起另一个婴儿——那裹在破衣烂衫里的汤姆·坎蒂，因为他的出生对这家人来说就是个麻烦。","In the ancient city of London, on a certain autumn day in the second quarter of the sixteenth century, a boy was born to a poor family of the name of Canty, who did not want him.On the same day another English child was born to a rich family of the name of Tudor, who did want him.All England wanted him too.England had so longed for him, and hoped for him, and prayed God for him, that, now that he was really come, the people went nearly mad for joy.Mere acquaintances hugged and kissed each other and cried.Everybody took a holiday, and high and low, rich and poor, feasted and danced and sang, and got very mellow; and they kept this up for days and nights together.By day, London was a sight to see, with gay banners waving from every balcony and housetop, and splendid pageants marching along.By night, it was again a sight to see, with its great bonfires at every corner, and its troops of revellers making merry around them.There was no talk in all England but of the new baby, Edward Tudor, Prince of Wales, who lay lapped in silks and satins, unconscious of all this fuss, and not knowing that great lords and ladies were tending him and watching over him—and not caring, either.But there was no talk about the other baby, Tom Canty, lapped in his poor rags, except among the family of paupers whom he had just come to trouble with his presence."
"第二章 汤姆的早期生活","Chapter II  Tom’s Early Life"
"让我们略过去几年吧。","Let us skip a number of years."
"伦敦有一千五百年的历史，是个大都市——对那个时代来说。它有十万居民，还有人则认为有二十万之多。街道极为狭窄，弯弯曲曲的，而且脏乱不堪，尤其是汤姆·坎蒂住的地区。那儿离伦敦桥不远。那里的房子是木制的，第二层楼从第一层上方突出来，而第三层又伸展到了第二层的外边。房子越高，上面就越宽。房子的骨架是纵横交错的结实的房梁，中间填上固体材料，外面涂上灰泥。根据房主的喜好，屋梁被漆成了红色、蓝色或黑色，使得屋子看起来非常别具一格。窗户很小，装着菱形的小窗格，窗上安着铰链，像门一样朝外开。","London was fifteen hundred years old, and was a great town—for that day.It had a hundred thousand inhabitants—some think double as many.The streets were very narrow, and crooked, and dirty, especially in the part where Tom Canty lived, which was not far from London Bridge.The houses were of wood, with the second story projecting over the first, and the third sticking its elbows out beyond the second.The higher the houses grew, the broader they grew.They were skeletons of strong criss-cross beams, with solid material between, coated with plaster.The beams were painted red or blue or black, according to the owner’s taste, and this gave the houses a very picturesque look.The windows were small, glazed with little diamond-shaped panes, and they opened outward, on hinges, like doors."
"汤姆的父亲住的房子坐落在布丁小巷外一块肮脏的、名叫垃圾大院的小地方。房子狭小而破烂，摇摇欲坠，可里面挤满了可怜的穷苦人家。坎蒂一家住在三层的一间屋子里。母亲和父亲睡在屋角那类似床架的东西上，而汤姆、他祖母，以及两个姐姐贝特和娜恩，则不受什么约束——整个地板都归他们，他们想睡在哪儿都可以。地上有一两块残破的毛毯，几捆又老又脏的稻草。但准确地讲，这都不能称为床铺，因为没人整理。早上，他们把这些东西踢成大大的一堆，晚上就从这一堆中挑一些出来睡。","The house which Tom’s father lived in was up a foul little pocket called Offal Court, out of Pudding Lane.It was small, decayed, and rickety, but it was packed full of wretchedly poor families.Canty’s tribe occupied a room on the third floor.The mother and father had a sort of bedstead in the corner; but Tom, his grandmother, and his two sisters, Bet and Nan, were not restricted—they had all the floor to themselves, and might sleep where they chose.There were the remains of a blanket or two, and some bundles of ancient and dirty straw, but these could not rightly be called beds, for they were not organised; they were kicked into a general pile, mornings, and selections made from the mass at night, for service."
"贝特和娜恩十五岁了，她们是一对双胞胎。她们是好心肠的姑娘，但脏兮兮的，穿着破旧的衣服，而且极其愚昧无知。母亲和她们一样。而父亲和奶奶则是一对恶魔。他们一有机会就喝醉酒，然后互相打架，或跟任何挡了他们路的人打架。不管醉着还是醒着，他们总是在诅咒着，叫骂着。约翰·坎蒂是个小偷，而他母亲是个乞丐。他们让孩子们做了乞丐，却没能让他们变成小偷。在这所房子里的这群可怕的下层民众中间，住着一位独善其身的好心的老牧师。他被国王赶出了家门，只拿几个法寻的养老金。他过去常常把孩子们叫到一边，偷偷地教他们正道。安德鲁神父也教汤姆学些拉丁文，还有怎么读写。他本来还想教女孩子们学这些，但是她们害怕朋友们的讥笑，因为朋友们不能容忍她们有这样奇怪的才能。","Bet and Nan were fifteen years old—twins.They were good-hearted girls, unclean, clothed in rags, and profoundly ignorant.Their mother was like them.But the father and the grandmother were a couple of fiends.They got drunk whenever they could; then they fought each other or anybody else who came in the way; they cursed and swore always, drunk or sober; John Canty was a thief, and his mother a beggar.They made beggars of the children, but failed to make thieves of them.Among, but not of, the dreadful rabble that inhabited the house, was a good old priest whom the King had turned out of house and home with a pension of a few farthings, and he used to get the children aside and teach them right ways secretly.Father Andrew also taught Tom a little Latin, and how to read and write; and would have done the same with the girls, but they were afraid of the jeers of their friends, who could not have endured such a queer accomplishment in them."
"整个垃圾大院就是另一个像坎蒂家的房子一样的蜂窝。在那里，酗酒、暴乱和喧嚷就是生活的常态，夜夜如此，而且几乎持续整晚。在那个地方，被打破头与挨饿一样都是常事。但是，小汤姆并没有不高兴。他曾有一段艰难的时光，但他对此却浑然不觉。那是垃圾大院里所有的男孩子都经历过的时光，因此，他觉得那是正确的、自然而然的事。每当晚上他空手回家时，他知道自己首先面对的会是父亲的一顿臭骂和痛打，随后又是可怕的祖母的新一轮臭骂和痛打，程度有过之而无不及。深夜里，饥饿的母亲会偷偷地把自己挨饿省下来的少得可怜的面包碎片和面包皮塞给他，然而她的这种背叛行为常会被发现，并为此遭到丈夫的一顿毒打。","All Offal Court was just such another hive as Canty’s house.Drunkenness, riot and brawling were the order, there, every night and nearly all night long.Broken heads were as common as hunger in that place.Yet little Tom was not unhappy.He had a hard time of it, but did not know it.It was the sort of time that all the Offal Court boys had; therefore he supposed it was the correct and comfortable thing.When he came home empty-handed at night, he knew his father would curse him and thrash him first, and that when he was done the awful grandmother would do it all over again and improve on it; and that away in the night his starving mother would slip to him stealthily with any miserable scrap or crust she had been able to save for him by going hungry herself, notwithstanding she was often caught in that sort of treason and soundly beaten for it by her husband."
"不，汤姆的生活已经算是好的了，尤其是夏天的时候。他只需讨到够自己活命的东西就可以了，因为反对乞讨的法律很严格，惩罚也很严重。因此，很多时间里，他都去听好心的安德鲁神父讲迷人的老故事和传说，关于巨人和仙女啦，小矮人和鬼怪啦，还有被施了魔法的城堡、风度翩翩的国王和王子。他脑瓜里开始装满了这些精彩的事情。很多个夜晚，当他躺在他那薄薄的、有些扎人的稻草上，又累又饿，还忍受着挨打后的刺痛时，他就放开想象的缰绳，想象着皇宫里受宠的王子那种无忧无虑的生活。在这种甜美的想象中，他很快就忘了自己的疼痛。有个愿望时常整天整夜地萦绕着他，那就是亲眼见到一位真正的王子。有一次，他把这个愿望告诉了垃圾大院的伙伴们，但却遭到了他们无情的讥笑和嘲弄。从那之后，他宁愿把自己的梦想藏在心里。","No, Tom’s life went along well enough, especially in summer.He only begged just enough to save himself, for the laws against mendicancy were stringent, and the penalties heavy; so he put in a good deal of his time listening to good Father Andrew’s charming old tales and legends about giants and fairies, dwarfs and genii, and enchanted castles, and gorgeous kings and princes.His head grew to be full of these wonderful things, and many a night as he lay in the dark on his scant and offensive straw, tired, hungry, and smarting from a thrashing, he unleashed his imagination and soon forgot his aches and pains in delicious picturings to himself of the charmed life of a petted prince in a regal palace.One desire came in time to haunt him day and night: it was to see a real prince, with his own eyes.He spoke of it once to some of his Offal Court comrades; but they jeered him and scoffed him so unmercifully that he was glad to keep his dream to himself after that."
"他经常读牧师的旧书，还让牧师给他讲解、详述书中的内容。久而久之，他做的梦和读的书使他产生了某些变化。他梦里的人们是那么优雅，以至于他开始为自己的衣衫褴褛和肮脏而悲叹，希望自己能变得干净些，穿得更体面些。他照旧在泥沟里玩耍，玩得也很快乐，但他在泰晤士河里胡乱泼水可不仅是为了好玩，他开始发现其中的附加价值，因为水可以清洗去污。","He often read the priest’s old books and got him to explain and enlarge upon them.His dreamings and readings worked certain changes in him, by-and-by.His dream-people were so fine that he grew to lament his shabby clothing and his dirt, and to wish to be clean and better clad.He went on playing in the mud just the same and enjoying it, too; but, instead of splashing around in the Thames solely for the fun of it, he began to find an added value in it because of the washings and cleansings it afforded."
"汤姆总能发现齐普赛街的五朔节花柱周围和集市上有事发生。而且时不时地，会有某个有名的倒霉蛋通过陆路或水路被押往伦敦塔坐牢。这时，他和其他伦敦人就有机会看一场军队游行。夏日的一天，他看见可怜的安妮·艾斯丘和三个男人在史密斯菲尔德的刑柱上被烧死，还听到一位前主教对他们布道。而他对那布道并不感兴趣。是的，总的说来，汤姆的生活还是丰富多样、相当愉快的。","Tom could always find something going on around the Maypole in Cheapside, and at the fairs; and now and then he and the rest of London had a chance to see a military parade when some famous unfortunate was carried prisoner to the Tower, by land or boat.One summer’s day he saw poor Anne Askew and three men burned at the stake in Smithfield, and heard an ex-Bishop preach a sermon to them which did not interest him.Yes, Tom’s life was varied and pleasant enough, on the whole."
