"意外","The Unexpected"
"作者：杰克·伦敦","By Jack London"
"看到明显的东西，做意料之中的事情，都很容易。个人的生活总是趋于安定，而非动荡；文明的进程推动了这种趋势，在文明的社会里，人们看到的都是显而易见的事，意料之外的情况极少发生。不过，如果发生意外，而且情况足够重大，不能适应的人就会完蛋。他们看不到不明显的事物，无法应对意外的情况，不能改变原来的生活套路，去适应别的陌生生活方式。总之，他们原来的生活套路走到尽头的时候，他们就只有一死了之。","It is a simple matter to see the obvious, to do the expected.The tendency of the individual life is to be static rather than dynamic, and this tendency is made into a propulsion by civilization, where the obvious only is seen, and the unexpected rarely happens.When the unexpected does happen, however, and when it is of sufficiently grave import, the unfit perish.They do not see what is not obvious, are unable to do the unexpected, are incapable of adjusting their well-grooved lives to other and strange grooves.In short, when they come to the end of their own groove, they die."
"另一方面，也有能够生存下来的人，不管他们无心或被迫偏离到一条怎样奇怪的道路，他们都能摒弃原先明显、意料之中的规则，让自己适应新的生活。伊迪丝·惠特尔西就是这样的人。她出生在英格兰的农村，那里的生活墨守成规，超出常规之举会让人感到特别意外，以至于会被视作不道德。她很早就去帮佣，还是一个青年女子的时候，就按照惯例，成为一名贵妇的侍女。","On the other hand, there are those that make toward survival, the fit individuals who escape from the rule of the obvious and the expected and adjust their lives to no matter what strange grooves they may stray into, or into which they may be forced.Such an individual was Edith Whittlesey.She was born in a rural district of England, where life proceeds by rule of thumb and the unexpected is so very unexpected that when it happens it is looked upon as an immorality.She went into service early, and while yet a young woman, by rule-of-thumb progression, she became a lady’s maid."
"文明的影响就在于强迫环境遵循人类的律法，直到环境变得跟机器一样规规整整。不会出现麻烦的事，一定要发生的事都会预料得到。一个人可能连雨都淋不着，也不会给风霜冻伤。就是死亡，也不是一直在身边徘徊，显得那么可怕和偶然，而是像一场预先编排好的大戏，顺顺当当地一直演到棺木送进家族墓穴；不但墓门上的合页保养得很好，不会生锈，连空气中的灰尘也会得到不断清扫。","The effect of civilization is to impose human law upon environment until it becomes machine-like in its regularity.The objectionable is eliminated, the inevitable is foreseen.One is not even made wet by the rain nor cold by the frost; while death, instead of stalking about grewsome and accidental, becomes a prearranged pageant, moving along a well-oiled groove to the family vault, where the hinges are kept from rusting and the dust from the air is swept continually away."
"伊迪丝·惠特尔西面临的环境就是如此。根本没发生过什么事。她二十五岁的时候，陪着女主人去美国旅游了一趟，不过这几乎说不上是一件事。不过是生活的辙印换了个方向。还是同样的顺顺当当、按部就班的生活。这段横跨大西洋的旅程毫无变故。船几乎就不是一条航行在大海之中的船，而是一座宽广的布满走廊的旅馆，迅速而平稳地移动着，用庞大的身躯将海浪压得服服帖帖；大海几乎变成磨坊边的池塘，单调而安静。到了另一端的岸上，这样设定的旅程还在继续——一路都安排得妥帖而上档次，每次停留的地方都有旅馆，两次停留的地方之间还有装在轮子上的旅馆。","Such was the environment of Edith Whittlesey.Nothing happened.It could scarcely be called a happening, when, at the age of twenty-five, she accompanied her mistress on a bit of travel to the United States.The groove merely changed its direction.It was still the same groove and well oiled.It was a groove that bridged the Atlantic with uneventfulness, so that the ship was not a ship in the midst of the sea, but a capacious, many-corridored hotel that moved swiftly and placidly, crushing the waves into submission with its colossal bulk until the sea was a mill-pond, monotonous with quietude.And at the other side the groove continued on over the land—a well-disposed, respectable groove that supplied hotels at every stopping-place, and hotels on wheels between the stopping-places."
"到了芝加哥，她的女主人看到了社交生活的一面，而伊迪丝·惠特尔西看到了另一面。到她辞别女主人，不再做侍女，而成为伊迪丝·纳尔逊的时候，她才略微显露了一把她的能力：她不仅能解决意外，而且能掌控意外。汉斯·纳尔逊是个移民，原籍瑞典，职业是木匠。他身上有着日耳曼人不屈不挠的精神，正是这种精神驱动着这个民族进行伟大的西进冒险。他是一个肌肉发达、头脑迟钝的人，极少幻想，却有着极强的进取欲望；他的忠诚和爱意，跟他的体格一样坚实可靠。","In Chicago, while her mistress saw one side of social life, Edith Whittlesey saw another side; and when she left her lady’s service and became Edith Nelson, she betrayed, perhaps faintly, her ability to grapple with the unexpected and to master it.Hans Nelson, immigrant, Swede by birth and carpenter by occupation, had in him that Teutonic unrest that drives the race ever westward on its great adventure.He was a large-muscled, stolid sort of a man, in whom little imagination was coupled with immense initiative, and who possessed, withal, loyalty and affection as sturdy as his own strength."
"“等我好好干一段时间，攒下些钱来，我就去科罗拉多。”新婚第二天，他对伊迪丝说。一年之后，他们真的去了科罗拉多。汉斯·纳尔逊在那儿第一次见到了采矿，就狂热地迷上了采矿。他四处勘探，走过了南北达科他、爱达荷、俄勒冈东部，还深入英属哥伦比亚的群山之间。不管是露营还是行进，伊迪丝·纳尔逊跟他一路同甘共苦，辛苦的活儿也帮他分担。她当大门不迈的侍女时的那种小碎步，已经变成了翻山越岭时的大步流星。她学会了用冷静的目光和清醒的头脑来对待危险，再也不会吓得手足无措了；那种恐惧源于无知，深深困扰着城里长大的人们，使他们像蠢马一样，一受惊吓就动弹不得、听天由命，而不去奋力搏斗，或者就盲目奔逃、自相践踏，堆积的尸体把逃命的路都堵死了。","“When I have worked hard and saved me some money, I will go to Colorado,” he had told Edith on the day after their wedding.A year later they were in Colorado, where Hans Nelson saw his first mining and caught the mining-fever himself.His prospecting led him through the Dakotas, Idaho, and eastern Oregon, and on into the mountains of British Columbia.In camp and on trail, Edith Nelson was always with him, sharing his luck, his hardship, and his toil.The short step of the house-reared woman she exchanged for the long stride of the mountaineer.She learned to look upon danger clear-eyed and with understanding, losing forever that panic fear which is bred of ignorance and which afflicts the city-reared, making them as silly as silly horses, so that they await fate in frozen horror instead of grappling with it, or stampede in blind self-destroying terror which clutters the way with their crushed carcasses."
"一路前行，处处都有意外，伊迪丝·纳尔逊把眼光也锻炼出来了，她放眼一望，看到的不是明显的东西，而是隐藏的东西。她平生从没煮过饭菜，却学会了不用啤酒花、酵母或者发面粉就做出面包来，学会了在篝火上用煎锅烤面包。当最后一杯面粉和最后一块腌肉也吃光了的时候，她能够随机应变，把鹿皮软鞋和行李上鞣制得比较软的皮做成替代食物，让她的丈夫能够多少保住性命，勉强前行。她学会了套马，套得跟男人一样好——这个活儿要是让任何一个城里人来干，脸面和胆量都会丢尽；她还知道那种行李最好用那种方法捆扎。她还可以在倾盆大雨中拿湿木头生火而不气馁。总之，在各种恶劣环境里，她都成功掌控了意外。但是，她生命中最大的意外还没有到来，还没有开始考验她。","Edith Nelson met the unexpected at every turn of the trail, and she trained her vision so that she saw in the landscape, not the obvious, but the concealed.She, who had never cooked in her life, learned to make bread without the mediation of hops, yeast, or baking-powder, and to bake bread, top and bottom, in a frying-pan before an open fire.And when the last cup of flour was gone and the last rind of bacon, she was able to rise to the occasion, and of moccasins and the softer-tanned bits of leather in the outfit to make a grub-stake substitute that somehow held a man’s soul in his body and enabled him to stagger on.She learned to pack a horse as well as a man,—a task to break the heart and the pride of any city-dweller, and she knew how to throw the hitch best suited for any particular kind of pack.Also, she could build a fire of wet wood in a downpour of rain and not lose her temper.In short, in all its guises she mastered the unexpected.But the Great Unexpected was yet to come into her life and put its test upon her."
"这时，寻找金矿的浪潮向北涌入了阿拉斯加，汉斯·纳尔逊和他的妻子也不可避免地卷了进来，一路奔向克朗代克。１８９７年秋天，他们到了戴亚，却没有钱将行李运过契尔库特山隘，再放舟前往道森。这年冬天，汉斯·纳尔逊就干起了老本行。斯卡圭，这个一夜之间冒出来的供给行李用品的小镇，汉斯对它的发展也出了一份力。","The gold-seeking tide was flooding northward into Alaska, and it was inevitable that Hans Nelson and his wife should he caught up by the stream and swept toward the Klondike.The fall of 1897 found them at Dyea, but without the money to carry an outfit across Chilcoot Pass and float it down to Dawson.So Hans Nelson worked at his trade that winter and helped rear the mushroom outfitting-town of Skaguay."
"他已经到了黄金国的边缘，这一冬天，他都觉得整个阿拉斯加都在召唤他。拉图亚湾对他吸引力最大，于是，１８９８年夏天，他和妻子坐上七十英尺长的印第安独木舟，沿着迷宫般的破碎海岸线摸索前进。跟他们同行的有印第安人和三个白人男子。印第安人把他们的人和给养送到离拉图亚湾约有一百英里的一个偏僻地方，就返回斯卡圭去了；三个白人男子留下了，因为他们跟纳尔逊夫妇结成了一个小集团。行李设备所用的钱大家均摊，以后赚的钱也会平分。伊迪丝·纳尔逊就为这些人烧饭，将来她也可以得到一份好处。","He was on the edge of things, and throughout the winter he heard all Alaska calling to him.Latuya Bay called loudest, so that the summer of 1898 found him and his wife threading the mazes of the broken coast-line in seventy-foot Siwash canoes.With them were Indians, also three other men.The Indians landed them and their supplies in a lonely bight of land a hundred miles or so beyond Latuya Bay, and returned to Skaguay; but the three other men remained, for they were members of the organized party.Each had put an equal share of capital into the outfitting, and the profits were to he divided equally.In that Edith Nelson undertook to cook for the outfit, a man’s share was to be her portion."
