"在甲板的天棚下","Under the Deck Awnings"
"作者：杰克·伦敦","by Jack London"
"“有哪个男人——我是指有头有脸的男人——能管一个女人叫猪？”","“Can any man—a gentleman, I mean—call a woman a pig?”"
"矮个子把这个问题抛给大家之后，就靠在折叠躺椅上，摆出一副自以为是和严阵以待的架势，啜起柠檬水来。没人回答他。人们都习惯了这个矮个子急躁莽撞、大呼小叫的风格。","The little man flung this challenge forth to the whole group, then leaned back in his deck chair, sipping lemonade with an air commingled of certitude and watchful belligerence.Nobody made answer.They were used to the little man and his sudden passions and high elevations."
"“我再说一遍，那是我在场的情况下，他说有一位女士，一位你们都不认识的女士，是一头猪。他不是说像猪一样。他就是很粗鲁地说她是猪。我认为，只要是个男人，就绝不会用这样的词儿来称呼任何一个女人。”","“I repeat, it was in my presence that he said a certain lady, whom none of you knows, was a pig.He did not say swine.He grossly said that she was a pig.And I hold that no man who is a man could possibly make such a remark about any woman.”"
"道森医生漠然地抽着他的黑烟斗。马修斯用胳膊抱着屈起的膝盖，一心一意地观察一只飞翔的海鸥。斯威特喝完了加苏打水的威士忌，东张西望地找着甲板服务生。","Dr. Dawson puffed stolidly at his black pipe.Matthews, with knees hunched up and clasped by his arms, was absorbed in the flight of a gunie.Sweet, finishing his Scotch and soda, was questing about with his eyes for a deck steward."
"“特雷洛尔先生，我来问你，哪个男人能把女人叫猪？”","“I ask you, Mr. Treloar, can any man call any woman a pig?”"
"特雷洛尔正好坐在他旁边，被突然这么一问，不由得吓了一跳。他很纳闷是否自己有什么地方表现得不对，让这个小矮子觉得他就有可能管一个女人叫猪。","Treloar, who happened to be sitting next to him, was startled by the abruptness of the attack, and wondered what grounds he had ever given the little man to believe that he could call a woman a pig."
"“依我看，”他吞吞吐吐地开始回答，“这个，呃，得看，呃，那个女士怎样了。”","“I should say,” he began his hesitant answer, “that it—er—depends on the—er—the lady.”"
"矮个子大吃一惊。","The little man was aghast."
"“你的意思是……”他的声音都在颤抖。","“You mean…?” he quavered."
"“就是说，我见过些跟猪一样糟的女人——甚至更糟的都有。”","“That I have seen female humans who were as bad as pigs—and worse.”"
"接下来是好长一段时间让人难受的沉默。矮个子似乎让这个粗鲁无情的答复给打蔫了。他脸上写着无法言说的痛苦和悲伤。","There was a long pained silence.The little man seemed withered by the coarse brutality of the reply.In his face was unutterable hurt and woe."
"“你讲了一个出言不逊的男人，还给他评了等级，”特雷洛尔用冷静、平淡的口吻说道。“现在我要讲一个女人——请原谅，是一位女士，我讲完之后，也请你给她评个等级。权且叫她卡拉瑟斯小姐吧，主要是因为她并不是这个姓。故事发生在一条东方公司的船上，离现在不多不少，就几年光景。","“You have told of a man who made a not nice remark and you have classified him,” Treloar said in cold, even tones.“I shall now tell you about a woman—I beg your pardon—a lady, and when I have finished I shall ask you to classify her.Miss Caruthers I shall call her, principally for the reason that it is not her name.It was on a P. & O. boat, and it occurred neither more nor less than several years ago."
"“卡拉瑟斯小姐很迷人。不对，这个词儿不足以形容。她美得惊人。她很年轻，也很淑女。他的父亲是一名高级官员，名字只要我一说，你们马上就知道是谁。她当时正同母亲和两个女佣一道前往东方与她父亲会合，至于去哪儿，你们认为是哪儿都成。","“Miss Caruthers was charming.No; that is not the word.She was amazing.She was a young woman, and a lady.Her father was a certain high official whose name, if I mentioned it, would be immediately recognized by all of you.She was with her mother and two maids at the time, going out to join the old gentleman wherever you like to wish in the East."
"“恕我多说一遍，她真是美得惊人。只有这个词才足以形容她。就是最平淡的字眼用到她身上，都必须加上一个“极”字。她做任何事情，都比任何女人，以及大多数的男人要更胜一筹。唱歌、游戏——噢，就像有个修辞学家描述拿破仑的一样：无人能与之争锋。说到游泳，她要是参加公开表演，一定名利双收。她属于这么一种不多见的女人：她们可以剥去所有衣装的伪饰，只消穿上简单的泳衣，就已经很美了。说到服装，她是一位衣饰上的艺术家。","“She, and pardon me for repeating, was amazing.It is the one adequate word.Even the most minor adjectives applicable to her are bound to be sheer superlatives.There was nothing she could not do better than any woman and than most men.Sing, play—bah—!as some rhetorician once said of old Nap, competition fled from her.Swim!She could have made a fortune and a name as a public performer.She was one of those rare women who can strip off all the frills of dress, and in simple swimming suit be more satisfying beautiful.Dress!She was an artist."
"“还是说游泳吧。她是个有着完美体型的女人——你们都懂我的意思；我不是说像杂技演员一样粗犷强壮，而是线条优美、身形窈窕、皮肤娇嫩。此外，她也并不是柔弱无力。这些条件她都具备，简直不可思议。你们知道女人的手臂有多么美妙——我指的是前臂；她的臂肉丰满，肌肉隐隐可见，那种柔酥酥的感觉是看不到的，直到小小的手肘和结实柔软的手腕。她的手腕很小，小得不可思议，却又圆润又有力。这就是她的手臂。你要看见她游泳的话，游那种飞快的英国自由式，游到某个地方，你一定想问她怎么能游成那样——好吧，尽管我也了解一些解剖、运动一类的知识，这对我来说仍然是一个谜。","“But her swimming.Physically, she was the perfect woman—you know what I mean, not in the gross, muscular way of acrobats, but in all the delicacy of line and fragility of frame and texture.And combined with this, strength.How she could do it was the marvel.You know the wonder of a woman’s arm—the fore arm, I mean; the sweet fading away from rounded biceps and hint of muscle, down through small elbow and firm soft swell to the wrist, small, unthinkably small and round and strong.This was hers.And yet, to see her swimming the sharp quick English overhand stroke, and getting somewhere with it, too, was—well, I understand anatomy and athletics and such things, and yet it was a mystery to me how she could do it."
"“她能在水下呆两分钟。我掐过表。整个船上的人，除了丹尼森，都不能像她一样，一个猛子扎下去，捡上来那么多的硬币。船头主甲板上有一个大帆布水池，里面是六英尺深的海水。我们常往里面扔硬币。我曾看见过她从舰桥上往下跳——单单这样就可称得上壮举了——跳进六英尺深的水里，把零星散落在池底的硬币，足足捞上来四十七枚。丹尼森这个少言寡语的英国青年，也只能努力跟她打个平手，从来也没赢过她。","“She could stay under water for two minutes.I have timed her.No man on board, except Dennitson, could capture as many coins as she with a single dive.On the forward main-deck was a big canvas tank with six feet of sea-water.We used to toss small coins into it.I have seen her dive from the bridge deck—no mean feat in itself—into that six-feet of water, and fetch up no less than forty-seven coins, scattered willy-nilly over the whole bottom of the tank.Dennitson, a quiet young Englishman, never exceeded her in this, though he made it a point always to tie her score."
"“她是个水里的能手，这没错。但她也是个陆上的能手，马上的能手——啊，她简直就是全能的女人。当看到她换上温文的衣饰，露出柔美的模样，处在六七个热情男人的包围中，而她懒洋洋地全然不把他们放在心上，或是凭着她的机智聪颖驯服他们、捉弄他们甚至是贬损他们，你可能会认为，她除了这个什么也不会干了。这个时候我就不禁回忆起她创纪录地从游泳池底捞起四十七个硬币的情景。这就是她，一个永远奇迹般的女人，干什么都那么出色。","“She was a sea-woman, true.But she was a land-woman, a horsewoman—a—she was the universal woman.To see her, all softness of soft dress, surrounded by half a dozen eager men, languidly careless of them all or flashing brightness and wit on them and at them and through them, one would fancy she was good for nothing else in the world.At such moments I have compelled myself to remember her score of forty-seven coins from the bottom of the swimming tank.But that was she, the everlasting, wonder of a woman who did all things well."
"“她迷住了周围所有的男性。她也迷住了我——我不怕承认这一点——害得我跟其他人一样对她紧追不舍。不管是小年轻，还是理应见过些世面的老东西——哦，只要她招呼一声，他们就全涌到她裙子周围，极尽巴结讨好之能事。他们心里都在打着鬼主意，从年轻的阿德莫尔，那个只有十九岁、想去领事馆做文员的粉嘟嘟的娃娃脸，到头发斑白、历经风浪的老船长本特利，到她面前看起来都像中国佛像一样慈眉善目、温婉可亲。还有一个人挺好的中年人，叫珀金斯吧；我觉得，直到卡拉瑟斯小姐下了逐客令，叫他该去哪儿去哪儿时，他才能想起他老婆也在船上。","“She fascinated every betrousered human around her.She had me—and I don’t mind confessing it—she bad me to heel along with the rest.Young puppies and old gray dogs who ought to have known better—oh, they all came up and crawled around her skirts and whined and fawned when she whistled.They were all guilty, from young Ardmore, a pink cherub of nineteen outward bound for some clerkship in the Consular Service, to old Captain Bentley, grizzled and sea-worn, and as emotional, to look at, as a Chinese joss.There was a nice middle-aged chap, Perkins, I believe, who forgot his wife was on board until Miss Caruthers sent him to the right about and back where he belonged."
"“男人在她手里都像蜡一样。只要她高兴，她要么把他们融化，要么轻柔地把他们捏成各种样子，要么干脆点燃。尽管她显得如此的高傲疏远，但即使是那些服务生，只要她吩咐一声，也会毫不犹豫地把一盆汤泼到老船长的身上。你们都见过这样的女人——一种所有男人都渴望拥有的女人。在征服男人上面，她已经登峰造极。她就像一根鞭子，一根钉刺，一团火焰，一道火花。噢，相信我，她在展现万种风情的时候也会由着性子乱发脾气，搞得拜倒在她脚下的男人们茫然无措，战栗不已。","“Men were wax in her hands.She melted them, or softly molded them, or incinerated them, as she pleased.There wasn’t a steward, even, grand and remote as she was, who, at her bidding, would have hesitated to souse the Old Man himself with a plate of soup.You have all seen such women—a sort of world’s desire to all men.As a man-conqueror she was supreme.She was a whip-lash, a sting and a flame, an electric spark.Oh, believe me, at times there were flashes of will that scorched through her beauty and seduction and smote a victim into blank and shivering idiocy and fear."
"“你们也应该明白了，从以后的事情来看，她是一个高傲的女人。她为她的种族骄傲，为门第骄傲，为性别骄傲，为权力骄傲——她全都有，这种骄傲奇怪、任性而又可怕。","“And don’t fail to mark, in the light of what is to come, that she was a prideful woman.Pride of race, pride of caste, pride of sex, pride of power—she had it all, a pride strange and wilful and terrible."
"“她管全船，管航行，她管着所有事情，连丹尼森也管。丹尼森比我们都强，这一点，就算我们当中最蠢的人也都承认。她喜欢他，而且这份爱慕还在升温，这都毫无疑问。我可以肯定的是，她看丹尼森的目光，比她以往看任何男人都要亲切。虽然我们知道丹尼森已经把我们远远地抛在后面，我们仍然崇拜她，在她身边晃荡，让她可以随时召唤到我们。以后可能怎样，我们无从知道，因为我们去了科伦坡，发生了另一件事。","“She ran the ship, she ran the voyage, she ran everything, and she ran Dennitson.That he had outdistanced the pack even the least wise of us admitted.That she liked him, and that this feeling was growing, there was not a doubt.I am certain that she looked on him with kinder eyes than she had ever looked with on man before.We still worshiped, and were always hanging about waiting to be whistled up, though we knew that Dennitson was laps and laps ahead of us.What might have happened we shall never know, for we came to Colombo and something else happened."
"“科伦坡，你们都知道的，当地的小男孩跳进鲨鱼横行的海湾里去捞硬币。当然，他们也只敢冒险跟蓝鲨和吃鱼的鲨鱼共舞。说起来难以置信，他们对鲨鱼很了解，能感知吃人的鲨鱼——比如虎鲨，或者从澳大利亚海域漂来的锥齿鲨。要是这样的鲨鱼一出现，他们早在乘客们发现之前，就赶紧浮出水面，乱哄哄地逃命去了。","“You know Colombo, and how the native boys dive for coins in the shark-infested bay.Of course, it is only among the ground sharks and fish sharks that they venture.It is almost uncanny the way they know sharks and can sense the presence of a real killer—a tiger shark, for instance, or a gray nurse strayed up from Australian waters.Let such a shark appear, and, long before the passengers can guess, every mother’s son of them is out of the water in a wild scramble for safety."
"“事情发生在午餐过后。卡拉瑟斯小姐坐在甲板的天棚下面，照常接受众男膜拜。老船长本特利刚刚被召唤过去，答应了一件他从来没有答应过，自此以后也没有再答应过的事情——允许那些小男孩上到上层甲板上来。你们也知道，卡拉瑟斯小姐是一位游泳健将，她对这些孩子颇有兴趣。她把我们的零钱都要了过去，亲手把钱一个一个或是一把一把地扔进海里，并且定下比赛的条件，没捞到的孩子要挨骂，捞得巧的能得到额外的奖赏——总之，她就这么安排好了整个表演赛。","“It was after tiffin, and Miss Caruthers was holding her usual court under the deck-awnings.Old Captain Bentley had just been whistled up, and had granted her what he never granted before…nor since—permission for the boys to come up on the promenade deck.You see, Miss Caruthers was a swimmer, and she was interested.She took up a collection of all our small change, and herself tossed it overside, singly and in handfuls, arranging the terms of the contests, chiding a miss, giving extra rewards to clever wins, in short, managing the whole exhibition."
"“她对这些孩子的跳水动作尤其感兴趣。你们知道，脚朝下从某一高度跳下，在空中很难保持身体垂直。男人的身体重心一般都很高，很容易翻跟斗。但是这些小叫花子用了一种方法，这种方法她说很新鲜，想学习一下。他们从吊着救生艇的柱子上纵身一跃，马上低下脑袋，肩膀前倾，盯着水面。等到即将入水的一刻才突然挺直身子，笔挺挺地扎进水里。","“She was especially keen on their jumping.You know, jumping feet-first from a height, it is very difficult to hold the body perpendicularly while in the air.The center of gravity of the male body is high, and the tendency is to overtopple.But the little beggars employed a method which she declared was new to her and which she desired to learn.Leaping from the davits of the boat-deck above, they plunged downward, their faces and shoulders bowed forward, looking at the water.And only at the last moment did they abruptly straighten up and enter the water erect and true."
"“那场面相当好看。他们入水并不是很好，但是其中有一个孩子很在行，他在其他的特技上也很出色。一定有白人教过他，他能跳出标准的天鹅入水式，而且是我有生以来见过的跳得最美的。你们知道，要是从一个很高的地方跳下，头先入水，那么入水的角度要分毫不差，这是个难题。错过了正确的角度，那就至少会扭伤背部，残废一辈子。对许多菜鸟来说，还会有性命之虞。不过，这个孩子能办到——我见过他从七十英尺高的吊架上往下跳——他把手紧贴在胸前，头往后仰，像鸟一样，往上一蹿跳出去，然后向下落；他在空中放平身体，而如果他就以这种姿势砸到水面上，准会像青鱼一样摔成两截。但是在碰到水面前，他低下头，伸出两手，环抱双臂，在头前面做成一个拱形，同时身体很优美地向下弯曲，以刚好合适的角度入水。","“It was a pretty sight.Their diving was not so good, though there was one of them who was excellent at it, as he was in all the other stunts.Some white man must have taught him, for he made the proper swan dive and did it as beautifully as I have ever seen it.You know, headfirst into the water, from a great height, the problem is to enter the water at the perfect angle.Miss the angle and it means at the least a twisted back and injury for life.Also, it has meant death for many a bungler.But this boy could do it—seventy feet I know he cleared in one dive from the rigging—clenched hands on chest, head thrown back, sailing more like a bird, upward and out, and out and down, body flat on the air so that if it struck the surface in that position it would be split in half like a herring.But the moment before the water is reached, the head drops forward, the hands go out and lock the arms in an arch in advance of the head, and the body curves gracefully downward and enters the water just right."
