"在江户海湾","In Yeddo Bay"
"作者：杰克·伦敦","By Jack London"
"他在剧场街的某个地方丢了钱包。他记得当时很匆忙，大概是正走在一座桥上，那座桥横跨一条穿过繁华大街的运河。可能某个斜眼的、善于扒窃的小偷那时正在享用他钱包里装着的50多日元。然后，他又想，也许是他自己把钱包弄丢了，只是不经意间弄丢了。","Somewhere along Theater Street he had lost it.He remembered being hustled somewhat roughly on the bridge over one of the canals that cross that busy thoroughfare.Possibly some slant-eyed, light-fingered pickpocket was even then enjoying the fifty-odd yen his purse had contained.And then again, he thought, he might have lost it himself, just lost it carelessly."
"他绝望地翻遍了所有的口袋，寻找丢失的钱包，这已经是第二十次了。钱包没在他身上。他的一只手停在空空的裤子后袋里，悲伤地看着那个健谈的、大声叫喊的餐馆老板，他正疯狂地嚷着：“25钱！现在快付钱！25钱!”","Hopelessly, and for the twentieth time, he searched in all his pockets for the missing purse.It was not there.His hand lingered in his empty hip-pocket, and he woefully regarded the voluble and vociferous restaurant-keeper, who insanely clamored: “Twenty-five sen!You pay now!Twenty-five sen!”"
"“但是我的钱包！”这个男孩说道，“我得告诉你，我不知道在哪儿把钱包丢了。”","“But my purse!” the boy said.“I tell you I’ve lost it somewhere.”"
"于是这个餐馆老板愤怒地举起他的两只胳膊，尖叫道：“25钱！25钱！现在快付钱！”","Whereupon the restaurant-keeper lifted his arms indignantly and shrieked: “Twenty-five sen!Twenty-five sen!You pay now!”"
"一大群人围过来了，对阿尔夫·戴维斯来说，情况变得愈发尴尬了。","Quite a crowd had collected, and it was growing embarrassing for Alf Davis."
"阿尔夫想，这也太荒谬了，这么琐碎的事情。这么无关紧要的事也能引起这样的骚动！但是毫无疑问，他必须想办法。有一种想法突然闪过他的脑海，他想疯狂地从无数的腿中间冲出去，谁阻拦他，就挥拳打谁；但是，其中一个服务员似乎料到了他的目的，这个又矮又胖的家伙目露凶光，一把拽住了阿尔夫的胳膊。","It was so ridiculous and petty, Alf thought.Such a disturbance about nothing!And, decidedly, he must be doing something.Thoughts of diving wildly through that forest of legs, and of striking out at whomsoever opposed him, flashed through his mind; but, as though divining his purpose, one of the waiters, a short and chunky chap with an evil-looking cast in one eye, seized him by the arm."
"“你，快付钱！快付钱，现在！25钱！”老板喊叫着，沙哑的嗓音中满含愤怒。","“You pay now!You pay now!Twenty-five sen!” yelled the proprietor, hoarse with rage."
"由于受到这种屈辱，阿尔夫的脸也红得厉害，但是他毅然开始尝试另一种方法。他不再找钱包，而是把最后的希望寄托在了几个零星的硬币上。在他上衣的小零钱袋里，他找到了一枚10钱的硬币和一枚5钱的铜板；他记得最近有一枚10钱的硬币不见了，于是割开口袋缝，从他衣服的衬里深处找出了它。他手里拿着25钱，正好够他付刚才吃的晚饭。他把钱给了老板，老板数了数，然后突然变得平静了，还谄媚地向阿尔夫鞠了一躬。实际上，这一大群人都谄媚地向他鞠了一躬，然后散开了。","Alf was red in the face, too, from mortification; but he resolutely set out on another exploration.He had given up the purse, pinning his last hope on stray coins.In the little change-pocket of his coat he found a ten-sen piece and five-copper sen; and remembering having recently missed a ten-sen piece, he cut the seam of the pocket and resurrected the coin from the depths of the lining.Twenty-five sen he held in his hand, the sum required to pay for the supper he had eaten.He turned them over to the proprietor, who counted them, grew suddenly calm, and bowed obsequiously—in fact, the whole crowd bowed obsequiously and melted away."
"阿尔夫·戴维斯是一个年轻的水手，刚刚16岁，在“安妮·曼”号上工作。“安妮·曼”号是一艘美国纵帆船，来横滨将这一季刚捕获的兽皮运送到伦敦。这是阿尔夫第二次上岸，他开始对令人费解的东方思想有了初步感受。当鞠躬和叩头结束时，他笑了，而转过身后，他遇到了另一个问题。他怎样才能登船呢？现在是夜里11点，岸边不会有到轮船上的小船了，而他雇到一位当地船夫的前景也不是特别乐观，因为他现在口袋空空，身无分文。","Alf Davis was a young sailor, just turned sixteen, on board the Annie Mine, an American sailing-schooner, which had run into Yokohama to ship its season’s catch of skins to London.And in this, his second trip ashore, he was beginning to snatch his first puzzling glimpses of the Oriental mind.He laughed when the bowing and kotowing was over, and turned on his heel to confront another problem.How was he to get aboard ship?It was eleven o’clock at night, and there would be no ship’s boats ashore, while the outlook for hiring a native boatman, with nothing but empty pockets to draw upon, was not particularly inviting."
"他走向了码头，一路上用敏锐的眼睛找着船上的同伴。在横滨，没有长长的码头线。这些航船停泊在那里，于是几百号短腿的人靠载着乘客往返于岸边和船上过活。","Keeping a sharp lookout for shipmates, he went down to the pier.At Yokohama there are no long lines of wharves.The shipping lies out at anchor, enabling a few hundred of the short-legged people to make a livelihood by carrying passengers to and from the shore."
"有十几个大人和男孩在小船上招呼阿尔夫，要给他提供服务。他选了一个看起来最讨人喜欢的，是一位年迈的老人，看起来很慈爱，有一条腿萎缩了。阿尔夫上了他的小船，坐下了。天很黑，他看不清楚这个老人在干什么，但是很明显，他没有准备开船出发。最后他一跛一跛地走过来盯着阿尔夫的脸。","A dozen sampan men and boys hailed Alf and offered their services.He selected the most favorable-looking one, an old and beneficent- appearing man with a withered leg.Alf stepped into his sampan and sat down.It was quite dark and he could not see what the old fellow was doing, though he evidently was doing nothing about shoving off and getting under way.At last he limped over and peered into Alf’s face."
"“10钱。”他说道。","“Ten sen,” he said."
"“是的，我知道，10钱，”阿尔夫毫不在意地答道，“但要快点儿。去美国纵帆船那儿。”","“Yes, I know, ten sen,” Alf answered carelessly.“But hurry up.American schooner.”"
"“10钱。现在付钱。”这个老家伙坚持道。","“Ten sen.You pay now,” the old fellow insisted."
"当听到“现在付钱”这几个讨厌的字时，阿尔夫觉得自己浑身发热。“你载我到美国纵帆船那儿，然后我就付钱。”阿尔夫说。","Alf felt himself grow hot all over at the hateful words “pay now.”“You take me to American schooner; then I pay,” he said."
"但是这个船夫很有耐心地站在阿尔夫面前，伸出他的手说：“10钱。现在付。”","But the man stood up patiently before him, held out his hand, and said, “Ten sen.You pay now.”"
"阿尔夫试着解释给他听。他没有钱。他把钱包弄丢了。但是他会付钱的。他一到美国纵帆船上就付钱。不，他甚至根本不用登上美国纵帆船就可以付钱。他会朝同伴喊话，他们会给这个船夫10钱。之后他才会登上船。所以根本没关系。","Alf tried to explain.He had no money.He had lost his purse.But he would pay.As soon as he got aboard the American schooner, then he would pay.No; he would not even go aboard the American schooner.He would call to his shipmates, and they would give the sampan man the ten sen first.After that he would go aboard.So it was all right, of course."
