"北方的奥德赛","An Odyssey of the North"
"作者：杰克·伦敦","by Jack London"
"雪橇和着挽具嘎吱嘎吱的声响和带头狗的脖子上发出的叮呤当啷的铃声，正在吟唱着永恒的哀歌；但是人和狗都累了，都不出声。路上铺着厚厚的、刚刚落下的雪。他们来自远方，雪橇上载着很多四开的冻得跟燧石一样僵硬的鹿。橇板紧贴着还没轧结实的道路，总是往后退，像人一样倔强。夜幕正在降临，但是这一晚他们没有帐篷可搭。雪从毫无生气的空中轻轻飘落，不是雪花，而是小巧精致的雪晶。天很暖和——只有零下十度——大家都不在乎。迈耶斯和贝斯特已经把护耳翻了起来，马尔穆特·基德连手套都摘下来了。","The sleds were singing their eternal lament to the creaking of the harnesses and the tinkling bells of the leaders; but the men and dogs were tired and made no sound.The trail was heavy with new-fallen snow, and they had come far, and the runners, burdened with flint-like quarters of frozen moose, clung tenaciously to the unpacked surface and held back with a stubbornness almost human.Darkness was coming on, but there was no camp to pitch that night.The snow fell gently through the pulseless air, not in flakes, but in tiny frost crystals of delicate design.It was very warm,—barely ten below zero,—and the men did not mind.Meyers and Bettles had raised their ear-flaps, while Malemute Kid had even taken off his mittens."
"这群狗在下午的早些时候就已经累坏了，但是现在，它们开始展现出新的活力。那些感觉比较敏锐的已经有点儿坐立不安了——似乎无法承受拖索的束缚，想快点儿跑又犹豫不决，它们竖着耳朵，用鼻子吸着气。慢慢地，它们开始对那些感觉不灵敏的伙伴发火了，不断狡猾地咬着它们的后腿，催着它们前进。那些遭到责怪的狗也感染了这样的毛病，又将这样的毛病传给别的狗。最后，最前面那架雪橇的带头狗心满意足地高声吠了一声，匍匐在雪中，使出浑身力气绷紧了颈圈，往前冲去。别的狗都跟着它做。后面的皮带一缩，拖索一紧，一架架雪橇就冲向前方了。人们不得不抓紧橇把，猛地抬高双脚，以免被橇板压住。一天的劳累都消失了，他们大声喊叫着，催促狗快点儿前进。那群狗也用高兴的叫声回应着他们。它们在渐渐变黑的夜色中，放开脚步，啪嗒啪嗒地快速奔跑起来。","The dogs had been fagged out early in the afternoon, but they now began to show new vigor.Among the more astute there was a certain restlessness,—an impatience at the restraint of the traces, an indecisive quickness of movement, a sniffing of snouts and pricking of ears.These became incensed at their more phlegmatic brothers, urging them on with numerous sly nips on their hinder-quarters.Those, thus chidden, also contracted and helped spread the contagion.At last, the leader of the foremost sled uttered a sharp whine of satisfaction, crouching lower in the snow and throwing himself against the collar.The rest followed suit.There was an ingathering of back-bands, a tightening of traces; the sleds leaped forward, and the men clung to the gee-poles, violently accelerating the uplift of their feet that they might escape going under the runners.The weariness of the day fell from them, and they whooped encouragement to the dogs.The animals responded with joyous yelps.They were swinging through the gathering darkness at a rattling gallop."
"“往右拐！往右拐！”他们顺次喊道，一架架雪橇忽然偏离了主道，掀起一侧的橇板，像顺风行驶的小帆船一样向前奔去。","“Gee!Gee!” the men cried, each in turn, as their sleds abruptly left the main-trail, heeling over on single runners like luggers on the wind."
"雪橇一下子冲了一百码，来到一个透着光亮的羊皮纸窗户前。一瞧就知道这座木屋是他们的家，里面有烧得呼啦响的育空式火炉和冒着热气的茶壶。但是这木屋已经被占领了。六十只爱斯基摩狗威风凛凛地一起咆哮着，这群浑身是毛的家伙猛地朝拉着第一架雪橇的狗扑了过去。门猛地开了，一个身穿西北警察的红色束腰制服的人，踏着及膝深的雪，沉着而公正地拿狗鞭的柄把那群疯狂的家伙收拾得老老实实。之后，双方握手，就这样，马尔穆特·基德被一个外人迎进了本属于他的木屋。","Then came a hundred yards’ dash to the lighted parchment window, which told its own story of the home cabin, the roaring Yukon stove, and the steaming pots of tea.But the home cabin had been invaded.Three-score huskies chorused defiance, and as many furry forms precipitated themselves upon the dogs which drew the first sled.The door was flung open, and a man, clad in the scarlet tunic of the Northwest Police, waded knee-deep among the furious brutes, calmly and impartially dispensing soothing justice with the butt end of a dog-whip.After that, the men shook hands; and in this wise was Malemute Kid welcomed to his own cabin by a stranger."
"应该是斯坦利·普林斯去迎接他的，前面提过的育空式火炉和冒着热气的茶壶正是由他负责照看的。不过他正忙着接待客人。这些客人差不多有十来个，尽管都是为英国女王执行法规和传送信件的人，但我们却很难把他们归为某一类。他们有着不同的血统，但是同样的生活使他们成了同一种类型的人——身材瘦长却结实。他们有着硬实的肌肉、被太阳晒得黝黑的脸和平静的灵魂，因此他们总是目光明亮且坚定地注视着前方。他们驾着女王的狗，让她的对手闻风丧胆；他们吃的是她分发的很少的口粮，但是很快乐。他们见多识广，做过很多大事，他们的生活像一部传奇，但是他们自己却对此一无所知。","Stanley Prince, who should have welcomed him, and who was responsible for the Yukon stove and hot tea aforementioned, was busy with his guests.There were a dozen or so of them, as nondescript a crowd as ever served the Queen in the enforcement of her laws or the delivery of her mails.They were of many breeds, but their common life had formed of them a certain type,—a lean and wiry type, with trail-hardened muscles, and sun-browned faces, and untroubled souls which gazed frankly forth, clear-eyed and steady.They drove the dogs of the Queen, wrought fear in the hearts of her enemies, ate of her meagre fare, and were happy.They had seen life, and done deeds, and lived romances; but they did not know it."
"而且他们过得非常舒适。其中有两个人伸开手脚大躺在马尔穆特·基德的床上，嘴里唱着歌，当初他们的法国人祖先到西北地区和印第安女人结婚时唱的就是这样的歌。贝特尔斯的床铺也被霸占了，三四个健壮的押运员裹着毯子，一边揉脚，一边听一个人讲故事。这个人在沃尔斯利进攻喀土穆的时候，在他的舰队中服过役。等他讲累了，一个牛仔就说起了当年他和布法洛·比尔游览欧洲各国首都时，所见过的宫廷、国王和王公贵妇。屋子的一个角落里有两个混血儿，他们是一起吃过败仗的老伙计，正在一边修理雪橇上的挽具，一边说着当时西北地区人们不断地起义，路易·里尔称王时的情形。","And they were very much at home.Two of them were sprawled upon Malemute Kid’s bunk, singing chansons which their French forbears sang in the days when first they entered the Northwest-land and mated with its Indian women.Bettles’ bunk had suffered a similar invasion, and three or four lusty voyageurs worked their toes among its blankets as they listened to the tale of one who had served on the boat brigade with Wolseley when he fought his way to Khartoum.And when he tired, a cowboy told of courts and kings and lords and ladies he had seen when Buffalo Bill toured the capitals of Europe.In a corner, two half-breeds, ancient comrades in a lost campaign, mended harnesses and talked of the days when the Northwest flamed with insurrection and Louis Reil was king."
"粗鲁的笑话和更粗鲁的玩笑话此起彼伏，水路和陆路上相当危险的事从他们嘴里说出来，都变得很平常，似乎他们之所以会想到这些事情，只是因为其中一些滑稽可笑的情节。这些无冕英雄的话语深深吸引了普林斯，他们亲眼目睹了历史是怎样创造的，然而他们却把那些伟大的、带着传奇色彩的事情看作平日里一些普通的、偶然的小事情。他把自己宝贵的烟草毫不吝惜地分给大家；为了回报他的慷慨，已经生锈的记忆的链条展开了，淡忘已久的奥德赛式的故事也重新被想起来了。","Rough jests and rougher jokes went up and down, and great hazards by trail and river were spoken of in the light of commonplaces, only to be recalled by virtue of some grain of humor or ludicrous happening.Prince was led away by these uncrowned heroes who had seen history made, who regarded the great and the romantic as but the ordinary and the incidental in the routine of life.He passed his precious tobacco among them with lavish disregard, and rusty chains of reminiscence were loosened, and forgotten odysseys resurrected for his especial benefit."
"交谈停止以后，客人们装上最后一袋烟草，解开他们裹得紧紧的皮毯子时，普林斯扭过头，准备跟他的老伙计进一步了解这些人的情况。","When conversation dropped and the travelers filled the last pipes and unlashed their tight-rolled sleeping-furs, Prince fell back upon his comrade for further information."
"“那好吧，那个牛仔的身份你是知道的，”马尔穆特·基德一边回答，一边着手解开他那双软帮皮鞋的鞋带，“那个跟他睡在一起、有英国血统的人，他的身份也很容易猜得到。至于其他的人，他们都是森林里的流浪汉，他们的血统太复杂，只有天知道。睡在门口的那两个人，是地道的‘法裔’，也就是‘木炭’。那个围着毛线围巾的小伙子——注意一下他的眉毛和下巴——你就会知道，曾经有个苏格兰男人在他母亲那个烟雾弥漫的帐篷里抹过眼泪。还有那个把斗篷枕在头底下的英俊年轻人，他有一半的法国血统——你听见过他说的话；他讨厌那两个睡在他旁边的印第安人。你知道吗，当年那些‘法裔’在里尔的带领下起义的时候，地道的印第安人却没有支持他们，从那以后，他们相互之间就没有什么好感了。”","“Well, you know what the cowboy is,” Malemute Kid answered, beginning to unlace his moccasins; “and it’s not hard to guess the British blood in his bed-partner.As for the rest, they’re all children of the coureurs du bois, mingled with God knows how many other bloods.The two turning in by the door are the regulation ‘breeds’ or bois brules.That lad with the worsted breech scarf—notice his eyebrows and the turn of his jaw—shows a Scotchman wept in his mother’s smoky tepee.And that handsome-looking fellow putting the capote under his head is a French half-breed,—you heard him talking; he doesn’t like the two Indians turning in next to him.You see, when the ‘breeds’ rose under Reil the full-bloods kept the peace, and they’ve not lost much love for one another since.”"
"“但是，火炉边上那个阴沉着脸的家伙又是一个怎样的人呢？我打赌他肯定不会说英语。他一晚上都没开口说过话。”","“But I say, what’s that glum-looking fellow by the stove?  I’ll swear he can’t talk English.He hasn’t opened his mouth all night.”"
"“你错了。他的英语很棒。你留意到他听人讲话时的目光了吗？我留意到了。但是他跟其他人并不沾亲带故。当他们说自己家乡话的时候，你就能看出他根本听不懂。我也在想他究竟是什么人。咱们来打探一下。”","“You’re wrong.He knows English well enough.Did you follow his eyes when he listened?I did.But he’s neither kith nor kin to the others.When they talked their own patois you could see he didn’t understand.I ’ve been wondering myself what he is.Let’s find out.”"
"“往火炉里添些柴！”马尔穆特·基德瞧着那个身份不明的人，提高了嗓门吩咐他。","“Fire a couple of sticks into the stove!”Malemute Kid commanded, raising his voice and looking squarely at the man in question."
"他立刻照做了。","He obeyed at once."
"“他一定是在什么地方受过训练。”普林斯低声评论道。马尔穆特·基德点了点头，然后脱下袜子，从躺着的人群里小心翼翼地走到火炉旁边。他把湿了的鞋袜和二十来双鞋袜挂在一起。","“Had discipline knocked into him somewhere,” Prince commented in a low tone.Malemute Kid nodded, took off his socks, and picked his way among the recumbent men to the stove.There he hung his damp footgear among a score or so of mates."
"“你觉得什么时候可以到达道森呢？”他试探着问道。","“When do you expect to get to Dawson?” he asked tentatively."
"那个人细细将他端详一番之后才回答：“听说还有七十五英里。对吗？估计得两天吧。”","The man studied him a moment before replying.“They say seventy-five mile.So?Maybe two days.”"
"可以听得出他的口音有点儿特别，但是没有停顿，也没有琢磨用词。","The very slightest accent was perceptible, while there was no awkward hesitancy or groping for words."
"“过去来过这里？”","“Been in the country before?”"
"“没来过。”","“No.”"
"“西北地区呢？”","“Northwest Territory?”"
"“去过。”","“Yes.”"
"“在那里出生的吧？”","“Born there?”"
"“不是。”","“No.”"
"“那么，你到底从哪里来的呢？你和他们不是一个地方的人。”马尔穆特·基德把手朝那些赶狗的人一挥，就连在普林斯床上睡觉的那两名警察也包括在内。“你是从什么地方来的呢？我以前见过你这样的脸孔，尽管我不记得是在什么地方见过的了。”","“Well, where the devil were you born?You ’re none of these.”Malemute Kid swept his hand over the dog-drivers, even including the two policemen who had turned into Prince’s bunk.“Where did you come from?I’ve seen faces like yours before, though I can’t remember just where.”"
"“我认得你。”他说了句不相干的话，立刻把马尔穆特·基德引到了另一个话题上。","“I know you,” he irrelevantly replied, at once turning the drift of Malemute Kid’s questions."
"“在什么地方？你见过我？”","“Where?Ever see me?”"
"“不是你，是你的伙计，他是个牧师，在帕斯提里克，很久以前。他问我有没有见过你，马尔穆特·基德。他给了我一些吃的。我在那里没有呆很长时间。你有没有听他说起过我？”","“No; your partner, him priest, Pastilik, long time ago.Him ask me if I see you, Malemute Kid.Him give me grub.I no stop long.You hear him speak ‘bout me?”"
"“哦！你就是那个拿海獭皮换狗的人吗？”","“Oh! you ’re the fellow that traded the otter skins for the dogs?”"
"那个人点点头，敲出烟斗里的灰，然后裹紧毛皮衣，表示他不想继续往下谈了。马尔穆特·基德把那盏油灯吹灭，和普林斯一起钻进毯子里去了。","The man nodded, knocked out his pipe, and signified his disinclination for conversation by rolling up in his furs.Malemute Kid blew out the slush-lamp and crawled under the blankets with Prince."
"“那么，他是什么人呢？”","“Well, what is he?”"
"“不知道——不知道怎么回事，他把我引到别的话题上了，然后就像蛤蜊一样闭上了嘴。但这是个会激起人好奇心的家伙。我听说过他。八年前，沿海地区的人就对他很好奇。有点儿神秘，你知道。在严冬里，他从离这里有上千英里的北部，一路沿着白令海峡赶到这里，就像有魔鬼追着他似的。没有人知道他是从什么地方来的，但是可以肯定的是，他一定来自遥远的地方。他到戈洛文湾的时候已经精疲力尽了，他从瑞典牧师那里弄了些吃的，还打探了到南方来的路。这些事，我们都是事后听说的。后来，他放弃了海岸线，径直从诺顿湾渡过来。天气极其恶劣，经常是狂风暴雪，但是他挺过来了，要是换成别人，就算有一千个人，也早没命了。因为错过了在圣·迈克尔登陆，他就在帕斯提里克上岸了。他什么都没了，只剩两条狗，自己险些就给饿死了。","“Don’t know—turned me off, somehow, and then shut up like a clam.But he ’s a fellow to whet your curiosity.I’ve heard of him.All the Coast wondered about him eight years ago.Sort of mysterious, you know.He came down out of the North, in the dead of winter, many a thousand miles from here, skirting Bering Sea and traveling as though the devil were after him.No one ever learned where he came from, but he must have come far.He was badly travel-worn when he got food from the Swedish missionary on Golovin Bay and asked the way south.We heard of this afterward.Then he abandoned the shore-line, heading right across Norton Sound.Terrible weather, snowstorms and high winds, but he pulled through where a thousand other men would have died, missing St.Michael’s and making the land at Pastilik.He’d lost all but two dogs, and was nearly gone with starvation."
"“鲁博神父见他急着赶路，就给了他一些吃的；但是不能送给他狗，因为等我到了以后，神父自己也要出门。尤利西斯先生清楚地知道，没有狗是没法上路的，因此他烦躁了好几天。他雪橇上有一捆硝得不错的海獭皮，你知道，它们可是跟金子一样贵重呢。那个时候，帕斯提里克有一个俄国生意人，老夏洛克，他有几条狗准备要宰了。这笔生意很快就做成了，等这个古怪的人再往南去的时候，他的雪橇前面已经有一群疾速奔跑的狗了。而夏洛克先生也得到了那捆海獭皮。我见过的，非常不错。我们算了一下，每条狗给他赚了至少五百块钱。不是说这个古怪的人不晓得海獭皮的价钱；某种程度上说，他是个印第安人，从他讲的那寥寥数语中，还能听出他曾和白人一起呆过。","“He was so anxious to go on that Father Roubeau fitted him out with grub; but he couldn’t let him have any dogs, for he was only waiting my arrival to go on a trip himself.Mr. Ulysses knew too much to start on without animals, and fretted around for several days.He had on his sled a bunch of beautifully cured otter skins, sea-otters, you know, worth their weight in gold.There was also at Pastilik an old Shylock of a Russian trader, who had dogs to kill.Well, they didn’t dicker very long, but when the Strange One headed south again, it was in the rear of a spanking dog-team.Mr. Shylock, by the way, had the otter skins.I saw them, and they were magnificent.We figured it up and found the dogs brought him at least five hundred apiece.And it wasn’t as if the Strange One didn’t know the value of sea-otter; he was an Indian of some sort, and what little he talked showed he’d been among white men."
"“海面上的冰消融以后，从努尼瓦克岛传来消息说，他去那里找过吃的。然后他就消失了，这是八年里第一次又听到他的消息。那么如今，他是从什么地方来的呢？他在那里做了些什么？他又是为什么离开那里的呢？他是一个印第安人，他去过别人都不知道的地方，还接受过训练，这对于一个印第安人而言，是不常见的。这又是一个需要你来解决的北方的奥秘，普林斯。”","“After the ice passed out of the Sea, word came up from Nunivak Island that he’d gone in there for grub.Then he dropped from sight, and this is the first heard of him in eight years.Now where did he come from? and what was he doing there? and why did he come from there?He’s Indian, he’s been nobody knows where, and he’s had discipline, which is unusual for an Indian.Another mystery of the North for you to solve, Prince.”"
"“太感谢你了，但是如今我手头上需要解决的事情太多了。”他回答道。","“Thanks, awfully; but I’ve got too many on hand as it is,” he replied."
