"迟来的旅客","The Belated Travellers"
"作者：华盛顿·欧文","by Washington Irving"
"在一个傍晚时分，一辆骡车缓慢吃力地爬上亚平宁山脉的一个隘口。通过其中一个最荒凉的隘道远远望去，一个小小的村庄坐落在岩石顶上，透过山上浓密的树林，隐约可见一个修道院的几座白塔。这辆车式样古老，造得很笨重。剥落褪色的装饰诉说着它昔日的华丽，但是破旧的弹簧和吱嘎作响的车轴泄露了它如今的衰败。车里坐着一位高挑、瘦削的老绅士，他身穿军旅服，头戴一顶镶有皮边的军便帽。帽子下露出一些灰白头发，说明他的战斗生涯已经结束了。他身边坐着一个18岁的美丽女孩。她面色苍白，穿的好像是北方或者是波兰服装。一个仆人坐在车的前面，看样子是个顽固暴躁的人，脸上有一条刀疤，鼻子下长着两撇褐黄色的胡子，又短又硬，看上去老军人的气概十足。","It was late one evening that a carriage, drawn by mules, slowly toiled its way up one of the passes of the Apennines.It was through one of the wildest defiles, where a hamlet occurred only at distant intervals, perched on the summit of some rocky height, or the white towers of a convent peeped out from among the thick mountain foliage.The carriage was of ancient and ponderous construction.Its faded embellishments spoke of former splendour, but its crazy springs and axletrees creaked out the tale of present decline.Within was seated a tall, thin old gentleman, in a kind of military travelling dress, and a foraging cap trimmed with fur, though the grey locks which stole from under it hinted that his fighting days were over.Beside him was a pale, beautiful girl of eighteen, dressed in something of a northern or Polish costume.One servant was seated in front, a rusty, crusty-looking fellow, with a scar across his face; an orange@tawny schnur@bart, or pair of mustachios, bristling from under his nose, and altogether the air of an old soldier."
"事实上，这是一辆波兰贵族的马车，是皇族的遗物。主人原属皇室，一度过着奢华的生活，几乎比得上东方王公的华丽，但是波兰灭亡后，皇室就变得败落贫困了。这位伯爵，像其他许多慷慨激昂之士一样，犯了爱国罪，在某种程度上，是一个被放逐国外的流亡者。为了女儿的教育，他曾在意大利几个一流城市居住。在女儿身上，他倾注了全部的心思和欢乐。他曾带着女儿到上流社会应酬，她的美貌和才艺使她赢得了许多钦慕者。如果她不是一个贫穷、没落的波兰贵族的女儿，会有许多人争相向她求婚的。可是，忽然间她变得娇弱起来，精神也一日不如一日。她的快乐随着脸颊上的红润颜色一并消失了。她变得沉默寡言，弱不禁风。老伯爵看出了这种变化，非常担忧。“我们必须改变空气和环境。”他说。几天之后，这辆古老的家庭马车就在亚平宁群山之中辘辘地转动了。","It was, in fact, the equipage of a Polish nobleman; a wreck of one of those princely families which had lived with almost Oriental magnificence, but had been broken down and impoverished by the disasters of Poland.The Count, like many other generous spirits, had been found guilty of the crime of patriotism, and was, in a manner, an exile from his country.He had resided for some time in the first cities of Italy for the education of his daughter, in whom all his cares and pleasures were now centred.He had taken her into society, where her beauty and her accomplishments had gained her many admirers; and had she not been the daughter of a poor broken-down Polish nobleman, it is more than probable that many would have contended for her hand.Suddenly, however, her health had become delicate and drooping; her gaiety fled with the roses of her cheek, and she sank into silence and debility.The old count saw the change with the solicitude of a parent.“We must try a change of air and scene,” said he; and in a few days the old family carriage was rumbling among the Apennines."
"老兵卡斯珀是他们唯一的随从，他生于伯爵家，一直做家里的管家，现在已经变得苍老了。他跟随主人历经兴衰。打仗时，他与主人并肩而战；主人在战斗中倒下时，他紧护其身。因为保护主人，他脸上受了刀伤，致使容貌变得有些可怕。他现在是伯爵的贴身仆人和管家，负责伯爵的伙食和其他杂活。唯一能分享卡斯珀对主人的一片忠心的人是年轻的小姐，他看着她长大。小姐在孩提时，他拉着她的手走路。现在，他像一个父亲一样喜欢小姐；不仅如此，只要于她有益，他都会像父亲一样在各种事情上直率地提点她；看见小姐被人注视和赞美，他像一个父亲一样感到光荣。","Their only attendant was the veteran Caspar, who had been born in the family, and grown rusty in its service.He had followed his master in all his fortunes; had fought by his side; had stood over him when fallen in battle; and had received, in his defence, the sabre-cut which added such grimness to his countenance.He was now his valet, his steward, his butler, his factotum.The only being that rivalled his master in his affections was his youthful mistress; she had grown up under his eye.He had led her by the hand when she was a child, and he now looked upon her with the fondness of a parent; nay, he even took the freedom of a parent in giving his blunt opinion on all matters which he thought were for her good; and felt a parent’s vanity in seeing her gazed at and admired."
"他们沿着湍急的溪流穿过一个个狭窄的山谷，走了很长一段时间，夜幕也渐渐落下。周遭的景色荒凉而险恶。道路上乱石丛生，岩石边成群的白色山羊吃着草，不时地俯视着旅客。他们还得走上十里至十五里的路才能到达前面的村庄。骡夫皮特罗是个老酒鬼，在上一个休息的地方喝了超出常量的酒，精神亢奋，对着他的几头骡子一会儿唱歌一会儿说话，让骡子像蜗牛一样痛苦地慢慢行走，毫不理会伯爵频频的苦求和卡斯珀的咒骂。","The evening was thickening: they had been for some time passing through narrow gorges of the mountains, along the edge of a tumbling stream.The scenery was lonely and savage.The rocks often beetled over the road, with flocks of white goats browsing on their brinks, and gazing down upon the travellers.They had between two and three leagues yet to go before they could reach any village; yet the muleteer, Pietro, a tippling old fellow, who had refreshed himself at the last haltingplace with a more than ordinary quantity of wine, sat singing and talking alternately to his mules, and suffering them to lag on at a snail’s pace, in spite of the frequent entreaties of the Count and maledictions of Caspar."
"群山间的云层开始聚集，卷成一团一团，遮住山峰。这片高地的空气也变得潮湿、寒冷。伯爵因担心女儿受寒而没了平时的耐心。他从车里探出身子，对着老皮特罗愤怒地吼道：","The clouds began to roll in heavy masses among the mountains, shrouding their summits from the view.The air of these heights, too, was damp and chilly.The Count’s solicitude on his daughter’s account overcame his usual patience.He leaned from the carriage, and called to old Pietro in an angry tone."
"“向前赶啊！”伯爵叫道，“我们半夜也到不了旅店。”“先生，那边就是旅店。”骡夫说。“哪儿？”伯爵问道。“就在那边！”皮特罗指着前面大约四分之一里格远的几座孤零零的房子。“就在那种地方吗？——看起来不像旅店，倒像一堆废墟。我原以为我们能到一个村子里舒舒服服地过夜。”","“Forward !” said he.“It will be midnight before we arrive at our inn.”—“Yonder it is, signor,” said the muleteer.—“Where?” demanded the Count.—“Yonder,” said Pietro, pointing to a desolate pile of building about a quarter of a league distant.—“That the place?—why, it looks more like a ruin than an inn.I thought we were to put up for the night at a comfortable village.”"
"这时候，皮特罗便开始埋怨地喊叫，像所有懈怠的骡夫常挂在嘴边的话一样。“这样的路！这样的山！可怜的牲口走乏了，腿软了，它们要是倒下来，就永远到不了村庄了。先生您觉得还有什么旅店比更好！一座完美的城堡！一座宫殿！热情的人们！上好的伙食！舒服的床铺！先生可以在那儿吃得美美的，睡得甜甜的，像王子一样！”伯爵轻易就被说服了，因为他迫切地想让女儿避开夜间的寒气。不一会儿，这辆古老的马车就吱吱嘎嘎、叮叮当当地驶进了旅店的大门。这所房子与骡夫的描述确实有些相符。房子很大，够得上一座城堡或宫殿，结构结实，不过式样简单，接近粗陋，有许多废弃的房间。事实上，这所房子曾经是一位意大利亲王打猎时居住的别墅。房子里足够宽敞。这所房子的附属房足够驻扎一支小军队。看来这个荒凉大宅子里的住户，人口很少。他们到店的时候，出来迎接的人满脸污垢，神色阴沉。然而，他们都认识老皮特罗，他们把边唱边说，几乎是高声叫喊着把老皮特罗迎进门。","Here Pietro uttered a string of piteous exclamations and ejaculations, such as are ever at the tip of the tongue of a delinquent muleteer.“Such roads! and such mountains! and then his poor animals were way-worn, and leg-weary; they would fall lame; they would never be able to reach the village.And then what could his Eccellenza wish for better than the inn; a perfect castello—a palazza—and such people!—and such a larder!—and such beds! His Eccellenza might fare as sumptuously and sleep as soundly there as a prince!” The Count was easily persuaded, for he was anxious to get his daughter out of the night air; so in a little while the old carriage rattled and jingled into the great gateway of the inn.The building did certainly in some measure answer to the muleteer’s description.It was large enough for either castle or palazza; built in a strong, but simple and almost rude style; with a great quantity of waste room.It had, in fact, been, in former times, a hunting-seat for one of the Italian princes.There was space enough within its walls and in its out-buildings to have accommodated a little army.A scanty household seemed now to be people in this dreary mansion.The faces that presented themselves on the arrival of the travellers were begrimed with dirt, and scowling in their expression.They all knew old Pietro, however, and gave him a welcome as he entered, singing and talking, and almost whooping, into the gateway."
"旅店的女主人亲自招呼伯爵和他的女儿，领着他们看房间。女店主领着他们穿过一条阴暗的长廊，然后又穿过一些互通的内室，内室里有高高的天花板，巨大的横梁横穿而过。然而，房间里的东西都很又脏又旧。潮湿的墙壁上光秃秃的，只是到处都挂着些名画，那些画大得可以挂在教堂里，画面黑得什么也看不清了。","The hostess of the inn waited herself on the Count and his daughter, to show them the apartments.They were conducted through a long gloomy corridor, and then through a suite of chambers opening into each other, with lofty ceilings, and great beams extending across them.Everything, however, had a wretched, squalid look.The walls were damp and bare, excepting that here and there hung some great painting, large enough for a chapel, and blackened out of all distinctness."
"他们挑了两个房间，其中一间在另一间的里面，里间那间给女儿住。床很大，却变了形。老皮特罗曾夸赞床铺舒适，但是仔细一看，他们发现床垫里塞的都是麻纤，一块一块地都结成了团。伯爵耸耸肩，但也别无选择。房间里寒气入骨，他们很高兴回到一个普通的房间，或者是大厅，那里有一个大墙洞，里面烧着火，被误称为壁炉。","They chose two bed-rooms, one within another; the inner one for the daughter.The bedsteads were massive and misshapen; but on examining the beds, so vaunted by old Pietro, they found them stuffed with fibres of hemp, knotted in great lumps.The Count shrugged his shoulders, but there was no choice left.The chilliness of the apartments crept to their bones; and they were glad to return to a common chamber, or kind of hall, where there was a fire burning in a huge cavern, miscalled a chimney."
"他们扔进去许多绿树枝，壁炉里冒出一阵阵的浓烟。这间客厅与大宅其他部分的风格很相称。地面做了铺设，也很脏。一张又大又重的橡木桌子，稳稳地立在中间。","A quantity of green wood had just been thrown on, which puffed out volumes of smoke.The room corresponded to the rest of the mansion.The floor was paved and dirty.A great oaken table stood in the centre, immoveable from its size and weight."
"只有女店主的穿戴和整个大宅的寒酸气迥然不同。当然，她是个邋遢的女人，穿得随随便便，还脏兮兮的，可是衣服料子却挺贵重。她手上戴着好几个贵重的戒指，耳朵上戴着宝石，脖子上挂着一串大珍珠项链，链子上坠着一个闪闪发光的耶稣受难像。女店主风韵犹存，但是她脸上的某些表情，让伯爵小姐格外厌恶。她大献殷勤，卑躬屈膝地伺候他们，后来因为要去操办晚餐，她叫一个黝黑的、绷着脸的女仆来伺候他们，伯爵和他的女儿才松了一口气。","The only thing that contradicted this prevalent air of indigence was the dress of the hostess.She was a slattern, of course; yet her garments, though dirty and negligent, were of costly materials.She wore several rings of great value on her fingers, and jewels in her ears, and round her neck was a string of large pearls, to which was attached a sparkling crucifix.She had the remains of beauty; yet there was something in the expression of her countenance that inspired the young lady with singular aversion.She was officious and obsequious in her attentions, and both the Count and his daughter were relieved when she consigned them to the care of a dark, sullen-looking servant-maid, and went off to superintend the supper."
"卡斯珀对骡夫的行为很生气，不管他是有意还是无意，都不该把主人和小姐带到这样的地方来。他指着骡夫的胡子郑重地说，一旦他们平安离开山区，他就要向这个老无赖报仇。他一直跟那个绷着脸的女仆争吵，却只让那个女仆的表情更加凶恶，她的眼睛在又浓又黑的眉毛下，凶狠地看着旅客们。","Caspar was indignant at the muleteer for having, either through negligence or design, subjected his master and mistress to such quarters; and vowed by his mustachios to have revenge on the old varlet the moment they were safe out from among the mountains.He kept up a continual quarrel with the sulky servant-maid, which only served to increase the sinister expression with which she regarded the travellers, from under her strong dark eyebrows."
"至于伯爵，他脾气很好，是个随遇而安的旅客。也许是真正的灾难把他的脾气磨平了，那些正值春风得意的人感到痛苦难忍的事，在他看来都是可以忍受的小事。他把一把破旧的大靠椅拖到火炉边给他女儿，又拖了一把给自己；然后拿起一把巨大的火钳，想翻翻炉里的木头让火旺起来。然而，他这一折腾反而弄出一阵浓烟，几乎让这位老绅士失去耐心。他向后退了退，回头看了看他那娇弱的女儿，又看了看这间阴郁、肮脏的客厅，耸耸肩，又去搅动炉火了。","As to the Count, he was a good-humoured, passive traveller.Perhaps real misfortunes had subdued his spirit, and rendered him tolerant of many of those petty evils which make prosperous men miserable.He drew a large broken arm-chair to the fireside for his daughter, and another for himself, and seizing an enormous pair of tongs, endeavoured to re-arrange the wood so as to produce a blaze.His efforts, however, were only repaid by thicker puffs of smoke, which almost overcame the good gentleman’s patience.He would draw back, cast a look upon his delicate daughter, then upon the cheerless, squalid apartment, and shrugging his shoulders, would give a fresh stir to the fire."
"一家不舒服的旅店有许多让人痛苦的事，但最令人难以忍受的是始终绷着脸的女仆。这位好脾气的伯爵宁愿默默地忍受一会儿烟熏，也不愿跟那个愁眉苦脸的女仆说。可是后来他不得不求那个女仆去取些干燥的柴火来。","Of all the miseries of a comfortless inn, however, there is none greater than sulky attendance: the good Count for some time bore the smoke in silence, rather than address himself to the scowling servantmaid.At length he was compelled to beg for drier firewood."
"女仆低声抱怨着去了。不一会儿，她手里抱着干柴，匆匆走进来，但是不小心脚下一滑跌倒了，头磕在椅子角上，鬓角伤得很重。这一碰使她昏迷了一会儿，伤口流了许多血。当她醒过来时，发现伯爵的女儿正在用自己的手帕给她包扎伤口。这是任何一个有正常感情的女人都会做的事，但也许是正俯身照顾她的可爱女孩的容貌，或者是说话的声调，触动了女仆的心。从没有这样的人照顾过她。就这样，女仆被深深地感动了。她抓起这位波兰小姐娇嫩的手，放在嘴边热烈地吻着：","The woman retired muttering.On reentering the room hastily, with an armful of fagots, her foot slipped; she fell, and striking her head against the corner of a chair, cut her temple severely.The blow stunned her for a time, and the wound bled profusely.When she recovered, she found the Count’s daughter administering to her wound, and binding it up with her own handkerchief.It was such an attention as any woman of ordinary feeling would have yielded; but perhaps there was something in the appearance of the lovely being who bent over her, or in the tones of her voice, that touched the heart of the woman, unused to be ministered to by such hands.Certain it is, she was strongly affected.She caught the delicate hand of the Polonaise, and pressed it fervently to her lips:"
"“小姐，愿圣弗兰西斯保佑你!”她说。","“May San Francesco watch over you, signora!” exclaimed she."
