"矮小考古家的奇遇","The Adventure of the Little Antiquary"
"作者：华盛顿·欧文","by Washington Irving"
"我的博士朋友是一个地地道道的考古学家：他身材矮小、头脑迂腐、思想陈旧，喜欢在废墟中摸索。他喜欢建筑就像你们英国人喜爱奶酪一样，建筑越是过时破旧，越是让他中意。一座无名古庙的残骸，或是一座倒塌圆形剧场的断壁残垣，都会让他欣喜若狂。他对这些古代建筑的断瓦残砖的喜爱，远远超过最好的、现代化的大厦。","My friend the doctor was a thorough antiquary: a little, rusty, musty old fellow, always groping among ruins.He relished a building as you Englishmen relish a cheese, the more mouldy and crumbling it was, the more it was to his taste.A shell of an old nameless temple, or the cracked walls of a broken-down amphitheatre, would throw him into raptures; and he took more delight in these crusts and cheese parings of antiquity than in the best-conditioned, modern edifice."
"他脑子里曾一度充满探寻贝拉斯基人古城的奇思怪想。据说这些古城至今还留存在阿布鲁齐山中，但奇怪的是，这些古城的现状并不为考古家们所知。据说，他作了大量的珍贵笔记和相关记录。他总是随身携带这些东西，也许是为了随时参考，也许是因为他害怕这些宝贵资料可能落入同行业的考古家手里。因此，他在衣服后面缝了一个大口袋，把所有资料都装在里面，这样他走路时口袋就会碰到他的屁股。","He had taken a maggot into his brain at one time to hunt after the Ancient cities of the Pelasgi which are said to exist to this day among the mountains of the Abruzzi; but the condition of which is strangely unknown to the antiquaries.It is said that he had made a great many valuable notes and memorandums on the subject, which he always carried about with him, either for the purpose of frequent reference, or because he feared the precious documents might fall into the hands of brother antiquaries.He had therefore a large pocket behind, in which he carried them, banging against his rear as he walked."
"然而，在调研工作期间，他碰巧在泰拉奇纳住过几日。有一天，他爬上悬于城镇上方的岩石峭壁，去探究西奥多里城堡。太阳快要落山时，他还在废墟中探索，陷在沉思中——无疑他的心思还在想着哥特人和罗马人。这时他听到身后有脚步声。","Be this as it may; happening to pass a few days at Terracina, in the course of his researches, he one day mounted the rocky cliffs which overhang the town, to visit the castle of Theodoric.He was groping about these ruins, towards the hour of sunset, buried in his reflections,—his wits no doubt wool-gathering among the Goths and Romans, when he heard footsteps behind him."
"他转过身，看见五六个青年，举止粗鲁、衣装古怪，既像农民又像猎人，手里拿着燧发枪。看到他们的神情和装扮，他知道自己肯定落入这群人手里了。","He turned and beheld five or six young fellows, of rough, saucy demeanor, clad in a singular manner, half peasant, half huntsman, with fusils in their hands.Their whole appearance and carriage left him in no doubt into what company he had fallen."
"博士是个矮小体弱之人，长相穷酸，口袋更穷。他兜里几乎没什么钱，但身上有些值钱的东西，比如一块老银表，厚得像萝卜，表盘上的数字大得跟钟里面的一样，表链是钢的，一头是一串印章，长得几乎到膝盖。这些都是祖传的珍贵遗物。他还有个印章戒指，是个真正的阴文古董，遮住了他一半指节。但他最重视的是关于贝拉斯基族古城的宝贵笔记。为了确保他放在泰拉奇纳箱底的这些资料的安全，他情愿交出口袋里所有的钱。","The doctor was a feeble little man poor, in look and poorer in purse.He had but little money in his pocket; but he had certain valuables, such as an old silver watch, thick as a turnip, with figures on it large enough for a clock, and a set of seals at the end of a steel chain, that dangled half down to his knees; all which were of precious esteem, being family reliques.He had also a seal ring, a veritable antique intaglio, that covered half his knuckles; but what he most valued was, the precious treatise on the Pelasgian cities, which, he would gladly have given all the money in his pocket to have had safe at the bottom of his trunk in Terracina."
"然而，他还是鼓起勇气，至少尽可能地鼓起勇气，即便风光得意的时候，他也只不过是一个弱小的矮老头。于是他向猎人们问好：“早上好。”他们回敬了他的问候，亲热地在这位老绅士的背上拍了一下，这把他吓得心都跳到了嗓子眼里。","However, he plucked up a stout heart; at least as stout a heart as he could, seeing that he was but a puny little man at the best of times.So he wished the hunters a “buon giorno.”They returned his salutation, giving the old gentleman a sociable slap on the back that made his heart leap into his throat."
"他们交谈了起来，在山上一起走了一会儿。博士情愿他们是走在维苏威火山山口。后来，他们来到了山上的一个小酒店，小伙子们提议进去一同喝杯酒。博士虽然答应了，但却像是被邀请去喝毒药一样。","They fell into conversation, and walked for some time together among the heights, the doctor wishing them all the while at the bottom of the crater of Vesuvius.At length they came to a small osteria on the mountain, where they proposed to enter and have a cup of wine together.The doctor consented; though he would as soon have been invited to drink hemlock."
"他们中的一个人留在门口放哨，其他人大摇大摆走进房子，把枪放在房间一角，每人都拔出腰间的手枪或匕首，搁放在桌子上。接着他们使劲地喊着要酒，拽出桌子周围的椅子，招呼博士，仿佛他是一位多年的好友，坚持要他坐下，尽情欢乐。他强迫自己做了个鬼脸，但却害怕得发抖，不安地坐在椅子边上，可怜巴巴地望着黑套子包着的手枪以及冒着寒光的无鞘匕首，感觉喝下去的每一滴酒都在燃烧。他们拼命把酒推到他面前，竭力劝他喝酒，又唱又笑地讲述着抢劫打架的精彩故事。矮小的博士听着那些杀人的乐事，不得不强颜欢笑，其实早已吓得魂飞魄散。","One of the gang remained sentinel at the door; the others swaggered into the house; stood their fusils in a corner of the room; and each drawing a pistol or stiletto out of his belt, laid it, with some emphasis, on the table.They now called lustily for wine; drew benches round the table, and hailing the doctor as though he had been a boon companion of long standing, insisted upon his sitting down and making merry.He complied with forced grimace, but with fear and trembling; sitting on the edge of his bench; supping down heartburn with every drop of liquor; eyeing ruefully the black muzzled pistols, and cold, naked stilettos.They pushed the bottle bravely, and plied him vigorously; sang, laughed, told excellent stories of robberies and combats, and the little doctor was fain to laugh at these cut-throat pleasantries, though his heart was dying away at the very bottom of his bosom."
"据他们自己说，他们是村子里的青年，最近从事这个行当只是出于年轻人的野性。他们谈论自己的英勇行为就如同一位运动员谈论他的娱乐活动一样。对他们而言，打死一个旅客并不比打死一只野兔更具意义。他们兴高采烈地谈论着光荣的流浪生活，像飞鸟一样自由，今天飞来，明天飞走，在森林里遨游，爬山涉谷。只要他们能控制的地方就是他们的世界，有着大把的金钱、愉快的伙伴、漂亮的女人。矮小的考古家被他们的谈话和不断的劝酒弄得有点儿晕头转向。他几乎忘记了他的恐惧、他的印章戒指、他的祖传银表，甚至关于贝拉斯基族古城的笔记，在他的身下被暖得发热，在他们天花乱坠的交谈中，一度被淡忘了。他言明他对山中强盗盛行不再感到惊奇了。因为现在他觉得，如果自己也是个年轻人，而且身体强壮，为了逃避当苦工的危险，他也会想当强盗。","By their own account they were young men from the villages, who had recently taken up this line of life in the mere wild caprice of youth.They talked of their exploits as a sportsman talks of his amusements.To shoot down a traveller seemed of little more consequence to them than to shoot a hare.They spoke with rapture of the glorious roving life they led; free as birds; here to-day, gone to-morrow; ranging the forests, climbing the rocks, scouring the valleys; the world their own wherever they could lay hold of it; full purses, merry companions; pretty women.The little antiquary got fuddled with their talk and their wine, for they did not spare bumpers.He half forgot his fears, his seal ring, and his family watch; even the treatise on the Pelasgian cities which was warming under him, for a time faded from his memory, in the glowing picture which they drew.He declares that he no longer wonders at the prevalence of this robber mania among the mountains; for he felt at the time, that had he been a young man and a strong man, and had there been no danger of the galleys in the background, he should have been half tempted himself to turn bandit."
