"英国还是男人的国家吗","Is England Still a Man’s Country"
"作者：D. H. 劳伦斯","by D. H. Lawrence"
"他们，即男人，英国男人，起床后会问英国是否还是男人的国家。唯一的答案是：只要还有一个男人在，英国就是男人的国家。是什么造就了男人的国家，你想过吗？是陆上的风景、酒吧的数目、工资的水准，还是靴子的尺寸？还是女人对男人的臣服：我愿意为您效劳，我的夫君大人？——如果英国的男人自己觉得英国已经不再是男人的国家了——不久之前英国显然就不是了——那它就确实不是了。如果它不是男人的国家，那它到底是什么？","They, that is men, Englishmen, get up and ask if England is still a man’s country.The only answer is, it would be if there were any men in it.For what makes a man’s country, do you imagine?Is it the landscape, or the number of pubs, or the rate of wages, or the size of boots?Is it the fact that the women say: I obey you, my lord?—If the men of England feel that England is no longer a man’s country—for apparently it was so not very long ago—then it isn’t.And if it isn’t a man’s country, then what in heaven’s name is it?"
"男人们会说，英国是女人的国家。女人们听了会马上反驳：我不这么认为！——看来英国不属于任何人。可怜的英国！男人们说，英国不再是男人的国家，它已经落入了女人们的手中。女人们轻蔑地大声叫道：绝对没有！她们继而表示，如果英国是女人的国家，那么它将会是一个截然不同的地方。啊呀，它会完全变个样。老英国夹在男人和女人之间，揉揉眼睛，说道：我在哪里？我是什么？我真的是我吗？简单地说，我存在吗？——从未有一个男人或女人费心作答，他们都忙于相互指责。","The men will say, it’s a woman’s country.The women will immediately reply: I don’t think!—And so it’s nobody’s country.Poor England!The men say it’s no longer a man’s country, it has fallen into the hands of the women.The women give a shout of scorn, and say Not half!—and proceed to demonstrate that England would be a very different place if it were a woman’s country—my word, a changed shop altogether.And between the two of them, men and women, Old England rubs her eyes and says: Where am I?What am I?Am I at all?In short, do I exist?—And there’s never a man nor a woman takes the trouble to answer, they’re all so busy blaming one another."
"如果英国不是男人的国家，那么，它也不是女人的国家。这是显而易见的。过去造就英国的不是女人。今天，治理英国的也不是女人，尽管她们的声音占据了电话通话时间的十分之九。今天，无论在哪儿，都有女人们的身影。她们总是尖声说话。听到的是女人，看到的还是女人。这是不可否认的。这似乎令男人们心烦。相当心烦！但这并不证明，女人拥有英国并治理着英国。她们没有。总的来说，女人们从事的是相当低等的工作，她们用饰有花卉图案的巴里纱、薄绸长袜和多种优雅的风姿来装饰这些工作。此外，她们还爱抽男人的香烟。那又怎样？难道她们是一群鸬鹚，在吱吱叫的银鸥般的男人眼皮底下，大口大口地将英国吞没？男人们羡慕女人们这些相当低等的工作吗？或者他们羡慕的是女人们用以装饰工作的饰有花卉图案的巴里纱衣和薄绸长袜？又或者他们羡慕的是女人们优雅的风姿或香烟？——英国已经不再是男人的国家了！","If England is not a man’s country, it isn’t a woman’s country either.That’s obvious.Women didn’t make England.And women don’t run England today, in spite of the fact that nine-tenths of the voices on the telephone are female voices.Women today, wherever they are, show up.And they pipe up.They are heard and they are seen.No denying it.And it seems to get on the men’s nerves.Quite!But that doesn’t prove that the women own England and run England.They don’t.They occupy, on the whole, rather inferior jobs, which they embellish with flowered voile and chiffon stocking and a number of airs and graces, and they are apt to be a drain on a man’s cigarettes.What then?Is this the cormorant devouring England, gobbling it up under the eyes of the squeaking herring-gulls of men?Do the men envy the women these rather inferior jobs?Or do they envy them the flowered voile and chiffon stockings which decorate the jobs?Or is it the airs and graces they begrudge them, or the cigarettes?—that England is no more a man’s country!"
"“当父母将我抛弃，上帝会把我捡起。”我想这便是可怜的老英国现下的感受吧。男人们肯定已经抛弃了它。他们假装女人们篡夺了国土，所以自己就无需再承担什么责任了。这对男人们来说真是舒坦。既轻松，又美好，又舒坦。这正是今天的男人所需要的。不承担任何责任。","“When my father and my mother forsake me, then the Lord will take me up.”I suppose that’s how poor old England feels today.The men have certainly forsaken her.They pretend the women have usurped the land, so the men need do no more about it.Which is very comfortable for the men.Very soft and nice and comfortable.Which is what the men of today want.No responsibility."
"轻松、美好、舒坦！轻松的工作、美好的妻子、舒坦的家——今天的英国就应该是这个样子。如果你表明，要造就一个真正的英国，或许还有更多的事要做，那么英国的男人会相当惊讶。他们会说，除了轻松、美好、舒坦，英国还能怎么样？——然后，他们会责备女人们多么冷酷、多么不和善、多么令人不舒坦，他们责备的还有女人们篡夺英国的行径。","Soft and nice and comfortable!Soft jobs, nice wives, comfortable homes—that is supposed to be England today.And Englishmen are quite startled if you suggest that it might require more to make a real England—What more could England be, they say, than soft and nice and comfortable?—And then they blame the women for being hard and unkind and uncomfortable, and usurping England."
"我们听说，英国向来是一个勇于战斗的国家，但绝不是一个军事国家。这都是陈词滥调了。但话却说得似乎没错。英国男人不喜欢被指使、受欺侮。因此，英国男人不喜欢当陆军或海军，因为当了军人，他便要被人指使、受人欺侮。当他感到有什么东西或什么人要来指使他、欺侮他时，他便会起身，准备将自己的拳头砸向对方的眼睛。这是真正的男子汉精神，唯有这样的精神，才能将一个国家造就成男人的国家。","England, we are told, has always been a fighting country, though never a military country.That is a cliché.But it seems true.The Englishman hated being bossed or bullied.So he hated being a soldier or a marine, because as such he was bossed and bullied.And when he felt anything or anybody coming to boss him and bully him, he got up prepared to plant his fist in the eye of the boss and bully.Which is a real man’s spirit, and the only spirit that makes a country a man’s country."
"可如今，哎呀，一切都变了。英国男人只想过得轻松、美好、舒坦，却不愿意肩负真正的责任，甚至不愿为自身的自由和独立负任何责任。他已获得了一切他能掌控的政治自由，所以就对此毫不在乎了。即使这一先辈们努力争取才得来的政治自由被再次剥夺了，他也不会介意。他获得了政治自由，所以就对此毫不关心了。这样做终究有点可鄙。","Nowadays, alas, a change has come over all that.The Englishman only wants to be soft and nice and comfortable, and to have no real responsibility, not even for his own freedom and independence.He’s got all the political freedom he can manage, and so he cares nothing about it.He even won’t mind if it’s taken from him again, after his forefathers fought so hard for it.He’s got political freedom, so he cares nothing about it.Which is a bit despicable, after all."
"他获得了政治自由，但还没有获得经济自由。这就是困难所在。现代男人觉得这样不对。他认为自己应该有一份收入。父母应该留给他一份让他足以自立于世的收入，如果没有，他便会埋怨父母一辈子。更糟糕的是，他不得不工作。","He’s got political freedom, but he hasn’t got economical freedom.There’s the rub.And the modern man feels it’s not right.He feels he ought to have an income.A man’s parents ought to leave him a sufficient independent income, and if they don’t, he bears them a lifelong grudge.And worse still, he has to do a job."
"眼下，这几乎是每个英国男人都要遭受的灾难——他不得不工作。他就像被判了刑，不得不工作，一辈子每天从早到晚地工作。要想脱身是绝不可能的。极少有男人能够继承一笔财产，或者通过婚姻得到一笔财富。工作！——这是绝对无法避免的。工作会指使人、欺侮人。它不仅繁重，而且单调乏味。工作！今天，男人们暗自默默地痛恨工作。他们把工作推给女人们。然后，他们大声地公然辱骂女人们抢了他们的工作。他们还问，英国是男人的国家吗？或者它只是一场可恶的女人们的表演？","Now this is the disaster that has happened to almost every Englishman—he’s got to do a job.All day long and every day, all his life, he is condemned to a job.There’s no getting away from it.Very few men can inherit a fortune or marry a fortune.A job!—that is the great inevitable.That is the boss and the bully.That is the tread-mill.The job!Men secretly and silently hate the job, today.They push it over to the women.Then they loudly and openly abuse the women for having taken it.And they ask, Is England a man’s county?Or is it nothing but a dog-gone women’s show?"
