"生病的矿工","A Sick Collier"
"作者：D. H. 劳伦斯","by D. H. Lawrence"
"人人都说他配不上她，但她仍不后悔嫁给他。他十九岁就开始追求她，那时她二十岁。他就是人们常说的那种紧实的小个子。他身材矮小，皮肤黝黑，脸色健康，总是一副昂首挺胸的样子，招摇的举止让人想到寻偶的鸟儿——浑身都充满着活力。他工作卖力，在矿上的收入很高，加上家境也不错，所以攒下了一点钱。","She was too good for him, everybody said.Yet still she did not regret marrying him.He had come courting her when he was only nineteen, and she twenty.He was in build what they call a tight little fellow; short, dark, with a warm colour, and that upright set of the head and chest, that flaunting way in movement recalling a mating bird, which denotes a body taut and compact with life.Being a good worker he had earned decent money in the mine, and having a good home had saved a little."
"她本是“高地”的厨子，又高又漂亮的一个姑娘，而且非常文静。一看见她走在街上，霍斯普尔就会远远地跟着——他被她迷住了。他不喝酒，人也挺勤快。虽然看上去有点傻，不太机灵，但他总有一股子活力。于是经过一番考虑，她还是接受了她。","She was a cook at “Uplands”, a tall, fair girl, very quiet.Having seen her walk down the street, Horsepool had followed her from a distance. He was taken with her, he did not drink, and he was not lazy.So, although he seemed a bit simple, without much intelligence, but having a sort of physical brightness, she considered, and accepted him."
"婚后，他们一起布置了位于斯卡吉尔街上的新家，然后搬进了这幢体面的六居室房子。这条街坐落在一条又长又陡的山坡上。街道很窄，就像一条地道。然而，街尾却与一片牧场相连，更远一些是一条布满田野和森林的大峡谷，煤矿就隐没在峡谷底部。","When they were married they went to live in Scargill Street, in a highly respectable six-roomed house which they had furnished between them.The street was built up the side of a long, steep hill.It was narrow and rather tunnel-like.Nevertheless, the back looked out over the adjoining pasture, across a wide valley of fields and woods, in the bottom of which the mine lay snugly."
"威利在家就像个乡下老头一样威风。她对矿工的生活方式并不熟悉。他们在某个星期六结婚了。","He made himself gaffer in his own house.She was unacquainted with a collier’s mode of life.They were married on a Saturday."
"星期天晚上，他就对她说：“给我准备好早饭放餐桌上，把我下井用的东西放火炉前。”我明早五点半起床。你想啥时候起床，就啥时候起床。”","On the Sunday night he said: “Set th’ table for my breakfast, an’ put my pit-things afront o’ th’ fire.I s’ll be gettin’ up at ha’ef pas’ five.Tha nedna shift thysen not till when ter likes.”"
"他教她怎样把报纸铺在桌上当桌布。","He showed her how to put a newspaper on the table for a cloth."
"见她疑惑不解，他说：“我早晨不用你那些白桌布，这样的话我想随便一点，也不用担心弄脏桌布了。”","When she demurred, “I want none o’ your white cloths i’ th’ mornin’.I like ter be able to slobber if I feel like it,” he said."
"他把厚毛头工装裤、干净汗衫（厚绒背心）、长袜以及下井穿的靴子都整理好，放在炉火前烘干，以便第二天清早穿。","He put before the fire his moleskin trousers, a clean singlet, or sleeveless vest of thick flannel, a pair of stockings and his pit boots, arranging them all to be warm and ready for morning."
"“你都看到了，这些事情都得在每天晚上做好。”","“Now tha sees.That wants doin’ ivery night.”"
"第二天早上五点半，他准时出门，没做任何形式的告别，穿上衬衣就下了楼。","Punctually at half past five he left her, without any form of leave-taking, going downstairs in his shirt."
"他下午四点回到家时，晚餐已经准备好了，只等着上菜了。他走进屋里，那矮小壮实的身板，加上一张黑得难以形容的脸，还抹得一道一道的，真把她吓了一跳。她穿着白色的上衣，系着白围裙，站在火炉前，好一个漂亮的姑娘，宛如一幅美丽洁净的画。他穿着大皮靴“扑通扑通”地走了进来。","When he arrived home at four o’clock in the afternoon his dinner was ready to be dished up.She was startled when he came in, a short, sturdy figure, with a face indescribably black and streaked.She stood before the fire in her white blouse and white apron, a fair girl, the picture of beautiful cleanliness.He “clommaxed” in, in his heavy boots."
"“今天过得怎么样？”他问道。","“Well, how ’as ter gone on?” he asked."
"“我正等你回来。”她温柔地答道。他看着她，黝黑的脸上那对棕色眼睛里的眼白在闪闪发光。","“I was ready for you to come home,” she replied tenderly.In his black face the whites of his brown eyes flashed at her."
"“我也想着回家呢。”他边说边把锡水壶、干粮袋放在碗柜上，然后脱下外套和背心，取下围巾，把自己的扶手椅往火炉边拉了拉，坐了下来。","“An’ I wor ready for comin’,” he said. He planked his tin bottle and snap-bag on the dresser, took off his coat and scarf and waistcoat, dragged his arm-chair nearer the fire and sat down."
"“吃饭吧，我都饿扁了。”他说。","“Let’s ha’e a bit o’ dinner, then—I’m about clammed,” he said."
"“你不先洗洗？”","“Aren’t you goin’ to wash yourself first?”"
"“干嘛要先洗洗？”","“What am I to wesh mysen for?”"
"“你不能就这样吃吧……”","“Well, you can’t eat your dinner—”"
"“噢，这不多此一举嘛，老婆。在井下我不是也没洗就吃了吗？没办法呀。”","“Oh, strike a daisy, Missis!Dunna I eat my snap i’ th’ pit wi’out weshin’?—forced to.”"
