"英格兰，我的英格兰","England, My England"
"作者：D. H. 劳伦斯","by D. H. Lawrence"
"他正在小溪那边的公地边上干活。这条小溪沿着花园尽头的凹地流淌，把花园的小径从木板桥一直引向了公地。他砍掉了高矮不一的草皮和欧洲蕨，露出灰色的、有点干的泥土。但他无法把这条小径弄直，所以很担心，还皱起了眉头。他已经竖立起了树枝，并在大棵的松树之间瞄了多次，但是不知是什么原因，一切看起来都不对。他又看了一次，睁大他那双敏锐的蓝眼睛，眼里带着一丝北欧海盗的神情。就像透过一扇门一样，透过郁郁葱葱的松树，他看到长满绿草的花园小径从圆木桥旁边的桤木的树阴下向上延伸，直到阳光照耀下的花朵那里。在一片荒野上丛花盛开，其间蜷伏着高大的白紫色耧斗菜和古老的汉普郡小屋的一角。","He was working on the edge of the common, beyond the small brook that ran in the dip at the bottom of the garden, carrying the garden path in continuation from the plank bridge on to the common.He had cut the rough turf and bracken, leaving the grey, dryish soil bare.But he was worried because he could not get the path straight, there was a pleat between his brows.He had set up his sticks, and taken the sights between the big pine trees, but for some reason everything seemed wrong.He looked again, straining his keen blue eyes, that had a touch of the Viking in them, through the shadowy pine trees as through a doorway, at the green-grassed garden-path rising from the shadow of alders by the log bridge up to the sunlit flowers.Tall white and purple columbines, and the butt-end of the old Hampshire cottage that crouched near the earth amid flowers, blossoming in the bit of shaggy wildness round about."
"那边有小孩叫喊声和说话声。是那种高亢而稚气的女孩的声音。只听她带着一点教训的口气，盛气凌人地说：“如果你不快点过来，保姆，我就要跑出去，到有蛇的地方去。”没有人会无动于衷地回答说“那就跑吧，小傻瓜”。人们总会说“不，亲爱的。很好，亲爱的。等一会儿，亲爱的。亲爱的，你必须耐心点”。","There was a sound of children’s voices calling and talking: high, childish, girlish voices, slightly didactic and tinged with domineering: ‘If you don’t come quick, nurse, I shall run out there to where there are snakes.’And nobody had the sangfroid to reply: ‘Run then, little fool.’It was always, ‘No, darling.Very well, darling.In a moment, darling.Darling, you must be patient.’"
"他的心忍受着幻想破灭的痛苦：一种持续的折磨和煎熬。但他继续干活。除了屈服，他还能做什么！","His heart was hard with disillusion: a continual gnawing and resistance.But he worked on.What was there to do but submit!"
"阳光照耀在大地上，植被鲜艳如火，与原始、寂静的公地彻底隔绝开来。很奇怪原始的英格兰是如何一小块一小块地留存下来的：在这里,它留存在这些粗糙蓬松的荆豆公地中,留存在南部丘陵脚下那群蛇聚集的沼泽地里。这地方的精神保留着原始的风格，就像很久以前撒克逊人来的时候那样。","The sunlight blazed down upon the earth, there was a vividness of flamy vegetation, of fierce seclusion amid the savage peace of the commons.Strange how the savage England lingers in patches: as here, amid these shaggy gorse commons, and marshy, snake infested places near the foot of the south downs.The spirit of place lingering on primeval, as when the Saxons came, so long ago."
"啊，他是多么爱它啊！绿色的花园小径、一簇簇花朵、白紫相间的耧斗菜、长着黑萼的大朵东方红罂粟，还有高大的黄色毛蕊花——这个色彩绚烂的花园在一千年前就已经是花园了，它屹立在这块小洼地里，周围则是群蛇聚集的公地。他用篱笆和树木把花园围成了一只阳光灿烂的“杯子”，还在园里种满了绚丽的花朵。这是多么古老，多么古老的一个地方！而今，他已赋予了它新的生命。","Ah, how he had loved it!The green garden path, the tufts of flowers, purple and white columbines, and great oriental red poppies with their black chaps and mulleins tall and yellow, this flamy garden which had been a garden for a thousand years, scooped out in the little hollow among the snake-infested commons.He had made it flame with flowers, in a sun cup under its hedges and trees.So old, so old a place!And yet he had re-created it."
"那些带着倾斜的斗篷状屋顶的木屋已经老旧，早已被人遗忘。它属于古英格兰的小村庄和自耕农。它被孤零零地遗忘在公地的边缘，遗忘在在这条宽阔的、杂草丛生的、橡树遮蔽的荆棘小路的尽头。它对当今的世界一无所知。直到埃格伯特带着他的新娘来到这里，它才重现生机。他逐渐在这里种满了花。","The timbered cottage with its sloping, cloak-like roof was old and forgotten.It belonged to the old England of hamlets and yeomen.Lost all alone on the edge of the common, at the end of a wide, grassy, briar-entangled lane shaded with oak, it had never known the world of today.Not till Egbert came with his bride.And he had come to fill it with flowers."
"屋子很古老、很不舒适。但他不想改变它。啊，到了晚上，当风从头顶呼啸而过，当他亲自砍伐的木材在壁炉里噼啪作响的时候，坐在那宽大而古老的黑壁炉旁边，是多么的美妙啊！他自己坐在角落的一边，威妮弗雷德坐在另一边。","The house was ancient and very uncomfortable.But he did not want to alter it.Ah, marvellous to sit there in the wide, black, time-old chimney, at night when the wind roared overhead, and the wood which he had chopped himself sputtered on the hearth!Himself on one side the angle, and Winifred on the other."
"啊，他多么需要她——威妮弗雷德！她年轻、漂亮、充满活力，像旭日的光芒。她举手投足间充满活力、风度优雅，像一丛开满红花的灌木在翩翩起舞。她似乎也来自古老的英格兰，红润、强健，一丝天然的沉静中透着激情，像山楂树一般坚实。而他，身材高大、体形修长、动作敏捷，有着长而灵巧的双腿和优雅的举止，像一个英格兰弓箭手。她的头发是栗色的，全都呈现出丰盈有力的卷曲状。她的眼睛也是栗色的，和知更鸟的眼睛一样明亮。他皮肤白皙，头发纤细、柔顺，发色比金色略深。他的鼻子微微勾起，带着古老的乡村家族的特征。他们是漂亮的一对。","Ah, how he had wanted her: Winifred!She was young and beautiful and strong with life, like a flame in sunshine.She moved with a slow grace of energy like a blossoming, red-flowered bush in motion.She, too, seemed to come out of the old England, ruddy, strong, with a certain crude, passionate quiescence and a hawthorn robustness.And he, he was tall and slim and agile, like an English archer with his long supple legs and fine movements.Her hair was nut-brown and all in energic curls and tendrils.Her eyes were nut-brown, too, like a robin’s for brightness.And he was white-skinned with fine, silky hair that had darkened from fair, and a slightly arched nose of an old country family.They were a beautiful couple."
"房子是威妮弗雷德的。她父亲也是一个充满活力的人。他家境贫苦，来自北方。现在，他还算得上富裕。他在汉普郡买下了这一大块地，而且花费不多。在这个几乎无人到访的乡村小教堂的不远处，矗立着他的房子。这是一栋宽敞而古老的农舍。房子在路后面，和路之间隔着一块光秃秃的草地。在这个四方院落的一边，是长长的谷仓，或者说是棚子，他已经把它改建成了一间小屋，让小女儿普里西拉居住。在长长的窗户上，你会看见蓝白相间的小方格窗帘。进了屋，抬头就能看到尖顶上用的大块的老木料。这是普里西拉的屋子。五十码开外，有栋漂亮小巧的新屋子，是他为女儿玛格黛伦修建的，它的菜园一直延伸到橡树林。远处，在庭园的草坪和玫瑰树丛外边，有一条小径。它穿过一片野草丛生的空地，朝堤岸上高耸的黑松树岭的方向延伸，再穿过这片松树，越过一片倾斜的小泥地，穿过宽大、寂寥的橡树林，一直通到威妮弗雷德的小屋。这座猛然出现在路前的小屋是如此的孤独，如此的简陋。那是威妮弗雷德自己的房子。花园、那块公地，还有泥泞的斜坡都是她的：她的小领地。差不多在战争爆发十年前，她父亲买下了这块房产。她就是在那时结了婚。所以她才能在与埃格伯特结婚时用这块地当结婚嫁妆。谁更高兴，是他还是她，就难说了。她当时只有二十岁，而他只有二十一岁。他自己每年有一百五十英镑——还有着可观的个人魅力，此外，他便一无所有。他没有职业：他没有薪水。但他谈论文学和音乐。他酷爱古老的民间音乐，还爱收集民间歌曲和舞蹈，热衷于研究莫里斯舞和古老的风俗。当然，他迟早会在这些方面挣钱的。","The house was Winifred’s.Her father was a man of energy, too.He had come from the north poor.Now he was moderately rich.He had bought this fair stretch of inexpensive land, down in Hampshire.Not far from the tiny church of the almost extinct hamlet stood his own house, a commodious old farmhouse standing back from the road across a bare grassed yard.On one side of this quadrangle was the long, long barn or shed which he had made into a cottage for his youngest daughter Priscilla.One saw little blue-and-white check curtains at the long windows, and inside, overhead, the grand old timbers of the high-pitched shed.This was Prissy’s house.Fifty yards away was the pretty little new cottage which he had built for his daughter Magdalen, with the vegetable garden stretching away to the oak copse.And then away beyond the lawns and rose trees of the house-garden went the track across a shaggy, wild grass space, towards the ridge of tall black pines that grew on a dyke-bank, through the pines and above the sloping little bog, under the wide, desolate oak trees, till there was Winifred’s cottage crouching unexpectedly in front, so much alone, and so primitive.It was Winifred’s own house, and the gardens and the bit of common and the boggy slope were hers: her tiny domain.She had married just at the time when her father had bought the estate, about ten years before the war, so she had been able to come to Egbert with this for a marriage portion.And who was more delighted, he or she, it would be hard to say.She was only twenty at the time, and he was only twenty-one.He had about a hundred and fifty pounds a year of his own—and nothing else but his very considerable personal attractions.He had no profession: he earned nothing.But he talked of literature and music, he had a passion for old folk-music, collecting folk-songs and folk-dances, studying the Morris-dance and the old customs.Of course in time he would make money in these ways."
