"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"致爱丁堡坎农格特30号，工程师F. R.斯塔尔先生。","To Mr. F. R. Starr, Engineer, 30 Canongate, Edinburgh."
"倘若詹姆斯·斯塔尔先生愿于明日光临阿伯福伊尔矿区多查特矿的亚罗矿井，他将获悉一则令他感兴趣的信息。","If Mr. James Starr will come to-morrow to the Aberfoyle coal-mines, Dochart pit, Yarrow shaft, a communication of an interesting nature will be made to him."
"“前任工头西蒙·福特之子哈里·福特，将在卡伦德站全天恭候詹姆斯·斯塔尔先生。”","“Mr. James Starr will be awaited for, the whole day, at the Callander station, by Harry Ford, son of the old overman Simon Ford.”"
"“请他务必对此邀请保密。”","“He is requested to keep this invitation secret.”"
"这是詹姆斯·斯塔尔在一八几几年十二月三日首次取信时收到的信件，信封上盖有苏格兰斯特林郡阿伯福伊尔邮局的邮戳。","Such was the letter which James Starr received by the first post, on the 3rd December, 18—, the letter bearing the Aberfoyle postmark, county of Stirling, Scotland."
"工程师的好奇心被激发至顶点。他从未怀疑过这封信是否是个骗局。他和西蒙·福特这位阿伯福伊尔煤矿前任工头相识多年，詹姆斯·斯塔尔曾担任该矿经理二十年，按英格兰矿业的说法，他这个职位应该叫做“监工”。詹姆斯·斯塔尔身强体壮，五十五岁的他看上去与四十岁的人没多少差别。他来自爱丁堡一个古老的家族，是这个家族里最优秀的成员之一。他的努力为整个工程师团队带来了荣誉，他们正逐渐毁灭联合王国的含炭层底土，既包括苏格兰南部各郡，也包括加的夫和纽卡斯尔。然而，在阿伯福伊尔煤矿与阿洛厄煤矿的毗邻之处，在那占据着斯特林郡一部分的神秘煤矿的深处，斯塔尔才最负盛名。在那儿，他度过了人生大部分时光。此外，詹姆斯·斯塔尔是苏格兰古物协会的成员，曾被任命为协会主席。他也是皇家学会中最活跃的成员之一；《爱丁堡评论》经常刊登署有他名字的睿智文章。事实上，他是务实派中的一员，英格兰的繁荣与这些人紧密相关。他在苏格兰的古老首府爱丁堡身居高位。无论从物质方面抑或从道德方面来看，这座城市都绝对担得起“北部雅典”这一美誉。","The engineer’s curiosity was excited to the highest pitch.It never occurred to him to doubt whether this letter might not be a hoax.For many years he had known Simon Ford, one of the former foremen of the Aberfoyle mines, of which he, James Starr, had for twenty years, been the manager, or, as he would be termed in English coal-mines, the viewer.James Starr was a strongly-constituted man, on whom his fifty-five years weighed no more heavily than if they had been forty.He belonged to an old Edinburgh family, and was one of its most distinguished members.His labors did credit to the body of engineers who are gradually devouring the carboniferous subsoil of the United Kingdom, as much at Cardiff and Newcastle, as in the southern counties of Scotland.However, it was more particularly in the depths of the mysterious mines of Aberfoyle, which border on the Alloa mines and occupy part of the county of Stirling, that the name of Starr had acquired the greatest renown.There, the greater part of his existence had been passed.Besides this, James Starr belonged to the Scottish Antiquarian Society, of which he had been made president.He was also included amongst the most active members of the Royal Institution; and the Edinburgh Review frequently published clever articles signed by him.He was in fact one of those practical men to whom is due the prosperity of England.He held a high rank in the old capital of Scotland, which not only from a physical but also from a moral point of view, well deserves the name of the Northern Athens."
"我们知道英国人给他们广阔的煤矿地区赋予了一个意味深长的名号。他们非常恰当地称之为“黑印度”，而在联合王国惊人的财富聚敛过程中，黑印度所做出的贡献可能比东印度更大。","We know that the English have given to their vast extent of coal-mines a very significant name.They very justly call them the “Black Indies,” and these Indies have contributed perhaps even more than the Eastern Indies to swell the surprising wealth of the United Kingdom."
"在这个时期，根据专业人员的预计，煤矿枯竭还为时尚早，不必担心煤资源短缺。在南美洲和北美洲仍有广阔的煤矿可供开采。制造厂若要制造机车、汽船或建煤气厂等等，它们不可能因为矿产燃料短缺就停产，但是近些年来矿产资源消耗急剧增加，导致某些煤床连最细小的矿脉也被采竭殆尽了。这些煤矿如今已荒废，只剩下无用的矿井和被遗弃的水平巷道，将土地毁得千疮百孔。这正是阿伯福伊尔矿的情况。十年前，最后一个采煤工头从该煤矿里运走了最后一吨煤。井下作业设备、牵引机车、沿着水平巷道轨道行驶的车皮、地下电车轨道、矿井支架以及管道——总之，矿井的所有设备都被从井下搬了出来。被挖掘一空的煤矿就像一个大得惊人的庞然大物的躯体，它被掏空了所有的生命器官，只剩下了骨架。","At this period, the limit of time assigned by professional men for the exhaustion of coal-mines was far distant and there was no dread of scarcity.There were still extensive mines to be worked in the two Americas.The manu-factories, appropriated to so many different uses, locomotives, steamers, gas works, &c., were not likely to fail for want of the mineral fuel; but the consumption had so increased during the last few years, that certain beds had been exhausted even to their smallest veins.Now deserted, these mines perforated the ground with their useless shafts and forsaken galleries.This was exactly the case with the pits of Aberfoyle.Ten years before, the last butty had raised the last ton of coal from this colliery.The underground working stock, traction engines, trucks which run on rails along the galleries, subterranean tramways, frames to support the shaft, pipes—in short, all that constituted the machinery of a mine had been brought up from its depths.The exhausted mine was like the body of a huge fantastically-shaped mastodon, from which all the organs of life have been taken, and only the skeleton remains."
"什么都没留下，只剩下通向亚罗井的长木梯——这是目前进入多查特矿井下层水平巷道的唯一通道。地面上，以前用于遮盖露天设备的工棚仍旧标示着矿井以前的挖掘位置。现在这口井和其他井一样都被废弃了，它们共同构成了阿伯福伊尔煤矿的全貌。","Nothing was left but long wooden ladders, down the Yarrow shaft—the only one which now gave access to the lower galleries of the Dochart pit.Above ground, the sheds, formerly sheltering the outside works, still marked the spot where the shaft of that pit had been sunk, it being now abandoned, as were the other pits, of which the whole constituted the mines of Aberfoyle."
"那是令人伤感的一天。那天工人们最后一次离开煤矿——那个他们曾经生活多年的地方。工程师詹姆斯·斯塔尔将几百名工人召集起来。这是一群勤奋勇敢的煤矿工人。工头、司闸工、运煤工、清理工、填土工、泥瓦匠、铁匠、木匠、井上和井下的工人，以及妇女、孩子和老人，所有人都聚集在多查特矿井的大院子里；这里曾经堆满了开采出的煤。","It was a sad day, when for the last time the workmen quitted the mine, in which they had lived for so many years.The engineer, James Starr, had collected the hundreds of workmen which composed the active and courageous population of the mine.Overmen, brakemen, putters, wastemen, barrowmen, masons, smiths, carpenters, outside and inside laborers, women, children, and old men, all were collected in the great yard of the Dochart pit, formerly heaped with coal from the mine."
