"狮子、熊和狐狸","The Lion, the Bear, and the Fox "
"一头狮子和一头熊同时抓到了一只小山羊。他们都想将其据为己有,便凶猛地厮打了起来。经过长时间的苦斗，狮子和熊都损伤惨重，变得虚弱无力，最后精疲力竭地瘫倒在了地上。一只狐狸，在他们的远处已经来来回回地转悠好几次了。他看见狮子和熊都四肢摊开趴在地上，小山羊就放在他们中间，谁也没有触碰到。于是，狐狸冲到狮子和熊中间，叼起小山羊，以最快的速度逃之夭夭了。狮子和熊眼睁睁地看着狐狸这样做，可谁也无力起身，于是说道：“我们真是可悲啊，我们自相残杀，最后却让狐狸得了便宜。”","A Lion and a Bear seized a Kid at the same moment, and fought fiercely for its possession.When they had fearfully lacerated each other and were faint from the long combat, they lay down exhausted with fatigue.A Fox, who had gone round them at a distance several times, saw them both stretched on the ground with the Kid lying untouched in the middle.He ran in between them, seized the Kid and scampered off as fast as he could.The Lion and the Bear saw him, but not being able to get up, said, “Woe be to us, that we fought and belabored ourselves only to serve the turn of a Fox.”"
"鹬蚌相争，渔翁得利，这是常有的事。","It sometimes happens that one man has all the toil, and another all the profit."
"母鹿和狮子","The Doe and the Lion "
"一只母鹿为了躲避猎人的穷追不舍，躲进了狮子的洞穴。一看见母鹿跑过来，狮子便将自己隐藏了起来，等母鹿在洞穴里脱离险情之后，狮子便朝母鹿扑去，把它撕了个粉碎。“我真倒霉啊，”母鹿大叫道，“刚从猎人之手逃脱，不料却又将自己送入了野兽之口。”","A Doe hard pressed by hunters sought refuge in a cave belonging to a Lion.The Lion concealed himself on seeing her approach, but when she was safe within the cave, sprang upon her and tore her to pieces.“Woe is me,” exclaimed the Doe, “who have escaped from man, only to throw myself into the mouth of a wild beast.”"
"躲避一个灾祸时，一定要当心，不要陷入另一个灾祸。","In avoiding one evil, care must be taken not to fall into another."
"农夫和狐狸","The Farmer and the Fox "
"狐狸偷袭了农夫的家禽饲养场，农夫因此对狐狸怀恨在心，最终逮到了它。农夫决定好好报复它一番，便将浸泡了油的绳子系在狐狸的尾巴上，并点着了火。天意叵测，狐狸竟然冲向了刚抓它的这个农夫的田地里。此时正值小麦收获的时节，但是这一年农夫却颗粒无收，最后悲痛万分地回家了。","A Farmer, who bore a grudge against a Fox for robbing his poultry yard, caught him at last, and being determined to take an ample revenge, tied some rope well soaked in oil to his tail, and set it on fire.The Fox by a strange fatality rushed to the fields of the Farmer who had captured him.It was the time of the wheat harvest; but the Farmer reaped nothing that year and returned home grieving sorely."
"海鸥和鸢","The Seagull and the Kite "
"一只海鸥狼吞虎咽地吃下了一条很大的鱼，结果撑破了自己的肚子，躺在海岸边，奄奄一息。一只鸢看到这只海鸥，说道：“你真是自作孽啊，因为作为一只在空中翱翔的鸟，你就没有权利从海里觅食。”","A Seagull having bolted down too large a fish, burst its deep gullet-bag and lay down on the shore to die.A Kite saw him and exclaimed: “You richly deserve your fate; for a bird of the air has no business to seek its food from the sea.”"
"每个人都应该知足常乐、安分守己。","Every man should be content to mind his own business."
"哲学家、蚂蚁和墨丘利","The Philosopher, the Ants, and Mercury "
"一位哲学家在岸边目睹了一艘船失事，船上的所有船员和乘客都溺水死了。哲学家痛斥上帝的不公，说上帝只是因为一个罪犯或许在船上，就让这么多无辜的人丧生。当哲学家沉浸在这些思绪之中时，发现自己被一大群蚂蚁包围了；他当时站在蚁穴附近。其中一只蚂蚁爬到了哲学家身上，还叮了他一口，于是他立刻踩死了所有的蚂蚁。此时，众神的信使墨丘利现身了，用他的魔杖敲打了一下哲学家，说：“你真以为你自己可以评判上帝的行为吗？你自己不也是以同样的方式对待这些可怜的蚂蚁吗？”","A Philosopher witnessed from the shore the shipwreck of a vessel, of which the crew and passengers were all drowned.He inveighed against the injustice of Providence, which would for the sake of one criminal perchance sailing in the ship allow so many innocent persons to perish.As he was indulging in these reflections, he found himself surrounded by a whole army of Ants, near whose nest he was standing.One of them climbed up and stung him, and he immediately trampled them all to death with his foot.Mercury presented himself, and striking the Philosopher with his wand, said, “And are you indeed to make yourself a judge of the dealings of Providence, who hast thyself in a similar manner treated these poor Ants?”"
