"手稿中的魔鬼","The Devil in Manuscript"
"作者：纳撒尼尔·霍桑","by Nathaniel Hawthorne "
"一个腊月寒冬的晚上，我乘坐邮车来到了一个大城镇，当时我的一位知己就住在这个镇上。有些年轻人才华横溢，怡情于诗词歌赋和纯文学，却自称是法学学生，我的朋友就是这样一个人。晚饭后，我第一件事就是在他那位德高望重的导师的办公室里与他见面。就像我刚才说的那样，那晚寒气逼人，虽然星光明亮，却冷得像在新地岛——街边的橱窗覆盖了一层霜，几乎把橱窗里的灯光都遮住了；地面和石子铺的道路上都被冻得硬邦邦的，马车的车轮在上面驶过，发出同样响亮的轰隆声。无论是地面上还是屋顶上，都没有积雪。狂风肆虐，我不得不把我的斗篷扬起，犹如一面主帆；我坐的马车以每小时10海里的速度疾驰，过往的其他“领航员”无不艳羡万分；他们逆风缓慢前行，任狂风在他们的齿间横行。其中有辆车被我的马车撞翻了，但甚至还没等那车夫骂出声来，他的车就已经被风之翼刮跑了。","On a bitter evening of December, I arrived by mail in a large town, which was then the residence of an intimate friend, one of those gifted youths who cultivate poetry and the belles-lettres, and call themselves students at law.My first business, after supper, was to visit him at the office of his distinguished instructor.As I have said, it was a bitter night, clear starlight, but cold as Nova Zembla,—the shop-windows along the street being frosted, so as almost to hide the lights, while the wheels of coaches thundered equally loud over frozen earth and pavements of stone.There was no snow, either on the ground or the roofs of the houses.The wind blew so violently, that I had but to spread my cloak like a mainsail, and scud along the street at the rate of ten knots, greatly envied by other navigators, who were beating slowly up, with the gale right in their teeth.One of these I capsized, but was gone on the wings of the wind before he could even vociferate an oath."
"看过这幕寒夜景象之后，你再看我们坐在熊熊燃烧的火炉边；炉中的火焰看上去是那样温馨怡人，我忍不住想躺上去，在那些滚烫的煤块上打几个滚。我们周围摆设的是那种律师办公室中常用的家具。一排排的羊皮书卷、无数的令状、传票和其他法律文件凌乱地堆放在书桌和餐桌上。但屋里某些东西似乎在暗示我们，不必担心被任何人打扰，无论是客户还是那位博学的律师本人——此时，他的确正在某个遥远的城镇出庭打官司。在餐桌上的两只平底无脚酒杯中间，立着一只高高的细颈瓶。瓶子旁有一沓沾有墨迹的手稿，这些手稿看起来跟我们平时在法庭上见到的任何法律文件都截然不同。我的朋友，我叫他奥伯伦——这种称呼体现了一种想象力，也体现了我和他之间的交情——我的朋友奥伯伦正盯着这些文件，露出焦虑不安的古怪神情。","After this picture of an inclement night, behold us seated by a great blazing fire, which looked so comfortable and delicious that I felt inclined to lie down and roll among the hot coals.The usual furniture of a lawyer’s office was around us,—rows of volumes in sheepskin, and a multitude of writs, summonses, and other legal papers, scattered over the desks and tables.But there were certain objects which seemed to intimate that we had little dread of the intrusion of clients, or of the learned counsellor himself, who, indeed, was attending court in a distant town.A tall, decanter-shaped bottle stood on the table, between two tumblers, and beside a pile of blotted manuscripts, altogether dissimilar to any law documents recognized in our courts.My friend, whom I shall call Oberon,—it was a name of fancy and friendship between him and me,—my friend Oberon looked at these papers with a peculiar expression of disquietude."
"“我敢肯定，”他冷静地说，“或者至少可以说，这堆沾了墨水的文件里有个魔鬼。你已经读过了，应该知道我的意思——我力求刻画好一个魔鬼的形象，就像在我们的文化传统和巫术故事里记载的那样。天啊，我甚至被我自己脑袋里创作的东西给吓着了。这部稿子让我想起来就发抖，因为一种罪恶的思想通过稿子获得了某种实体的存在！我真不想再看见它们了！”","“I do believe,” said he, soberly, “or, at least, I could believe, if I chose, that there is a devil in this pile of blotted papers.You have read them, and know what I mean,—that conception in which I endeavored to embody the character of a fiend, as represented in our traditions and the written records of witchcraft.Oh, I have a horror of what was created in my own brain, and shudder at the manuscripts in which I gave that dark idea a sort of material existence!Would they were out of my sight!”"
"“我也不想看见。”我想。","“And of mine, too,” thought I."
"“你还记得吗，”奥伯伦接着说，“这个邪恶的家伙是怎样夺走了别人的幸福，而那些人不过是稍作妥协，几乎一点儿恶意都没有，却落入了他的魔掌。由此我就不得安宁，这全都是因为这该死的手稿。你难道没有同感？”","“You remember,” continued Oberon, “how the hellish thing used to suck away the happiness of those who, by a simple concession that seemed almost innocent, subjected themselves to his power.Just so my peace is gone, and all by these accursed manuscripts.Have you felt nothing of the same influence?”"
"“没有，”我回答道，“倒是在读完你那些可爱的小故事之后，我似乎着了魔，想当个小说家。”","“Nothing,” replied I, “unless the spell be hid in a desire to turn novelist, after reading your delightful tales.”"
"“当小说家！”奥伯伦半开玩笑地惊叫道，“这么说，我的魔鬼已经把他的魔爪按在你头上了！你完了！你甚至连祈求神明解救的机会都不会有了！但我俩将是最后的、也是唯一的受害者；因为今天晚上我决定烧掉这些手稿，让这魔鬼在烈火中受惩罚去吧。”","“Novelist!” exclaimed Oberon, half seriously.“Then, indeed, my devil has his claw on you!You are gone!You cannot even pray for deliverance!But we will be the last and only victims; for this night I mean to burn the manuscripts, and commit the fiend to his retribution in the flames.”"
"“烧掉你的故事！”我重复着，被他这个绝望的主意惊呆了。","“Burn your tales!” repeated I, startled at the desperation of the idea."
"“即便如此，”他垂头丧气地说，“你也想象不到这些故事给了我什么样的影响。我变得追求虚妄，不顾现实的名誉。我周围全是幻影，它们模仿现实的生活，弄得我神魂颠倒、不知所措。它们把我拖离这世上的传统老路，把我引向一个陌生孤寂的地方——一种身处人群中的孤寂——在那儿，没有人在乎我做什么，也没有人会像我这样思考或感受。一切都是这些故事造成的。等它们化成灰烬，或许我就能回到原来的状态了。而且，烧掉它们这种牺牲或许并没有你料想得大，因为谁也不会想出版它们。”","“Even so,” said the author, despondingly.“You cannot conceive what an effect the composition of these tales has had on me.I have become ambitious of a bubble, and careless of solid reputation.I am surrounding myself with shadows, which bewilder me, by aping the realities of life.They have drawn me aside from the beaten path of the world, and led me into a strange sort of solitude,—a solitude in the midst of men,—where nobody wishes for what I do, nor thinks nor feels as I do.The tales have done all this.When they are ashes, perhaps I shall be as I was before they had existence.Moreover, the sacrifice is less than you may suppose, since nobody will publish them.”"
