"石人","The Man of Adamant"
"作者：纳撒尼尔·霍桑","by Nathaniel Hawthorne"
"在那笼罩着宗教阴霾与偏狭的古代，有个名叫理查德·迪格比的人。他是一个严苛的兄弟会的成员，而且是该兄弟会中最阴沉、最偏狭的一位。他的救世计划是如此之狭隘，就像暴风雨中漂浮在海面上的一块木板，除了他自己以外，再承载不了其他罪人。他幸灾乐祸地跨坐在那块木板上，诅咒他面前那些在永恒的死亡巨浪中挣扎的可怜之人。在他看来，除了这块他倍加小心地守护以免落入他人之手的狭窄木板之外，如果其他人想依靠他们自身的力量，或者甚至想牢牢抓住残骸中的碎片以拯救他们自己都是可恶之极的行为——事实上，也是愚蠢透顶的想法。换言之，他的宗教信条与他人的不同，他很庆幸在芸芸众生之中，上帝唯独托付给了他真正的信仰宝藏。于是理查德·迪格比决定隐居于世，独自长久地享受他的福分。","In the old times of religious gloom and intolerance lived Richard Digby, the gloomiest and most intolerant of a stern brotherhood.His plan of salvation was so narrow, that, like a plank in a tempestuous sea, it could avail no sinner but himself, who bestrode it triumphantly, and hurled anathemas against the wretches whom he saw struggling with the billows of eternal death.In his view of the matter, it was a most abominable crime—as, indeed, it is a great folly—for men to trust to their own strength, or even to grapple to any other fragment of the wreck, save this narrow plank, which, moreover, he took special care to keep out of their reach.In other words, as his creed was like no man’s else, and being well pleased that Providence had intrusted him alone, of mortals, with the treasure of a true faith, Richard Digby determined to seclude himself to the sole and constant enjoyment of his happy fortune."
"“毫无疑问，”他觉得，“我认为上帝施恩于我的首要条件是我不能和那些被他抛弃、注定要灭亡而且令人憎恶的芸芸众生有思想上的交流。”要是我在基达人的帐篷里多逗留一会儿，也许，上帝就会收回其宽厚的恩惠。那么，我也会被愤怒的洪水吞噬，或者毁灭于烈火硫磺的狂袭之中，又或者身陷某种新的堕落之中，这堕落注定了这一代人可怕的道德沦丧。”","“And verily,” thought he, “I deem it a chief condition of Heaven’s mercy to myself, that I hold no communion with those abominable myriads which it hath cast off to perish.Peradventure, were I to tarry longer in the tents of Kedar, the gracious boon would be revoked, and I also be swallowed up in the deluge of wrath, or consumed in the storm of fire and brimstone, or involved in whatever new kind of ruin is ordained for the horrible perversity of this generation.”"
"于是理查德·迪格比带上一把斧头和几样其他必需品。斧头是用来在野外砍伐树木，辟出一块足以搭建一间帐篷的地方；其他必需品，尤其是一把剑和一支枪，是用来打倒和杀死任何闯入他的神圣隐居地的人。然后他就深入到最阴郁的森林腹地。但是，在森林的边缘，他停了片刻，对着他此前居住的村庄，他抖了抖脚上的尘埃，又对着村里的礼拜堂咒骂了几句，他认为那是异教徒膜拜偶像的庙堂。他还感到好奇，既然他这个唯一的道义之人已经自己找到了安全之所，他还想看看烈火硫磺是否会即刻从天而降。但是，阳光依旧平静地照耀在村舍和田野上，农夫们仍在劳作，孩子们仍在玩耍，许多事物都显示出当下的幸福，丝毫看不出最后审判日即将来临的任何恶兆，他转身离去，感觉有些失望。然而，他走得愈远愈觉得形单影只，路旁的树木也愈浓密，头顶上的阴影也愈阴暗，但理查德·迪格比却感觉愈加狂喜。他一边大步往前走，一边自言自语；在树下停歇之时，他就给自己读《圣经》；我还得补充一句，不论清晨、午间，还是黄昏，当阴暗的森林遮住了神圣的天空之时，他都会为自己祷告。这种生活方式与他的性情是如此契合，所以他时常独自大笑，但是在回声传来自己悠长响亮的吼声时，他却感到不快。","So Richard Digby took an axe, to hew space enough for a tabernacle in the wilderness, and some few other necessaries, especially a sword and gun, to smite and slay any intruder upon his hallowed seclusion; and plunged into the dreariest depths of the forest.On its verge, however, he paused a moment, to shake off the dust of his feet against the village where he had dwelt, and to invoke a curse on the meeting-house, which he regarded as a temple of heathen idolatry.He felt a curiosity, also, to see whether the fire and brimstone would not rush down from Heaven at once, now that the one righteous man had provided for his own safety.But, as the sunshine continued to fall peacefully on the cottages and fields, and the husbandmen labored and children played, and as there were many tokens of present happiness, and nothing ominous of a speedy judgment, he turned away, somewhat disappointed.The farther he went, however, and the lonelier he felt himself, and the thicker the trees stood along his path, and the darker the shadow overhead, so much the more did Richard Digby exult.He talked to himself, as he strode onward; he read his Bible to himself, as he sat beneath the trees; and, as the gloom of the forest hid the blessed sky, I had almost added, that, at morning, noon, and eventide, he prayed to himself.So congenial was this mode of life to his disposition, that he often laughed to himself, but was displeased when an echo tossed him back the long loud roar."
"他就这样赶了三天两夜的路。第三天的晚上，他来到一个洞穴口。乍眼一看，这洞穴让他想起在霍雷布的以利亚洞穴，但可能更像在麦比拉洞的亚伯拉罕的墓穴。这洞穴一直延伸至一座岩石山丘的腹地。缠结成密网的枝条藤蔓遮住了整个洞口，使得只有极其喜欢阴沉幽深之地的人才能找到其低矮的拱形入口，或许也只有这样的人才敢于进入其拱状的密室，里面迎接他的可能是一头黑豹的火辣辣的双眼。如果造物主创造这么一个偏僻而凄凉的洞窟，其用意是留给人类使用的话，那人们只可能把那些死于瘟疫的人埋葬在这洞穴的阴暗之中，再用石块堵死洞口，此后永远避开这个地方。除了离洞口20步左右远的地方潺潺流动着的一泓泉水，洞口附近没有任何明亮或使人愉快的东西，而理查德·迪格比几乎瞟都没瞟一眼那泉水。但是，他把头伸进洞内看了看，颤抖了一下，然后暗自窃喜。","In this manner, he journeyed onward three days and two nights, and came, on the third evening, to the mouth of a cave, which, at first sight, reminded him of Elijah’s cave at Horeb, though perhaps it more resembled Abraham’s sepulchral cave at Machpelah.It entered into the heart of a rocky hill.There was so dense a veil of tangled foliage about it, that none but a sworn lover of gloomy recesses would have discovered the low arch of its entrance, or have dared to step within its vaulted chamber, where the burning eyes of a panther might encounter him.If Nature meant this remote and dismal cavern for the use of man, it could only be to bury in its gloom the victims of a pestilence, and then to block up its mouth with stones, and avoid the spot forever after.There was nothing bright nor cheerful near it, except a bubbling fountain, some twenty paces off, at which Richard Digby hardly threw away a glance.But he thrust his head into the cave, shivered, and congratulated himself."
"“这是上帝在指引我！”他大声呼喊道，呼喊声在坟墓般的洞穴里传来古怪的回声，好像洞里有人在嘲讽他似的。“在这里，我的灵魂将得到安宁，因为邪恶的人找不到我。在这里，我可以读《圣经》，且不会再被谎言连篇的阐释所激怒。在这里，我可以做上帝所接受的祷告，因为我的声音不会和凡众那罪孽深重的哀求声混杂在一起。诚然，这洞穴的狭窄入口就是通往天堂的唯一之路——而唯独我找到了这条道路！”","“The finger of Providence hath pointed my way!” cried he, aloud, while the tomb-like den returned a strange echo, as if some one within were mocking him.“Here my soul will be at peace; for the wicked will not find me.Here I can read the Scriptures, and be no more provoked with lying interpretations.Here I can offer up acceptable prayers, because my voice will not be mingled with the sinful supplications of the multitude.Of a truth, the only way to heaven leadeth through the narrow entrance of this cave,—and I alone have found it!”"
"说到这洞穴，只要是微弱的光线能照到的地方，就能看见洞顶上都挂满了不透明的冰柱似的物体，经历了不知多少个世纪的水珠不断滴落后，都变得像石头般坚硬；水珠不论滴落到哪里，都像拥有一股力量，能把它浸湿过的物体变成石头。被风吹进洞内的落叶和小树枝，以及生长在洞口的矮小而柔软的灌木丛都未受到天然露珠的浸润，却在这奇异的过程中经久不腐。说到这里，我想起来，理查德·迪格比来此隐居之前，一些高明的医生诊断说他患有一种在医书上找不到疗法的疾病。那是一种由血液循环受阻导致心脏内部出现结石颗粒沉积的疾病；除非有奇迹出现，否则该病可能危及他的整个器官，把他的肉质心脏转变成石头。事实上，多数医生已经判定结石过程已接近完成。但是，理查德·迪格比从来不相信他的体内会有着这样一种可怕的疾病。当他看见那些已经化为石头的小树枝时，它们与曾经娇嫩的草木之态如此相似，并没让他的心跳加快。也许，麻木正是这种疾病的一个症状。","In regard to this cave it was observable that the roof, so far as the imperfect light permitted it to be seen, was hung with substances resembling opaque icicles; for the damps of unknown centuries, dripping down continually, had become as hard as adamant; and wherever that moisture fell, it seemed to possess the power of converting what it bathed to stone.The fallen leaves and sprigs of foliage, which the wind had swept into the cave, and the little feathery shrubs, rooted near the threshold, were not wet with a natural dew, but had been embalmed by this wondrous process.And here I am put in mind that Richard Digby, before he withdrew himself from the world, was supposed by skilful physicians to have contracted a disease for which no remedy was written in their medical books.It was a deposition of calculous particles within his heart, caused by an obstructed circulation of the blood; and, unless a miracle should be wrought for him, there was danger that the malady might act on the entire substance of the organ, and change his fleshy heart to stone.Many, indeed, affirmed that the process was already near its consummation.Richard Digby, however, could never be convinced that any such direful work was going on within him; nor when he saw the sprigs of marble foliage, did his heart even throb the quicker, at the similitude suggested by these once tender herbs.It may be that this same insensibility was a symptom of the disease."
"不管怎样，理查德·迪格比对他这墓穴式的洞穴很是满意。他对这个和他情趣相投的地方是如此之喜爱，以至于他口渴时也不愿走到几步之隔的那泓潺潺流动的泉水边喝口水，而是喝从洞顶上时不时滴落下来的水珠解渴。这些水珠如果不落到他的舌头上，而是落到其他任何地方都会凝结成小圆石。这对一个心脏即将石化的人来说，无疑是一种有害液体。但他就这样在这里住了三天多，吃的是草木树根，喝的是能毁灭自己的水，睡的是无异于坟墓的地方，并在死亡般的孤寂中醒来，他却认为这种可怕的生活方式不亚于极乐世界。可能比极乐世界还更胜一筹，因为在天堂，还有天使可能会打扰他。在第三天结束的时候，他坐在自己的宅邸入口，大声地读着《圣经》，因为没有人会因听到他的朗读而受益。但他老是读错，因为落日的余晖无法穿透他周围厚厚的阴暗层，照到那神圣的书页上。但是突然间，一缕微弱的光照到了书卷上。理查德·迪格比抬眼一看，看见洞口站着一位年轻女子，她身着白色外衣，在阳光的照耀下散发出一种仿佛是自身独有的光芒。","Be that as it might, Richard Digby was well contented with his sepulchral cave.So dearly did he love this congenial spot, that, instead of going a few paces to the bubbling spring for water, he allayed his thirst with now and then a drop of moisture from the roof, which, had it fallen anywhere but on his tongue, would have been congealed into a pebble.For a man predisposed to stoniness of the heart, this surely was unwholesome liquor.But there he dwelt, for three days more eating herbs and roots, drinking his own destruction, sleeping, as it were, in a tomb, and awaking to the solitude of death, yet esteeming this horrible mode of life as hardly inferior to celestial bliss.Perhaps superior; for, above the sky, there would be angels to disturb him.At the close of the third day, he sat in the portal of his mansion, reading the Bible aloud, because no other ear could profit by it, and reading it amiss, because the rays of the setting sun did not penetrate the dismal depth of shadow round about him, nor fall upon the sacred page.Suddenly, however, a faint gleam of light was thrown over the volume, and, raising his eyes, Richard Digby saw that a young woman stood before the mouth of the cave, and that the sunbeams bathed her white garment, which thus seemed to possess a radiance of its own."
"“晚上好，理查德，”女子说道，“我从遥远的地方来此地找你。”","“Good evening, Richard,” said the girl; “I have come from afar to find thee.”"
"理查德·迪格比一下子就认出了这位苗条、端庄、温柔、可爱的女子。她名叫玛丽·戈菲。她是他在英格兰布道时皈依他的一名信徒，那时他还没有陷入现在这种极度排外的偏执状态。这种偏执现在包裹着他，像铁器一样牢牢抓住了他，任何其他情感都无法触动他的心底。当他以朝圣者的身份来美国时，她留在了她父亲身边。而现在，很显然，她怀着与那些流亡至此的人们同样的信仰来到这里，或许怀着几乎同样神圣的爱情跨越大洋，追随他而来。如果不是信仰和爱情，还有什么能支撑一位如此娇弱的女子不顾金发被树枝刮得蓬乱，不怕双脚被刺伤，而千里迢迢来到这样的森林深处呢？但是，尽管她一定已经疲惫不堪、软弱无力了，而且肯定已被洞穴的凄凉吓得心惊肉跳，但她仍然以温和怜悯的眼神看着这个孤独的人，仿佛是一位天使向一位受苦受难的凡人投去怜悯的目光。但是，这个隐士皱起了眉头，恶狠狠地盯着她，一只手的手指夹在半开的《圣经》里，另外一只手示意她走开。","The slender grace and gentle loveliness of this young woman were at once recognized by Richard Digby.Her name was Mary Goffe.She had been a convert to his preaching of the word in England, before he yielded himself to that exclusive bigotry which now enfolded him with such an iron grasp that no other sentiment could reach his bosom.When he came a pilgrim to America, she had remained in her father’s hall; but now, as it appeared, had crossed the ocean after him, impelled by the same faith that led other exiles hither, and perhaps by love almost as holy.What else but faith and love united could have sustained so delicate a creature, wandering thus far into the forest, with her golden hair dishevelled by the boughs, and her feet wounded by the thorns?Yet, weary and faint though she must have been, and affrighted at the dreariness of the cave, she looked on the lonely man with a mild and pitying expression, such as might beam from an angel’s eyes, towards an afflicted mortal.But the recluse, frowning sternly upon her, and keeping his finger between the leaves of his half-closed Bible, motioned her away with his hand."
