"得了条明眼狗","Get a Seeing-Eyed Dog "
"作者：欧内斯特·海明威","by Ernest Hemingway"
"“后来我们做什么了？”他问她。她告诉了他。","“And what did we do then?”He asked her.She told him."
"“这部分很陌生。我一点也想不起来了。”","“That part is very strange.I can’t remember that at all.”"
"“你还记得旅行队走时的情形吗？”","“Can you remember the safari leaving?”"
"“应该记得。但是想不起来。我记得女人们沿着小路到河滩边取水，她们头上顶着罐子，我还记得鹅群被那个小孩子来来回回地赶进水里。我记得它们都走得那么慢，总是不是下去就是上来。潮水也涨得很高，河滩的平地上一片黄色，河道经过远处的小岛。风一直在吹，没有苍蝇，也没有蚊子。上面是屋顶，下面是水泥地，中间有柱子撑起屋顶，整天都有风从中间穿过。白天很凉快，晚上更凉爽舒服。”","“I should.But I don’t.I remember the women going down the trail to the beach for the water with the pots on their heads and I remember the flock of geese the toto drove back and forth to the water.I remember how slowly they all went and they were always going down or coming up.There was a very big tide too and the flats were yellow and the channel ran by the far island.The wind blew all the time and there were no flies and no mosquitoes.There was a roof and a cement floor and the poles that held the roof up, and the wind blew through them all the time.It was cool all day and lovely and cool at night.”"
"“你还记得吗，有一次低潮的时候，那艘大独桅船是斜着驶进来的？”","“Do you remember when the big dhow came in and careened on the low tide?”"
"“对，我记得这条船，船员们都乘着小船上了岸，从河滩上沿着小路走来，鹅群怕他们，女人们也怕。”","“Yes, I remember her and the crew coming ashore in her boats and coming up the path from the beach, and the geese were afraid of them and so were the women.”"
"“就是那天我们抓了很多鱼，可是因为天气恶劣不得不回来。”","“That was the day we caught so many fish but had to come in because it was rough.”"
"“我记得。”","“I remember that.”"
"“你今天记起了很多事，”她说，“别太费心思了。”","“You’re remembering well today,” she said.“Don’t do it too much.”"
"“害你没能飞去桑给巴尔，真是抱歉，”他说，“我们当时住的地方再往上的河滩倒是个适合降落的好地方。在那里飞机降落、起飞都没什么问题。”","“I’m sorry you didn’t get to fly to Zanzibar,” he said.“That upper beach from where we were was a fine place to land.You could have landed and taken off from there quite easily.”"
"“我们随时可以去桑给巴尔。今天别费神想那么多了。我给你念段文章好不好？过期的《纽约人》里经常有些被我们漏掉的好文章。”","“We can always go to Zanzibar.Don’t try to remember too much today.Would you like me to read to you?There’s always something in the old New Yorkers that we missed.”"
"“不好，请别念，”他说，“就说说话吧。说说那些好日子。”","“No, please don’t read,” he said.“Just talk.Talk about the good days.”"
"“你想听听外边是什么情形吗？”","“Do you want to hear about what it’s like outside?”"
"“在下雨，”他说，“我知道。”","“It’s raining,” he said.“I know that.”"
"“在下大雨，”她告诉他，“这样的天气，游人们是不会出门的。风很大，我们下楼去炉火边坐坐吧。”","“It’s raining a big rain,” she told him.“There won’t be any tourists out with this weather.The wind is very wild and we can go down and sit by the fire.”"
"“好啊。我不再对他们感兴趣了。我想听他们说话。”","“We could anyway.I don’t care about them any more.I like to hear them talk.”"
"“有些人很讨厌，”她说，“不过有些人是很高雅的。我觉得到托尔契罗去的那些游人是最高雅的。”","“Some of them are awful,” she said.“But some of them are quite nice.I think it’s really the nicest ones that go out to Torcello.”"
"“说得很对，”他说，“我倒是没想过。他们若是不高雅，到那里的确没什么可看的。”","“That’s quite true,” he said.“I hadn’t thought of that.There’s really nothing for them to see unless they are a bit too nice.”"
"“我给你弄杯酒好吗？”她说，“你知道护理工作我真是做不好。我没受过训练，也没有什么天赋。不过我会调酒。”","“Can I make you a drink?” she asked.“You know how worthless a nurse I am.I wasn’t trained for it and I haven’t any talent.But I can make drinks.”"
"“我们喝一杯吧。”","“Let’s have a drink.”"
"“你想喝什么？”","“What do you want?”"
"“什么都行。”他说。","“Anything,” he said."
"“我要给你个惊喜。我要去楼下调酒。”","“I’ll make a surprise.I’ll make it downstairs.”"
