"第一章 木屋","Chapter I The Chalet"
"一八二九年十月初的一天，公证人西蒙·巴比拉·拉图奈尔先生挽着儿子的手臂，并在夫人的陪同下，从勒阿弗尔步行到安古维尔去。像侍从一样走在他夫人旁边的，是他律师事务所的首席文书。他个子小小的，驼着背，名叫让·比查。他们四人（其中两人每天晚上都会走这条路）来到了路的一个肘弯处，意大利语称之为“檐口”，路到了就反方向折回。他们走到这里时，公证人四下观望了一下，看是否有人能够从上方的阶梯或者下方的小道听到他讲话。为进一步谨慎起见，他说话时嗓门压得很低。","At the beginning of October, 1829, Monsieur Simon Babylas Latournelle, notary, was walking up from Havre to Ingouville, arm in arm with his son and accompanied by his wife, at whose side the head clerk of the lawyer’s office, a little hunchback named Jean Butscha, trotted along like a page.When these four personages (two of whom came the same way every evening) reached the elbow of the road where it turns back upon itself like those called in Italy “cornice,” the notary looked about to see if any one could overhear him either from the terrace above or the path beneath, and when he spoke he lowered his voice as a further precaution."
"“埃克絮佩，”他对儿子说，“我这就告诉你要做什么，你一定要机智地按计划行事，但不要问意图何在。如果你猜到了我的意图，也给我把它抛到冥河里去。每一名律师，每一个想参与本国政府事务的人，心底都应该有这样一条冥河，把别人的秘密深藏其中。一会儿，你先向米尼翁夫人、米尼翁小姐、迪迈先生和迪迈夫人请安。如果哥本海姆先生也在别墅的话，你也要问候他。之后，等大家一安静下来，迪迈先生就会把你带到一边，在他与你说话的过程中，你要一直聚精会神地打量莫黛斯特小姐（是的，我允许你这样做）。之后，我那可敬的朋友会叫你出去散散步。一个小时之后，也就是大约九点钟，你要慌慌张张地跑回来，装作上气不接下气的样子，朝迪迈先生耳语：‘那小伙子来了。’声音要轻，但要确保让莫黛斯特小姐听到。”","“Exupere,” he said to his son, “you must try to carry out intelligently a little manoeuvre which I shall explain to you, but you are not to ask the meaning of it; and if you guess the meaning I command you to toss it into that Styx which every lawyer and every man who expects to have a hand in the government of his country is bound to keep within him for the secrets of others.After you have paid your respects and compliments to Madame and Mademoiselle Mignon, to Monsieur and Madame Dumay, and to Monsieur Gobenheim if he is at the Chalet, and as soon as quiet is restored, Monsieur Dumay will take you aside; you are then to look attentively at Mademoiselle Modeste (yes, I am willing to allow it) during the whole time he is speaking to you.My worthy friend will ask you to go out and take a walk; at the end of an hour, that is, about nine o’clock, you are to come back in a great hurry; try to puff as if you were out of breath, and whisper in Monsieur Dumay’s ear, quite low, but so that Mademoiselle Modeste is sure to overhear you, these words: ‘The young man has come.’”"
"埃克絮佩第二天早晨便要动身去巴黎攻读法律了。正因他即将出行，拉图奈尔才决定把他的儿子推荐给他的朋友迪迈，让他在一桩重大的阴谋里充当帮凶。从他给出的上述指示，已经能看出这是个阴谋了。","Exupere was to start the next morning for Paris to begin the study of law.This impending departure had induced Latournelle to propose him to his friend Dumay as an accomplice in the important conspiracy which these directions indicate."
"“是有人怀疑莫黛斯特小姐有情人吗？”比查胆怯地问拉图奈尔夫人。","“Is Mademoiselle Modeste suspected of having a lover?” asked Butscha in a timid voice of Madame Latournelle."
"“嘘，比查。”她回答道，然后又挽起了丈夫的胳膊。","“Hush, Butscha,” she replied, taking her husband’s arm."
"拉图奈尔夫人是最高法院一名书记员的女儿。她觉得自己出身高贵，足以和国会世家的人分庭抗礼。这种自命不凡正好解释了为什么这个脸上长了不少斑的女人总要极力摆出上法庭般的严肃姿态。那些法庭判决都是由她父亲亲笔记录的呢。她吸鼻烟，腰板挺得像枪的通条一样笔直，一副故作深沉的姿态，活像一具被电击后暂时复活的木乃伊。她嗓音刺耳，极力想用高贵的语调说话，却总是失败，掩盖不了自己总体上缺乏教养的事实。然而，我们只要看看她头上缀满花朵的帽子、前额弯曲的假刘海以及她所挑选的裙袍，就会发现她的社会价值不容置疑。要是没有拉图奈尔夫人这样的人，商人要怎么处理掉这些商品呢？这位可敬的女士，的确是位信仰虔诚、心肠慈悲之人。她的愚蠢滑稽本可以不被人发觉的，然而大自然往往喜欢自娱自乐，造出这种可笑的人物不说，还要赋予她鼓乐队指挥般的身段。这样，她那粗野本性中的滑稽之处就显而易见了。　她从未离开过勒阿弗尔，她认为勒阿弗尔完美无缺，她自称是个百分之百的诺曼人，她崇敬她的父亲，并热爱自己的丈夫。","Madame Latournelle, the daughter of a clerk of the supreme court, feels that her birth authorizes her to claim issue from a parliamentary family.This conviction explains why the lady, who is somewhat blotched as to complexion, endeavors to assume in her own person the majesty of a court whose decrees are recorded in her father’s pothooks.She takes snuff, holds herself as stiff as a ramrod, poses for a person of consideration, and resembles nothing so much as a mummy brought momentarily to life by galvanism.She tries to give high-bred tones to her sharp voice, and succeeds no better in doing that than in hiding her general lack of breeding.Her social usefulness seems, however, incontestable when we glance at the flower-bedecked cap she wears, at the false front frizzling around her forehead, at the gowns of her choice; for how could shopkeepers dispose of those products if there were no Madame Latournelle?All these absurdities of the worthy woman, who is truly pious and charitable, might have passed unnoticed, if nature, amusing herself as she often does by turning out these ludicrous creations, had not endowed her with the height of a drum-major, and thus held up to view the comicalities of her provincial nature.She has never been out of Havre; she believes in the infallibility of Havre; she proclaims herself Norman to the very tips of her fingers; she venerates her father, and adores her husband."
"小拉图奈尔娶她的时候，她已经三十三岁，过了适婚年龄。他真有胆量，不但娶了她，还让她给自己生了个儿子。由于她那六万法郎的嫁妆他通过其他方式也可以获得，所以大家普遍认为他的弥天大勇是为了避免弥诺陶洛斯的入侵，因为如果他轻率地拿自己的命运做赌注，娶一位年轻貌美的女子为妻，那仅凭他的个人条件是很难抵挡住弥诺陶洛斯的。然而，事实是公证人看到了阿涅丝小姐（拉图奈尔夫人的闺名）真正的美好品质，而且他明白，一个女人的美貌对于她的丈夫来说是转瞬即逝的。说到她年轻的儿子——本书一个无足轻重的角色，在他接受洗礼时，他那位在法院当书记员的外祖父给他取了这个诺曼味十足的名字“埃克絮佩”。能在三十五岁零七个月的年纪生下这个孩子，拉图奈尔夫人至今还觉得十分惊奇，而且如果有必要的话，她现在还能给他喂奶——这说法有点夸张了，但仅这一点就足以充分表明她那热烈的母爱。“看我那儿子，长得多帅气啊！”每当她和她年轻的好友莫黛斯特去做礼拜，她那仪表堂堂的埃克絮佩走在她们前面时，她就会这样说道。“他长得像你。”莫黛斯特·米尼翁答道。她说这话的语气跟她说“天气真糟糕！”一类的话时没太大差别，完全是出于礼貌。由于近三年来，拉图奈尔夫人经常陪伴在少女莫黛斯特左右，而公证人和他的朋友迪迈正在为莫黛斯特设计一个“婚姻生理学”中称作“捕鼠器”的圈套，所以拉图奈尔夫人就成了一名重要的帮凶。","Little Latournelle was bold enough to marry this lady after she had attained the anti-matrimonial age of thirty-three, and what is more, he had a son by her.As he could have got the sixty thousand francs of her “dot” in several other ways, the public assigned his uncommon intrepidity to a desire to escape an invasion of the Minotaur, against whom his personal qualifications would have insufficiently protected him had he rashly dared his fate by bringing home a young and pretty wife.The fact was, however, that the notary recognized the really fine qualities of Mademoiselle Agnes (she was called Agnes) and reflected to himself that a woman’s beauty is soon past and gone to a husband.As to the insignificant youth on whom the clerk of the court bestowed in baptism his Norman name of “Exupere,” Madame Latournelle is still so surprised at becoming his mother, at the age of thirty-five years and seven months, that she would still provide him, if it were necessary, with her breast and her milk,—an hyperbole which alone can fully express her impassioned maternity.“How handsome he is, that son of mine!” she says to her little friend Modeste, as they walk to church, with the beautiful Exupere in front of them.“He is like you,” Modeste Mignon answers, very much as she might have said, “What horrid weather!”This silhouette of Madame Latournelle is quite important as an accessory, inasmuch as for three years she has been the chaperone of the young girl against whom the notary and his friend Dumay are now plotting to set up what we have called, in the “Physiologie du Mariage,” a “mouse-trap.”"
"至于拉图奈尔，大家可以想象一个值得尊敬的小个子男子，既诚实正直，又十分狡猾——任何一个陌生人见了他，都会因为他那奇怪的相貌而把他当成坏人，而勒阿弗尔人早已对他的外表习以为常了。据说他视力不好，眼睛总是红肿，为了保护眼睛，这位可敬的人物不得不戴上绿色的护目镜。他那毛发稀疏的眉弓围着褐色的玳瑁镜框，看上去像是两对直径不同的同心圆。每一侧的同心圆都是大圈套小圈，两圈之间隔着一条凹陷的皮肤，如果你从未在一张人脸上见过这样的景象，那你很难想象看到它你会有多诧异，何况这张脸还是面色苍白、两颊干瘪，下巴尖得活像画家们按照猫脸画的魔鬼靡菲斯特。巴比拉·拉图奈尔的脸就是这样，看上去既像猫，又像魔鬼。在那吓人的绿色眼镜上面是光秃秃的脑壳，白色的假发在前额分开一条歪歪扭扭的发线，四面散开，看上去好像会动似的。这一切使他脸上的表情更显狡猾。这位杰出的诺曼人一袭黑衣，迈动双腿的样子就像一只被钉在大头针上的甲虫。如果一个人了解他正直可信的品格，又看到他这副样貌，一定想知道为什么他的外表与内心如此不符，虽然答案是找不到的。","As for Latournelle, imagine a worthy little fellow as sly as the purest honor and uprightness would allow him to be,—a man whom any stranger would take for a rascal at sight of his queer physiognomy, to which, however, the inhabitants of Havre were well accustomed.His eyesight, said to be weak, obliged the worthy man to wear green goggles for the protection of his eyes, which were constantly inflamed.The arch of each eyebrow, defined by a thin down of hair, surrounded the tortoise-shell rim of the glasses and made a couple of circles as it were, slightly apart.If you have never observed on the human face the effect produced by these circumferences placed one within the other, and separated by a hollow space or line, you can hardly imagine how perplexing such a face will be to you, especially if pale, hollow-cheeked, and terminating in a pointed chin like that of Mephistopheles,—a type which painters give to cats.This double resemblance was observable on the face of Babylas Latournelle.Above the atrocious green spectacles rose a bald crown, all the more crafty in expression because a wig, seemingly endowed with motion, let the white hairs show on all sides of it as it meandered crookedly across the forehead.An observer taking note of this excellent Norman, clothed in black and mounted on his two legs like a beetle on a couple of pins, and knowing him to be one of the most trustworthy of men, would have sought, without finding it, for the reason of such physical misrepresentation."
"让·比查是个被遗弃的私生子，由法院书记员和他女儿抚养成人。现在，他全凭刻苦工作，成了公证人的首席文书，在他老板那里吃住，每个月还能领到九百法郎的薪水。他几乎是个侏儒，没有一点年轻人的样子，却视莫黛斯特为偶像，为她赔上自己的性命也在所不惜。他那厚厚的眼皮底下，眼珠像火炮的点火孔一样凹陷下去，脑袋大得不合身体比例，显得头重脚轻，长着一头卷发，满脸麻子。这个可怜的小伙子，从七岁开始就生活在别人怜悯的目光下。难道这些还不足以解释他的整个性格吗？他沉默寡言，信仰虔诚，做事中规中矩。他独自游荡在爱情地图上被称为“无望爱情”的国度里，那是一片寸草不生而又令人赞叹的“欲望草原”。莫黛斯特把这位奇丑无比的文书叫做她的“黑侏儒”。听到这个绰号，他便去读瓦尔特·司各特的小说。后来有一天，他对莫黛斯特说道：“您能接受您神秘的侏儒献上的一朵玫瑰吗？它能为您消灾解难。”莫黛斯特狠狠地瞪了他一眼，这马上把她这位崇拜者打回了他那污秽的小泥屋里。少女们总会对那些无法取悦他们的男子投以这种目光。比查的自我观念很卑微，而且跟他老板的夫人一样，他也从未离开过勒阿弗尔。","Jean Butscha, a natural son abandoned by his parents and taken care of by the clerk of the court and his daughter, and now, through sheer hard work, head-clerk to the notary, fed and lodged by his master, who gave him a salary of nine hundred francs, almost a dwarf, and with no semblance of youth,—Jean Butscha made Modeste his idol, and would willingly have given his life for hers.The poor fellow, whose eyes were hollowed beneath their heavy lids like the touch-holes of a cannon, whose head overweighted his body, with its shock of crisp hair, and whose face was pock-marked, had lived under pitying eyes from the time he was seven years of age.Is not that enough to explain his whole being?Silent, self-contained, pious, exemplary in conduct, he went his way over that vast tract of country named on the map of the heart Love-without-Hope, the sublime and arid steppes of Desire.Modeste had christened this grotesque little being her “Black Dwarf.”The nickname sent him to the pages of Walter Scott’s novel, and he one day said to Modeste: “Will you accept a rose against the evil day from your mysterious dwarf?”Modeste instantly sent the soul of her adorer to its humble mud-cabin with a terrible glance, such as young girls bestow on the men who cannot please them.Butscha’s conception of himself was lowly, and, like the wife of his master, he had never been out of Havre."
"也许，为了那些从没去过勒阿弗尔的读者起见，这里有必要解释一下拉图奈尔一家以及首席文书现在要去往哪里。安古维尔之于勒阿弗尔，类似于蒙马特尔之于巴黎——都是高高的山丘，城市就坐落在它们脚下。而不同之处在于，巴黎是被塞纳河环绕的，而勒阿弗尔的山丘和城市则是四面环海，还被封闭的防御工事所包围。简而言之，在勒阿弗尔，河流入海处、港口、码头所呈现的景象，与巴黎那五万幢房屋的景象是完全不同的。在蒙马特尔脚下，石板瓦屋顶组成的汪洋就像是静止的蓝色波涛,而在安古维尔，大海就像是被风吹动的石板瓦屋顶。这座山丘，或者说这座绵延的山脉，沿着塞纳河从鲁昂一直延伸到大海，山谷与河流之间形成了窄窄的狭长谷地，这里的城市、山涧、溪谷和草地都是风景如画。自一八一六年勒阿弗尔开始繁荣以来，这些美景便成了安古维尔一带的宝贵财富。从那时开始，这个小镇就变成了类似洛特依、达弗赖城和蒙莫朗西的地方，简言之，就是勒阿弗尔商人的城郊住宅区。在这里，商人们在山坡的梯田上建起了一幢幢房子，他们呼吸着海洋的气息，那气息中还弥漫着他们的豪华花园散发的芳香。由于勒阿弗尔的人口不断增加，加上那些无法更改的防御工事和不断扩大的码头，使得投机商们原来的房子都成了建筑垃圾，房屋紧挨在一起，很少有空地，甚至往往连院子都没有。而在安古维尔，这些大胆的投机商们可以抛下账房的重担，忘掉市区房子的压抑氛围，释放压力。结果就是，这些人在勒阿弗尔时身心疲惫，在安古维尔则轻松快活。社会发展的法则使得格拉维尔郊区的建筑像雨后春笋般多了起来。如今，格拉维尔城比勒阿弗尔还要大，像一条巨蟒盘在山脚下。","Perhaps it will be well, for the sake of those who have never seen that city, to say a few words as to the present destination of the Latournelle family,—the head clerk being included in the latter term.Ingouville is to Havre what Montmartre is to Paris,—a high hill at the foot of which the city lies; with this difference, that the hill and the city are surrounded by the sea and the Seine, that Havre is helplessly circumscribed by enclosing fortifications, and, in short, that the mouth of the river, the harbor, and the docks present a very different aspect from the fifty thousand houses of Paris.At the foot of Montmartre an ocean of slate roofs lies in motionless blue billows; at Ingouville the sea is like the same roofs stirred by the wind.This eminence, or line of hills, which coasts the Seine from Rouen to the seashore, leaving a margin of valley land more or less narrow between itself and the river, and containing in its cities, its ravines, its vales, its meadows, veritable treasures of the picturesque, became of enormous value in and about Ingouville, after the year 1816, the period at which the prosperity of Havre began.This township has become since that time the Auteuil, the Ville-d’Avray, the Montmorency, in short, the suburban residence of the merchants of Havre.Here they build their houses on terraces around its amphitheatre of hills, and breathe the sea air laden with the fragrance of their splendid gardens.Here these bold speculators cast off the burden of their counting-rooms and the atmosphere of their city houses, which are built closely together without open spaces, often without court-yards,—a vice of construction with the increasing population of Havre, the inflexible line of the fortifications, and the enlargement of the docks has forced upon them.The result is, weariness of heart in Havre, cheerfulness and joy at Ingouville.The law of social development has forced up the suburb of Graville like a mushroom.It is today more extensive than Havre itself, which lies at the foot of its slopes like a serpent."
