"幸福","Bliss"
"作者：曼斯菲尔德","By Katherine Mansfield          "
"尽管伯莎·扬已经三十岁了，她还是有这样的时候：想以奔跑代替走路，踩着舞步在人行道上跳上跳下，滚个铁环，往空中抛起个东西再接住，或者一动不动地站着笑起来——可是，根本没有什么可笑的事情。","ALTHOUGH Bertha Young was thirty she still had moments like this when she wanted to run instead of walk, to take dancing steps on and off the pavement, to bowl a hoop, to throw something up in the air and catch it again, or to stand still and laugh at—nothing—at nothing, simply."
"如果你也三十岁了，转过你住的那条街的拐角处时，突然感到欣喜若狂——无与伦比的幸福！——仿佛突然间吞下那天下午一片灿烂的阳光，那光在你的胸中燃烧，向你的每个细胞、每根手指和脚趾都散发出一阵火花，你能怎么样呢？……","What can you do if you are thirty and, turning the corner of your own street, you are overcome, suddenly by a feeling of bliss—absolute bliss!—as though you’d suddenly swallowed a bright piece of that late afternoon sun and it burned in your bosom, sending out a little shower of sparks into every particle, into every finger and toe?..."
"噢，除了“陶醉和混乱”，难道你就没有其他方式可以表达这种感受吗？文明社会真是愚蠢啊！如果你必须把这种感受像一把极其极其稀有的提琴一样珍藏在琴盒里，为什么还给你一个身体？","Oh, is there no way you can express it without being “drunk and disorderly”?How idiotic civilisation is!Why be given a body if you have to keep it shut up in a case like a rare, rare fiddle?"
"“不，那个提琴的比喻还不能确切地表达我的意思。”她想着，跑上台阶，在包里摸钥匙——她忘了带了，就像往常一样——于是咔哒咔哒碰响信箱叫开门。“我并不想这样，因为——谢谢你，玛丽”——她走进门厅。“保姆回来了吗？”","“No, that about the fiddle is not quite what I mean,” she thought, running up the steps and feeling in her bag for the key—she’d forgotten it, as usual—and rattling the letter-box.“It’s not what I mean, because—Thank you, Mary”—she went into the hall.“Is nurse back?”"
"“是的，太太。”","“Yes, M’m.”"
"“水果也送来啦？”","“And has the fruit come?”"
"“送来啦，太太。每件东西都送到了。”","“Yes, M’m.Everything’s come.”"
"“把水果都放到饭厅去，好吗？我上楼之前会把水果摆好的。”","“Bring the fruit up to the dining-room, will you?I’ll arrange it before I go upstairs.”"
"饭厅里昏暗且特别寒冷。尽管如此，伯莎还是脱下大衣；那件大衣把身体裹得太紧，她再也受不了了，不想再多穿一会儿；可脱了大衣，她的胳膊顿时感到一阵寒气。","It was dusky in the dining-room and quite chilly.But all the same Bertha threw off her coat; she could not bear the tight clasp of it another moment, and the cold air fell on her arms."
