"神灵微笑时","When God Laughs"
"作者：杰克·伦敦","by Jack London"
"“神灵，神灵更为强大；时间在他们面前失色，所有人都向他们膜拜，所有的祈祷和忏悔都如焚香一样涌向他们；对，因为他们是神灵，费利斯。”","“The gods, the gods are stronger; timeFalls down before them, all men’s kneesBow, all men’s prayers and sorrows climbLike incense toward them; yea, for theseAre gods, Felise.”"
"卡奎奈兹终于放松了下来。他偷偷地瞥了一眼咯咯作响的窗户，抬头看看带着房梁的屋顶，听了一会儿东南风的怒吼，风张开咆哮的大口吞噬了那小屋。然后他把酒杯端在自己和火堆之间，看着这金黄色的酒，快乐地笑了起来。","Carquinez had relaxed finally.He stole a glance at the rattling windows, looked upward at the beamed roof, and listened for a moment to the savage roar of the southeaster as it caught the bungalow in its bellowing jaws.Then he held his glass between him and the fire and laughed for joy through the golden wine."
"“这酒很美，”他说，“真是醇香甜美。这是一个女人酿给穿灰长袍的圣徒们喝的酒。”","“It is beautiful,” he said.“It is sweetly sweet.It is a woman’s wine and it was made for gray-robed saints to drink.”"
"“这是我们在本地温暖的山丘上种的葡萄。”我带着身为加州人的自豪说，这种自豪一点都不为过。“你们昨天路上穿过的葡萄藤就产这种葡萄。”","“We grow it on our own warm hills,” I said, with pardonable California pride.“You rode up yesterday through the vines from which it was made.”"
"让卡奎奈兹放松下来绝对是值得的。直到他感到葡萄藤的温热在他的血液中歌唱时，他才表现出真正的自己。他是个艺术家，真的，他一直是个艺术家。但是，不知怎么地，将那些高调子从他的思维中去除，他很容易变得像英国的星期日一样无趣——他虽然不像其他人那么无趣，但和他真实的自己、活泼风趣的人物蒙特·卡奎奈兹相比，就显得无趣许多。","It was worth while to get Carquinez to loosen up.Nor was he ever really himself until he felt the mellow warmth of the vine singing in his blood. He was an artist, it is true, always an artist; but somehow, sober the high pitch and lilt went out of his thought-processes and he was prone to be as deadly dull as a British Sunday—not dull as other men are dull, but dull when measured by the sprightly wight that Monte Carquinez was when he was really himself."
"但不能单凭这个就推断说我亲爱的朋友、亲密的伙伴卡奎奈兹是个酒鬼。绝不是。他很少犯错。就像我刚才说的，他是个艺术家。他知道自己什么时候就喝够了，对他，喝够了的时候内心就会感到平静——那种在你我清醒之时才能感受到的平静。","From all this it must not be inferred that Carquinez, who is my dear friend and dearer comrade, was a sot.Far from it.He rarely erred.As I have said, he was an artist.He knew when he had enough, and enough, with him, was equilibrium—the equilibrium that is yours and mine when we are sober."
"他与生俱来地懂得明智的节制，这种节制是希腊人特有的气质。但他一点也不像希腊人。“我是阿兹特克人，我是印加人，我是西班牙人。”我听他这样说过。而实际上，他看起来也真的像几个奇怪而古老的种族的混血儿，不管是他黝黑的皮肤还是不对称且有些原始的面部特征，都给人这样的感觉。一对深拱形的眉毛下面两只眼睛离得很远，眼珠黑得有些粗野，眼睛前面永远是一大撮蓬松的黑发，他透过这撮头发看人的样子就好像灌木丛里走出的无赖。他总是穿着一件柔软的法兰绒衬衫，外面披一件天鹅绒和灯芯绒做的夹克，系一条红色的领带。红色代表红旗（他曾与巴黎的社会主义者生活在一起），象征着鲜血和兄弟之情。而且，他的头上向来都只戴一顶皮边墨西哥帽。甚至有传闻说他出生时就戴着这顶奇特的帽子。以我的经验来看，看见这个墨西哥帽在皮卡迪利大街挥手打车，或在纽约上流街区被拥攘的人群挤来挤去，真是太有趣刺激的一件事了。","His was a wise and instinctive temperateness that savored of the Greek.Yet he was far from Greek.“I am Aztec, I am Inca, I am Spaniard,” I have heard him say.And in truth he looked it, a compound of strange and ancient races, what of his swarthy skin and the asymmetry and primitiveness of his features.His eyes, under massively arched brows, were wide apart and black with the blackness that is barbaric, while before them was perpetually falling down a great black mop of hair through which he gazed like a roguish satyr from a thicket.He invariably wore a soft flannel shirt under his velvet-corduroy jacket, and his necktie was red.This latter stood for the red flag (he had once lived with the socialists of Paris), and it symbolized the blood and brotherhood of man.Also, he had never been known to wear anything on his head save a leather-banded sombrero.It was even rumored that he had been born with this particular piece of headgear.And in my experience it was provocative of nothing short of sheer delight to see that Mexican sombrero hailing a cab in Piccadilly or storm-tossed in the crush for the New York Elevated."
"就像我说过的，卡奎奈兹一喝酒就能清醒过来——“就像上帝对粘土吹一口生命之气，黏土就有了生命一样”，他自己就是这么形容的。我坦白：他和上帝亲密得有不敬之嫌；但我必须说明他对上帝绝无任何亵渎之意。他始终都很诚实，而且，由于他是一个矛盾的混合体，因此仍被不了解他的人所深深误解。他有时候像尖声嘶叫的野蛮人一样原始，其他时候他却像少女一样心思细腻，像西班牙人一样敏感。而且——好了，难道他不是阿兹特克人吗？印加人？西班牙人？","As I have said, Carquinez was made quick by wine—“as the clay was made quick when God breathed the breath of life into it,” was his way of saying it.I confess that he was blasphemously intimate with God; and I must add that there was no blasphemy in him.He was at all times honest, and, because he was compounded of paradoxes, greatly misunderstood by those who did not know him.He could be as elementally raw at times as a screaming savage; and at other times as delicate as a maid, as subtle as a Spaniard.And—well, was he not Aztec?Inca?Spaniard?"
"现在，我必须请求您原谅我对他长篇累牍的描述。（他是我的朋友，我很喜欢他。）当他走近火堆、在酒精的作用下对着火堆大笑时，房子正在暴风雨中摇摇晃晃。他看着我，眼睛里闪着光彩，带着机敏，我明白他终于恢复了自己本来的样子。","And now I must ask pardon for the space I have given him.(He is my friend, and I love him.)The house was shaking to the storm, as he drew closer to the fire and laughed at it through his wine.He looked at me, and by the added lustre of his eye, and by the alertness of it, I knew that at last he was pitched in his proper key."
