"第一章 波尼族印第安人的狩猎场","CHAPTER I. THE PAWNEE HUNTING-GROUNDS."
"——旅行同伴们——一位专员——一位艺术大师——一个探险家——边境上的吉尔·布拉斯——一个年轻人对快乐的期待","—TRAVELLING COMPANIONS.—A COMMISSIONER.—A VIRTUOSO.—A SEEKER OF ADVENTURES.—A GIL BLAS OF THE FRONTIER.—A YOUNG MAN’S ANTICIPATIONS OF PLEASURE."
"远西区位于密西西比河畔几百英里外，是一个时常受到大家吹捧的地方。这里绵延着一大片无人居住的土地，既看不到白人的大木屋，也瞧不见印第安人的小棚屋。这里有广袤的草原，有大大小小的树丛点缀其间，并有阿肯色河、加拿大的格兰德河、雷德河和它们的支流缓缓流过。在这肥沃而青翠的大荒原上还游荡着麋鹿、野牛和野马。它们都在这自由的国度里驰骋。事实上，这些地区便是远西区各个部落的狩猎场。那边有奥塞奇人、克里克人、特拉华人，以及其他一些被教化了的部落。他们就住在白人定居者的周围。这边也游弋着波尼族人、科曼奇人的部落，和其他一些凶狠且依然保持独立的部落、大草原上的游牧部落或是落基山脉周边的居民。我所提到的这些地区是这些敌对部落的必争之地，他们都不敢在这里划分边界建立一个永久居住区。在狩猎季节，猎手们和“勇士们”大批地奔赴那边，搭建起暂时的狩猎营地——用树皮和兽皮覆盖着的轻巧的遮阴棚。他们大肆屠杀着大草原上不计其数的食草兽群，满载鹿肉和野牛肉而归；同时，他们还得小心提防危险的邻族。这些冒险远征常常需要人们有尚武的品性：猎手们全副武装，随时准备战斗；他们都充满了攻击性和防卫性，而且必须时刻保持警惕。他们一旦在长途跋涉中遇到敌对部落的猎手，残酷的冲突便不可避免了。他们的营地也总是受到四处游荡的战争团伙的偷袭。猎手们在分散开来追击猎物时，还可能会被埋伏的敌人逮捕或屠杀。在某个阴森的深谷中，水流正冲刷着支离破碎的颅骨和骨架；或者在被遗弃的狩猎营地附近，常常有蛛丝马迹表明，这里曾经有过一场血战，提醒路人他正行走在一个危险的地带。接下来的文字将会描述一次在上述狩猎区里为期一个月的远足——穿越一块尚未被白人开发的地区。","In the often vaunted regions of the Far West, several hundred miles beyond the Mississippi, extends a vast tract of uninhabited country, where there is neither to be seen the log-house of the white man, nor the wigwam of the Indian.It consists of great grassy plains, interspersed with forests and groves, and clumps of trees, and watered by the Arkansas, the Grand Canadian, the Red River, and their tributary streams.Over these fertile and verdant wastes still roam the elk, the buffalo, and the wild horse, in all their native freedom.These, in fact, are the hunting grounds of the various tribes of the Far West.Thither repair the Osage, the Creek, the Delaware and other tribes that have linked themselves with civilization, and live within the vicinity of the white settlements.Here resort also, the Pawnees, the Comanches, and other fierce, and as yet independent tribes, the nomads of the prairies, or the inhabitants of the skirts of the Rocky Mountains.The regions I have mentioned form a debatable ground of these warring and vindictive tribes; none of them presume to erect a permanent habitation within its borders.Their hunters and “Braves” repair thither in numerous bodies during the season of game, throw up their transient hunting camps, consisting of light bowers covered with bark and skins, commit sad havoc among the innumerable herds that graze the prairies, and having loaded themselves with venison and buffalo meat, warily retire from the dangerous neighborhood.These expeditions partake, always, of a warlike character: the hunters are all armed for action, offensive and defensive, and are bound to incessant vigilance.Should they, in their excursions, meet the hunters of an adverse tribe, savage conflicts take place.Their encampments, too, are always subject to be surprised by wandering war parties, and their hunters, when scattered in pursuit of game, to be captured or massacred by lurking foes.Mouldering skulls and skeletons, bleaching in some dark ravine, or near the traces of a hunting camp, occasionally mark the scene of a foregone act of blood, and let the wanderer know the dangerous nature of the region he is traversing.It is the purport of the following pages to narrate a month’s excursion to these noted hunting grounds, through a tract of country which had not as yet been explored by white men."
"我是在1832年10月初到达吉布森要塞的。那是远西区的一个边防站，坐落在尼欧肖河或是格兰德河上，河水就在不远处汇入了阿肯色河。我之前已经和一队来自圣路易斯的人沿着密苏里河河岸逆流而上，跋涉了一个月。沿途经过了一些坐落于密苏里州与阿肯色州交界地带上的代理行和教堂。一位由美国政府任命的专员带领着我们这队人行进。他的任务是管理印第安部落从密西西比河以东向西迁移的安居工作。在履行职责的过程中，他走访了各种各样开化了的边远地区。","It was early in October, 1832, that I arrived at Fort Gibson, a frontier post of the Far West, situated on the Neosho, or Grand River, near its confluence with the Arkansas.I had been travelling for a month past, with a small party from St. Louis, up the banks of the Missouri, and along the frontier line of agencies and missions that extends from the Missouri to the Arkansas.Our party was headed by one of the Commissioners appointed by the government of the United States, to superintend the settlement of the Indian tribes migrating from the east to the west of the Mississippi.In the discharge of his duties, he was thus visiting the various outposts of civilization."
"在这里，请容许我对我们这个小团队的可敬领队赞美几句。他是康涅狄格州上一个小镇的居民，一个尽管经历了长期的法律实践与政坛生涯，但仍然保持着与生俱来的淳朴与仁慈之心的人。在康涅狄格河宁静的河畔，他的大部分时间用在了处理家族内部事务及与执事、长老、市政委员的社交上。可在这时，他突然被征召骑上他的战马，挎上步枪，在渺无人烟的远西区荒原上与半裸的猎人、偏远林区的居民及赤裸的野蛮人混在一起。","And here let me bear testimony to the merits of this worthy leader of our little band.He was a native of one of the towns of Connecticut, a man in whom a course of legal practice and political life had not been able to vitiate an innate simplicity and benevolence of heart.The greater part of his days had been passed in the bosom of his family and the society of deacons, elders, and selectmen, on the peaceful banks of the Connecticut; when suddenly he had been called to mount his steed, shoulder his rifle, and mingle among stark hunters, backwoodsmen, and naked savages, on the trackless wilds of the Far West."
"L.先生是我的另一个旅伴。他出生于英国，却是外国人的后裔，有着欧洲大陆人与生俱来的乐观与随和。因为游历过许多国家，所以从某种意义上来说，他已经成为一个具有很强的适应能力的世界公民了。他身兼数职：植物学家、地质学家、甲虫和蝴蝶的捕捉者、业余音乐爱好者、毫不虚饰的素描画家。总之，他是一个彻头彻尾的艺术大师。另外，他还是一个并不总是很成功却不屈不挠的运动员。没有一个人像他那样同时要做很多事情，也因此没有一个人像他一样越忙越快乐。","Another of my fellow-travellers was Mr. L., an Englishman by birth, but descended from a foreign stock; and who had all the buoyancy and accommodating spirit of a native of the Continent.Having rambled over many countries, he had become, to a certain degree, a citizen of the world, easily adapting himself to any change.He was a man of a thousand occupations; a botanist, a geologist, a hunter of beetles and butterflies, a musical amateur, a sketcher of no mean pretensions, in short, a complete virtuoso; added to which, he was a very indefatigable, if not always a very successful, sportsman.Never had a man more irons in the fire, and, consequently, never was man more busy nor more cheerful."
"我的第三个旅伴是陪着L.先生从欧洲来的一位先生，他就像忒勒马科斯一样陪同在他左右，更准确地说，就像他的复制品，总是偶尔给他的“良师益友”带来些困惑和不安。他是一个年轻的瑞士伯爵，不到二十一岁，才华横溢，充满活力，但却兴奋得过了度，总是想去尝试各种疯狂的冒险。","My third fellow-traveller was one who had accompanied the former from Europe, and travelled with him as his Telemachus; being apt, like his prototype, to give occasional perplexity and disquiet to his Mentor.He was a young Swiss Count, scarce twenty-one years of age, full of talent and spirit, but galliard in the extreme, and prone to every kind of wild adventure."
"介绍了我的伙伴们之后，我不得不提及一个不容忽视的人物。他虽然地位低下，却不可或缺、至关重要：护卫、马夫、厨师、支帐篷的人……概括来说，他就是个总管，并且我还想补充一句：他是我们队伍中最爱管闲事和最喜欢捣蛋的人。此人个头不高、又黑又瘦，是法国人与非洲人的混血儿，名叫安托万，但人们亲切地称之为托尼什——一种边境上的吉尔·布拉斯。他过着一种杂乱的生活：有时混迹于白人当中，有时出入于印第安部落，有时受雇于商人、传教士或印第安雇主，有时又加入到奥赛奇人的狩猎队之中。我们在圣路易斯带上了他。在圣路易斯附近，他有一个小农场、一个印第安妻子和一大群同母异父的孩子。然而据他自己所说，他在每个部落都有一个妻子。事实上，如果这个矮小的流浪者所说的关于自己的一切都属实的话，那他就是一个没有道德、没有社会地位、没有原则、没有国家甚至没有自己语言的人，因为他说的是一口夹杂着法语、英语和奥赛奇语的行话。此外，他是个声名狼藉的吹牛者和一流的撒谎者。听他夸夸其谈地讲述他那些令人胆战心惊的英勇行为，以及在战场上、打猎时在千钧一发之际死里逃生的经历是一件很有趣的事。在他口若悬河地讲故事的时候，有时会因一阵阵的大喘气而中断下来，就像他颌上的筋突然出现了错乱；但我更愿意认为这是他被自己脱口而出的谎话噎到了，因为通常我接下来都会马上意识到这是一个弥天大谎。","Having made this mention of my comrades, I must not pass over unnoticed, a personage of inferior rank, but of all-pervading and prevalent importance: the squire, the groom, the cook, the tent man, in a word, the factotum, and, I may add, the universal meddler and marplot of our party.This was a little swarthy, meagre, French creole, named Antoine, but familiarly dubbed Tonish: a kind of Gil Blas of the frontier, who had passed a scrambling life, sometimes among white men, sometimes among Indians; sometimes in the employ of traders, missionaries, and Indian agents; sometimes mingling with the Osage hunters.We picked him up at St. Louis, near which he had a small farm, an Indian wife, and a brood of half-blood children.According to his own account, however, he had a wife in every tribe; in fact, if all this little vagabond said of himself were to be believed, he was without morals, without caste, without creed, without country, and even without language; for he spoke a jargon of mingled French, English, and Osage.He was, withal, a notorious braggart, and a liar of the first water.It was amusing to hear him vapor and gasconade about his terrible exploits and hairbreadth escapes in war and hunting.In the midst of his volubility, he was prone to be seized by a spasmodic gasping, as if the springs of his jaws were suddenly unhinged; but I am apt to think it was caused by some falsehood that stuck in his throat, for I generally remarked that immediately afterward there bolted forth a lie of the first magnitude."
"这是一次愉快的旅行，有时我们会住在印第安传教士们的相隔很远的屋子里，但大多数时候，我们在野外靠近溪流的幽静小树林里搭建营地，睡在帐篷里。在行程的后半段，我们往前赶了赶路，希望能够及时赶到吉布森要塞，跟奥赛奇族进行秋季大草原野牛狩猎的猎手们一道而行。实际上，那位年轻的伯爵已经因对这个事的想象而兴奋不已了。大草原壮丽的风景和桀骜不驯的个性已经使他痴迷不已了，并且小托尼什给他讲的关于印第安勇士和美女、关于猎杀野牛和捕捉野马的故事，都使他想要急切地冲到原始生活中去。他是个勇敢而骑技高超的骑士，渴望逐鹿草原。听他充满青春活力地描述和印第安人混在一起，加入他们艰苦的探险时，他预计将会看到什么、会做什么和享受什么，是件很有意思的事。但更有意思的是听小托尼什吹牛。他自愿在伯爵所有的危险活动中做他忠实的侍从：教他如何捕捉野马、放倒野牛，以及赢得印第安公主的芳心。——“要是我们能看到燃烧的大草原就好了。”年轻的伯爵说。——“到那时，我要亲自点火。”小法国人大叫着说。","Our route had been a pleasant one, quartering ourselves, occasionally, at the widely separated establishments of the Indian missionaries, but in general camping out in the fine groves that border the streams, and sleeping under cover of a tent.During the latter part of our tour we had pressed forward, in hopes of arriving in time at Fort Gibson to accompany the Osage hunters on their autumnal visit to the buffalo prairies.Indeed the imagination of the young Count had become completely excited on the subject.The grand scenery and wild habits of the prairies had set his spirits madding, and the stories that little Tonish told him of Indian braves and Indian beauties, of hunting buffaloes and catching wild horses, had set him all agog for a dash into savage life.He was a bold and hard rider, and longed to be scouring the hunting grounds.It was amusing to hear his youthful anticipations of all that he was to see, and do, and enjoy, when mingling among the Indians and participating in their hardy adventure; and it was still more amusing to listen to the gasconadings of little Tonish, who volunteered to be his faithful squire in all his perilous undertakings; to teach him how to catch the wild horse, bring down the buffalo, and win the smiles of Indian princesses;—“And if we can only get sight of a prairie on fire!” said the young Count—“By Gar, Ill set one on fire myself!” cried the little Frenchman."
"第二章 期望落空","CHAPTER II. ANTICIPATIONS DISAPPOINTED."
"——新的计划——准备加入一支探险队——从吉布森要塞启程——弗迪格里斯河的浅滩——一个印第安骑士","—NEW PLANS.—PREPARATIONS TO JOIN AN EXPLORING PARTY.—DEPARTURE FROM FORT GIBSON.—FORDING OF THE VERDIGRIS.—AN INDIAN CAVALIER."
