"千块皮","Allerleirauh"
"很久很久以前，有一位国王，他的妻子长着一头金黄色的头发，她是那么的美丽，举世无双。可是，她突然病倒了。她感到自己快要不行了，便把国王叫到身边，说：“我死后，如果你要再娶一位王后的话，不能娶没我漂亮的女人，她得长着一头像我这样的金发才行，这一点你必须答应我。”国王答应她之后，王后便合上双眼去世了。","There was once on a time a King who had a wife with golden hair, and she was so beautiful that her equal was not to be found on earth.It came to pass that she lay ill, and as she felt that she must soon die, she called the King and said, “If thou wishest to marry again after my death, take no one who is not quite as beautiful as I am, and who has not just such golden hair as I have: this thou must promise me.”And after the King had promised her this she closed her eyes and died."
"此后很长时间国王都沉浸在悲痛中，他也没有考虑再娶一位王后的问题。最后，国王的大臣们说：“这样可不行啊。国王必须得结婚，这样，我们才能有位王后。”国王派人四处去寻找一位姑娘，她要和死去的王后一样漂亮。然而，他们找不到那样的姑娘，即使有人和王后一样漂亮，可她的头发又不是金黄色的。使者们只得无功而返。","For a long time the King could not be comforted, and had no thought of taking another wife.At length his councillors said, “There is no help for it, the King must marry again, that we may have a Queen.”And now messengers were sent about far and wide, to seek a bride who equalled the late Queen in beauty.In the whole world, however, none was to be found, and even if one had been found, still there would have been no one who had such golden hair.So the messengers came home as they went."
"国王有一个女儿，她和她死去的母亲一样漂亮，也长着同样的金黄色头发。当女孩长大后，有一次，国王打量着她，发现她和他死去的妻子一模一样，国王忽然对她产生了强烈的爱意。于是，王国对大臣们说：“我要娶我的女儿为妻，只有她才和死去的王后一样美丽。不然，我找不到像死去的王后一样美丽的新娘了。”听到这话，大臣们都震惊了，他们说：“上帝禁止父亲娶女儿为妻。你若犯下这等罪孽，不会有好结果，我们的王国也会跟着遭到毁灭。”","Now the King had a daughter, who was just as beautiful as her dead mother, and had the same golden hair.When she was grown up the King looked at her one day, and saw that in every respect she was like his late wife, and suddenly felt a violent love for her.Then he spoke to his councillors, “I will marry my daughter, for she is the counterpart of my late wife, otherwise I can find no bride who resembles her.”When the councillors heard that, they were shocked, and said, “God has forbidden a father to marry his daughter, no good can come from such a crime, and the kingdom will be involved in the ruin.”"
"公主知道父亲的决定后，更加震惊，但她希望能改变父亲的想法。于是，公主对国王说：“在我完成你的心愿前，我要三件衣裳：一件要如太阳般金光灿灿，一件要如月亮般皎洁如银，一件要如星星般璀璨明亮。除此之外，我还要一件斗篷，它要用一千块不同种类的动物皮毛缝制而成，我们国家的每种动物都要献出一块皮子。”公主心想：“这不可能做得到，只有这样，我才能阻止父亲的这种不良企图。”然而，国王并没有就此罢休。他命全国最手巧的女子缝制这三件衣裳：一件如太阳般金光灿灿，一件如月亮般皎洁如银，一件如星星般璀璨明亮。他还命猎手们把全国的每种动物都捉一只来，从它们身上取下一块皮，用这些皮制成一件千块皮的斗篷。最后，一切都准备妥当，国王命人拿来斗篷，把它放在公主面前，说：“我们明天举行婚礼。”","The daughter was still more shocked when she became aware of her father’s resolution, but hoped to turn him from his design.Then she said to him, “Before I fulfil your wish, I must have three dresses, one as golden as the sun, one as silvery as the moon, and one as bright as the stars; besides this, I wish for a mantle of a thousand different kinds of fur and hair joined together, and one of every kind of animal in your kingdom must give a piece of his skin for it.”But she thought, “To get that will be quite impossible, and thus I shall divert my father from his wicked intentions.”The King, however, did not give it up, and the cleverest maidens in his kingdom had to weave the three dresses, one as golden as the sun, one as silvery as the moon, and one as bright as the stars, and his huntsmen had to catch one of every kind of animal in the whole of his kingdom, and take from it a piece of its skin, and out of these was made a mantle of a thousand different kinds of fur.At length, when all was ready, the King caused the mantle to be brought, spread it out before her, and said, “The wedding shall be tomorrow.”"
"公主看到没希望改变国王的心意后，便决定离家出走。夜里，所有人都睡着了，公主起身，取出三件宝贝：一枚金戒指、一个金制的小纺轮和一架金制卷线车。她把那三件如太阳、月亮和星星般的衣裳装进一个坚果壳里，穿上那件用各种兽皮制成的斗篷，然后又用烟灰涂黑了脸和双手。她做完祷告后，就出发了。她整整走了一晚上，终于来到一片大森林里。公主很疲惫，便钻进一个树洞里睡着了。","When, therefore, the King’s daughter saw that there was no longer any hope of turning her father’s heart, she resolved to run away from him.In the night whilst every one was asleep, she got up, and took three different things from her treasures, a golden ring, a golden spinning-wheel, and a golden reel.The three dresses of the sun, moon, and stars she put into a nutshell, put on her mantle of all kinds of fur, and blackened her face and hands with soot.Then she commended herself to God, and went away, and walked the whole night until she reached a great forest.And as she was tired, she got into a hollow tree, and fell asleep."
"太阳升起来了，公主还在睡觉。正午时分公主仍然没醒。碰巧，森林的主人——当地的国王，来森林里狩猎。国王的猎狗来到这棵树前，它们嗅了嗅，便围着树又跑又叫。国王对猎人们说：“去看看树洞里藏着什么野兽。”猎人们照国王吩咐的做了。他们回来报告说：“树洞里躺着一只特别漂亮的动物，我们以前从未见过这种动物。它的皮是由一千块各种各样的兽皮组成的，它还在睡觉呢。”国王说：“你们要活捉它，然后把它绑到车上带回去。”公主被猎人们抓住后就醒了，她惊恐极了，朝他们喊：“我是一个可怜的女孩，父母抛弃了我，你们可怜可怜我，带我一起走吧。”他们说道：“千块皮，你可以到御膳房去帮忙。跟我们走吧，你就在那儿打扫打扫卫生吧。”他们把公主放在车上，把她带回了宫殿。他们朝她指了指楼梯下的一间小屋，那小屋黑漆漆的不见天日。他们对她说：“小毛孩，你就住在这里吧。”然后女孩被领进御膳房。她在那儿挑柴提水、打扫壁炉、褪鸡毛、择菜、扫灰，所有的脏活她都干。","The sun rose, and she slept on, and she was still sleeping when it was full day.Then it so happened that the King to whom this forest belonged, was hunting in it.When his dogs came to the tree, they sniffed, and ran barking round about it.The King said to the huntsmen, “Just see what kind of wild beast has hidden itself in there.”The huntsmen obeyed his order, and when they came back they said, “A wondrous beast is lying in the hollow tree; we have never before seen one like it.Its skin is fur of a thousand different kinds, but it is lying asleep.”Said the King, “See if you can catch it alive, and then fasten it to the carriage, and we will take it with us.”When the huntsmen laid hold of the maiden, she awoke full of terror, and cried to them, “I am a poor child, deserted by father and mother; have pity on me, and take me with you.”Then said they, “Allerleirauh, thou wilt be useful in the kitchen, come with us, and thou canst sweep up the ashes.”So they put her in the carriage, and took her home to the royal palace.There they pointed out to her a closet under the stairs, where no daylight entered, and said, “Hairy animal, there canst thou live and sleep.”Then she was sent into the kitchen, and there she carried wood and water, swept the hearth, plucked the fowls, picked the vegetables, raked the ashes, and did all the dirty work."
"“千块皮”在那里生活了很长时间，她的处境很悲惨。唉，漂亮的公主，你现在怎么变成这样！一天，王宫举行宴会，女孩对厨子说：“我可以到楼上去看看吗？我就呆在门外。”厨子答道：“可以，你去吧。但你得在半小时内回来打扫壁炉。”于是，女孩带着油灯回到她的小屋里。她脱下兽皮，洗掉脸上和手上的烟灰，她全部的美丽又露了出来。然后，她打开坚果，拿出那件像太阳一样金光闪闪的衣裳。她穿上那件衣裳就上楼出席宴会了。大家都为她让路，没人认识她，大家都觉得她是位公主。国王走上前来，拉住她的手，同她翩翩起舞，心里暗想：“我从来没见过这么漂亮的姑娘！”舞跳完了，女孩对国王行了屈膝礼。国王四处找她时，她已消失不见了，没人知道她去哪了。国王叫来王宫门前站岗的守卫问话，可他们都没见过她。","Allerleirauh lived there for a long time in great wretchedness.Alas, fair princess, what is to become of thee now!It happened, however, that one day a feast was held in the palace, and she said to the cook, “May I go up stairs for a while, and look on?I will place myself outside the door.”The cook answered, “Yes, go, but you must be back here in half-an-hour to sweep the hearth.”Then she took her oil-lamp, went into her den, put off her fur-dress, and washed the soot off her face and hands, so that her full beauty once more came to light.And she opened the nut, and took out her dress which shone like the sun, and when she had done that she went up to the festival, and every one made way for her, for no one knew her, and thought no otherwise than that she was a king’s daughter.The King came to meet her, gave his hand to her, and danced with her, and thought in his heart, “My eyes have never yet seen any one so beautiful!”When the dance was over she curtsied, and when the King looked round again she had vanished, and none knew whither.The guards who stood outside the palace were called and questioned, but no one had seen her."
"女孩跑进小屋里，迅速脱下衣裳，又在脸上和手上抹上烟灰，穿上那件兽皮斗篷，她又变成了“千块皮”。公主回到御膳房，正要打扫灰尘，厨子说：“那个活明天再做吧，帮我给国王做碗汤，我也上楼去看看。不过，不要把头发掉到汤里，否则，你以后就没饭吃了。”厨子走后，“千块皮”便为国王准备汤，她尽最大努力为国王做了一锅面包汤。汤做好后，她从小屋里拿来那枚金戒指，放进给国王做的那碗汤里。舞会结束后，国王命人把汤端来。国王很喜欢喝，他觉得自己从来没喝过这么好喝的汤。可是，汤喝光后，国王看到碗底有一枚金戒指，他想不出戒指是怎么跑到碗里的。于是，他命厨子过来见他。听到命令后，厨子很害怕，他对“千块皮”说：“你一定是把头发掉进汤里了。要真是这样，我非收拾你一顿。”厨子来到国王面前，国王问他，这碗汤是谁做的？厨子答道：“是我做的。”国王说：“不可能，这汤比平时的好喝多了，做法也不一样。”厨子说：“我如实招了，这汤不是我做的，是千块皮做的。”国王说：“去叫她来见我。”","She had, however, run into her little den, had quickly taken off her dress, made her face and hands black again, put on the fur-mantle, and again was Allerleirauh.And now when she went into the kitchen, and was about to get to her work and sweep up the ashes, the cook said, “Leave that alone till morning, and make me the soup for the King; I, too, will go upstairs awhile, and take a look; but let no hairs fall in, or in future thou shalt have nothing to eat.”So the cook went away, and Allerleirauh made the soup for the king, and made bread soup and the best she could, and when it was ready she fetched her golden ring from her little den, and put it in the bowl in which the soup was served.When the dancing was over, the King had his soup brought and ate it, and he liked it so much that it seemed to him he had never tasted better.But when he came to the bottom of the bowl, he saw a golden ring lying, and could not conceive how it could have got there.Then he ordered the cook to appear before him.The cook was terrified when he heard the order, and said to Allerleirauh, “Thou hast certainly let a hair fall into the soup, and if thou hast, thou shalt be beaten for it.”When he came before the King the latter asked who had made the soup?The cook replied, “I made it.”But the King said, “That is not true, for it was much better than usual, and cooked differently.”He answered, “I must acknowledge that I did not make it, it was made by the rough animal.”The King said, “Go and bid it come up here.”"
"“千块皮”来到国王面前，国王问道：“你是谁？”“我是一个没爹没娘的可怜的女孩。”国王继续问道：“你在王宫里做什么？”公主答到：“我什么也不擅长，只是被人呼来喝去。”国王又问：“碗里的那枚戒指你从哪儿弄来的？”女孩答道：“我不知道戒指的事情。”国王没问出什么东西，只得放她回去了。","When Allerleirauh came, the King said, “Who art thou?”“I am a poor girl who no longer has any father or mother.”He asked further, “Of what use art thou in my palace?”She answered, “I am good for nothing but to have boots thrown at my head.”He continued, “Where didst thou get the ring which was in the soup?”She answered, “I know nothing about the ring.”So the King could learn nothing, and had to send her away again."
"不久，王宫又举行宴会，“千块皮”还是像上次一样，恳请厨子让她去看看。厨子答道：“好的，不过你要在半小时之内回来，再给国王做一碗他很爱喝的面包汤。”于是，公主跑回小屋，匆忙地洗干净脸和手，然后从坚果壳里拿出那件皎洁如银的衣裳，把它穿在身上。然后，她走到楼上，好像一位公主。国王走上前来，很高兴能再次看到她。舞会一开始，他们就一起跳了起来。可是，舞会一结束，她又快速消失了，国王不知道她去哪了。她迅速跑回小屋，又打扮成毛孩的模样，然后她回到御膳房给国王准备面包汤。厨子上楼去后，她拿来金制小纺轮，把它放到碗里，汤盖住了小纺轮。汤端到了国王面前。跟上次一样，国王很喜欢喝这碗汤，于是他命人叫来厨子。跟上次一样，厨子不得不承认，这碗汤是“千块皮”做的。“千块皮”又来到国王面前，可她依然说自己什么也不擅长，只是被呼来喝去，还说她不知道小纺轮的事情。","After a while, there was another festival, and then, as before, Allerleirauh begged the cook for leave to go and look on.He answered, “Yes, but come back again in half-an-hour, and make the King the bread soup which he so much likes.”Then she ran into her den, washed herself quickly, and took out of the nut the dress which was as silvery as the moon, and put it on.Then she went up and was like a princess, and the King stepped forward to meet her, and rejoiced to see her once more, and as the dance was just beginning they danced it together.But when it was ended, she again disappeared so quickly that the King could not observe where she went.She, however, sprang into her den, and once more made herself a hairy animal, and went into the kitchen to prepare the bread soup.When the cook had gone up stairs, she fetched the little golden spinning-wheel, and put it in the bowl so that the soup covered it.Then it was taken to the King, who ate it, and liked it as much as before, and had the cook brought, who this time likewise was forced to confess that Allerleirauh had prepared the soup.Allerleirauh again came before the King, but she answered that she was good for nothing else but to have boots thrown at her head, and that she knew nothing at all about the little golden spinning-wheel."
