"讲故事的艺术","How to Tell a Story"
"作者：马克·吐温","by Mark Twain"
"幽默故事由美国人发明——它跟喜剧故事和诙谐故事不一样","The Humorous Story an American Development.—Its Difference from Comic and Witty Stories"
"我并不是宣称我讲起故事来很像样。我只是想说，我知道故事应该怎么讲，因为我曾经几乎每天都跟讲故事的行家里手呆在一起，并且一呆就是很多年。","I do not claim that I can tell a story as it ought to be told.I only claim to know how a story ought to be told, for I have been almost daily in the company of the most expert story-tellers for many years."
"故事有很多种，但只有一种难于驾驭——幽默故事。我主要就是谈这一类故事。幽默故事是美式的，喜剧故事是英式的，诙谐故事是法式的。幽默故事效果的产生取决于讲述的方式，而喜剧故事和诙谐故事的则依赖于故事本身。","There are several kinds of stories, but only one difficult kind—the humorous.I will talk mainly about that one.The humorous story is American, the comic story is English, the witty story is French.The humorous story depends for its effect upon the MANNER of the telling; the comic story and the witty story upon the MATTER."
"幽默故事可以扯得很远，想讲什么就讲什么，而且不一定要在最后得出什么要点；但喜剧故事和诙谐故事必须简短，并且结尾一定要有个笑点。讲幽默故事时是从头到尾都兴致勃勃，而其他两类则是突然大爆发。","The humorous story may be spun out to great length, and may wander around as much as it pleases, and arrive nowhere in particular; but the comic and witty stories must be brief and end with a point.The humorous story bubbles gently along, the others burst."
"严格说来，幽默故事是一个艺术品——高雅精湛的艺术——只有艺术家才能讲出味道来；但讲喜剧故事和诙谐故事则不需要什么艺术，任何人都可以讲。讲幽默故事的艺术——你明白的，我是指口头讲述，而不是书面阅读——是由美国人创造的，也一直保留在美国。","The humorous story is strictly a work of art—high and delicate art—and only an artist can tell it; but no art is necessary in telling the comic and the witty story; anybody can do it.The art of telling a humorous story—understand, I mean by word of mouth, not print— was created in America, and has remained at home."
"讲幽默故事时要严肃，演讲者要尽量掩盖他自己都隐隐怀疑不好笑的地方；但喜剧故事的演讲者会事先告诉你，那故事是他听到的最好笑的，然后兴高采烈地开讲，往往他自己是讲完后第一个发笑的人。有时候，如果他成功地让大家笑了，他会非常高兴，然后就会把故事的“笑点”重复一遍，并逐一扫视听众，博取掌声，之后还会再讲一遍好笑的地方。这看起来挺可悲的。","The humorous story is told gravely; the teller does his best to conceal the fact that he even dimly suspects that there is anything funny about it; but the teller of the comic story tells you beforehand that it is one of the funniest things he has ever heard, then tells it with eager delight, and is the first person to laugh when he gets through.And sometimes, if he has had good success, he is so glad and happy that he will repeat the “nub” of it and glance around from face to face, collecting applause, and then repeat it again.It is a pathetic thing to see."
"当然，通常情况下，那些看似杂乱无章、不连贯的幽默故事往往最后有一个笑点、核心点、爆料点，或者随你怎么称呼它。听故事的人必须机警，因为在很多时候讲故事的人会转移听众的注意力，特意以一种漫不经心的方式，不经意地说出笑点，并且还会装作不知道他抛出的正是笑点。","Very often, of course, the rambling and disjointed humorous story finishes with a nub, point, snapper, or whatever you like to call it.Then the listener must be alert, for in many cases the teller will divert attention from that nub by dropping it in a carefully casual and indifferent way, with the pretense that he does not know it is a nub."
"阿蒂默斯·沃德常常使用这个技巧。当听众过后才明白那个笑话、恍然大悟时，他会用无辜的眼神望着大家，一脸的惊奇，好像是在纳闷他们到底在笑什么。在他之前，丹·塞切尔就用过这种技巧；当今，奈、赖利和其他一些人也都在用。","Artemus Ward used that trick a good deal; then when the belated audience presently caught the joke he would look up with innocent surprise, as if wondering what they had found to laugh at.Dan Setchell used it before him, Nye and Riley and others use it today."
"但是，喜剧故事的演讲者不会对笑点一带而过；他会当着你的面大声喊出来——每次都是。当他把喜剧故事在英格兰、法国、德国和意大利印刷出来时，他会用斜体字来呈现笑点，并在后面加上大大的感叹号，有时还会用括号加以解释。所有这些真是让人沮丧，使人想与笑话一刀两断，再去过更好些的生活。","But the teller of the comic story does not slur the nub; he shouts it at you—every time.And when he prints it, in England, France, Germany, and Italy, he italicizes it, puts some whopping exclamation-points after it, and sometimes explains it in a parenthesis.All of which is very depressing, and makes one want to renounce joking and lead a better life."
"我来举个例子，看看喜剧故事是怎么讲的。故事的内容已经在世界上流传有一千二百年或一千五百年了。演讲者是这样讲的：","Let me set down an instance of the comic method, using an anecdote which has been popular all over the world for twelve or fifteen hundred years.The teller tells it in this way:"
"受伤的士兵","THE WOUNDED SOLDIER"
