"口信","BY COURIER"
"作者：欧·亨利","by O. Henry"
"眼下这个季节和这个时刻，公园里基本没什么游客；那位坐在人行道旁边一条长椅上的年轻女士可能只是心血来潮，想坐一会儿预先享受下即将到来的春天。","It was neither the season nor the hour when the Park had frequenters; and it is likely that the young lady, who was seated on one of the benches at the side of the walk, had merely obeyed a sudden impulse to sit for a while and enjoy a foretaste of coming Spring."
"她沉思着，坐在那里一动不动。她脸上的那一丝忧郁定是近来新添的，因为它尚未改变她青春美丽的面颊，也没柔和她嘴唇上那翘起的坚定的曲线。","She rested there, pensive and still.A certain melancholy that touched her countenance must have been of recent birth, for it had not yet altered the fine and youthful contours of her cheek, nor subdued the arch though resolute curve of her lips."
"她坐着的地方附近有一条小路，一个高大的年轻男子正沿着这小路大步穿过公园。他身后跟着个提手提箱的男孩。看到那姑娘，年轻人的脸一红，又转白了。他边走近边看着她的表情，自己的脸上也交织着希望和焦虑。他在距她几码的地方经过，却没看到任何迹象表明她意识到他来了或他存在。","A tall young man came striding through the park along the path near which she sat.Behind him tagged a boy carrying a suit-case.At sight of the young lady, the man’s face changed to red and back to pale again.He watched her countenance as he drew nearer, with hope and anxiety mingled on his own.He passed within a few yards of her, but he saw no evidence that she was aware of his presence or existence."
"他继续走了五十来码，突然停了下来，坐在了一边的长椅上。小男孩放下手提箱，一双疑惑而机灵的眼睛盯着他。年轻人掏出手帕擦了擦额头。手帕精致，额头轩昂，年轻人也很俊朗。他对男孩说：","Some fifty yards further on he suddenly stopped and sat on a bench at one side.The boy dropped the suit-case and stared at him with wondering, shrewd eyes.The young man took out his handkerchief and wiped his brow.It was a good handkerchief, a good brow, and the young man was good to look at.He said to the boy: "
"“我要你捎个口信给坐在那长椅上的年轻女士。告诉她，我现在就要去车站前往旧金山，然后赶去阿拉斯加参加狩猎队打麋鹿。告诉她，她不让我和她说话，也不让我给她写信，我只得用这种方式对她提出最后的请求，请她看在过去的份上对我公平点。告诉她，责怪并抛弃一个不该受此对待的人，既不说明理由，又不给人解释的机会，这不符合她在我心目中的本性。告诉她，我这样做虽然在某种程度上违背了她的禁令，但只是希望她以后能稍稍对待我公平点。去吧，告诉她这些。”","“I want you to take a message to that young lady on that bench.Tell her I am on my way to the station, to leave for San Francisco, where I shall join that Alaska moose-hunting expedition.Tell her that, since she has commanded me neither to speak nor to write to her, I take this means of making one last appeal to her sense of justice, for the sake of what has been.Tell her that to condemn and discard one who has not deserved such treatment, without giving him her reasons or a chance to explain is contrary to her nature as I believe it to be.Tell her that I have thus, to a certain degree, disobeyed her injunctions, in the hope that she may yet be inclined to see justice done.Go, and tell her that.”"
"年轻人在男孩手里丢了半元银币。男孩脏兮兮的聪明脸蛋上那双明亮机敏的眼睛看了他片刻，然后迈步跑去了。他有点迟疑但并不局促地走近长椅上的女子。他碰了碰扣在后脑勺上的旧格子花呢自行车运动帽的帽檐。女子冷静地看着他，既不反感也不热情。","The young man dropped a half-dollar into the boy’s hand.The boy looked at him for a moment with bright, canny eyes out of a dirty, intelligent face, and then set off at a run.He approached the lady on the bench a little doubtfully, but unembarrassed.He touched the brim of the old plaid bicycle cap perched on the back of his head.The lady looked at him coolly, without prejudice or favour."
"“女士，”他说，“那边长椅上的先生派我给你表演一段歌舞。如果您不认识他，而他别有用心，您说句话，我三分钟之内就叫个警察来。如果您认识他，且他是实诚人，我就把他让我传的那番话说给你听。”","“Lady,” he said, “dat gent on de oder bench sent yer a song and dance by me.If yer don’t know de guy, and he’s tryin’ to do de Johnny act, say de word, and I’ll call a cop in t’ree minutes.If yer does know him, and he’s on de square, w’y I’ll spiel yer de bunch of hot air he sent yer.”"
"年轻女子稍稍表现出了点兴趣。","The young lady betrayed a faint interest."
"“一段歌舞！”她说道，从容而甜美的嗓音似乎给她那难以弄明白的带着讽刺意味的话语裹上了一层若有似无的透明外衣。“这主意倒新鲜——我想他是从行吟诗人那儿学来的吧。我——以前认识派你来的那位先生，所以我想没什么必要找警察。你可以表演你的歌舞，但别唱得太大声。现在演露天歌舞剧早了点儿，会引人注意的。”","“A song and dance!” she said, in a deliberate sweet voice that seemed to clothe her words in a diaphanous garment of impalpable irony.“A new idea—in the troubadour line, I suppose.I—used to know the gentleman who sent you, so I think it will hardly be necessary to call the police.You may execute your song and dance, but do not sing too loudly.It is a little early yet for open-air vaudeville, and we might attract attention.”"
