"最后一案","The Final Problem"
"怀着十分沉痛的心情，我最后一次提笔叙写我朋友歇洛克·福尔摩斯，叙写他秀出群伦的独特本领。在此之前，我以一种杂乱无章、自己也深感十分苍白的方式讲述了我与他共同经历的一些离奇事件，始于我俩借由“暗红习作”一案初次相识，迄于他介入“海军协定”一案。在后面这件案子当中，毫无疑问，多亏有他的介入，一场严重的国际纠纷才没有成为事实。我本打算就此封笔，绝口不提下面这件事情，因为这件事情给我的生活造成了难以承受的缺憾，事隔两年也没有丝毫好转。可是，詹姆斯·莫里亚蒂上校最近发表了一些信件，试图为他已故的兄弟正名，所以我已经别无选择，只能遽尔操觚，把相关的事实原原本本地呈现在公众眼前。世上只有我一个人了解这件事情的全部真相，而我已经断定，事到如今，秘而不宣不会再有任何好处。据我所知，关于此事的公开报道只有三种，一是《日内瓦日报》[^1]一八九一年五月六日的报道，二是英国各家报纸五月七日刊发的路透社电讯，再就是我前面提到的那些新近发表的公开信。前两种都是语焉不详，后一种则正如我即将揭示的那样，完全是颠倒黑白。有鉴于此，我自感义不容辞，不得不首次披露，莫里亚蒂教授和歇洛克·福尔摩斯先生二人纠葛的真实始末。","It is with a heavy heart that I take up my pen to write these the last words in which I shall ever record the singular gifts by which my friend Mr. Sherlock Holmes was distinguished. In an incoherent and, as I deeply feel, an entirely inadequate fashion, I have endeavoured to give some account of my strange experiences in his company from the chance which first brought us together at the period of the ‘Study in Scarlet,’ up to the time of his interference in the matter of the “Naval Treaty”—an interference which had the unquestionable effect of preventing a serious international complication. It was my intention to have stopped there, and to have said nothing of that event which has created a void in my life which the lapse of two years has done little to fill. My hand has been forced, however, by the recent letters in which Colonel James Moriarty defends the memory of his brother, and I have no choice but to lay the facts before the public exactly as they occurred. I alone know the absolute truth of the matter, and I am satisfied that the time has come when no good purpose is to be served by its suppression. As far as I know, there have been only three accounts in the public press: that in the *Journal de Genève* on May 6th, 1891, the Reuter’s dispatch in the English papers on May 7th, and finally the recent letters to which I have alluded. Of these the first and second were extremely condensed, while the last is, as I shall now show, an absolute perversion of the facts. It lies with me to tell for the first time what really took place between Professor Moriarty and Mr. Sherlock Holmes."
"读者诸君也许记得，自从我有了家室，随后又开业行医，我和福尔摩斯之间的亲密关系就在一定程度上有所疏远。隔三岔五，赶上他的调查工作需要同伴的时候，他依然会来找我，然而，这样的情形日见稀少，最后我竟然发现，我一八九零年的记录当中只有区区三件案子。这一年的冬天和一八九一年的初春，我在报上看到他接受了法国政府的委托，正在办一件极其重大的案子，其间又收到了他分别从纳博讷和尼姆[^2]寄来的两封信，由此推测他的法国之行可能会旷日持久。这样一来，四月二十四日晚上，看到他走进我的诊疗室，我不免觉得有些惊讶。与此同时，我发现他脸色比平常还要苍白，身形也更见消瘦。","It may be remembered that after my marriage, and my subsequent start in private practice, the very intimate relations which had existed between Holmes and myself became to some extent modified. He still came to me from time to time when he desired a companion in his  investigations, but these occasions grew more and more seldom, until I find that in the year 1890 there were only three cases of which I retain any record. During the winter of that year and the early spring of 1891, I saw in the papers that he had been engaged by the French government upon a matter of supreme importance, and I received two notes from Holmes, dated from Narbonne and from Nimes, from which I gathered that his stay in France was likely to be a long one. It was with some surprise, therefore, that I saw him walk into my consulting-room upon the evening of April 24th. It struck me that he was looking even paler and thinner than usual."
"“是啊，我的确把自己消耗得太厉害了，”他回答的是我的表情，并没有等我开口说话，“最近的压力稍微有点儿沉重。我得把你的窗板关上，你没意见吧？”","“Yes, I have been using myself up rather too freely,” he remarked, in answer to my look rather than to my words; “I have been a little pressed of late. Have you any objection to my closing your shutters?”"
"我本来是在看书，桌上的提灯是屋里仅有的光源。福尔摩斯贴着墙蹭到窗边，砰的一声关上窗板，跟着就紧紧地插上了插销。","The only light in the room came from the lamp upon the table at which I had been reading. Holmes edged his way round the wall, and, flinging the shutters together, he bolted them securely."
"“你是在害怕某种东西吗？”我问道。","“You are afraid of something?” I asked."
"“呃，是的。”","“Well, I am.”"
"“什么东西呢？”","“Of what?”"
"“气枪[^3]。”","“Of air-guns.”"
"“亲爱的福尔摩斯，这话是什么意思？”","“My dear Holmes, what do you mean?”"
"“你对我非常了解，华生，应该知道我绝不是一个神经过敏的人。话又说回来，如果危险临头还拒绝承认，那就不叫勇敢，只能叫做愚蠢了。你能给我根火柴吗？”他贪婪地吸着香烟，似乎是非常享受它的镇静作用。","“I think that you know me well enough, Watson, to understand that I am by no means a nervous man. At the same time, it is stupidity rather than courage to refuse to recognize danger when it is close upon you. Might I trouble you for a match?” He drew in the smoke of his cigarette as if the soothing influence was grateful to him."
