"福尔摩斯谢幕演出","His Last Bow"
"时间是八月二日，晚上九点。这是世界历史上最可怕的一个八月[^1]，周遭的一切凝神敛息，闷热凝滞的空气中弥漫着一种模模糊糊的预感，让人油然想到，上帝的诅咒马上就会降临这个堕落的世界。太阳早已落山，远远的西方却低低地横亘着一抹殷红的残霞，宛如一道未愈的伤口。上方是熠熠生辉的群星，下方则是海湾里来往船只的闪烁灯火。两位著名的德国人伫立在花园小径的石栏旁边，身后是一座又长又矮、山墙林立的房屋。他俩正在俯瞰下方的宽广海滩，所在的地方则是一堵白垩巨崖的顶端，四年之前，冯·博克把自己的家安在了这里，如同一只离群孤栖的老鹰。两个人把脑袋凑在一起，正在窃窃私语。他俩都在吸雪茄，若是你从下方往上看，两个红光闪烁的雪茄烟头就像是一双烟焰缭绕的恶魔之眼，正在透过黑暗俯视着你。","It was nine o’clock at night upon the second of August—the most terrible August in the history of the world. One might have thought already that God’s curse hung heavy over a degenerate world, for there was an awesome hush and a feeling of vague expectation in the sultry and stagnant air. The sun had long set, but one bloodred gash like an open wound lay low in the distant west. Above, the stars were shining brightly, and below, the lights of the shipping glimmered in the bay. The two famous Germans stood beside the stone parapet of the garden walk, with the long, low, heavily gabled house behind them, and they looked down upon the broad sweep of the beach at the foot of the great chalk cliff on which Von Bork, like some wandering eagle, had perched himself four years before. They stood with their heads close together, talking in low, confidential tones. From below the two glowing ends of their cigars might have been the smouldering eyes of some malignant fiend looking down in the darkness."
"这个冯·博克非同小可，堪称是德国皇帝麾下所有忠诚间谍之中最出色的人物。他的才干让他获得了最重要的一项谍报任务，也就是前来英国刺探情报，不但如此，在那些真正了解内情的人看来，自从他接受这项任务之后，他的才干更有了越来越突出的体现。世上只有六个人洞悉内情，其中之一就是他眼下的同伴、德国公使馆首席秘书冯·赫林男爵。此时此刻，男爵那辆形体巨大的一百马力奔驰轿车停在一旁，把那条乡间小路堵了个严严实实，正等着把它的主人送回伦敦。","A remarkable man this Von Bork—a man who could hardly be matched among all the devoted agents of the Kaiser. It was his talents which had first recommended him for the English mission, the most important mission of all, but since he had taken it over those talents had become more and more manifest to the half-dozen people in the world who were really in touch with the truth. One of these was his present companion, Baron Von Herling, the chief secretary of the legation, whose huge 100-horse-power Benz car was blocking the country lane as it waited to waft its owner back to London."
"“根据我对形势的判断，十之八九，你本周就得回柏林去，”秘书说道，“回去之后，亲爱的冯·博克，我看你一定会为他们给你准备的礼遇感到惊奇。最高当局对你在英国的工作有些什么评价，我也是略有所闻的。”秘书是个大块头，又高又壮，主要的政治资本则是他那种慢条斯理、一本正经的说话方式。","“So far as I can judge the trend of events, you will probably be back in Berlin within the week,” the secretary was saying. “When you get there, my dear Von Bork, I think you will be surprised at the welcome you will receive. I happen to know what is thought in the highest quarters of your work in this country.” He was a huge man, the secretary, deep, broad, and tall, with a slow, heavy fashion of speech which had been his main asset in his political career."
"冯·博克笑了起来。","Von Bork laughed."
"“要骗他们并不难，”他如是说道，“比他们还要驯良单纯的民族，你连想都想不出来。”","“They are not very hard to deceive,” he remarked. “A more docile, simple folk could not be imagined.”"
"“我倒不这么觉得，”对方若有所思地说道，“他们有一些古怪的规矩，你必须得学会遵守。外乡人往往会着他们的道，就是因为他们这种表面上的单纯。乍一看，你会觉得他们温和之极。接下来，你却会突然撞上某种十分坚硬的东西，这时你才会恍然大悟，你已经触到了他们的底线，只能设法适应头破血流的现实。举例说吧，他们有一些坐井观天的岛民习俗，不遵守是绝对不行的。”","“I don’t know about that,” said the other thoughtfully. “They have strange limits and one must learn to observe them. It is that surface simplicity of theirs which makes a trap for the stranger. One’s first impression is that they are entirely soft. Then one comes suddenly upon something very hard, and you know that you have reached the limit and must adapt yourself to the fact. They have, for example, their insular conventions which simply *must* be observed.”"
"“您指的是‘举止得体’之类的东西吗？”冯·博克叹了一口气，似乎是在这些方面吃过不少苦头。","“Meaning, ‘good form’ and that sort of thing?” Von Bork sighed as one who had suffered much."
"“我指的是所有那些千奇百怪的英国式偏见。为了说明这一点，我打算拿我自己栽的一个大跟头来做例子——我并不害怕谈论自己栽的跟头，因为你非常了解我的工作，看得到我的成就。事情发生在我刚来英国的时候，一位内阁大臣请我去他的乡间别墅参加周末聚会，聚会期间的谈话随意得叫人吃惊。”","“Meaning British prejudice in all its queer manifestations. As an example I may quote one of my own worst blunders—I can afford to talk of my blunders, for you know my work well enough to be aware of my successes. It was on my first arrival. I was invited to a week-end gathering at the country house of a cabinet minister. The conversation was amazingly indiscreet.”"
"冯·博克点了点头。“我也去过那里，”他干巴巴地说了一句。","Von Bork nodded. “I’ve been there,” said he dryly."
"“没错。呃，聚会结束之后，我自然就把席间搜集到的情报整理成一份摘要，发给了柏林方面。不巧的是，我们那位可敬的总理在这些事情上有点儿毛手毛脚，不小心说漏了嘴，表明他知道聚会期间的谈话内容。当然喽，他的话直接把火引到了我的身上。你根本想象不到，那件事情对我造成了多么大的伤害。我可以跟你打包票，那一次，我们那些英国主人的态度一点儿都不温和。我花了两年的时间才摆脱那件事情的影响。你倒好，端着你这副运动员的姿态——”","“Exactly. Well, I naturally sent a résumé of the information to Berlin. Unfortunately our good chancellor is a little heavy-handed in these matters, and he transmitted a remark which showed that he was aware of what had been said. This, of course, took the trail straight up to me. You’ve no idea the harm that it did me. There was nothing soft about our British hosts on that occasion, I can assure you. I was two years living it down. Now you, with this sporting pose of yours—”"
