"雷神桥谜案[^1]","The Problem of Thor Bridge"
"查令十字科克斯银行[^2]的保险库里有一个满载风尘、破旧不堪的马口铁[^3]公文箱，盖子上写着我的姓名：约翰·H. 华生，医学博士，原属印度军团[^4]。箱子里面塞满了文件，绝大部分都是案卷，记录着歇洛克·福尔摩斯先生在各个时期经手的怪异问题。其中的一些案子虽然不乏趣味，结局却是彻底的失败，相关的事情既然永无定论，自然不适合形诸笔墨。没有答案的问题或许能引起研究者的兴趣，只可惜必然招致普通读者的怨声。有头无尾的故事包括詹姆斯·菲利莫尔先生的遭遇，他走回自己家里去拿雨伞，就这样从世上销声匿迹[^5]。独桅帆船“艾丽西亚号”的遭遇同样出奇，它在某个春日早晨驶入了一小团雾气，进去就没有出来，连同船上的人一起没了下文。第三个值得一提的此类故事以伊莎多拉·珀萨诺为主角，人们发现这位著名的记者兼决斗好手彻彻底底地失去了神志，直勾勾地瞪着面前的一个火柴盒，盒子里装的是一条古怪的蠕虫，据说是科学界闻所未闻的东西。抛开这些未曾破解的谜案不谈，还有些案子涉及极其重大的私家隐秘，竟至于达到了这样一种程度，一旦觉得这些案子有可能变成铅字，许多高高在上的处所就会出现惶惶不可终日的场面。不用说，像这种辜负他人信任的事情连想都不能想，眼下也已经到了把这些案子的记录挑出来销毁的时候，原因是我朋友刚好有时间，可以动手处理这件事情。剩下还有许多趣味或大或小的案子，我本来可以加工出来，可我又担心公众多食伤胃，由此损及我最为敬重的那个人的名望。有一些案子我曾经亲身参与，可以用目击证人的口吻来讲述，另一些则只能使用第三人称，因为我要么是未曾参与，要么就是参与的程度极为有限[^6]。以下这个故事则是我的亲身经历。","Somewhere in the vaults of the bank of Cox and Co., at Charing Cross, there is a travel-worn and battered tin dispatch-box with my name, John H. Watson, M. D., Late Indian Army, painted upon the lid. It is crammed with papers, nearly all of which are records of cases to illustrate the curious problems which Mr. Sherlock Holmes had at various times to examine. Some, and not the least interesting, were complete failures, and as such will hardly bear narrating, since no final explanation is forthcoming. A problem without a solution may interest the student, but can hardly fail to annoy the casual reader. Among these unfinished tales is that of Mr. James Phillimore, who, stepping back into his own house to get his umbrella, was never more seen in this world. No less remarkable is that of the cutter Alicia, which sailed one spring morning into a small patch of mist from where she never again emerged, nor was anything further ever heard of herself and her crew. A third case worthy of note is that of Isadora Persano, the well-known journalist and duellist, who was found stark staring mad with a match box in front of him which contained a remarkable worm said to be unknown to science. Apart from these unfathomed cases, there are some which involve the secrets of private families to an extent which would mean consternation in many exalted quarters if it were thought possible that they might find their way into print. I need not say that such a breach of confidence is unthinkable, and that these records will be separated and destroyed now that my friend has time to turn his energies to the matter. There remain a considerable residue of cases of greater or less interest which I might have edited before had I not feared to give the public a surfeit which might react upon the reputation of the man whom above all others I revere. In some I was myself concerned and can speak as an eyewitness, while in others I was either not present or played so small a part that they could only be told as by a third person. The following narrative is drawn from my own experience."
"十月里一个风声怒号的早晨，我一边穿衣，一边看狂风吹袭后园那株孤零零的悬铃木，卷走枝头的最后一些叶子。这之后，我走到楼下去吃早餐，满以为会看到我室友郁郁不乐的模样，因为他跟所有的艺术大师一样，很容易受到环境的触动。完全出乎我意料的是，他几乎已经吃完了早餐，神情也格外地兴高采烈，身上还带着一种多少有点儿不怀好意的欢快劲头，正是他轻松时刻的常态。","It was a wild morning in October, and I observed as I was dressing how the last remaining leaves were being whirled from the solitary plane tree which graces the yard behind our house. I descended to breakfast prepared to find my companion in depressed spirits, for, like all great artists, he was easily impressed by his surroundings. On the contrary, I found that he had nearly finished his meal, and that his mood was particularly bright and joyous, with that somewhat sinister cheerfulness which was characteristic of his lighter moments."
"“手头有案子吧，福尔摩斯？”我如是说道。","“You have a case, Holmes?” I remarked."
"“演绎的本领显然是具有传染性啊，华生。”他回答道。“你也学会用演绎法来窥探我的秘密啦。没错，我手头有件案子。连着过了一个月琐碎无聊、停滞不前的日子，轮子终于又转了起来。”","“The faculty of deduction is certainly contagious, Watson,” he answered. “It has enabled you to probe my secret. Yes, I have a case. After a month of trivialities and stagnation the wheels move once more.”"
"“能给我讲讲吗？”","“Might I share it?”"
"“可讲的事情虽然不多，咱们倒不妨讨论一下，不过你得先吃完那两只鸡蛋。那两只鸡蛋是咱们的新厨子赏给咱们的，煮得梆硬，它们的火候多半跟我昨天在门厅桌子上看到的那本《家庭信使》[^7]不无关系。即便是应付煮鸡蛋这样的琐碎事情，你也得拿出一种准确把握时间的专注，与此同时，这样的专注是跟那本绝妙期刊里的言情故事水火不容的。”","“There is little to share, but we may discuss it when you have consumed the two hard-boiled eggs with which our new cook has favoured us. Their condition may not be unconnected with the copy of the Family Herald which I observed yesterday upon the hall-table. Even so trivial a matter as cooking an egg demands an attention which is conscious of the passage of time and incompatible with the love romance in that excellent periodical.”"
"一刻钟之后，桌子已经收拾干净，我俩面对面地坐在了一起，他手里拿着从衣兜里掏出来的一封信。","A quarter of an hour later the table had been cleared and we were face to face. He had drawn a letter from his pocket."
"“你听说过金矿大王尼尔·吉布森吗？”他问道。","“You have heard of Neil Gibson, the Gold King?” he said."
"“你是说那个美国参议员吗？”","“You mean the American Senator?”"
"“没错，他一度是美国西部某个州的参议员，可他之所以出名，主要是因为他是世界上最大的金矿巨头。”","“Well, he was once Senator for some Western state, but is better known as the greatest gold-mining magnate in the world.”"
