"序","Preface"
"这本书是我近四十年前开始写的，因为事务冗忙，时作时辍。原来计划，除现在的五章外，还有三章是有关中国与外国佛教关系史的，因佛教协会已有这方面资料的编辑和著作，所以不重复了。","I began to write this book almost forty years ago. Owing to the heavy load of work, I could only write intermittently. In addition to the five chapters as they appear now, I intended to write three more chapters dealing with the history of relations between China and other countries in the Buddhist sphere. Since the Buddhist Association of China has undertaken to compile materials and write on this topic, there is no need to duplicate their work here."
"我写成第一章后，曾以楞严经“如人饮水，冷暖自知”这句话用“饮水”的笔名陆续在《现代佛学》杂志上发表。有一位朋友问我：“你为什么用这样一个小题目？”我说：“我喜欢‘小题大做’,而不愿‘大题小做’，更害怕‘有题空做’。”这本书名很合我的心意。","When I finished writing the first chapter, it was published in installments in the *Journal of Modern Buddhism*. I used the pseudonym, “Yin Shui” (drink water), derived from the text *Śūram gama Sūtra* that reads “One perceives whether the water is cold or warm only when one drinks it.” A friend of mine asked why I chose such an insignificant title. I replied, “I prefer to make a fuss about trifles rather than underplaying a big issue, not to mention completely ignoring significant subjects.” The title of this book is in conformity with my wish."
"几年前，一位青年僧人用日文翻译这本书，我应他的要求写序时，曾记下与本书有关的一件事：1957年我陪一位柬埔寨僧人见毛泽东主席，客人未到之前，我先到了，毛主席便和我漫谈。他问：“佛教有这么一个公式——赵朴初，即非赵朴初，是名赵朴初，有没有这个公式呀？”我说：“有。”主席再问：“为什么？先肯定，后否定？”我说：“不是先肯定，后否定，而是同时肯定，同时否定。”谈到这里，客人到了，没有能谈下去。后来，我在写这本书的第二章时，想起这一次未谈完的问答，我想，书中谈到缘起性空的思想，可能补充了当时我在毛主席面前所想讲的话。","A few years ago a young monk translated my book into Japanese. In the preface, which I wrote at his request, I referred to a story connected with the subject of this book. In 1957, I accompanied a Cambodian monk on a visit to Chairman Mao Zedong. Before the guest arrived I had the opportunity to chat with the Chairman. He told me, “There is a formula in Buddhism: Zhao Puchu is not Zhao Puchu (in the sense of Paramattha), but Zhao Puchu by name. Is this true?” “Yes.” I replied. He added, “Why, then, do you affirm it before negating it?” “It is not affirmation before negation,” I said, “but simultaneous affirmation and negation.” Then the guest arrived and the conversation was interrupted. Later when I worked on Chapter II of this book, I recalled that unfinished talk. I think the idea of the voidness of nature because of Dependent Origination (Paticcasamuppāda) in the book might constitute what I would have said to the Chairman at that time. "
"我曾看到一本毛主席的勤务员李银桥写的书。有一天，毛主席在延安出门散步，毛主席对李银桥说：“我们去看看佛教寺庙，好不好？”李银桥说：“那有什么看头？都是一些迷信。”毛主席说：“片面片面，那是文化。”我因而想起“文化大革命”结束后，周建人先生写信给我说：“文革”初期范文澜先生向他说，自己正在补课，读佛书。范老说，佛教在中国将近两千年，对中国文化有那么深厚的关系，不懂佛教，就不能懂得中国文化史。1987年，我到四川一个佛教名胜地方看到被人贴迷信标语的事实，回来写了一份报告，钱学森博士看见了，写信给我说：“宗教是文化。”","I have read a book written by Li Yinqiao, one of Chairman Mao’sbodyguards. According to this book, when Chairman Mao was taking a walk with Li in Yan’an one day, Mao said to him, “Let’s go see a Buddhist temple, shall we?” Li said, “What’s the point? It is nothing but a symbol of superstition.” “One-sided, one-sided your thinking is. It is culture.” This also reminds me of a letter to me from Mr. Zhou Jianren after “the Cultural Revolution”, in which he told me that in the early period of the turmoil, Mr. Fan Wenlan had sent word to him that he was making up for a missed lesson by reading Buddhist books. Fan said that Buddhism in China has lasted about twenty centuries, and that it had such a profound influence on Chinese culture that one can hardly understand the cultural history of China without some knowledge of Buddhism. Finally, in 1987, I visited a Buddhist historical site in Sichuan Province and found that anti-superstition slogans were visible everywhere. Therefore, on my return, I wrote a report. After reading the report Dr. Qian Xuesen wrote to me, “Religion is a part of culture”."
"这三个人，一是伟大的革命家，一是著名的历史学家，一是当代的大科学家，所见相同，都承认佛教是文化，而今天还有不少人的认识水平和当年李银桥的一样。","It is noteworthy that all three of these men, the first, a great revolutionary, the second, a famous historian, and the third, a great contemporary scientist, shared the same view that Buddhism is a part of culture. Yet there are still many people today whose perception remains like that of Li Yinqiao at that time."
"我最初写这本书的动机只是为了和外国朋友谈话时，翻译人员因缺乏佛教知识而感到困难，想为他们提供一些方便。但这许多年来，得到国内不少人的关怀、鼓励，也得到一些外国朋友的注意。事实说明，这一本小书对于增进人们对佛教的了解，增进国际朋友对中国佛教的了解，不无少许贡献。","At the very beginning, I was impelled to write this book by the desire to help those interpreters who had difficulty in performing their work due to a lack of knowledge in Buddhism. In recent years, however, I have received kindly consideration and encouragement from many people at home as well as friends from abroad. This indicates that this pamphlet has made more than a negligible contribution towards enhancing the public comprehension of Buddhism and helping foreigners understand Chinese Buddhism."
"我感谢译者为此书所付出的宝贵的心力。我虔诚期待国际朋友对于此书内容给予指教。","I am indebted to the translator for her arduous endeavors in accomplishing this task. I sincerely look forward to forthcoming comments on the book from friends all over the world."
"赵朴初 ","Zhao Puchu "
"1998年6月","June, 1998"
"佛陀和佛教的创立","THE BUDDHA AND THE ORIGIN OF BUDDHISM"
"**问**：什么是佛教？","**Q:** What is Buddhism?"
"**答**：佛教，广义地说，它是一种宗教，包括它的经典、仪式、习惯、教团的组织等等；狭义地说，它就是佛所说的言教；如果用佛教固有的术语来说，应当叫做佛法（Buddha Dhamma）。","**A:** Buddhism, in a general sense, is a religion with its canonical literature, rites, customs, Sangha Order (congregational organization) etc.; more specifically, it is the Buddha’s teachings, and with this specific meaning it should be termed the Buddha Dhamma."
"**问**：“法”是什么意思？","**Q:** What is “Dhamma”?"
"**答**：“法”字的梵语是达磨（Dharma）。佛教对这个字的解释是：“任持自性、轨生物解。”这就是说，每一事物必然保持它自己特有的性质和相状，有它一定轨则，使人看到便可以了解是何物。例如水，它保持着它的湿性，它有水的一定轨则，使人一见便生起水的了解；反过来说，如果一件东西没有湿性，它的轨则不同于水的轨则，便不能生起水的了解。所以佛教把一切事物都叫做“法”。佛经中常见到的“一切法”、“诸法”字样，就是“一切事物”或“宇宙万有”的意思。照佛教的解释，佛根据自己对一切法如实的了解而宣示出来的言教，它本身也同样具有“任持自性、轨生物解”的作用，所以也叫做法。","**A:** “Dharma” in Sanskrit (“Dhamma” in Pāli) means “retaining one’s own nature, so that it can be recognized”. That is to say, everything has its own attributes and appearance (S. prakrti and laksana, P. pakati and lakkhana) and maintains its own properties, by which people can perceive it as what it is. For instance, water maintains its property of wetness and acts according to its fixed track, so people recognize it as water when they see it. Conversely, when something is devoid of wetness and obey different rules from water, there then can be no conception of water. Therefore, Buddhism views everything as “dhamma”. The terms “all dhammas”, “each dhamma” appearing in Buddhist canons indicate “all things” or “universal existence”. According to this interpretation, the discourses delivered by the Buddha based on his own empirical comprehension of dhammas are also “Dhamma” since they hold true to the principle of “retaining its own nature, so that it can be recognized.”"
"**问**：佛是神吗？","**Q:** Is the Buddha a deity?"
