"钟摆","The Pendulum"
"作者：欧·亨利","by O. Henry"
"“八十一号大街到站——请让他们下车。”穿蓝衣服的羊倌大叫道。","“Eighty-first street—let ’em out, please,” yelled the shepherd in blue."
"市民如一群绵羊一般乱哄哄地抢着下了车，接着另一群又急匆匆地挤了上去。叮—叮！曼哈顿高架铁道公司的牲口车隆隆驶过。约翰·珀金斯夹在下车的人群中，随波逐流地走下车站的楼梯。","A flock of citizen sheep scrambled out and another flock scrambled aboard.Ding-ding!The cattle cars of the Manhattan Elevated rattled away, and John Perkins drifted down the stairway of the station with the released flock."
"约翰慢慢地走向他的公寓。之所以慢慢地，是因为在他的日常生活的词典里，没有“也许”之类的词。对于一个结婚两年、住在公寓里的男人来说，没有什么惊喜在等候着他。约翰·珀金斯一边走着，一边带着郁郁寡欢的、被压制的、玩世不恭的心情，对自己预言着这单调的一天的结局早已注定了。","John walked slowly toward his flat.Slowly, because in the lexicon of his daily life there was no such word as “perhaps.”There are no surprises awaiting a man who has been married two years and lives in a flat.As he walked John Perkins prophesied to himself with gloomy and downtrodden cynicism the foregone conclusions of the monotonous day."
"凯蒂会在门口迎接他，并给他一个带着雪花膏和黄油硬糖味道的吻。他会脱掉外套，坐在一张像铺了碎石一样凹凸不平的长沙发上，读晚报上关于俄罗斯人和日本佬被致命的整行铸排机屠杀的新闻。","Katy would meet him at the door with a kiss flavored with cold cream and butter-scotch.He would remove his coat, sit upon a macadamized lounge and read, in the evening paper, of Russians and Japs slaughtered by the deadly linotype."
"晚饭准是炖肉、一份用保证不会使皮革裂开或损伤的佐料调制成的色拉、一份炖大黄和一瓶看到自己标签上的化学纯度证明会羞红了脸的草莓酱。晚饭后，凯蒂会给他看她的百衲被上的那块新补丁。补丁的料子是送冰人从他自己的活结领带尖上剪下来给她的。到了七点半，当楼上房间的胖子开始锻炼身体时，他们就会把报纸铺在家具上接掉下来的灰泥碎片。八点整时，在走廊对面的房间里，希基和穆尼组成的杂耍队（没人预约的）会受震颤性谵妄的轻微影响，妄想着哈默斯坦正带着一周五百美元的合约在追逐他们，于是他们开始推倒一把把椅子。接着，通风井对面的那位先生会坐在窗边拿出长笛；夜间泄漏的煤气总会悄悄溜到公路上作乐；送饭菜的小升降机会滑出手推车；看门人会再次把柴诺维茨基夫人的五个孩子赶过鸭绿江；那位穿香槟色鞋子的女子会带着她的斯凯岛长毛短腿狗轻快地走下楼梯，把她星期四用的名字粘在她的电铃和信箱上——然后，弗罗格摩尔公寓晚间的常规活动便拉开了序幕。","For dinner there would be pot roast, a salad flavored with a dressing warranted not to crack or injure the leather, stewed rhubarb and the bottle of strawberry marmalade blushing at the certificate of chemical purity on its label.After dinner Katy would show him the new patch in her crazy quilt that the iceman had cut for her off the end of his four-in-hand.At half-past seven they would spread newspapers over the furniture to catch the pieces of plastering that fell when the fat man in the flat overhead began to take his physical culture exercises.Exactly at eight Hickey & Mooney, of the vaudeville team (unbooked) in the flat across the hall, would yield to the gentle influence of delirium tremens and begin to overturn chairs under the delusion that Hammerstein was pursuing them with a five-hundred-dollar-a-week contract.Then the gent at the window across the air-shaft would get out his flute; the nightly gas leak would steal forth to frolic in the highways; the dumbwaiter would slip off its trolley; the janitor would drive Mrs. Zanowitski’s five children once more across the Yalu; the lady with the champagne shoes and the Skye terrier would trip downstairs and paste her Thursday name over her bell and letter-box—and the evening routine of the Frogmore flats would be under way."
"约翰·珀金斯知道这些事一定会发生。他也知道，八点一刻，他就会鼓起勇气伸手去拿帽子，而他妻子则会怨声怨气地说一句：","John Perkins knew these things would happen.And he knew that at a quarter past eight he would summon his nerve and reach for his hat, and that his wife would deliver this speech in a querulous tone: "
"“喂，你要去哪儿，我想知道，约翰·珀金斯?”"," “Now, where are you going, I’d like to know, John Perkins?”"
"“我想去麦克洛斯基家，”他总是这样回答，“跟朋友们打一两局台球。”","“Thought I’d drop up to McCloskey’s,” he would answer, “and play a game or two of pool with the fellows.”"
"这是约翰·珀金斯近来养成的习惯。他总在十点或十一点钟回来。有时候，凯蒂已经睡着了，有时候她熬夜等着，准备从婚姻这条锻钢链子上再多熔化掉一点镀金，放在她愤怒的坩埚里。当爱神丘比特站在正义的被告栏后，面对受其所害的弗罗格摩尔公寓的住户们时，他将不得不回应这些事。","Of late such had been John Perkins’s habit.At ten or eleven he would return.Sometimes Katy would be asleep; sometimes waiting up, ready to melt in the crucible of her ire a little more gold plating from the wrought steel chains of matrimony.For these things Cupid will have to answer when he stands at the bar of justice with his victims from the Frogmore flats."
