"闪光的金子","The Gold That Glittered"
"作者：欧·亨利","by O. Henry"
"一个带有某种寓意的故事，就像是蚊子的细长口器。它使你厌烦，然后又往你的皮肤里注进刺激性液体，使你良心不安。因此，我们先以寓意为上，来看看寓意。不是所有发光的物体都是金子，但是聪明的孩子知道把盛有试金酸溶液的瓶子上的塞子塞紧了。","A story with a moral appended is like the bill of a mosquito.It bores you, and then injects a stinging drop to irritate your conscience.Therefore let us have the moral first and be done with it.All is not gold that glitters, but it is a wise child that keeps the stopper in his bottle of testing acid."
"百老汇和华盛顿广场交界的那一角是小里亚托剧院区。这里站着那儿的演员们，这就是他们的陈词滥调：“‘没门儿’，我对弗罗曼说，‘周薪一百，少一点儿也不行。’然后我就走开了。”","Where Broadway skirts the corner of the square presided over by George the Veracious is the Little Rialto.Here stand the actors of that quarter, and this is their shibboleth: “‘Nit,’ says I to Frohman, ‘you can’t touch me for a kopeck less than two-fifty per,’ and out I walks.”"
"在这个倍受瞩目的剧院的西侧和南侧有一两条街道是说西班牙语的美国人的聚居地，他们在这个寒冷刺骨的北方，聚集在一块儿，寻求一点点热带的温暖。这个地区的主要活动中心就是“庇护所”，一个咖啡馆兼餐馆，来满足那些来自南方的居无定所的流亡人员的需要。来自智利、玻利维亚、哥伦比亚、绵延起伏的中美洲共和国和愤怒的西印度群岛的那些穿斗篷、戴墨西哥阔边帽的人们，就像本国政治火山大爆炸喷射出的燃烧的岩浆一样散落到这里。在这里他们研究对策、等待时机、寻求资助，招募那些勇于献身的人，偷运军火和弹药，准备打持久仗。在“庇护所”，他们找到了发展壮大所需要的环境。","Westward and southward from the Thespian glare are one or two streets where a Spanish-American colony has huddled for a little tropical warmth in the nipping North.The centre of life in this precinct is “El Refugio,” a café and restaurant that caters to the volatile exiles from the South.Up from Chili, Bolivia, Colombia, the rolling republics of Central America and the ireful islands of the Western Indies flit the cloaked and sombreroed señores, who are scattered like burning lava by the political eruptions of their several countries.Hither they come to lay counterplots, to bide their time, to solicit funds, to enlist filibusterers, to smuggle out arms and ammunitions, to play the game at long taw.In El Refugio, they find the atmosphere in which they thrive."
"“庇护所”餐馆里提供的食品能满足所有人的胃口。利他主义一定会终止这个如此之长的故事。但有必要继续说一点，用餐的人，厌倦了法国大厨师的手艺的人们啊，美味召唤你来到“庇护所”！只有在这里你才能找到某种用西班牙方式烘焙的鱼——青鱼、美国西鲱或者来自海湾的鲹鱼。番茄给予其色彩、特性和灵魂；科罗拉多的红辣椒赐予它风味、独特和热情；不知名的药草带来刺激与神秘；还有——它是无比荣耀的，需要有专门的介绍。在它的周围、它的上方、它的下面、它的附近——但不是里面——弥漫着一种似有似无的气味，一种臭气，如此稀薄而又微妙，只有物理研究协会才会知道它的起源。在“庇护所”，不要说鱼里面加了大蒜。不是别的，就好像是大蒜的精魂，翩翩飞过去，给那道最上面是欧芹的菜一个迟迟不离去的飞吻，就像现实生活中一样，你自作多情地认为，那个给别人的吻印在了你的唇上，并在那里萦绕不绝。然后，当名叫康齐托的侍者给你端来一碟褐色菜豆和一玻璃瓶波尔图葡萄酒的时候——啊，上帝啊！","In the restaurant of El Refugio are served compounds delightful to the palate of the man from Capricorn or Cancer.Altruism must halt the story thus long.On, diner, weary of the culinary subterfuges of the Gallic chef, hie thee to El Refugio!There only will you find a fish—bluefish, shad or pompano from the Gulf—baked after the Spanish method.Tomatoes give it color, individuality and soul; chili Colorado bestows upon it zest, originality and fervor; unknown herbs furnish piquancy and mystery, and—but its crowning glory deserves a new sentence.Around it, above it, beneath it, in its vicinity—but never in it—hovers an ethereal aura, an effluvium so rarefied and delicate that only the Society for Psychical Research could note its origin.Do not say that garlic is in the fish at El Refugio.It is not otherwise than as if the spirit of Garlic, flitting past, has wafted one kiss that lingers in the parsley-crowned dish as haunting as those kisses in life, “by hopeless fancy feigned on lips that are for others.”And then, when Conchito, the waiter, brings you a plate of brown frijoles and a carafe of wine that has never stood still between Oporto and El Refugio—ah, Dios!"
"一天，一艘汉堡—美国的邮轮在55号码头靠岸。佩里科·齐梅内斯·比利亚布兰卡·法尔孔将军，一个来自卡塔赫纳的乘客，在这里下了船。将军的肤色介于陶土色和栗色之间，42英寸的腰围，加上他的高跟马靴，身高共为5.4英尺。他留着射击场老板一样的胡须，穿着一身像是得克萨斯州的议会议员的衣服，活像一个没有被委派任务的代表。","One day a Hamburg-American liner deposited upon Pier No. 55 Gen. Perrico Ximenes Villablanca Falcon, a passenger from Cartagena.The General was between a claybank and a bay in complexion, had a 42-inch waist and stood 5 feet 4 with his Du Barry heels.He had the mustache of a shooting-gallery proprietor, he wore the full dress of a Texas congressman and had the important aspect of an uninstructed delegate."
"法尔孔将军懂的英文仅够他去询问去往“庇护所”的路。当他走到附近的时候，他看到一个体面的红砖房子前有一个招牌，上面写着：“西班牙旅馆”。窗户上有一个用西班牙语书写的告示：“本店只讲西班牙语”。这个将军进去了，确定这里就是那个最合适的避风港。","Gen. Falcon had enough English under his hat to enable him to inquire his way to the street in which El Refugio stood.When he reached that neighborhood he saw a sign before a respectable red-brick house that read, “Hotel Español.”In the window was a card in Spanish, “Aqui se habla Español.”The General entered, sure of a congenial port."
"在这个舒适的办公室里坐着的是奥布赖恩女士，这里的老板娘。她有着金色的头发，哦，那无与伦比的金色秀发。除此之外，她也和蔼可亲，长得白白胖胖。法尔孔将军的阔边帽子扫过地板，他说了一些西班牙语，音节听起来像一串鞭炮沿着一根火药引线轻轻地爆炸。","In the cozy office was Mrs. O’Brien, the proprietress.She had blond—oh, unimpeachably blond hair.For the rest she was amiability, and ran largely to inches around.Gen. Falcon brushed the floor with his broad-brimmed hat, and emitted a quantity of Spanish, the syllables sounding like firecrackers gently popping their way down the string of a bunch."
"“西班牙人还是意大利人？”奥布赖恩女士亲切地问道。","“Spanish or Dago?” asked Mrs. O’Brien, pleasantly."
"“我是哥伦比亚人，女士。”这个将军自豪地说，“我说西班牙语。您窗户上的告示说，这里只能说西班牙语。那是怎么回事呢？”","“I am a Colombian, madam,” said the General, proudly.“I speak the Spanish.The advisement in your window say the Spanish he is spoken here.How is that?”"
"“哦，您现在说的就是西班牙语，不是吗？”女士答道，“我可不会说。”","“Well, you’ve been speaking it, ain’t you?” said the madam.“I’m sure I can’t.”"
"在这个西班牙旅店，法尔孔将军订了房间，安顿下来。在黄昏的时候，他在街上散步，想好好看看这个喧闹的北方城市的奇观。他走路的时候想着那位奥布赖恩女士的完美金发。“在这里，”将军对自己说，毫无疑问他用的是他本国的语言，“人们可以找到世界上最美的女人。我以前在哥伦比亚见到的所有美女中，谁都没有如此美丽。是的，没有！但法尔孔将军现在不应该想美人。我所挚爱的应当是我的国家。”","At the Hotel Español General Falcon engaged rooms and established himself.At dusk he sauntered out upon the streets to view the wonders of this roaring city of the North.As he walked he thought of the wonderful golden hair of Mme. O’Brien.“It is here,” said the General to himself, no doubt in his own language, “that one shall find the most beautiful señoras in the world.I have not in my Colombia viewed among our beauties one so fair.But no!It is not for the General Falcon to think of beauty.It is my country that claims my devotion.”"
"在百老汇大街和小里亚托剧院交汇的转角处，将军被卷入车流。街上的车使他很困惑，其中一辆车的挡泥板刮到了他，使他撞上了一个满装着橘子的手推车。一辆出租马车的轮毂差点擦到他，车夫大骂了他一顿。他蹒跚地走向人行道，当一个花生烘焙机的汽笛声嘶吼着钻进了他的耳朵的时候，他又一次吓得跳开了。“上帝救救我！这是什么鬼地方？”","At the corner of Broadway and the Little Rialto the General became involved.The street cars bewildered him, and the fender of one upset him against a pushcart laden with oranges.A cab driver missed him an inch with a hub, and poured barbarous execrations upon his head.He scrambled to the sidewalk and skipped again in terror when the whistle of a peanut-roaster puffed a hot scream in his ear.“Válgame Dios!What devil’s city is this?”"
"当将军像一只受伤的沙锥鸟从来来往往的人群里飞出来时，他同时被两个猎手当作猎物盯上了。其中一个是“土霸”麦圭尔，他强壮的手臂和他那八英寸的铅制管子是他的常用工具。另一个柏油马路上的好猎人就是“蜘蛛”凯利，一个用更文明一点的方法的人。","As the General fluttered out of the streamers of passers like a wounded snipe he was marked simultaneously as game by two hunters.One was “Bully” McGuire, whose system of sport required the use of a strong arm and the misuse of an eight-inch piece of lead pipe.The other Nimrod of the asphalt was “Spider” Kelley, a sportsman with more refined methods."
"当他们朝明摆着的猎物奔去时，凯利先生的身手稍显敏捷。他的肘部精确地挡住了麦圭尔先生的猛攻。","In pouncing upon their self-evident prey, Mr. Kelley was a shade the quicker.His elbow fended accurately the onslaught of Mr. McGuire."
