"en","zh"
"Kisa the Cat","一只名叫基萨的猫"
"by Andrew Lang","作者：安德鲁·朗格"
"Once upon a time there lived a queen who had a beautiful cat, the colour of smoke, with china-blue eyes, which she was very fond of.","很久以前，有一位王后，她养了一只美丽的烟灰色的猫。猫有着中国蓝的眼睛，王后对它宠爱有加。"
"The cat was constantly with her, and ran after her wherever she went, and even sat up proudly by her side when she drove out in her fine glass coach.","这只猫时刻伴随着王后，无论她去哪里，猫都紧跟其后，甚至当王后乘着她那华贵的琉璃马车出行时，猫也得意洋洋地蹲坐其旁。"
"‘Oh, pussy,’ said the queen one day, ‘you are happier than I am!","“哦，猫咪，”有一天王后说，“你比我更快乐！"
"For you have a dear kitten just like yourself, and I have nobody to play with but you.’","因为你有一只像你一样的宝贝小猫，而我除了你以外，没有谁能为我解闷。”"
"‘Don’t cry,’ answered the cat, laying her paw on her mistress’s arm.","“别哭泣，”猫将爪子搭在女主人的胳膊上，回应道，"
"‘Crying never does any good.","“哭泣毫无作用。"
"I will see what can be done.’","我来想想能怎么办。”"
"The cat was as good as her word.","那只猫很守信。"
"As soon as she returned from her drive she trotted off to the forest to consult a fairy who dwelt there, and very soon after the queen had a little girl, who seemed made out of snow and sunbeams.","出行一回来，它就小步跑进森林，向住在那里的一个小精灵请教。不久之后，王后便有了一个洁白似雪、灿若阳光的小女孩。"
"The queen was delighted, and soon the baby began to take notice of the kitten as she jumped about the room, and would not go to sleep at all unless the kitten lay curled up beside her.","王后很欣喜，小婴儿不久就开始注意到在房间跳来跳去的小猫，并且如果小猫不蜷缩在她身边的话，她根本无法入睡。"
"Two or three months went by, and though the baby was still a baby, the kitten was fast becoming a cat, and one evening when, as usual, the nurse came to look for her, to put her in the baby’s cot, she was nowhere to be found.","两三个月过去了，婴儿仍然没什么变化，而快速成长的小猫却已有了成猫的模样。一天夜里，保姆像往常一样去找它，把它放进婴儿床里，它却不见了踪影。"
"What a hunt there was for that kitten, to be sure!","要知道，这是一次规模多么宏大的搜寻小猫的行动啊！"
"The servants, each anxious to find her, as the queen was certain to reward the lucky man, searched in the most impossible places.","每位仆人都渴望找到它，因为王后必会奖赏这个幸运儿。哪怕绝不可能找到的地方，他们也不放过。"
"Boxes were opened that would hardly have held the kitten’s paw; books were taken from bookshelves, lest the kitten should have got behind them, drawers were pulled out, for perhaps the kitten might have got shut in.","箱子打开了，那里几乎连猫爪子也藏不下；书从书架上搬了下来，以防小猫躲在后面；抽屉都被拉开，说不定小猫被关在里面。"
"But it was all no use.","但这些都是徒劳。"
"The kitten had plainly run away, and nobody could tell if it would ever choose to come back.","小猫显然是跑掉了，没有人知道它还会不会回来。"
"Years passed away, and one day, when the princess was playing ball in the garden, she happened to throw her ball farther than usual, and it fell into a clump of rose-bushes.","时光荏苒，有一天，公主在花园里玩着球，她无意中把球抛得比平时远了些，球滚入了一簇玫瑰花丛里。"
"The princess of course ran after it at once, and she was stooping down to feel if it was hidden in the long grass, when she heard a voice calling her: ‘Ingibjorg!","公主自然马上追了过去，她弯下腰，在高高的草丛中摸索着，看看球是否藏在那里。这时，她听到一个声音在喊她：“英吉布乔格！"
"Ingibjorg!’ it said, ‘have you forgotten me?","英吉布乔格！”那声音说道，“你不记得我了吗？"
"I am Kisa, your sister!’","我是你的姐姐，基萨！”"
"‘But I never HAD a sister,’ answered Ingibjorg, very much puzzled; for she knew nothing of what had taken place so long ago.","“但我从来没有姐姐。”英吉布乔格满脸疑惑地答道，因为她对发生在那么久以前的事一无所知。"
"‘Don’t you remember how I always slept in your cot beside you, and how you cried till I came?","“你不记得我总是在你的小床里与你共眠，并且我不在你就哭个不停？"
"But girls have no memories at all!","不过，女孩子就是毫无记性！"
"Why, I could find my way straight up to that cot this moment, if I was once inside the palace.’","哎呀，一旦我进入王宫，我马上就可以找到通往那张小床的路。”"
"‘Why did you go away then?’ asked the princess.","“那你为什么后来又离开了呢？”公主问道。"
"But before Kisa could answer, Ingibjorg’s attendants arrived breathless on the scene, and were so horrified at the sight of a strange cat, that Kisa plunged into the bushes and went back to the forest.","基萨还没来得及回答，英吉布乔格的侍女就气喘吁吁地赶到了面前。一见这只奇怪的猫她们便惊骇不已，使得基萨跳进了灌木丛，回到了森林里。"
"The princess was very much vexed with her ladies-in-waiting for frightening away her old playfellow, and told the queen who came to her room every evening to bid her good-night.","侍女们吓跑了公主昔日的玩伴，这让她很气恼。王后每晚都会去她的房间道声晚安，她便把这事告诉了王后。"
"‘Yes, it is quite true what Kisa said,’ answered the queen; ‘I should have liked to see her again.","“是的，基萨说的完全属实，”王后回应道，“我很乐意再见到它。"
"Perhaps, some day, she will return, and then you must bring her to me.’","也许某一天它会回来，那时你就把它带来见我。”"
"Next morning it was very hot, and the princess declared that she must go and play in the forest, where it was always cool, under the big shady trees.","第二天早上，天气炎热，公主要求去森林里玩耍。那里绿树成阴，向来都是凉爽之地。"
"As usual, her attendants let her do anything she pleased, and sitting down on a mossy bank where a little stream tinkled by, soon fell sound asleep.","侍女们像往常一样，由着公主做任何她想做的事。她们在苔藓满布的岸边坐下，小溪在身旁清脆作响，不一会儿，她们便沉沉地睡去。"
"The princess saw with delight that they would pay no heed to her, and wandered on and on, expecting every moment to see some fairies dancing round a ring, or some little brown elves peeping at her from behind a tree.","一看自己已不在她们的看护之下，公主便高兴起来。她四处游荡，时刻期盼着看见绕着圆环跳舞的小仙女，或是在树后窥视她的棕色的小精灵。"
"But, alas! she met none of these; instead, a horrible giant came out of his cave and ordered her to follow him.","唉！但这些她都没有见到。相反，一个可怕的巨人从洞穴里走了出来，并命令她跟随其后。"
"The princess felt much afraid, as he was so big and ugly, and began to be sorry that she had not stayed within reach of help; but as there was no use in disobeying the giant, she walked meekly behind.","巨人又大又丑，这让公主感到很害怕，她开始懊悔自己没有呆在有人可以救援的范围之内。不服从巨人的命令一点儿用也没有，她只得服从地走在后面。"
"They went a long way, and Ingibjorg grew very tired, and at length began to cry.","他们走了很长的路，英吉布乔格已经很累了，最后，她哭了起来。"
"‘I don’t like girls who make horrid noises,’ said the giant, turning round.","“我不喜欢女孩子发出讨厌的噪音，”巨人转身说道，"
"‘But if you WANT to cry, I will give you something to cry for.’","“如果你实在想哭，我就给你哭的理由。”"
"And drawing an axe from his belt, he cut off both her feet, which he picked up and put in his pocket.","话毕，巨人从腰带上抽出一把斧头，将公主双脚砍下，他把它们捡起来放进了口袋。"
"Then he went away.","然后他就离开了。"
"Poor Ingibjorg lay on the grass in terrible pain, and wondering if she should stay there till she died, as no one would know where to look for her.","可怜的英吉布乔格倒在草地上承受着剧烈的疼痛，没有人知道去哪里找她，她怀疑自己是否会死在那里。"
