"A Sale","一笔买卖"
"by Guy de Maupassant","作者：莫泊桑"
"The defendants, Cesaire-Isidore Brument and Prosper-Napoleon Cornu, appeared before the Court of Assizes of the Seine-Inferieure, on a charge of attempted murder, by drowning, of Mme. Brument, lawful wife of the first of the aforenamed.","被告塞泽尔—伊西多尔·布吕芒和普罗斯珀—拿破仑·科尔尼（，因被指控企图淹死布吕芒太太（第一个被告的合法妻子）而在塞纳省下属的巡回审判法庭出庭受审。"
"The two prisoners sat side by side on the traditional bench.","这两个被告肩并肩地坐在被告一贯坐的长凳上。"
"They were two peasants; the first was small and stout, with short arms, short legs, and a round head with a red pimply face, planted directly on his trunk, which was also round and short, and with apparently no neck.","他们都是农民。布吕芒是个矮小的胖子，短胳膊短腿的，圆圆的脑袋，红红的脸上满是疙瘩。这张脸就像是直接安在他那又圆又短的身体上，他就好像没有脖子似的。"
"He was a raiser of pigs and lived at Cacheville-la-Goupil, in the district of Criquetot.","他是养猪的，住在克里克托地区的加什维尔—拉古比西村。"
"Cornu (Prosper-Napoleon) was thin, of medium height, with enormously long arms.","科尔尼（普罗斯珀—拿破仑）是个瘦子，中等身材，手臂却长得惊人。"
"His head was on crooked, his jaw awry, and he squinted.","他的头有点儿歪，下巴也一样，而且眼睛还斜视。"
"A blue blouse, as long as a shirt, hung down to his knees, and his yellow hair, which was scanty and plastered down on his head, gave his face a worn-out, dirty look, a dilapidated look that was frightful.","他身上那件蓝罩衫，长得和衬衣一样，一直拖到膝盖上；稀疏的黄发紧搭在头顶上，使他那张脸显得疲惫不堪，龌龊邋遢，丑得吓人。"
"He had been nicknamed “the cure” because he could imitate to perfection the chanting in church, and even the sound of the serpent.","人们给他起了个“本堂神父”的绰号，因为他学唱教堂的圣歌学得很像，甚至还能模仿撒旦的声音。"
"This talent attracted to his cafe—for he was a saloon keeper at Criquetot—a great many customers who preferred the “mass at Cornu” to the mass in church.","他是克里克托一间酒吧的老板，他的这种才能吸引了一大批顾客；与天主的弥撒相比，这些顾客更喜欢“科尔尼的弥撒”。"
"Mme. Brument, seated on the witness bench, was a thin peasant woman who seemed to be always asleep.","布吕芒太太坐在证人席上。她是个瘦瘦的农村妇女，看起来总是满脸睡意。"
"She sat there motionless, her hands crossed on her knees, gazing fixedly before her with a stupid expression.","她坐在那里一动不动，双手交叉着放在膝盖上，眼睛紧盯着前方，目光呆滞。"
"The judge continued his interrogation.","法官继续审问道："
"“Well, then, Mme. Brument, they came into your house and threw you into a barrel full of water.","“那么说，布吕芒太太，他们闯进您家里，把您扔进一个装满水的大桶里。"
"Tell us the details.","请把具体情况告诉我们。"
"Stand up.”","同时也请站起来。”"
"She rose.","她站起来了。"
