"Suicides","自杀事件"
"by Guy de Maupassant","作者：莫泊桑"
"To Georges Legrand.","致乔治斯·勒格朗"
"Hardly a day goes by without our reading a news item like the following in some newspaper:","几乎每天都会在报纸上看到下面这样的新闻："
"“On Wednesday night the people living in No.40 Rue de—, were awakened by two successive shots.","“星期三晚上，住在某某街四十号的居民被两声连续的枪声惊醒。"
"The explosions seemed to come from the apartment occupied by M. X—. The door was broken in and the man was found bathed in his blood, still holding in one hand the revolver with which he had taken his life.","枪声似乎是从X先生居住的公寓里传出来的。人们破门而入，发现X先生倒在血泊里，一只手依然握着那把结束他自己生命的左轮手枪。"
"“M. X—was fifty-seven years of age, enjoying a comfortable income, and had everything necessary to make him happy.","“X先生57岁，收入丰厚，衣食无忧，可以说凡是幸福生活所需要的，他全都有了。"
"No cause can be found for his action.”","人们找不到理由来解释他的这一自杀行为。”"
"What terrible grief, what unknown suffering, hidden despair, secret wounds drive these presumably happy persons to suicide?","究竟是怎样可怕的不幸和不为人知的苦难，又是什么隐藏的绝望和难以启齿的伤痛使这些被公认为幸福的人们自寻短见？"
"We search, we imagine tragedies of love, we suspect financial troubles, and, as we never find anything definite, we apply to these deaths the word “mystery.”","我们寻找原因，猜想可能是失恋的缘故，抑或是遇到严重的经济麻烦，但种种设想都缺乏证据的支撑，最后我们只能将这类自杀归结为一个“谜”字。"
"A letter found on the desk of one of these “suicides without cause,” and written during his last night, beside his loaded revolver, has come into our hands.","一封在一桩“无缘由自杀者”的桌上被发现的信落入了我们的手里。这封信是他在生前最后一夜写的，就放在那把上膛的手枪旁边。"
"We deem it rather interesting.","我们认为这封信非常耐人寻味。"
"It reveals none of those great catastrophes which we always expect to find behind these acts of despair; but it shows us the slow succession of the little vexations of life, the disintegration of a lonely existence, whose dreams have disappeared; it gives the reason for these tragic ends, which only nervous and high-strung people can understand.","信中没有透露任何我们期望找到的、隐藏在这些绝望举动背后的重大灾祸，而只是记述了生活中一连串琐碎的烦恼、孤寂人生的瓦解和梦想的破灭，这些最终都可导致这一悲剧的发生，这一切只有那些神经质的、思维敏感的人才会懂。"
"Here it is:","信的内容是这样的："
"“It is midnight.","“现在已是午夜时分。"
"When I have finished this letter I shall kill myself.","写完这封信后我将自杀。"
"Why? I shall attempt to give the reasons, not for those who may read these lines, but for myself, to kindle my waning courage, to impress upon myself the fatal necessity of this act which can, at best, be only deferred.","至于为什么？我将尽力解释其中的原因，但不是为了今后读到这封信的人，只是为了我自己，让我自己重拾那逐渐减弱的勇气，让自己铭记这一行为的必要性，充其量只是能将其推迟一下。"
"“I was brought up by simple-minded parents who were unquestioning believers.","“我的父母心地单纯，从来不会对什么发出质疑。"
"And I believed as they did.","我过去的思想也和他们一样。"
"“My dream lasted a long time.","“很长一段时间，我都是满怀梦想的。"
"The last veil has just been torn from my eyes.","那梦想的最后一层薄纱也只是最近才在我眼前被撕裂。"
"“During the last few years a strange change has been taking place within me.","“近几年来，我也发生了一些奇怪的变化。"
"All the events of Life, which formerly had to me the glow of a beautiful sunset, are now fading away.","生命中的一切，过去对我而言如同落日一般绚丽美妙，如今那光芒却都渐渐消失殆尽。"
"The true meaning of things has appeared to me in its brutal reality; and the true reason for love has bred in me disgust even for this poetic sentiment: ‘We are the eternal toys of foolish and charming illusions, which are always being renewed.’","事物的真实含义在我面前呈现出残酷的面貌，爱的真正理由甚至使我对诗意的情愫都很厌恶：‘我们是那些永远在翻新的、既愚蠢又迷人的幻觉的永恒玩偶。’"
"“On growing older, I had become partly reconciled to the awful mystery of life, to the uselessness of effort; when the emptiness of everything appeared to me in a new light, this evening, after dinner.","“随着年龄的增长，我开始慢慢接受生活的可怕神秘，明白努力是徒劳无用的。就在今晚晚餐后，我看到一切空虚都闪耀着全新的光芒。"
"“Formerly, I was happy!","“从前，我也是很快乐的。"
"Everything pleased me: the passing women, the appearance of the streets, the place where I lived; and I even took an interest in the cut of my clothes.","一切都让我感到开心：来来往往的女人、街上的景象、我居住的地方，甚至是我的衣服的款式，都让我产生浓厚的兴趣。"
"But the repetition of the same sights has had the result of filling my heart with weariness and disgust, just as one would feel were one to go every night to the same theatre.","但是同样的东西重复地看来看去，也使我从心里萌生一股疲倦和厌恶感，这就如同一个人每天晚上去同一家剧院一样。"
"“For the last thirty years I have been rising at the same hour; and, at the same restaurant, for thirty years, I have been eating at the same hours the same dishes brought me by different waiters.","“30年来，我每天在同一个时间起床。30年来，我在同一家饭店，在同一时刻，吃不同的侍者端来的相同的菜肴。”"
"“I have tried travel.","“我也尝试去旅游。"
"The loneliness which one feels in strange places terrified me. I felt so alone, so small on the earth that I quickly started on my homeward journey.","但是身处异乡的孤寂感让我害怕。我觉得自己在世界上是那么孤单、那么渺小，于是我就很快又启程回家了。"
"“But here the unchanging expression of my furniture, which has stood for thirty years in the same place, the smell of my apartments (for, with time, each dwelling takes on a particular odor) each night, these and other things disgust me and make me sick of living thus.","“但是回到家，看到家里30年来从未变样甚至连摆放位置都没有变动的家具，每晚闻到家里特有的气味（因为随着时间的推移，每个处所都有其特有的气味），所有的一切都使我嫌恶不已，让我对生活充满了厌倦。"
"“Everything repeats itself endlessly.","“每一件事都无休止地重复着。"
