"To Please His Wife","博妻欢心"
"by Thomas Hardy","作者：托马斯·哈代"
"Content","目录"
"Chapter I","第一章"
"Chapter II","第二章"
"Chapter III","第三章"

"Chapter I","第一章"
"The interior of St. James’s Church, in Havenpool Town, was slowly darkening under the close clouds of a winter afternoon.","一个冬日的下午，阴云密布，黑文普尔镇上圣詹姆斯教堂的室内慢慢暗了下来。"
"It was Sunday: service had just ended, the face of the parson in the pulpit was buried in his hands, and the congregation, with a cheerful sigh of release, were rising from their knees to depart.","那是个星期天。祷告仪式刚刚结束，布道坛上的牧师双手捂着脸，会众们发出一声解脱后的愉悦叹息，站起身准备离开。"
"For the moment the stillness was so complete that the surging of the sea could be heard outside the harbour-bar.","此时，教堂内一片寂静，甚至海港沙洲外汹涌的浪涛声都能听到。"
"Then it was broken by the footsteps of the clerk going towards the west door to open it in the usual manner for the exit of the assembly.","接着，教堂执事的脚步声打破了沉寂。他像往常一样走向西门，准备打开门让众人离开。"
"Before, however, he had reached the doorway, the latch was lifted from without, and the dark figure of a man in a sailor’s garb appeared against the light.","然而，他还没走到门口，门闩就被人从外面打开了。一个水手装束的黑色人影出现在光亮下。"
"The clerk stepped aside, the sailor closed the door gently behind him, and advanced up the nave till he stood at the chancel-step.","教堂执事让开路，水手轻轻关上门，穿过教堂中殿，一直走到高坛的台阶上站定。"
"The parson looked up from the private little prayer which, after so many for the parish, he quite fairly took for himself; rose to his feet, and stared at the intruder.","牧师本来正默默为自己作简短的祷告。他为教区的人们作了那么多祷告，为自己作一次也是合情合理。此时，他抬起头，站起身，盯着这位不速之客。"
"‘I beg your pardon, sir,’ said the sailor, addressing the minister in a voice distinctly audible to all the congregation.","“打扰了，先生，”水手说道。他虽是和牧师说话，声音却很响亮，所有的会众都听得见，"
"‘I have come here to offer thanks for my narrow escape from shipwreck.","“我来这里，是为了表达我的感恩之情，因为我侥幸从海难中生还。"
"I am given to understand that it is a proper thing to do, if you have no objection?’","我一向认为我应该这样做，如果您不反对的话。”"
"The parson, after a moment’s pause, said hesitatingly, ‘I have no objection; certainly.","牧师沉默了片刻，迟疑地说道：“我当然不反对。"
"It is usual to mention any such wish before service, so that the proper words may be used in the General Thanksgiving.","这种感恩的意愿通常要在祷告仪式之前提出，这样我为大家统一感恩祈祷时便能选择合适的话语。"
"But, if you wish, we can read from the form for use after a storm at sea.’","不过，如果你愿意，我们也可以诵读海上风暴过后常用的现成祷文。”"
"‘Ay, sure; I ain’t particular,’ said the sailor.","“嗯，没问题，我不介意。”水手说道。"
"The clerk thereupon directed the sailor to the page in the prayer-book where the collect of thanksgiving would be found, and the rector began reading it, the sailor kneeling where he stood, and repeating it after him word by word in a distinct voice.","于是，教堂执事让水手翻到祷告书上收录了这种感恩祷文的那一页，牧师开始诵读祷文。水手跪在他原先站着的地方，跟着牧师一字一句地大声念。"
"The people, who had remained agape and motionless at the proceeding, mechanically knelt down likewise; but they continued to regard the isolated form of the sailor who, in the precise middle of the chancel-step, remained fixed on his knees, facing the east, his hat beside him, his hands joined, and he quite unconscious of his appearance in their regard.","整个过程中，教堂的会众一直目瞪口呆，一动不动。现在，他们也机械地跟着跪了下来，但眼睛仍注视着水手孤零零的轮廓。他面朝东跪在高坛台阶的正中央，帽子放在身旁，双手紧握，完全没有意识到自己在众人眼中的形象。"
"When his thanksgiving had come to an end he rose; the people rose also, and all went out of church together.","水手作完感恩祈祷后，站了起来。其他人也站起身，一同走出教堂。"
"As soon as the sailor emerged, so that the remaining daylight fell upon his face, old inhabitants began to recognize him as no other than Shadrach Jolliffe, a young man who had not been seen at Havenpool for several years.","水手一走出去，夕阳的余晖照到他脸上，常年居住在这里的人们便渐渐认出，他就是谢德拉克·乔利夫。这个年轻人已经好些年没在黑文普尔露面了。"
"A son of the town, his parents had died when he was quite young, on which account he had early gone to sea, in the Newfoundland trade.","乔利夫出生在黑文普尔镇，很小的时候便失去了双亲。因此，他很早就成了水手，到纽芬兰做生意。"
"He talked with this and that townsman as he walked, informing them that, since leaving his native place years before, he had become captain and owner of a small coasting-ketch, which had providentially been saved from the gale as well as himself.","他一边走，一边和镇上的人左一句右一句地交谈。他告诉他们，几年前离开家乡后，他成了船长，拥有了一艘沿岸航行的小双桅纵帆船。多亏上帝保佑，他自己还有他的船才从大风暴中获救。"
"Presently he drew near to two girls who were going out of the churchyard in front of him; they had been sitting in the nave at his entry, and had watched his doings with deep interest, afterwards discussing him as they moved out of church together.","不一会儿，他靠近两个姑娘。这两个姑娘在他前面，正要走出教堂的院子。他进入教堂时，她们正坐在中殿里，饶有兴味地观察了他的一举一动。之后她们一起走出教堂，便聊起了他。"
"One was a slight and gentle creature, the other a tall, large-framed, deliberative girl.","其中一个姑娘身材纤细，温和文雅，另外一个则身材高大，体格健壮，做事很慎重。"
"Captain Jolliffe regarded the loose curls of their hair, their backs and shoulders, down to their heels, for some time.","乔利夫船长注视了她们好一会儿，从松松的发卷、后背、肩膀，一直打量到脚后跟。"
"‘Who may them two maids be?’ he whispered to his neighbour.","“这两位姑娘是？”他轻声问周围的乡邻。"
"‘The little one is Emily Hanning; the tall one Joanna Phippard.’","“小个子的是埃米莉·汉宁，高个子的是乔安娜·菲帕德。”"
"‘Ah!","“噢！"
"I recollect ’em now, to be sure.’","我现在想起来了，是她俩。”"
"He advanced to their elbow, and genially stole a gaze at them.","他赶上她们，快活地偷偷瞅了她们一眼。"
"‘Emily, you don’t know me?’ said the sailor, turning his beaming brown eyes on her.","“埃米莉，你不认识我了吗？”水手用含着笑意的棕色眼睛看着她，说道。"
"‘I think I do, Mr. Jolliffe,’ said Emily shyly.","“我想我还记得你，乔利夫先生。”埃米莉羞怯地回答。"
"The other girl looked straight at him with her dark eyes.","另外一个姑娘则用她那黑亮的眼睛直直地看着他。"
"‘The face of Miss Joanna I don’t call to mind so well,’ he continued.","“我对乔安娜小姐的长相记不太清了，”他继续说，"
"‘But I know her beginnings and kindred.’","“不过我见过她小的时候，也认识她的亲戚。”"
"They walked and talked together, Jolliffe narrating particulars of his late narrow escape, till they reached the corner of Sloop Lane, in which Emily Hanning dwelt, when, with a nod and smile, she left them.","他们边走边聊。乔利夫细细讲述着他不久前那次九死一生的经历，直到他们走到单桅船巷的拐角。埃米莉·汉宁就住在那里。她点了点头，微微一笑，先回了家。"
"Soon the sailor parted also from Joanna, and, having no especial errand or appointment, turned back towards Emily’s house.","很快，水手和乔安娜也告了别。由于没有什么事要做，也没有约，他便回转身，朝埃米莉家走去。"
