"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"by John Galsworthy","作者：约翰·高尔斯华绥"
"Content","目录"
"I","1.0"
"II","2.0"
"III","3.0"
"IV","4.0"

"“And Summer’s lease hath all too short a date.”","“夏日的逗留总是如此短暂。”"
"—Shakespeare","——莎士比亚"
"I","1.0"
"In the last day of May in the early ’nineties, about six o’clock of the evening, old Jolyon Forsyte sat under the oak tree below the terrace of his house at Robin Hill.","九十年代初一个五月的最后一天，傍晚六点左右，老乔利恩·福赛特坐在一棵橡树下，就在他罗宾山宅第的走廊下面。"
"He was waiting for the midges to bite him, before abandoning the glory of the afternoon.","即使蠓虫会来咬他，他也要享受这傍晚的美好时光。"
"His thin brown hand, where blue veins stood out, held the end of a cigar in its tapering, long-nailed fingers—a pointed polished nail had survived with him from those earlier Victorian days when to touch nothing, even with the tips of the fingers, had been so distinguished.","他的手瘦黄，青筋暴露；一截雪茄烟头夹在瘦削的手指间，指甲很长——有一只光亮的尖指甲是他从维多利亚时代早期就一直留着的。当时，人们认为不用手，甚至不用指尖去碰任何东西才是十分高贵。"
"His domed forehead, great white moustache, lean cheeks, and long lean jaw were covered from the westering sunshine by an old brown Panama hat.","他前额圆阔，双颊瘦削，下颌长瘦，留着浓密的大白胡子；一顶又黄又旧的巴拿马草帽为他遮挡西斜的日光。"
"His legs were crossed; in all his attitude was serenity and a kind of elegance, as of an old man who every morning put eau de Cologne upon his silk handkerchief.","他跷着腿，神情自若且优雅。一个每天早上都要往丝质手帕上洒古龙香水的老人，正是如此。"
"At his feet lay a woolly brown-and-white dog trying to be a Pomeranian—the dog Balthasar between whom and old Jolyon primal aversion had changed into attachment with the years.","一只棕白相间的长毛狗趴着他的脚边，扮作博美犬的样子—这就是小狗巴尔萨泽。多年过去，它与老乔利恩已经由最初的相互敌视转为亲密无间了。"
"Close to his chair was a swing, and on the swing was seated one of Holly’s dolls—called ‘Duffer Alice’—with her body fallen over her legs and her doleful nose buried in a black petticoat.","他椅子旁有架秋千，上面坐着霍利的一只玩偶——名叫“笨蛋艾丽斯”——她的上身倒在腿上，那只悲惨的鼻子埋在她的黑裙里。"
"She was never out of disgrace, so it did not matter to her how she sat.","她一向不惹人怜爱，所以坐姿如何也就无所谓了。"
"Below the oak tree the lawn dipped down a bank, stretched to the fernery, and, beyond that refinement, became fields, dropping to the pond, the coppice, and the prospect—‘Fine, remarkable’—at which Swithin Forsyte, from under this very tree, had stared five years ago when he drove down with Irene to look at the house.","橡树下是草坪，草坪沿着斜坡往下，连着精心修剪的蕨类种植园，再往那边是田野，接着地势更低了，一直到池塘和小灌木林，还有那片斯威辛·福赛特曾感叹“不错，美极了”的景色——五年前他和艾琳一起坐马车过来看房子时，曾在这棵橡树下凝望这片美景。"
"Old Jolyon had heard of his brother’s exploit—that drive which had become quite celebrated on Forsyte ‘Change. Swithin!","老乔利恩听说过他弟弟的辉煌成就——那次出行曾在整个福赛特交易所引起轰动。斯威辛！"
"And the fellow had gone and died, last November, at the age of only seventy-nine, renewing the doubt whether Forsytes could live for ever, which had first arisen when Aunt Ann passed away.","不曾想，去年十一月，这位老兄弟就死了，才七十九岁。这让人们又一次怀疑，福赛特家族的人是否真能永远不死。他们第一次有这种怀疑，还是在安姑太去世的时候呢。"
"Died! and left only Jolyon and James, Roger and Nicholas and Timothy, Julia, Hester, Susan!","又走了一个。现在只剩下老乔利恩、詹姆斯、罗杰、尼古拉斯、蒂莫西、茱莉娅、赫斯特，还有苏姗了！"
"And old Jolyon thought: ‘Eighty-five!","老乔利恩想：“八十五了！"
"I don’t feel it—except when I get that pain.’","我可没觉得——不过那儿疼的时候除外。”"
"His memory went searching.","他继续回想着往事。"
"He had not felt his age since he had bought his nephew Soames’ ill-starred house and settled into it here at Robin Hill over three years ago.","三年前，他从侄子索姆斯手中买下了这座不祥之屋，搬到了罗宾山。打那以后，他还不觉得自己老过。"
"It was as if he had been getting younger every spring, living in the country with his son and his grandchildren—June, and the little ones of the second marriage, Jolly and Holly; living down here out of the racket of London and the cackle of Forsyte ‘Change,’ free of his boards, in a delicious atmosphere of no work and all play, with plenty of occupation in the perfecting and mellowing of the house and its twenty acres, and in ministering to the whims of Holly and Jolly.","他跟儿子乔、孙女琼，还有乔再婚后生的乔利和霍利一起生活在乡下，远离伦敦的喧闹，也没有福赛特交易所的聒噪，不开董事会，不用工作，尽情玩乐，这让他觉得自己每年都年轻了一些。他每天花大量时间完善屋舍，打理周边的二十英亩地，由着霍利和乔利的性子做这做那。"
"All the knots and crankiness, which had gathered in his heart during that long and tragic business of June, Soames, Irene his wife, and poor young Bosinney, had been smoothed out.","琼、索姆斯和他妻子艾琳，还有小波辛尼，这几个人之间的恩怨长久以来在他心里生了许多郁结，可如今，也都逐渐化解了。"
"Even June had thrown off her melancholy at last—witness this travel in Spain she was taking now with her father and her stepmother.","就连琼也终于不再忧伤——现在正和父亲与继母一起在西班牙旅行。"
"Curiously perfect peace was left by their departure; blissful, yet blank, because his son was not there.","没想到他们走后，日子显得格外平静，幸福却又冷清，因为儿子不在身边。"
"Jo was never anything but a comfort and a pleasure to him nowadays—an amiable chap; but women, somehow—even the best—got a little on one’s nerves, unless of course one admired them.","乔是个让人心宽的孩子，近来给他带来很多慰藉和快乐；可是女人，不知为何，即使是最好的女人，也难免让人有些心烦，当然，除非你对她心驰神往。"
"Far-off a cuckoo called; a wood-pigeon was cooing from the first elm-tree in the field, and how the daisies and buttercups had sprung up after the last mowing!","远处传来布谷鸟的叫声；一只斑鸠在田野那边的第一棵榆树上咕咕啼唱。自上次刈草后，雏菊和毛茛长得多快啊！"
"The wind had got into the sou’ west, too—a delicious air, sappy!","风也转为西南风——好甜美的空气，甘露一般！"
"He pushed his hat back and let the sun fall on his chin and cheek.","他往后推了推帽子，让阳光照在他的下颌和脸颊上。"
"Somehow, to-day, he wanted company—wanted a pretty face to look at.","不知为何，今天他想让人陪着——有张漂亮的脸看看也好。"
"People treated the old as if they wanted nothing.","人们总以为老人无欲无求。"
"And with the un-Forsytean philosophy which ever intruded on his soul, he thought: ‘One’s never had enough.","不时侵入他灵魂的非福赛特哲学此时又在唱和，他想：“人永远不会满足。"
"With a foot in the grave one’ll want something, I shouldn’t be surprised!’","就算是快要入土的人也会有所欲求，这有什么好奇怪的！”"
"Down here—away from the exigencies of affairs—his grandchildren, and the flowers, trees, birds of his little domain, to say nothing of sun and moon and stars above them, said, ‘Open, sesame,’ to him day and night.","就在这乡下——远离世事扰攘的地方，他的孙子孙女、花儿、树，还有他小家园的鸟儿们，更不用说他们头顶上的日月星辰，日日夜夜都在对他说：“芝麻，开门。”"
"And sesame had opened—how much, perhaps, he did not know.","门终究是开了——开了多大，也许他并不清楚。"
"He had always been responsive to what they had begun to call ‘Nature,’ genuinely, almost religiously responsive, though he had never lost his habit of calling a sunset a sunset and a view a view, however deeply they might move him.","他总能很快地感应到人们口中的“自然”，这种感应发自内心，几乎像对宗教般虔诚。可不管自然多么打动他，他也不会改变看法，夕阳就是夕阳，风景就是风景。"
"But nowadays Nature actually made him ache, he appreciated it so.","如今自然却让他隐隐作痛，他对这一点有切身体会。"
